Anaphor
	baseline_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 66.20000, Average Perplexity (Good Sentences): -844.29382, Average Perplexity (Bad Sentences): -1154.72302
0: good sentence 0, PPL: -1965.22888
1: bad sentence 0, PPL: -1828.06287
2: good sentence 1, PPL: -785.92365
3: bad sentence 1, PPL: -4372.44092
4: good sentence 2, PPL: -104.60201
5: bad sentence 2, PPL: -179.46506
6: good sentence 3, PPL: -433.81451
7: bad sentence 3, PPL: -484.49698
8: good sentence 4, PPL: -4862.84521
9: bad sentence 4, PPL: -6253.40869
10: good sentence 5, PPL: -2010.84229
11: bad sentence 5, PPL: -2127.10889
12: good sentence 6, PPL: -197.96037
13: bad sentence 6, PPL: -211.95132
14: good sentence 7, PPL: -3834.42139
15: bad sentence 7, PPL: -3100.25562
16: good sentence 8, PPL: -442.06561
17: bad sentence 8, PPL: -619.67755
18: good sentence 9, PPL: -492.27643
19: bad sentence 9, PPL: -494.96158
20: good sentence 10, PPL: -5077.62305
21: bad sentence 10, PPL: -5856.63916
22: good sentence 11, PPL: -2054.03516
23: bad sentence 11, PPL: -2124.30811
24: good sentence 12, PPL: -3706.75366
25: bad sentence 12, PPL: -4135.40723
26: good sentence 13, PPL: -1527.54919
27: bad sentence 13, PPL: -8811.58203
28: good sentence 14, PPL: -1288.51953
29: bad sentence 14, PPL: -1232.24426
30: good sentence 15, PPL: -1890.81470
31: bad sentence 15, PPL: -1808.77185
32: good sentence 16, PPL: -854.86060
33: bad sentence 16, PPL: -679.70050
34: good sentence 17, PPL: -827.96448
35: bad sentence 17, PPL: -807.11621
36: good sentence 18, PPL: -451.96942
37: bad sentence 18, PPL: -1353.15625
38: good sentence 19, PPL: -438.41592
39: bad sentence 19, PPL: -419.04895
40: good sentence 20, PPL: -1610.02734
41: bad sentence 20, PPL: -1277.33618
42: good sentence 21, PPL: -991.89587
43: bad sentence 21, PPL: -1347.88269
44: good sentence 22, PPL: -143.41316
45: bad sentence 22, PPL: -343.97192
46: good sentence 23, PPL: -1515.07935
47: bad sentence 23, PPL: -1983.33496
48: good sentence 24, PPL: -556.52203
49: bad sentence 24, PPL: -607.35382
50: good sentence 25, PPL: -3977.97998
51: bad sentence 25, PPL: -4830.78027
52: good sentence 26, PPL: -826.10822
53: bad sentence 26, PPL: -6247.48926
54: good sentence 27, PPL: -237.58133
55: bad sentence 27, PPL: -319.39481
56: good sentence 28, PPL: -205.30336
57: bad sentence 28, PPL: -323.68826
58: good sentence 29, PPL: -1022.85419
59: bad sentence 29, PPL: -952.86591
60: good sentence 30, PPL: -236.60422
61: bad sentence 30, PPL: -479.39340
62: good sentence 31, PPL: -2492.56934
63: bad sentence 31, PPL: -3151.26782
64: good sentence 32, PPL: -499.47366
65: bad sentence 32, PPL: -544.80579
66: good sentence 33, PPL: -395.07565
67: bad sentence 33, PPL: -2205.00244
68: good sentence 34, PPL: -344.40518
69: bad sentence 34, PPL: -1183.32349
70: good sentence 35, PPL: -1423.64026
71: bad sentence 35, PPL: -1393.28284
72: good sentence 36, PPL: -568.83057
73: bad sentence 36, PPL: -1148.65198
74: good sentence 37, PPL: -3591.12988
75: bad sentence 37, PPL: -13256.97461
76: good sentence 38, PPL: -2505.91528
77: bad sentence 38, PPL: -3384.95947
78: good sentence 39, PPL: -952.05750
79: bad sentence 39, PPL: -5335.99951
80: good sentence 40, PPL: -2288.33862
81: bad sentence 40, PPL: -1733.11707
82: good sentence 41, PPL: -925.93665
83: bad sentence 41, PPL: -933.22595
84: good sentence 42, PPL: -450.32697
85: bad sentence 42, PPL: -523.92786
86: good sentence 43, PPL: -275.63754
87: bad sentence 43, PPL: -299.83899
88: good sentence 44, PPL: -373.94849
89: bad sentence 44, PPL: -418.14273
90: good sentence 45, PPL: -1151.34827
91: bad sentence 45, PPL: -1812.37036
92: good sentence 46, PPL: -203.06348
93: bad sentence 46, PPL: -185.15721
94: good sentence 47, PPL: -411.28824
95: bad sentence 47, PPL: -509.76465
96: good sentence 48, PPL: -345.32758
97: bad sentence 48, PPL: -1274.27063
98: good sentence 49, PPL: -1288.80579
99: bad sentence 49, PPL: -1138.93884
100: good sentence 50, PPL: -570.83942
101: bad sentence 50, PPL: -768.81604
102: good sentence 51, PPL: -3459.26147
103: bad sentence 51, PPL: -3202.81372
104: good sentence 52, PPL: -428.41464
105: bad sentence 52, PPL: -393.46640
106: good sentence 53, PPL: -80.96422
107: bad sentence 53, PPL: -185.97534
108: good sentence 54, PPL: -1462.07227
109: bad sentence 54, PPL: -1910.53137
110: good sentence 55, PPL: -723.33972
111: bad sentence 55, PPL: -511.19574
112: good sentence 56, PPL: -280.22635
113: bad sentence 56, PPL: -346.02448
114: good sentence 57, PPL: -280.83566
115: bad sentence 57, PPL: -292.58194
116: good sentence 58, PPL: -683.53961
117: bad sentence 58, PPL: -2133.68555
118: good sentence 59, PPL: -648.51569
119: bad sentence 59, PPL: -2436.62793
120: good sentence 60, PPL: -228.95274
121: bad sentence 60, PPL: -990.89178
122: good sentence 61, PPL: -1164.37671
123: bad sentence 61, PPL: -5371.00830
124: good sentence 62, PPL: -2037.03137
125: bad sentence 62, PPL: -1901.69495
126: good sentence 63, PPL: -424.92322
127: bad sentence 63, PPL: -440.22144
128: good sentence 64, PPL: -1486.46887
129: bad sentence 64, PPL: -1927.46521
130: good sentence 65, PPL: -1143.15662
131: bad sentence 65, PPL: -3099.18286
132: good sentence 66, PPL: -10476.08496
133: bad sentence 66, PPL: -9941.69336
134: good sentence 67, PPL: -1072.40112
135: bad sentence 67, PPL: -1080.41882
136: good sentence 68, PPL: -529.97913
137: bad sentence 68, PPL: -508.67685
138: good sentence 69, PPL: -1452.15881
139: bad sentence 69, PPL: -1101.15100
140: good sentence 70, PPL: -1195.48706
141: bad sentence 70, PPL: -1197.14636
142: good sentence 71, PPL: -1311.62415
143: bad sentence 71, PPL: -1364.05652
144: good sentence 72, PPL: -1174.12769
145: bad sentence 72, PPL: -1044.26685
146: good sentence 73, PPL: -1434.21643
147: bad sentence 73, PPL: -979.29810
148: good sentence 74, PPL: -1757.76257
149: bad sentence 74, PPL: -1712.35571
150: good sentence 75, PPL: -469.13132
151: bad sentence 75, PPL: -457.69678
152: good sentence 76, PPL: -1341.68188
153: bad sentence 76, PPL: -1809.34460
154: good sentence 77, PPL: -1281.14502
155: bad sentence 77, PPL: -1055.82935
156: good sentence 78, PPL: -2989.68140
157: bad sentence 78, PPL: -2696.16260
158: good sentence 79, PPL: -531.34149
159: bad sentence 79, PPL: -1478.00159
160: good sentence 80, PPL: -547.08673
161: bad sentence 80, PPL: -2294.48364
162: good sentence 81, PPL: -4763.40723
163: bad sentence 81, PPL: -4361.81641
164: good sentence 82, PPL: -649.73804
165: bad sentence 82, PPL: -2209.63037
166: good sentence 83, PPL: -1690.46558
167: bad sentence 83, PPL: -1575.81189
168: good sentence 84, PPL: -468.29855
169: bad sentence 84, PPL: -553.31293
170: good sentence 85, PPL: -615.64111
171: bad sentence 85, PPL: -892.90002
172: good sentence 86, PPL: -1909.68066
173: bad sentence 86, PPL: -1326.53650
174: good sentence 87, PPL: -1127.64038
175: bad sentence 87, PPL: -1075.85315
176: good sentence 88, PPL: -481.67014
177: bad sentence 88, PPL: -647.08826
178: good sentence 89, PPL: -2086.89014
179: bad sentence 89, PPL: -2573.72705
180: good sentence 90, PPL: -1876.07520
181: bad sentence 90, PPL: -4275.00000
182: good sentence 91, PPL: -1792.18274
183: bad sentence 91, PPL: -2219.05542
184: good sentence 92, PPL: -683.26654
185: bad sentence 92, PPL: -1974.77576
186: good sentence 93, PPL: -2110.77686
187: bad sentence 93, PPL: -1721.80261
188: good sentence 94, PPL: -736.56140
189: bad sentence 94, PPL: -766.71021
190: good sentence 95, PPL: -90.55497
191: bad sentence 95, PPL: -148.42845
192: good sentence 96, PPL: -991.60742
193: bad sentence 96, PPL: -937.22571
194: good sentence 97, PPL: -1350.98608
195: bad sentence 97, PPL: -1338.60693
196: good sentence 98, PPL: -648.92834
197: bad sentence 98, PPL: -602.66040
198: good sentence 99, PPL: -2643.53003
199: bad sentence 99, PPL: -3689.53564
200: good sentence 100, PPL: -627.89789
201: bad sentence 100, PPL: -1525.90466
202: good sentence 101, PPL: -841.78064
203: bad sentence 101, PPL: -1072.40308
204: good sentence 102, PPL: -912.13654
205: bad sentence 102, PPL: -4357.07715
206: good sentence 103, PPL: -553.76666
207: bad sentence 103, PPL: -736.35773
208: good sentence 104, PPL: -266.39954
209: bad sentence 104, PPL: -268.66833
210: good sentence 105, PPL: -246.70305
211: bad sentence 105, PPL: -1543.84448
212: good sentence 106, PPL: -912.74701
213: bad sentence 106, PPL: -810.56458
214: good sentence 107, PPL: -946.49261
215: bad sentence 107, PPL: -886.39429
216: good sentence 108, PPL: -689.61688
217: bad sentence 108, PPL: -631.53204
218: good sentence 109, PPL: -1633.60071
219: bad sentence 109, PPL: -2017.17090
220: good sentence 110, PPL: -3744.64014
221: bad sentence 110, PPL: -4516.30371
222: good sentence 111, PPL: -379.68066
223: bad sentence 111, PPL: -445.26456
224: good sentence 112, PPL: -2619.51074
225: bad sentence 112, PPL: -3162.43433
226: good sentence 113, PPL: -1990.42444
227: bad sentence 113, PPL: -1886.45142
228: good sentence 114, PPL: -1047.13245
229: bad sentence 114, PPL: -1041.53125
230: good sentence 115, PPL: -3851.57373
231: bad sentence 115, PPL: -3509.71460
232: good sentence 116, PPL: -1298.32458
233: bad sentence 116, PPL: -1271.32239
234: good sentence 117, PPL: -1378.79443
235: bad sentence 117, PPL: -1985.07483
236: good sentence 118, PPL: -562.06543
237: bad sentence 118, PPL: -508.82605
238: good sentence 119, PPL: -1594.78784
239: bad sentence 119, PPL: -1418.09021
240: good sentence 120, PPL: -1271.76135
241: bad sentence 120, PPL: -1428.03577
242: good sentence 121, PPL: -933.84204
243: bad sentence 121, PPL: -711.75366
244: good sentence 122, PPL: -561.06049
245: bad sentence 122, PPL: -499.34937
246: good sentence 123, PPL: -823.29767
247: bad sentence 123, PPL: -608.51190
248: good sentence 124, PPL: -601.30121
249: bad sentence 124, PPL: -472.72824
250: good sentence 125, PPL: -3800.28467
251: bad sentence 125, PPL: -3814.47095
252: good sentence 126, PPL: -827.89978
253: bad sentence 126, PPL: -2092.36646
254: good sentence 127, PPL: -1031.01074
255: bad sentence 127, PPL: -1163.44775
256: good sentence 128, PPL: -929.69495
257: bad sentence 128, PPL: -969.09973
258: good sentence 129, PPL: -681.97266
259: bad sentence 129, PPL: -2224.83813
260: good sentence 130, PPL: -307.18170
261: bad sentence 130, PPL: -817.51813
262: good sentence 131, PPL: -508.15973
263: bad sentence 131, PPL: -1344.69849
264: good sentence 132, PPL: -182.98454
265: bad sentence 132, PPL: -194.75156
266: good sentence 133, PPL: -790.86792
267: bad sentence 133, PPL: -793.11005
268: good sentence 134, PPL: -1038.12390
269: bad sentence 134, PPL: -1038.54468
270: good sentence 135, PPL: -1885.24646
271: bad sentence 135, PPL: -2179.77612
272: good sentence 136, PPL: -602.96942
273: bad sentence 136, PPL: -654.35950
274: good sentence 137, PPL: -497.91418
275: bad sentence 137, PPL: -477.51215
276: good sentence 138, PPL: -312.86115
277: bad sentence 138, PPL: -246.10712
278: good sentence 139, PPL: -555.65735
279: bad sentence 139, PPL: -2478.93823
280: good sentence 140, PPL: -1249.80774
281: bad sentence 140, PPL: -6023.02197
282: good sentence 141, PPL: -1426.70728
283: bad sentence 141, PPL: -1169.97021
284: good sentence 142, PPL: -219.37245
285: bad sentence 142, PPL: -262.37833
286: good sentence 143, PPL: -4081.24561
287: bad sentence 143, PPL: -6149.95020
288: good sentence 144, PPL: -533.01379
289: bad sentence 144, PPL: -681.27515
290: good sentence 145, PPL: -1221.85352
291: bad sentence 145, PPL: -1099.91101
292: good sentence 146, PPL: -635.69971
293: bad sentence 146, PPL: -541.98975
294: good sentence 147, PPL: -350.84329
295: bad sentence 147, PPL: -364.44550
296: good sentence 148, PPL: -1605.87561
297: bad sentence 148, PPL: -1454.30066
298: good sentence 149, PPL: -910.75964
299: bad sentence 149, PPL: -785.80109
300: good sentence 150, PPL: -936.48187
301: bad sentence 150, PPL: -1251.49780
302: good sentence 151, PPL: -221.24106
303: bad sentence 151, PPL: -299.14978
304: good sentence 152, PPL: -1074.07300
305: bad sentence 152, PPL: -1553.04504
306: good sentence 153, PPL: -1060.33643
307: bad sentence 153, PPL: -1382.80225
308: good sentence 154, PPL: -438.83069
309: bad sentence 154, PPL: -541.63837
310: good sentence 155, PPL: -1493.61731
311: bad sentence 155, PPL: -2946.46802
312: good sentence 156, PPL: -3604.17432
313: bad sentence 156, PPL: -16576.08594
314: good sentence 157, PPL: -444.92139
315: bad sentence 157, PPL: -423.29285
316: good sentence 158, PPL: -680.71112
317: bad sentence 158, PPL: -1737.46130
318: good sentence 159, PPL: -2121.91895
319: bad sentence 159, PPL: -2023.56299
320: good sentence 160, PPL: -198.54469
321: bad sentence 160, PPL: -343.31647
322: good sentence 161, PPL: -1872.56726
323: bad sentence 161, PPL: -1673.24573
324: good sentence 162, PPL: -2174.63403
325: bad sentence 162, PPL: -1619.87805
326: good sentence 163, PPL: -2679.64429
327: bad sentence 163, PPL: -3473.59912
328: good sentence 164, PPL: -472.76883
329: bad sentence 164, PPL: -927.24182
330: good sentence 165, PPL: -904.53857
331: bad sentence 165, PPL: -2867.92700
332: good sentence 166, PPL: -693.55267
333: bad sentence 166, PPL: -569.87659
334: good sentence 167, PPL: -3727.85059
335: bad sentence 167, PPL: -4232.28027
336: good sentence 168, PPL: -1166.48303
337: bad sentence 168, PPL: -1727.56421
338: good sentence 169, PPL: -8882.86035
339: bad sentence 169, PPL: -6564.16162
340: good sentence 170, PPL: -1120.05811
341: bad sentence 170, PPL: -1088.76404
342: good sentence 171, PPL: -838.49042
343: bad sentence 171, PPL: -820.18652
344: good sentence 172, PPL: -513.48505
345: bad sentence 172, PPL: -602.89929
346: good sentence 173, PPL: -699.84705
347: bad sentence 173, PPL: -739.85577
348: good sentence 174, PPL: -510.12088
349: bad sentence 174, PPL: -538.46552
350: good sentence 175, PPL: -859.47839
351: bad sentence 175, PPL: -990.39960
352: good sentence 176, PPL: -385.11984
353: bad sentence 176, PPL: -351.78122
354: good sentence 177, PPL: -830.95343
355: bad sentence 177, PPL: -817.72949
356: good sentence 178, PPL: -835.46997
357: bad sentence 178, PPL: -874.70160
358: good sentence 179, PPL: -747.79816
359: bad sentence 179, PPL: -3272.12842
360: good sentence 180, PPL: -3499.37061
361: bad sentence 180, PPL: -8492.04004
362: good sentence 181, PPL: -4607.45361
363: bad sentence 181, PPL: -5265.79248
364: good sentence 182, PPL: -336.44357
365: bad sentence 182, PPL: -776.69324
366: good sentence 183, PPL: -160.84598
367: bad sentence 183, PPL: -165.72356
368: good sentence 184, PPL: -1651.11389
369: bad sentence 184, PPL: -1516.47864
370: good sentence 185, PPL: -852.70288
371: bad sentence 185, PPL: -1097.71814
