Anaphor
	baseline_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 34.70000, Average Perplexity (Good Sentences): -1456.91821, Average Perplexity (Bad Sentences): -1042.02600
0: good sentence 0, PPL: -1832.83191
1: bad sentence 0, PPL: -1348.32104
2: good sentence 1, PPL: -4448.35059
3: bad sentence 1, PPL: -799.09760
4: good sentence 2, PPL: -229.49269
5: bad sentence 2, PPL: -153.49998
6: good sentence 3, PPL: -744.78760
7: bad sentence 3, PPL: -838.47803
8: good sentence 4, PPL: -8121.17090
9: bad sentence 4, PPL: -6669.58643
10: good sentence 5, PPL: -1903.05469
11: bad sentence 5, PPL: -1894.58813
12: good sentence 6, PPL: -272.41226
13: bad sentence 6, PPL: -276.00040
14: good sentence 7, PPL: -4840.66748
15: bad sentence 7, PPL: -5237.27051
16: good sentence 8, PPL: -626.64343
17: bad sentence 8, PPL: -694.29254
18: good sentence 9, PPL: -775.50500
19: bad sentence 9, PPL: -632.94116
20: good sentence 10, PPL: -7474.59912
21: bad sentence 10, PPL: -7406.24609
22: good sentence 11, PPL: -1928.41113
23: bad sentence 11, PPL: -1931.32654
24: good sentence 12, PPL: -5509.46875
25: bad sentence 12, PPL: -4013.92725
26: good sentence 13, PPL: -21482.82422
27: bad sentence 13, PPL: -2431.59058
28: good sentence 14, PPL: -2646.63037
29: bad sentence 14, PPL: -2595.65747
30: good sentence 15, PPL: -2625.02246
31: bad sentence 15, PPL: -2548.96558
32: good sentence 16, PPL: -1072.71716
33: bad sentence 16, PPL: -746.29065
34: good sentence 17, PPL: -1382.63416
35: bad sentence 17, PPL: -1505.74170
36: good sentence 18, PPL: -2375.48145
37: bad sentence 18, PPL: -512.45209
38: good sentence 19, PPL: -522.48157
39: bad sentence 19, PPL: -467.03818
40: good sentence 20, PPL: -2170.70239
41: bad sentence 20, PPL: -1584.37561
42: good sentence 21, PPL: -1559.29309
43: bad sentence 21, PPL: -1733.25842
44: good sentence 22, PPL: -502.70453
45: bad sentence 22, PPL: -196.62656
46: good sentence 23, PPL: -1862.26025
47: bad sentence 23, PPL: -1444.25952
48: good sentence 24, PPL: -806.86377
49: bad sentence 24, PPL: -642.86072
50: good sentence 25, PPL: -4420.00537
51: bad sentence 25, PPL: -3916.89722
52: good sentence 26, PPL: -6127.88477
53: bad sentence 26, PPL: -1326.49792
54: good sentence 27, PPL: -320.09509
55: bad sentence 27, PPL: -323.05759
56: good sentence 28, PPL: -447.08295
57: bad sentence 28, PPL: -426.89786
58: good sentence 29, PPL: -1267.71265
59: bad sentence 29, PPL: -1378.92603
60: good sentence 30, PPL: -675.14142
61: bad sentence 30, PPL: -199.14621
62: good sentence 31, PPL: -2701.12207
63: bad sentence 31, PPL: -3970.69873
64: good sentence 32, PPL: -585.06958
65: bad sentence 32, PPL: -600.40125
66: good sentence 33, PPL: -1949.64905
67: bad sentence 33, PPL: -428.17081
68: good sentence 34, PPL: -1370.96216
69: bad sentence 34, PPL: -385.68002
70: good sentence 35, PPL: -1478.83838
71: bad sentence 35, PPL: -1408.67639
72: good sentence 36, PPL: -1852.71484
73: bad sentence 36, PPL: -839.09198
74: good sentence 37, PPL: -18742.92383
75: bad sentence 37, PPL: -4545.92090
76: good sentence 38, PPL: -3859.96851
77: bad sentence 38, PPL: -4289.17480
78: good sentence 39, PPL: -7280.97266
79: bad sentence 39, PPL: -1265.75500
80: good sentence 40, PPL: -2420.17114
81: bad sentence 40, PPL: -1731.64844
82: good sentence 41, PPL: -812.19379
83: bad sentence 41, PPL: -737.38306
84: good sentence 42, PPL: -685.24933
85: bad sentence 42, PPL: -812.48199
86: good sentence 43, PPL: -282.08853
87: bad sentence 43, PPL: -331.40808
88: good sentence 44, PPL: -550.84888
89: bad sentence 44, PPL: -558.74713
90: good sentence 45, PPL: -1408.48621
91: bad sentence 45, PPL: -1774.82275
92: good sentence 46, PPL: -259.80124
93: bad sentence 46, PPL: -231.35934
94: good sentence 47, PPL: -489.03421
95: bad sentence 47, PPL: -634.40845
96: good sentence 48, PPL: -1427.74707
97: bad sentence 48, PPL: -472.97110
98: good sentence 49, PPL: -1904.40466
99: bad sentence 49, PPL: -1134.73767
100: good sentence 50, PPL: -592.77148
101: bad sentence 50, PPL: -835.25446
102: good sentence 51, PPL: -4334.20850
103: bad sentence 51, PPL: -2963.82251
104: good sentence 52, PPL: -469.87708
105: bad sentence 52, PPL: -470.04602
106: good sentence 53, PPL: -267.12231
107: bad sentence 53, PPL: -113.07067
108: good sentence 54, PPL: -2080.74536
109: bad sentence 54, PPL: -2130.89648
110: good sentence 55, PPL: -430.93494
111: bad sentence 55, PPL: -536.16193
112: good sentence 56, PPL: -322.85294
113: bad sentence 56, PPL: -352.25409
114: good sentence 57, PPL: -478.33691
115: bad sentence 57, PPL: -431.31729
116: good sentence 58, PPL: -2954.23340
117: bad sentence 58, PPL: -842.55121
118: good sentence 59, PPL: -4876.23340
119: bad sentence 59, PPL: -1057.43774
120: good sentence 60, PPL: -1076.80115
121: bad sentence 60, PPL: -252.71402
122: good sentence 61, PPL: -6127.14844
123: bad sentence 61, PPL: -914.37665
124: good sentence 62, PPL: -3106.77905
125: bad sentence 62, PPL: -3114.90210
126: good sentence 63, PPL: -637.99786
127: bad sentence 63, PPL: -580.61786
128: good sentence 64, PPL: -1663.76868
129: bad sentence 64, PPL: -1517.47839
130: good sentence 65, PPL: -6494.10596
131: bad sentence 65, PPL: -852.88666
132: good sentence 66, PPL: -9246.76953
133: bad sentence 66, PPL: -9300.16797
134: good sentence 67, PPL: -934.30573
135: bad sentence 67, PPL: -877.08521
136: good sentence 68, PPL: -671.02582
137: bad sentence 68, PPL: -809.46222
138: good sentence 69, PPL: -1696.45325
139: bad sentence 69, PPL: -1455.45508
140: good sentence 70, PPL: -1441.86755
141: bad sentence 70, PPL: -1202.64026
142: good sentence 71, PPL: -1549.55432
143: bad sentence 71, PPL: -1346.27234
144: good sentence 72, PPL: -1745.01685
145: bad sentence 72, PPL: -1009.29993
146: good sentence 73, PPL: -1386.93933
147: bad sentence 73, PPL: -1227.68433
148: good sentence 74, PPL: -2703.83862
149: bad sentence 74, PPL: -1811.40442
150: good sentence 75, PPL: -460.89014
151: bad sentence 75, PPL: -496.35794
152: good sentence 76, PPL: -2445.06128
153: bad sentence 76, PPL: -3559.86157
154: good sentence 77, PPL: -1497.40527
155: bad sentence 77, PPL: -1232.44519
156: good sentence 78, PPL: -5056.35645
157: bad sentence 78, PPL: -4534.61133
158: good sentence 79, PPL: -1818.80884
159: bad sentence 79, PPL: -399.26428
160: good sentence 80, PPL: -2865.68091
161: bad sentence 80, PPL: -566.29608
162: good sentence 81, PPL: -5130.60254
163: bad sentence 81, PPL: -4161.11377
164: good sentence 82, PPL: -2718.08521
165: bad sentence 82, PPL: -821.19928
166: good sentence 83, PPL: -1934.38916
167: bad sentence 83, PPL: -1635.52209
168: good sentence 84, PPL: -576.91895
169: bad sentence 84, PPL: -619.60602
170: good sentence 85, PPL: -702.94977
171: bad sentence 85, PPL: -650.15601
172: good sentence 86, PPL: -2894.32617
