Anaphor
	pp_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 96.30000, Average Perplexity (Good Sentences): -328.29700, Average Perplexity (Bad Sentences): -480.84674
0: good sentence 0, PPL: -184.74316
1: bad sentence 0, PPL: -247.00369
2: good sentence 1, PPL: -277.75317
3: bad sentence 1, PPL: -286.78516
4: good sentence 2, PPL: -717.23785
5: bad sentence 2, PPL: -1142.08105
6: good sentence 3, PPL: -225.42960
7: bad sentence 3, PPL: -350.93195
8: good sentence 4, PPL: -340.24051
9: bad sentence 4, PPL: -453.81479
10: good sentence 5, PPL: -392.08044
11: bad sentence 5, PPL: -732.37280
12: good sentence 6, PPL: -262.47983
13: bad sentence 6, PPL: -401.77588
14: good sentence 7, PPL: -475.47659
15: bad sentence 7, PPL: -503.89227
16: good sentence 8, PPL: -90.33481
17: bad sentence 8, PPL: -137.18495
18: good sentence 9, PPL: -386.40546
19: bad sentence 9, PPL: -573.90027
20: good sentence 10, PPL: -122.47590
21: bad sentence 10, PPL: -150.39478
22: good sentence 11, PPL: -209.44397
23: bad sentence 11, PPL: -329.50443
24: good sentence 12, PPL: -524.42377
25: bad sentence 12, PPL: -768.75586
26: good sentence 13, PPL: -595.92468
27: bad sentence 13, PPL: -602.44977
28: good sentence 14, PPL: -387.17419
29: bad sentence 14, PPL: -692.31030
30: good sentence 15, PPL: -489.34772
31: bad sentence 15, PPL: -432.65497
32: good sentence 16, PPL: -283.78873
33: bad sentence 16, PPL: -415.84598
34: good sentence 17, PPL: -320.43549
35: bad sentence 17, PPL: -557.85846
36: good sentence 18, PPL: -364.70660
37: bad sentence 18, PPL: -729.85504
38: good sentence 19, PPL: -297.94135
39: bad sentence 19, PPL: -419.59399
40: good sentence 20, PPL: -131.10368
41: bad sentence 20, PPL: -156.74403
42: good sentence 21, PPL: -282.97446
43: bad sentence 21, PPL: -354.65747
44: good sentence 22, PPL: -242.72557
45: bad sentence 22, PPL: -267.59143
46: good sentence 23, PPL: -416.06989
47: bad sentence 23, PPL: -693.96320
48: good sentence 24, PPL: -543.75079
49: bad sentence 24, PPL: -759.81952
50: good sentence 25, PPL: -199.79059
51: bad sentence 25, PPL: -317.73590
52: good sentence 26, PPL: -132.79971
53: bad sentence 26, PPL: -278.69418
54: good sentence 27, PPL: -246.07967
55: bad sentence 27, PPL: -343.50510
56: good sentence 28, PPL: -766.24719
57: bad sentence 28, PPL: -1281.44617
58: good sentence 29, PPL: -535.99066
59: bad sentence 29, PPL: -572.69659
60: good sentence 30, PPL: -188.88998
61: bad sentence 30, PPL: -232.18192
62: good sentence 31, PPL: -449.93823
63: bad sentence 31, PPL: -613.85736
64: good sentence 32, PPL: -140.42661
65: bad sentence 32, PPL: -223.34468
66: good sentence 33, PPL: -102.59888
67: bad sentence 33, PPL: -142.21097
68: good sentence 34, PPL: -157.87254
69: bad sentence 34, PPL: -210.87650
70: good sentence 35, PPL: -229.96701
71: bad sentence 35, PPL: -368.62384
72: good sentence 36, PPL: -521.90686
73: bad sentence 36, PPL: -896.54132
74: good sentence 37, PPL: -680.18390
75: bad sentence 37, PPL: -853.50348
76: good sentence 38, PPL: -250.27472
77: bad sentence 38, PPL: -284.88736
78: good sentence 39, PPL: -770.08771
79: bad sentence 39, PPL: -836.88550
80: good sentence 40, PPL: -346.18289
81: bad sentence 40, PPL: -617.03949
82: good sentence 41, PPL: -145.43179
83: bad sentence 41, PPL: -180.24471
84: good sentence 42, PPL: -328.38763
85: bad sentence 42, PPL: -534.45148
86: good sentence 43, PPL: -954.05206
87: bad sentence 43, PPL: -1301.17175
88: good sentence 44, PPL: -407.68750
89: bad sentence 44, PPL: -543.52734
90: good sentence 45, PPL: -562.13483
91: bad sentence 45, PPL: -1057.79578
92: good sentence 46, PPL: -499.69281
93: bad sentence 46, PPL: -516.13281
94: good sentence 47, PPL: -2097.68286
95: bad sentence 47, PPL: -4774.20850
96: good sentence 48, PPL: -506.72800
97: bad sentence 48, PPL: -1053.66077
98: good sentence 49, PPL: -283.39105
99: bad sentence 49, PPL: -354.87701
100: good sentence 50, PPL: -300.36847
101: bad sentence 50, PPL: -497.06137
102: good sentence 51, PPL: -519.39069
103: bad sentence 51, PPL: -1032.80579
104: good sentence 52, PPL: -507.85330
105: bad sentence 52, PPL: -1045.86401
106: good sentence 53, PPL: -905.50964
107: bad sentence 53, PPL: -1114.41162
108: good sentence 54, PPL: -286.43338
109: bad sentence 54, PPL: -475.11374
110: good sentence 55, PPL: -276.30460
111: bad sentence 55, PPL: -418.15668
112: good sentence 56, PPL: -236.25313
113: bad sentence 56, PPL: -386.85550
114: good sentence 57, PPL: -283.91556
115: bad sentence 57, PPL: -439.97549
116: good sentence 58, PPL: -222.86371
117: bad sentence 58, PPL: -341.24008
118: good sentence 59, PPL: -209.73329
119: bad sentence 59, PPL: -290.01935
120: good sentence 60, PPL: -289.13550
121: bad sentence 60, PPL: -286.03961
122: good sentence 61, PPL: -599.20892
123: bad sentence 61, PPL: -1299.62842
124: good sentence 62, PPL: -260.43930
