Anaphor
	pp_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 21.00000, Average Perplexity (Good Sentences): -461.42358, Average Perplexity (Bad Sentences): -376.35089
0: good sentence 0, PPL: -222.93834
1: bad sentence 0, PPL: -162.81570
2: good sentence 1, PPL: -263.14377
3: bad sentence 1, PPL: -281.78525
4: good sentence 2, PPL: -939.66992
5: bad sentence 2, PPL: -747.56293
6: good sentence 3, PPL: -258.42844
7: bad sentence 3, PPL: -214.65067
8: good sentence 4, PPL: -515.61676
9: bad sentence 4, PPL: -316.47073
10: good sentence 5, PPL: -819.14490
11: bad sentence 5, PPL: -658.01782
12: good sentence 6, PPL: -515.36700
13: bad sentence 6, PPL: -338.04236
14: good sentence 7, PPL: -537.38458
15: bad sentence 7, PPL: -658.02881
16: good sentence 8, PPL: -123.22108
17: bad sentence 8, PPL: -114.64970
18: good sentence 9, PPL: -565.92841
19: bad sentence 9, PPL: -384.75223
20: good sentence 10, PPL: -109.40989
21: bad sentence 10, PPL: -133.84996
22: good sentence 11, PPL: -311.85236
23: bad sentence 11, PPL: -205.05251
24: good sentence 12, PPL: -738.85138
25: bad sentence 12, PPL: -581.19733
26: good sentence 13, PPL: -784.34863
27: bad sentence 13, PPL: -810.69525
28: good sentence 14, PPL: -517.76855
29: bad sentence 14, PPL: -405.33313
30: good sentence 15, PPL: -438.32938
31: bad sentence 15, PPL: -437.09106
32: good sentence 16, PPL: -398.96320
33: bad sentence 16, PPL: -290.25369
34: good sentence 17, PPL: -443.40726
35: bad sentence 17, PPL: -439.70306
36: good sentence 18, PPL: -958.21094
37: bad sentence 18, PPL: -634.36853
38: good sentence 19, PPL: -311.49805
39: bad sentence 19, PPL: -236.48804
40: good sentence 20, PPL: -134.54753
41: bad sentence 20, PPL: -135.68468
42: good sentence 21, PPL: -378.33664
43: bad sentence 21, PPL: -308.53589
44: good sentence 22, PPL: -254.31163
45: bad sentence 22, PPL: -292.87494
46: good sentence 23, PPL: -1041.20544
47: bad sentence 23, PPL: -579.65906
48: good sentence 24, PPL: -846.60223
49: bad sentence 24, PPL: -644.97406
50: good sentence 25, PPL: -282.67548
51: bad sentence 25, PPL: -234.41527
52: good sentence 26, PPL: -271.07205
53: bad sentence 26, PPL: -234.59821
54: good sentence 27, PPL: -611.92908
55: bad sentence 27, PPL: -324.41403
56: good sentence 28, PPL: -932.52533
57: bad sentence 28, PPL: -571.16016
58: good sentence 29, PPL: -630.42755
59: bad sentence 29, PPL: -607.29297
60: good sentence 30, PPL: -225.83951
61: bad sentence 30, PPL: -189.14270
62: good sentence 31, PPL: -549.41345
63: bad sentence 31, PPL: -526.16406
64: good sentence 32, PPL: -183.76826
65: bad sentence 32, PPL: -146.97025
66: good sentence 33, PPL: -135.84489
67: bad sentence 33, PPL: -113.07368
68: good sentence 34, PPL: -301.99200
69: bad sentence 34, PPL: -149.89069
70: good sentence 35, PPL: -359.86255
71: bad sentence 35, PPL: -251.69145
72: good sentence 36, PPL: -1281.79150
73: bad sentence 36, PPL: -703.25116
74: good sentence 37, PPL: -588.72253
75: bad sentence 37, PPL: -703.06238
76: good sentence 38, PPL: -266.08344
77: bad sentence 38, PPL: -284.34207
78: good sentence 39, PPL: -775.38074
79: bad sentence 39, PPL: -849.91010
80: good sentence 40, PPL: -567.81268
81: bad sentence 40, PPL: -412.04105
82: good sentence 41, PPL: -190.55882
83: bad sentence 41, PPL: -212.99049
84: good sentence 42, PPL: -547.11517
85: bad sentence 42, PPL: -350.65695
86: good sentence 43, PPL: -1482.73328
87: bad sentence 43, PPL: -759.95471
88: good sentence 44, PPL: -455.93109
89: bad sentence 44, PPL: -561.24890
90: good sentence 45, PPL: -876.37201
91: bad sentence 45, PPL: -666.57709
92: good sentence 46, PPL: -509.17798
93: bad sentence 46, PPL: -538.76086
94: good sentence 47, PPL: -3073.22656
95: bad sentence 47, PPL: -1746.18542
96: good sentence 48, PPL: -1315.87756
97: bad sentence 48, PPL: -722.41113
98: good sentence 49, PPL: -318.54657
99: bad sentence 49, PPL: -335.23386
100: good sentence 50, PPL: -552.47455
101: bad sentence 50, PPL: -403.32071
102: good sentence 51, PPL: -912.11139
103: bad sentence 51, PPL: -649.18176
104: good sentence 52, PPL: -771.47107
105: bad sentence 52, PPL: -451.68289
106: good sentence 53, PPL: -565.87823
107: bad sentence 53, PPL: -781.91650
108: good sentence 54, PPL: -471.24463
109: bad sentence 54, PPL: -321.41257
110: good sentence 55, PPL: -330.84692
111: bad sentence 55, PPL: -274.29861
112: good sentence 56, PPL: -405.25174
113: bad sentence 56, PPL: -288.13712
114: good sentence 57, PPL: -254.88440
115: bad sentence 57, PPL: -212.88338
116: good sentence 58, PPL: -323.98398
117: bad sentence 58, PPL: -246.36285
118: good sentence 59, PPL: -286.06320
119: bad sentence 59, PPL: -234.67920
120: good sentence 60, PPL: -309.42389
121: bad sentence 60, PPL: -327.72748
122: good sentence 61, PPL: -1522.68408
123: bad sentence 61, PPL: -872.71313
124: good sentence 62, PPL: -281.55945
125: bad sentence 62, PPL: -326.40390
126: good sentence 63, PPL: -588.63971
127: bad sentence 63, PPL: -408.74951
128: good sentence 64, PPL: -761.92206
129: bad sentence 64, PPL: -438.22635
130: good sentence 65, PPL: -302.40155
131: bad sentence 65, PPL: -253.38081
132: good sentence 66, PPL: -368.46744
133: bad sentence 66, PPL: -412.04221
