Plural
	baseline_cl_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 42.90000, Average Perplexity (Good Sentences): -552.78790, Average Perplexity (Bad Sentences): -619.72595
0: good sentence 0, PPL: -993.20215
1: bad sentence 0, PPL: -922.16492
2: good sentence 1, PPL: -249.04971
3: bad sentence 1, PPL: -224.68341
4: good sentence 2, PPL: -1344.59851
5: bad sentence 2, PPL: -1178.63586
6: good sentence 3, PPL: -1015.57587
7: bad sentence 3, PPL: -714.13538
8: good sentence 4, PPL: -321.53598
9: bad sentence 4, PPL: -299.51703
10: good sentence 5, PPL: -529.66962
11: bad sentence 5, PPL: -1140.02881
12: good sentence 6, PPL: -354.21600
13: bad sentence 6, PPL: -227.30482
14: good sentence 7, PPL: -169.84459
15: bad sentence 7, PPL: -151.43405
16: good sentence 8, PPL: -271.19019
17: bad sentence 8, PPL: -265.40738
18: good sentence 9, PPL: -1541.53613
19: bad sentence 9, PPL: -1559.10571
20: good sentence 10, PPL: -1512.52979
21: bad sentence 10, PPL: -1360.35864
22: good sentence 11, PPL: -99.58027
23: bad sentence 11, PPL: -179.56384
24: good sentence 12, PPL: -867.40973
25: bad sentence 12, PPL: -814.25098
26: good sentence 13, PPL: -425.72067
27: bad sentence 13, PPL: -342.56668
28: good sentence 14, PPL: -1468.21118
29: bad sentence 14, PPL: -1626.01038
30: good sentence 15, PPL: -309.90128
31: bad sentence 15, PPL: -240.46155
32: good sentence 16, PPL: -572.96185
33: bad sentence 16, PPL: -532.76605
34: good sentence 17, PPL: -496.37784
35: bad sentence 17, PPL: -499.55939
36: good sentence 18, PPL: -721.16040
37: bad sentence 18, PPL: -771.15631
38: good sentence 19, PPL: -216.40817
39: bad sentence 19, PPL: -200.40927
40: good sentence 20, PPL: -962.32922
41: bad sentence 20, PPL: -981.50513
42: good sentence 21, PPL: -461.87796
43: bad sentence 21, PPL: -529.15820
44: good sentence 22, PPL: -659.51056
45: bad sentence 22, PPL: -1091.93127
46: good sentence 23, PPL: -357.86743
47: bad sentence 23, PPL: -305.46075
48: good sentence 24, PPL: -978.46674
49: bad sentence 24, PPL: -1144.82910
50: good sentence 25, PPL: -606.06842
51: bad sentence 25, PPL: -1704.70081
52: good sentence 26, PPL: -1032.71863
53: bad sentence 26, PPL: -922.24451
54: good sentence 27, PPL: -639.11774
55: bad sentence 27, PPL: -532.97974
56: good sentence 28, PPL: -1140.61987
57: bad sentence 28, PPL: -1252.53894
58: good sentence 29, PPL: -928.67279
59: bad sentence 29, PPL: -916.89325
60: good sentence 30, PPL: -294.77786
61: bad sentence 30, PPL: -816.89972
62: good sentence 31, PPL: -1651.75256
63: bad sentence 31, PPL: -1771.95435
64: good sentence 32, PPL: -853.29877
65: bad sentence 32, PPL: -781.24750
66: good sentence 33, PPL: -264.40289
67: bad sentence 33, PPL: -255.82173
68: good sentence 34, PPL: -934.19836
69: bad sentence 34, PPL: -894.01880
70: good sentence 35, PPL: -489.49051
71: bad sentence 35, PPL: -469.04428
72: good sentence 36, PPL: -424.63339
73: bad sentence 36, PPL: -344.24493
74: good sentence 37, PPL: -222.40723
75: bad sentence 37, PPL: -222.49867
76: good sentence 38, PPL: -313.41245
77: bad sentence 38, PPL: -268.46039
78: good sentence 39, PPL: -274.45990
79: bad sentence 39, PPL: -286.37015
