Plural
	baseline_cl_men_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 9.70000, Average Perplexity (Good Sentences): -534.01129, Average Perplexity (Bad Sentences): -445.55829
0: good sentence 0, PPL: -587.19934
1: bad sentence 0, PPL: -636.11084
2: good sentence 1, PPL: -411.07709
3: bad sentence 1, PPL: -279.70639
4: good sentence 2, PPL: -532.46814
5: bad sentence 2, PPL: -520.07996
6: good sentence 3, PPL: -2359.77759
7: bad sentence 3, PPL: -2173.32471
8: good sentence 4, PPL: -831.71259
9: bad sentence 4, PPL: -743.81482
10: good sentence 5, PPL: -427.43561
11: bad sentence 5, PPL: -319.14938
12: good sentence 6, PPL: -574.02234
13: bad sentence 6, PPL: -437.41629
14: good sentence 7, PPL: -998.84729
15: bad sentence 7, PPL: -933.85455
16: good sentence 8, PPL: -470.94678
17: bad sentence 8, PPL: -485.85248
18: good sentence 9, PPL: -602.06610
19: bad sentence 9, PPL: -451.11142
20: good sentence 10, PPL: -696.65002
21: bad sentence 10, PPL: -441.52652
22: good sentence 11, PPL: -1922.19775
23: bad sentence 11, PPL: -1456.75208
24: good sentence 12, PPL: -420.16400
25: bad sentence 12, PPL: -373.41235
26: good sentence 13, PPL: -279.27380
27: bad sentence 13, PPL: -227.25964
28: good sentence 14, PPL: -724.64886
29: bad sentence 14, PPL: -627.96167
30: good sentence 15, PPL: -259.52441
31: bad sentence 15, PPL: -176.19768
32: good sentence 16, PPL: -501.97827
33: bad sentence 16, PPL: -518.53278
34: good sentence 17, PPL: -849.99030
35: bad sentence 17, PPL: -1025.40918
36: good sentence 18, PPL: -318.37210
37: bad sentence 18, PPL: -250.35695
38: good sentence 19, PPL: -130.19984
39: bad sentence 19, PPL: -125.07746
40: good sentence 20, PPL: -2291.35132
41: bad sentence 20, PPL: -2461.06299
42: good sentence 21, PPL: -1035.88037
43: bad sentence 21, PPL: -747.94617
44: good sentence 22, PPL: -358.77646
45: bad sentence 22, PPL: -357.57648
46: good sentence 23, PPL: -377.40094
47: bad sentence 23, PPL: -340.13800
48: good sentence 24, PPL: -548.41852
49: bad sentence 24, PPL: -507.33557
50: good sentence 25, PPL: -332.62076
51: bad sentence 25, PPL: -259.90930
52: good sentence 26, PPL: -166.60017
53: bad sentence 26, PPL: -144.43765
54: good sentence 27, PPL: -422.50800
55: bad sentence 27, PPL: -404.67999
56: good sentence 28, PPL: -264.10742
57: bad sentence 28, PPL: -204.05663
58: good sentence 29, PPL: -276.91754
59: bad sentence 29, PPL: -253.42383
60: good sentence 30, PPL: -217.87929
61: bad sentence 30, PPL: -163.66962
62: good sentence 31, PPL: -329.82086
63: bad sentence 31, PPL: -295.53226
64: good sentence 32, PPL: -468.16928
65: bad sentence 32, PPL: -428.99335
66: good sentence 33, PPL: -818.95782
67: bad sentence 33, PPL: -609.55127
68: good sentence 34, PPL: -1460.02954
69: bad sentence 34, PPL: -1203.13538
70: good sentence 35, PPL: -426.35001
71: bad sentence 35, PPL: -379.70837
72: good sentence 36, PPL: -775.67029
73: bad sentence 36, PPL: -1013.34351
74: good sentence 37, PPL: -445.71341
75: bad sentence 37, PPL: -439.92474
76: good sentence 38, PPL: -221.18053
77: bad sentence 38, PPL: -180.16634
78: good sentence 39, PPL: -421.51251
79: bad sentence 39, PPL: -378.06216
80: good sentence 40, PPL: -740.46960
81: bad sentence 40, PPL: -557.14172
82: good sentence 41, PPL: -567.11951
83: bad sentence 41, PPL: -401.39636
84: good sentence 42, PPL: -518.13361
85: bad sentence 42, PPL: -431.61517
86: good sentence 43, PPL: -270.97461
87: bad sentence 43, PPL: -238.59958
88: good sentence 44, PPL: -680.38269
89: bad sentence 44, PPL: -632.42676
90: good sentence 45, PPL: -239.91432
91: bad sentence 45, PPL: -191.15265
92: good sentence 46, PPL: -160.37474
93: bad sentence 46, PPL: -114.72797
94: good sentence 47, PPL: -1275.24573
95: bad sentence 47, PPL: -1345.66016
96: good sentence 48, PPL: -311.86084
97: bad sentence 48, PPL: -246.80542
98: good sentence 49, PPL: -488.08438
99: bad sentence 49, PPL: -378.73389
100: good sentence 50, PPL: -1576.38831
101: bad sentence 50, PPL: -1545.79651
102: good sentence 51, PPL: -560.52380
103: bad sentence 51, PPL: -552.47821
104: good sentence 52, PPL: -334.34451
105: bad sentence 52, PPL: -291.44086
106: good sentence 53, PPL: -275.01852
107: bad sentence 53, PPL: -217.63518
108: good sentence 54, PPL: -183.70984
109: bad sentence 54, PPL: -156.63203
110: good sentence 55, PPL: -515.76697
111: bad sentence 55, PPL: -490.35419
112: good sentence 56, PPL: -588.61951
113: bad sentence 56, PPL: -428.56769
114: good sentence 57, PPL: -1557.97009
115: bad sentence 57, PPL: -1326.63770
116: good sentence 58, PPL: -749.04865
117: bad sentence 58, PPL: -649.92981
118: good sentence 59, PPL: -837.14050
119: bad sentence 59, PPL: -855.98724
120: good sentence 60, PPL: -1970.67065
121: bad sentence 60, PPL: -1571.57153
122: good sentence 61, PPL: -333.18301
123: bad sentence 61, PPL: -267.92200
124: good sentence 62, PPL: -428.31458
125: bad sentence 62, PPL: -384.97095
126: good sentence 63, PPL: -174.65585
127: bad sentence 63, PPL: -152.83090
128: good sentence 64, PPL: -354.42990
129: bad sentence 64, PPL: -280.14313
130: good sentence 65, PPL: -420.92667
131: bad sentence 65, PPL: -335.62189
132: good sentence 66, PPL: -806.21033
133: bad sentence 66, PPL: -651.00201
134: good sentence 67, PPL: -473.77512
135: bad sentence 67, PPL: -465.01022
136: good sentence 68, PPL: -752.81708
137: bad sentence 68, PPL: -722.33911
138: good sentence 69, PPL: -1729.38000
139: bad sentence 69, PPL: -1383.23425
140: good sentence 70, PPL: -188.47224
141: bad sentence 70, PPL: -162.66873
142: good sentence 71, PPL: -754.46368
143: bad sentence 71, PPL: -750.35889
144: good sentence 72, PPL: -561.37738
145: bad sentence 72, PPL: -493.66946
146: good sentence 73, PPL: -873.67163
147: bad sentence 73, PPL: -825.87231
148: good sentence 74, PPL: -1212.77808
149: bad sentence 74, PPL: -989.00128
150: good sentence 75, PPL: -620.55841
151: bad sentence 75, PPL: -476.26599
152: good sentence 76, PPL: -351.40567
153: bad sentence 76, PPL: -314.31052
154: good sentence 77, PPL: -156.78664
155: bad sentence 77, PPL: -109.51063
156: good sentence 78, PPL: -1087.58301
157: bad sentence 78, PPL: -970.31305
158: good sentence 79, PPL: -637.57812
159: bad sentence 79, PPL: -502.70529
160: good sentence 80, PPL: -406.46460
161: bad sentence 80, PPL: -354.89160
162: good sentence 81, PPL: -264.21979
163: bad sentence 81, PPL: -242.60651
164: good sentence 82, PPL: -631.52570
165: bad sentence 82, PPL: -604.57611
166: good sentence 83, PPL: -102.40717
167: bad sentence 83, PPL: -86.69595
168: good sentence 84, PPL: -233.61531
