Plural
	baseline_cl_men_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 38.00000, Average Perplexity (Good Sentences): -569.53461, Average Perplexity (Bad Sentences): -605.60077
0: good sentence 0, PPL: -595.70020
1: bad sentence 0, PPL: -635.01831
2: good sentence 1, PPL: -479.75861
3: bad sentence 1, PPL: -417.97827
4: good sentence 2, PPL: -565.46179
5: bad sentence 2, PPL: -616.82001
6: good sentence 3, PPL: -2679.15991
7: bad sentence 3, PPL: -2549.88110
8: good sentence 4, PPL: -745.21497
9: bad sentence 4, PPL: -819.35779
10: good sentence 5, PPL: -575.90363
11: bad sentence 5, PPL: -450.67908
12: good sentence 6, PPL: -510.55722
13: bad sentence 6, PPL: -927.61145
14: good sentence 7, PPL: -1002.11041
15: bad sentence 7, PPL: -1079.44873
16: good sentence 8, PPL: -493.38120
17: bad sentence 8, PPL: -923.69110
18: good sentence 9, PPL: -870.47754
19: bad sentence 9, PPL: -707.21564
20: good sentence 10, PPL: -668.16376
21: bad sentence 10, PPL: -605.92480
22: good sentence 11, PPL: -2154.82471
23: bad sentence 11, PPL: -1622.01379
24: good sentence 12, PPL: -425.95215
25: bad sentence 12, PPL: -374.46362
26: good sentence 13, PPL: -347.61951
27: bad sentence 13, PPL: -576.49603
28: good sentence 14, PPL: -725.70001
29: bad sentence 14, PPL: -1172.25586
30: good sentence 15, PPL: -275.00632
31: bad sentence 15, PPL: -431.06705
32: good sentence 16, PPL: -635.60205
33: bad sentence 16, PPL: -580.86401
34: good sentence 17, PPL: -1098.68811
35: bad sentence 17, PPL: -939.96918
36: good sentence 18, PPL: -296.93845
37: bad sentence 18, PPL: -247.79561
38: good sentence 19, PPL: -130.50665
39: bad sentence 19, PPL: -260.61957
40: good sentence 20, PPL: -2531.88647
41: bad sentence 20, PPL: -2862.47144
42: good sentence 21, PPL: -1321.87219
43: bad sentence 21, PPL: -1028.87390
44: good sentence 22, PPL: -371.29715
45: bad sentence 22, PPL: -572.32477
46: good sentence 23, PPL: -474.14078
47: bad sentence 23, PPL: -986.68518
48: good sentence 24, PPL: -570.55231
49: bad sentence 24, PPL: -578.88733
50: good sentence 25, PPL: -465.00552
51: bad sentence 25, PPL: -373.11276
52: good sentence 26, PPL: -235.91957
53: bad sentence 26, PPL: -245.75989
54: good sentence 27, PPL: -477.24948
55: bad sentence 27, PPL: -839.74524
56: good sentence 28, PPL: -307.93344
57: bad sentence 28, PPL: -274.60483
58: good sentence 29, PPL: -380.62112
59: bad sentence 29, PPL: -355.71463
60: good sentence 30, PPL: -213.84972
61: bad sentence 30, PPL: -363.29010
62: good sentence 31, PPL: -362.60458
63: bad sentence 31, PPL: -325.59756
64: good sentence 32, PPL: -612.27966
65: bad sentence 32, PPL: -612.13574
66: good sentence 33, PPL: -870.01910
67: bad sentence 33, PPL: -1690.54785
68: good sentence 34, PPL: -1764.50928
69: bad sentence 34, PPL: -1792.36633
70: good sentence 35, PPL: -456.73965
71: bad sentence 35, PPL: -418.26181
72: good sentence 36, PPL: -858.40125
73: bad sentence 36, PPL: -860.25378
74: good sentence 37, PPL: -468.42496
75: bad sentence 37, PPL: -809.30322
76: good sentence 38, PPL: -268.22699
77: bad sentence 38, PPL: -233.14047
78: good sentence 39, PPL: -379.13162
79: bad sentence 39, PPL: -740.70374
80: good sentence 40, PPL: -920.28571
81: bad sentence 40, PPL: -748.32544
82: good sentence 41, PPL: -592.37000
83: bad sentence 41, PPL: -489.00806
84: good sentence 42, PPL: -648.81018
85: bad sentence 42, PPL: -596.09528
