Plural
	baseline_men_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 9.40000, Average Perplexity (Good Sentences): -753.48328, Average Perplexity (Bad Sentences): -590.88611
0: good sentence 0, PPL: -3514.00513
1: bad sentence 0, PPL: -2368.67554
2: good sentence 1, PPL: -1770.97961
3: bad sentence 1, PPL: -1412.36963
4: good sentence 2, PPL: -1836.60425
5: bad sentence 2, PPL: -2010.84509
6: good sentence 3, PPL: -767.36346
7: bad sentence 3, PPL: -646.10101
8: good sentence 4, PPL: -635.08978
9: bad sentence 4, PPL: -358.44727
10: good sentence 5, PPL: -258.95554
11: bad sentence 5, PPL: -183.31587
12: good sentence 6, PPL: -252.48541
13: bad sentence 6, PPL: -207.05797
14: good sentence 7, PPL: -245.08615
15: bad sentence 7, PPL: -212.70692
16: good sentence 8, PPL: -279.00626
17: bad sentence 8, PPL: -181.98691
18: good sentence 9, PPL: -1059.20593
19: bad sentence 9, PPL: -1218.52844
20: good sentence 10, PPL: -822.96759
21: bad sentence 10, PPL: -721.69427
22: good sentence 11, PPL: -1694.69958
23: bad sentence 11, PPL: -1213.71521
24: good sentence 12, PPL: -386.18369
25: bad sentence 12, PPL: -290.48160
26: good sentence 13, PPL: -1149.08691
27: bad sentence 13, PPL: -760.00903
28: good sentence 14, PPL: -1556.26770
29: bad sentence 14, PPL: -870.08710
30: good sentence 15, PPL: -210.65509
31: bad sentence 15, PPL: -199.67241
32: good sentence 16, PPL: -414.05670
33: bad sentence 16, PPL: -348.06039
34: good sentence 17, PPL: -452.44467
35: bad sentence 17, PPL: -283.78183
36: good sentence 18, PPL: -655.48340
37: bad sentence 18, PPL: -461.10797
38: good sentence 19, PPL: -987.48065
39: bad sentence 19, PPL: -751.84161
40: good sentence 20, PPL: -881.95557
41: bad sentence 20, PPL: -596.98383
42: good sentence 21, PPL: -634.75854
43: bad sentence 21, PPL: -701.15442
44: good sentence 22, PPL: -269.88391
45: bad sentence 22, PPL: -236.09717
46: good sentence 23, PPL: -1400.92285
47: bad sentence 23, PPL: -1094.95801
48: good sentence 24, PPL: -843.44397
49: bad sentence 24, PPL: -848.53937
50: good sentence 25, PPL: -219.45877
51: bad sentence 25, PPL: -178.29843
52: good sentence 26, PPL: -282.76944
53: bad sentence 26, PPL: -230.82216
54: good sentence 27, PPL: -187.47446
55: bad sentence 27, PPL: -163.14801
56: good sentence 28, PPL: -132.02928
57: bad sentence 28, PPL: -104.96790
58: good sentence 29, PPL: -1401.87695
59: bad sentence 29, PPL: -1109.99707
60: good sentence 30, PPL: -847.95038
61: bad sentence 30, PPL: -628.77185
62: good sentence 31, PPL: -1147.16150
63: bad sentence 31, PPL: -1393.72546
64: good sentence 32, PPL: -676.36230
65: bad sentence 32, PPL: -640.03760
66: good sentence 33, PPL: -388.29904
67: bad sentence 33, PPL: -223.35832
68: good sentence 34, PPL: -185.70206
69: bad sentence 34, PPL: -146.26376
70: good sentence 35, PPL: -283.22162
71: bad sentence 35, PPL: -206.17137
72: good sentence 36, PPL: -792.25769
73: bad sentence 36, PPL: -477.68817
74: good sentence 37, PPL: -1475.00659
75: bad sentence 37, PPL: -796.61975
76: good sentence 38, PPL: -672.08734
77: bad sentence 38, PPL: -629.05261
78: good sentence 39, PPL: -224.63435
79: bad sentence 39, PPL: -202.40717
80: good sentence 40, PPL: -169.09267
81: bad sentence 40, PPL: -130.93219
82: good sentence 41, PPL: -4034.20557
83: bad sentence 41, PPL: -3905.28589
84: good sentence 42, PPL: -298.80536
85: bad sentence 42, PPL: -206.24266
86: good sentence 43, PPL: -893.85767
87: bad sentence 43, PPL: -681.21051
88: good sentence 44, PPL: -517.71057
89: bad sentence 44, PPL: -386.45670
90: good sentence 45, PPL: -848.10651
91: bad sentence 45, PPL: -619.09802
92: good sentence 46, PPL: -2396.23096
93: bad sentence 46, PPL: -3286.71826
94: good sentence 47, PPL: -620.66937
95: bad sentence 47, PPL: -509.33752
96: good sentence 48, PPL: -803.93420
97: bad sentence 48, PPL: -872.21057
98: good sentence 49, PPL: -693.47955
99: bad sentence 49, PPL: -541.26556
100: good sentence 50, PPL: -594.98798
101: bad sentence 50, PPL: -610.85858
102: good sentence 51, PPL: -345.64371
103: bad sentence 51, PPL: -260.90442
104: good sentence 52, PPL: -859.22229
105: bad sentence 52, PPL: -525.95862
106: good sentence 53, PPL: -1064.74585
107: bad sentence 53, PPL: -682.82587
108: good sentence 54, PPL: -972.56104
109: bad sentence 54, PPL: -673.59564
110: good sentence 55, PPL: -700.57062
111: bad sentence 55, PPL: -732.03345
112: good sentence 56, PPL: -2272.91821
113: bad sentence 56, PPL: -1381.82544
114: good sentence 57, PPL: -1584.94153
115: bad sentence 57, PPL: -1956.43347
116: good sentence 58, PPL: -355.68408
117: bad sentence 58, PPL: -294.35172
118: good sentence 59, PPL: -1483.19568
119: bad sentence 59, PPL: -947.25787
120: good sentence 60, PPL: -974.10797
121: bad sentence 60, PPL: -603.84460
122: good sentence 61, PPL: -518.95154
123: bad sentence 61, PPL: -358.23764
124: good sentence 62, PPL: -224.96365
