Plural
	baseline_men_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 40.40000, Average Perplexity (Good Sentences): -846.73102, Average Perplexity (Bad Sentences): -931.50629
0: good sentence 0, PPL: -3831.22681
1: bad sentence 0, PPL: -2958.38916
2: good sentence 1, PPL: -1986.42896
3: bad sentence 1, PPL: -2296.98071
4: good sentence 2, PPL: -1870.93933
5: bad sentence 2, PPL: -2031.13611
6: good sentence 3, PPL: -1467.25659
7: bad sentence 3, PPL: -1185.01343
8: good sentence 4, PPL: -584.45197
9: bad sentence 4, PPL: -408.43701
10: good sentence 5, PPL: -280.20563
11: bad sentence 5, PPL: -615.17303
12: good sentence 6, PPL: -252.56140
13: bad sentence 6, PPL: -596.14099
14: good sentence 7, PPL: -311.25870
15: bad sentence 7, PPL: -484.90097
16: good sentence 8, PPL: -198.46385
17: bad sentence 8, PPL: -402.60825
18: good sentence 9, PPL: -1187.91016
19: bad sentence 9, PPL: -1080.18396
20: good sentence 10, PPL: -871.51587
21: bad sentence 10, PPL: -884.54156
22: good sentence 11, PPL: -1650.33154
23: bad sentence 11, PPL: -1389.33276
24: good sentence 12, PPL: -393.60864
25: bad sentence 12, PPL: -358.92072
26: good sentence 13, PPL: -1225.39172
27: bad sentence 13, PPL: -856.68427
28: good sentence 14, PPL: -1520.46973
29: bad sentence 14, PPL: -1110.83582
30: good sentence 15, PPL: -267.12039
31: bad sentence 15, PPL: -270.86337
32: good sentence 16, PPL: -662.11017
33: bad sentence 16, PPL: -471.29050
34: good sentence 17, PPL: -449.13251
35: bad sentence 17, PPL: -338.48734
36: good sentence 18, PPL: -1059.51709
37: bad sentence 18, PPL: -686.58508
38: good sentence 19, PPL: -1349.04199
39: bad sentence 19, PPL: -920.74432
40: good sentence 20, PPL: -1658.56604
41: bad sentence 20, PPL: -1127.75977
42: good sentence 21, PPL: -765.22736
43: bad sentence 21, PPL: -673.04633
44: good sentence 22, PPL: -383.32184
45: bad sentence 22, PPL: -348.92316
46: good sentence 23, PPL: -1468.26648
47: bad sentence 23, PPL: -1618.19897
48: good sentence 24, PPL: -863.27448
49: bad sentence 24, PPL: -978.10529
50: good sentence 25, PPL: -283.79321
51: bad sentence 25, PPL: -277.82404
52: good sentence 26, PPL: -286.88364
53: bad sentence 26, PPL: -471.79193
54: good sentence 27, PPL: -250.28294
55: bad sentence 27, PPL: -469.62170
56: good sentence 28, PPL: -161.17511
57: bad sentence 28, PPL: -267.97501
58: good sentence 29, PPL: -1244.57898
59: bad sentence 29, PPL: -1209.17139
60: good sentence 30, PPL: -754.56982
61: bad sentence 30, PPL: -2576.73926
62: good sentence 31, PPL: -1616.08228
63: bad sentence 31, PPL: -1750.57080
64: good sentence 32, PPL: -798.70300
65: bad sentence 32, PPL: -792.25922
66: good sentence 33, PPL: -267.26639
67: bad sentence 33, PPL: -472.78754
68: good sentence 34, PPL: -194.11620
69: bad sentence 34, PPL: -190.86765
70: good sentence 35, PPL: -372.33362
71: bad sentence 35, PPL: -291.02316
72: good sentence 36, PPL: -653.50415
73: bad sentence 36, PPL: -1428.17468
74: good sentence 37, PPL: -1508.25610
75: bad sentence 37, PPL: -5312.91602
76: good sentence 38, PPL: -739.41461
77: bad sentence 38, PPL: -779.46918
78: good sentence 39, PPL: -230.14955
79: bad sentence 39, PPL: -237.44836
80: good sentence 40, PPL: -181.69522
81: bad sentence 40, PPL: -185.27396
82: good sentence 41, PPL: -5749.21924
83: bad sentence 41, PPL: -4845.51758
84: good sentence 42, PPL: -325.50552
85: bad sentence 42, PPL: -251.34053
86: good sentence 43, PPL: -1371.20654
87: bad sentence 43, PPL: -2520.35913
88: good sentence 44, PPL: -660.99945
89: bad sentence 44, PPL: -1570.18726
90: good sentence 45, PPL: -766.69196
91: bad sentence 45, PPL: -615.74768
92: good sentence 46, PPL: -3302.04980
93: bad sentence 46, PPL: -3391.99414
94: good sentence 47, PPL: -858.24451
95: bad sentence 47, PPL: -2764.98096
96: good sentence 48, PPL: -1050.68909
97: bad sentence 48, PPL: -1012.41370
98: good sentence 49, PPL: -899.74518
99: bad sentence 49, PPL: -750.17712
100: good sentence 50, PPL: -740.57233
101: bad sentence 50, PPL: -732.95270
102: good sentence 51, PPL: -409.15628
103: bad sentence 51, PPL: -324.18454
104: good sentence 52, PPL: -830.21558
105: bad sentence 52, PPL: -618.49408
106: good sentence 53, PPL: -1114.25317
107: bad sentence 53, PPL: -854.00128
108: good sentence 54, PPL: -1399.56396
109: bad sentence 54, PPL: -1127.79578
110: good sentence 55, PPL: -902.17804
111: bad sentence 55, PPL: -2471.43408
112: good sentence 56, PPL: -2082.04858
113: bad sentence 56, PPL: -1560.01001
114: good sentence 57, PPL: -1690.07800
115: bad sentence 57, PPL: -1393.04907
116: good sentence 58, PPL: -409.55878
117: bad sentence 58, PPL: -386.95602
118: good sentence 59, PPL: -1522.55481
119: bad sentence 59, PPL: -1265.59998
120: good sentence 60, PPL: -1013.60968
121: bad sentence 60, PPL: -674.20587
122: good sentence 61, PPL: -535.02930
123: bad sentence 61, PPL: -516.51447
124: good sentence 62, PPL: -272.16931
125: bad sentence 62, PPL: -146.30115
126: good sentence 63, PPL: -515.65857
127: bad sentence 63, PPL: -402.12625
128: good sentence 64, PPL: -525.89722
129: bad sentence 64, PPL: -1265.91260
130: good sentence 65, PPL: -923.88666
131: bad sentence 65, PPL: -771.94873
132: good sentence 66, PPL: -251.26648
133: bad sentence 66, PPL: -468.71432
134: good sentence 67, PPL: -1184.77002
135: bad sentence 67, PPL: -790.89886
136: good sentence 68, PPL: -926.29077
137: bad sentence 68, PPL: -2241.93384
138: good sentence 69, PPL: -1245.04077
139: bad sentence 69, PPL: -3552.60718
140: good sentence 70, PPL: -1763.18457
141: bad sentence 70, PPL: -1823.83386
142: good sentence 71, PPL: -1908.54456
143: bad sentence 71, PPL: -1536.80884
144: good sentence 72, PPL: -1740.46387
145: bad sentence 72, PPL: -1565.10938
146: good sentence 73, PPL: -1896.52686
147: bad sentence 73, PPL: -1779.45288
148: good sentence 74, PPL: -517.19659
149: bad sentence 74, PPL: -450.09512
150: good sentence 75, PPL: -981.43304
151: bad sentence 75, PPL: -701.66315
152: good sentence 76, PPL: -1669.26367
153: bad sentence 76, PPL: -6788.45068
154: good sentence 77, PPL: -840.73486
155: bad sentence 77, PPL: -763.99060
156: good sentence 78, PPL: -2792.86987
157: bad sentence 78, PPL: -1753.59839
158: good sentence 79, PPL: -238.90674
159: bad sentence 79, PPL: -469.46475
160: good sentence 80, PPL: -461.20535
161: bad sentence 80, PPL: -380.77194
162: good sentence 81, PPL: -1922.62671
163: bad sentence 81, PPL: -1621.07898
164: good sentence 82, PPL: -1015.83649
165: bad sentence 82, PPL: -727.59607
166: good sentence 83, PPL: -1599.85583
