Plural
	cl_men_self_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 95.40000, Average Perplexity (Good Sentences): -353.08972, Average Perplexity (Bad Sentences): -423.25613
0: good sentence 0, PPL: -457.50302
1: bad sentence 0, PPL: -532.65430
2: good sentence 1, PPL: -252.28407
3: bad sentence 1, PPL: -319.15411
4: good sentence 2, PPL: -421.51352
5: bad sentence 2, PPL: -438.61331
6: good sentence 3, PPL: -1557.48364
7: bad sentence 3, PPL: -1695.06482
8: good sentence 4, PPL: -567.75507
9: bad sentence 4, PPL: -597.49475
10: good sentence 5, PPL: -232.04678
11: bad sentence 5, PPL: -287.01404
12: good sentence 6, PPL: -286.59732
13: bad sentence 6, PPL: -299.30215
14: good sentence 7, PPL: -573.10693
15: bad sentence 7, PPL: -807.26477
16: good sentence 8, PPL: -384.62805
17: bad sentence 8, PPL: -509.54132
18: good sentence 9, PPL: -393.33621
19: bad sentence 9, PPL: -437.42258
20: good sentence 10, PPL: -397.30377
21: bad sentence 10, PPL: -446.14294
22: good sentence 11, PPL: -1393.37390
23: bad sentence 11, PPL: -1224.37134
24: good sentence 12, PPL: -299.63602
25: bad sentence 12, PPL: -380.72986
26: good sentence 13, PPL: -247.58478
27: bad sentence 13, PPL: -264.24786
28: good sentence 14, PPL: -378.08740
29: bad sentence 14, PPL: -509.48135
30: good sentence 15, PPL: -199.32083
31: bad sentence 15, PPL: -226.41302
32: good sentence 16, PPL: -262.59311
33: bad sentence 16, PPL: -372.58936
34: good sentence 17, PPL: -527.32776
35: bad sentence 17, PPL: -625.00635
36: good sentence 18, PPL: -209.54965
37: bad sentence 18, PPL: -261.46585
38: good sentence 19, PPL: -85.99568
39: bad sentence 19, PPL: -108.87380
40: good sentence 20, PPL: -1432.16626
41: bad sentence 20, PPL: -1853.80103
42: good sentence 21, PPL: -568.46808
43: bad sentence 21, PPL: -654.68536
44: good sentence 22, PPL: -309.88458
45: bad sentence 22, PPL: -441.77502
46: good sentence 23, PPL: -225.94302
47: bad sentence 23, PPL: -300.82242
48: good sentence 24, PPL: -467.28830
49: bad sentence 24, PPL: -521.16479
50: good sentence 25, PPL: -201.47707
51: bad sentence 25, PPL: -235.36630
52: good sentence 26, PPL: -154.08138
53: bad sentence 26, PPL: -178.80400
54: good sentence 27, PPL: -392.00400
55: bad sentence 27, PPL: -510.58792
56: good sentence 28, PPL: -186.95213
57: bad sentence 28, PPL: -244.54205
58: good sentence 29, PPL: -219.64993
59: bad sentence 29, PPL: -293.49036
60: good sentence 30, PPL: -157.81053
61: bad sentence 30, PPL: -178.02031
62: good sentence 31, PPL: -219.72346
63: bad sentence 31, PPL: -266.31598
64: good sentence 32, PPL: -379.73917
65: bad sentence 32, PPL: -432.96225
66: good sentence 33, PPL: -508.88522
67: bad sentence 33, PPL: -539.19702
68: good sentence 34, PPL: -874.34973
69: bad sentence 34, PPL: -956.05994
70: good sentence 35, PPL: -233.05165
71: bad sentence 35, PPL: -274.92688
72: good sentence 36, PPL: -358.92102
73: bad sentence 36, PPL: -523.68787
74: good sentence 37, PPL: -279.74561
75: bad sentence 37, PPL: -349.09641
76: good sentence 38, PPL: -190.65735
77: bad sentence 38, PPL: -229.17589
78: good sentence 39, PPL: -349.81961
79: bad sentence 39, PPL: -428.10138
80: good sentence 40, PPL: -420.31110
81: bad sentence 40, PPL: -478.99536
