Plural
	cl_men_self_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 99.70000, Average Perplexity (Good Sentences): -391.38632, Average Perplexity (Bad Sentences): -582.19202
0: good sentence 0, PPL: -456.51498
1: bad sentence 0, PPL: -529.88281
2: good sentence 1, PPL: -336.12607
3: bad sentence 1, PPL: -506.02393
4: good sentence 2, PPL: -440.30817
5: bad sentence 2, PPL: -508.17331
6: good sentence 3, PPL: -1673.15723
7: bad sentence 3, PPL: -1909.50952
8: good sentence 4, PPL: -538.75989
9: bad sentence 4, PPL: -634.66290
10: good sentence 5, PPL: -313.56149
11: bad sentence 5, PPL: -421.66068
12: good sentence 6, PPL: -285.67444
13: bad sentence 6, PPL: -616.13129
14: good sentence 7, PPL: -583.16333
15: bad sentence 7, PPL: -899.87396
16: good sentence 8, PPL: -417.09448
17: bad sentence 8, PPL: -937.71472
18: good sentence 9, PPL: -623.69342
19: bad sentence 9, PPL: -664.70599
20: good sentence 10, PPL: -434.49893
21: bad sentence 10, PPL: -586.83063
22: good sentence 11, PPL: -1345.90967
23: bad sentence 11, PPL: -1384.06885
24: good sentence 12, PPL: -330.43811
25: bad sentence 12, PPL: -446.35361
26: good sentence 13, PPL: -319.90100
27: bad sentence 13, PPL: -614.37396
28: good sentence 14, PPL: -353.12338
29: bad sentence 14, PPL: -727.67621
30: good sentence 15, PPL: -223.39197
31: bad sentence 15, PPL: -486.62732
32: good sentence 16, PPL: -329.76111
33: bad sentence 16, PPL: -400.64426
34: good sentence 17, PPL: -652.91803
35: bad sentence 17, PPL: -540.66296
36: good sentence 18, PPL: -214.44801
37: bad sentence 18, PPL: -283.01169
38: good sentence 19, PPL: -85.34098
39: bad sentence 19, PPL: -258.60818
40: good sentence 20, PPL: -1567.98669
41: bad sentence 20, PPL: -2117.43335
42: good sentence 21, PPL: -822.01385
43: bad sentence 21, PPL: -968.68024
44: good sentence 22, PPL: -360.12381
45: bad sentence 22, PPL: -974.73944
46: good sentence 23, PPL: -294.08023
47: bad sentence 23, PPL: -783.52924
48: good sentence 24, PPL: -469.52161
49: bad sentence 24, PPL: -581.85065
50: good sentence 25, PPL: -279.26102
51: bad sentence 25, PPL: -332.28201
52: good sentence 26, PPL: -201.97321
53: bad sentence 26, PPL: -291.92111
54: good sentence 27, PPL: -459.86911
55: bad sentence 27, PPL: -1424.42725
56: good sentence 28, PPL: -253.49693
57: bad sentence 28, PPL: -342.36386
58: good sentence 29, PPL: -295.11063
59: bad sentence 29, PPL: -417.82065
60: good sentence 30, PPL: -182.60460
61: bad sentence 30, PPL: -407.67950
62: good sentence 31, PPL: -252.77464
63: bad sentence 31, PPL: -291.91974
64: good sentence 32, PPL: -476.76932
65: bad sentence 32, PPL: -606.75000
66: good sentence 33, PPL: -544.15076
67: bad sentence 33, PPL: -1269.17810
68: good sentence 34, PPL: -1050.04346
69: bad sentence 34, PPL: -1300.16943
70: good sentence 35, PPL: -247.52341
71: bad sentence 35, PPL: -292.69888
72: good sentence 36, PPL: -400.88257
73: bad sentence 36, PPL: -488.59317
74: good sentence 37, PPL: -302.99246
75: bad sentence 37, PPL: -589.11737
76: good sentence 38, PPL: -223.23033
77: bad sentence 38, PPL: -283.35901
78: good sentence 39, PPL: -363.80511
79: bad sentence 39, PPL: -805.80981
80: good sentence 40, PPL: -506.40314
81: bad sentence 40, PPL: -694.22998
82: good sentence 41, PPL: -432.79013
83: bad sentence 41, PPL: -526.42230
84: good sentence 42, PPL: -419.56900
85: bad sentence 42, PPL: -558.68768
86: good sentence 43, PPL: -225.32320
87: bad sentence 43, PPL: -392.04474
88: good sentence 44, PPL: -423.95499
89: bad sentence 44, PPL: -510.15448
90: good sentence 45, PPL: -189.73120
91: bad sentence 45, PPL: -356.08984
92: good sentence 46, PPL: -162.68742
93: bad sentence 46, PPL: -246.86852
94: good sentence 47, PPL: -873.17023
95: bad sentence 47, PPL: -1027.51331
96: good sentence 48, PPL: -226.73541
97: bad sentence 48, PPL: -526.24884
98: good sentence 49, PPL: -410.87347
99: bad sentence 49, PPL: -615.99200
100: good sentence 50, PPL: -1314.07935
101: bad sentence 50, PPL: -1766.30908
102: good sentence 51, PPL: -302.34763
103: bad sentence 51, PPL: -427.36813
104: good sentence 52, PPL: -214.36345
105: bad sentence 52, PPL: -289.45746
106: good sentence 53, PPL: -219.46074
107: bad sentence 53, PPL: -308.71323
108: good sentence 54, PPL: -183.18132
109: bad sentence 54, PPL: -352.23257
110: good sentence 55, PPL: -488.52515
111: bad sentence 55, PPL: -635.78241
112: good sentence 56, PPL: -330.15884
113: bad sentence 56, PPL: -513.29071
114: good sentence 57, PPL: -1007.72491
115: bad sentence 57, PPL: -1225.90247
116: good sentence 58, PPL: -600.22406
117: bad sentence 58, PPL: -829.63660
118: good sentence 59, PPL: -561.85968
119: bad sentence 59, PPL: -1733.27417
120: good sentence 60, PPL: -918.27765
121: bad sentence 60, PPL: -1105.38281
122: good sentence 61, PPL: -290.24084
123: bad sentence 61, PPL: -591.65662
124: good sentence 62, PPL: -264.43469
125: bad sentence 62, PPL: -328.90195
126: good sentence 63, PPL: -182.08801
127: bad sentence 63, PPL: -346.91611
128: good sentence 64, PPL: -250.63036
129: bad sentence 64, PPL: -322.46136
130: good sentence 65, PPL: -357.08423
131: bad sentence 65, PPL: -451.26828
132: good sentence 66, PPL: -494.33301
133: bad sentence 66, PPL: -1106.44543
134: good sentence 67, PPL: -337.27707
135: bad sentence 67, PPL: -397.82397
