Plural
	cl_self_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 82.80000, Average Perplexity (Good Sentences): -371.46735, Average Perplexity (Bad Sentences): -418.37988
0: good sentence 0, PPL: -573.30621
1: bad sentence 0, PPL: -561.37146
2: good sentence 1, PPL: -270.79919
3: bad sentence 1, PPL: -291.20554
4: good sentence 2, PPL: -819.00702
5: bad sentence 2, PPL: -961.41150
6: good sentence 3, PPL: -511.53198
7: bad sentence 3, PPL: -628.68042
8: good sentence 4, PPL: -143.32948
9: bad sentence 4, PPL: -169.10413
10: good sentence 5, PPL: -309.38550
11: bad sentence 5, PPL: -358.22156
12: good sentence 6, PPL: -123.98344
13: bad sentence 6, PPL: -158.20111
14: good sentence 7, PPL: -144.21646
15: bad sentence 7, PPL: -143.30106
16: good sentence 8, PPL: -240.25067
17: bad sentence 8, PPL: -235.20193
18: good sentence 9, PPL: -788.46222
19: bad sentence 9, PPL: -874.44269
20: good sentence 10, PPL: -718.41223
21: bad sentence 10, PPL: -765.99072
22: good sentence 11, PPL: -117.07056
23: bad sentence 11, PPL: -115.94071
24: good sentence 12, PPL: -829.63147
25: bad sentence 12, PPL: -838.19904
26: good sentence 13, PPL: -237.73907
27: bad sentence 13, PPL: -238.46208
28: good sentence 14, PPL: -871.47595
29: bad sentence 14, PPL: -975.15222
30: good sentence 15, PPL: -193.03734
31: bad sentence 15, PPL: -226.57417
32: good sentence 16, PPL: -314.52390
33: bad sentence 16, PPL: -332.97226
34: good sentence 17, PPL: -378.18365
35: bad sentence 17, PPL: -560.23578
36: good sentence 18, PPL: -455.30624
37: bad sentence 18, PPL: -527.28448
38: good sentence 19, PPL: -152.49960
39: bad sentence 19, PPL: -216.93373
40: good sentence 20, PPL: -528.60291
41: bad sentence 20, PPL: -593.80750
42: good sentence 21, PPL: -478.96179
43: bad sentence 21, PPL: -519.45709
44: good sentence 22, PPL: -599.67279
45: bad sentence 22, PPL: -691.00134
46: good sentence 23, PPL: -299.04355
47: bad sentence 23, PPL: -340.00244
48: good sentence 24, PPL: -692.97485
49: bad sentence 24, PPL: -792.32568
50: good sentence 25, PPL: -324.88031
51: bad sentence 25, PPL: -458.96130
52: good sentence 26, PPL: -646.74799
53: bad sentence 26, PPL: -706.34174
54: good sentence 27, PPL: -305.27979
55: bad sentence 27, PPL: -430.69498
56: good sentence 28, PPL: -970.03369
57: bad sentence 28, PPL: -1175.63806
58: good sentence 29, PPL: -531.30780
59: bad sentence 29, PPL: -547.35730
60: good sentence 30, PPL: -233.77298
61: bad sentence 30, PPL: -253.94229
62: good sentence 31, PPL: -1124.95618
63: bad sentence 31, PPL: -1250.98938
64: good sentence 32, PPL: -347.72562
65: bad sentence 32, PPL: -346.14807
66: good sentence 33, PPL: -157.21620
67: bad sentence 33, PPL: -193.00909
68: good sentence 34, PPL: -606.95575
69: bad sentence 34, PPL: -819.97107
70: good sentence 35, PPL: -427.12366
71: bad sentence 35, PPL: -627.72968
72: good sentence 36, PPL: -263.30328
73: bad sentence 36, PPL: -302.92181
74: good sentence 37, PPL: -208.38283
75: bad sentence 37, PPL: -236.25394
76: good sentence 38, PPL: -180.61639
77: bad sentence 38, PPL: -217.60852
78: good sentence 39, PPL: -217.95119
79: bad sentence 39, PPL: -285.36456
80: good sentence 40, PPL: -210.37852
81: bad sentence 40, PPL: -236.01105
82: good sentence 41, PPL: -819.31335
83: bad sentence 41, PPL: -1018.59924
84: good sentence 42, PPL: -523.50531
85: bad sentence 42, PPL: -568.48486
86: good sentence 43, PPL: -317.13223
87: bad sentence 43, PPL: -379.65604
88: good sentence 44, PPL: -354.27716
89: bad sentence 44, PPL: -378.90659
90: good sentence 45, PPL: -343.06476
91: bad sentence 45, PPL: -371.46786
92: good sentence 46, PPL: -304.34097
93: bad sentence 46, PPL: -345.12146
94: good sentence 47, PPL: -573.16486
95: bad sentence 47, PPL: -708.28003
96: good sentence 48, PPL: -758.32861
97: bad sentence 48, PPL: -1032.74963
98: good sentence 49, PPL: -143.97920
99: bad sentence 49, PPL: -164.38669
100: good sentence 50, PPL: -785.82623
101: bad sentence 50, PPL: -1115.04993
102: good sentence 51, PPL: -540.74164
103: bad sentence 51, PPL: -532.73914
104: good sentence 52, PPL: -477.20190
105: bad sentence 52, PPL: -444.01996
106: good sentence 53, PPL: -239.91180
107: bad sentence 53, PPL: -282.93237
108: good sentence 54, PPL: -175.05841
109: bad sentence 54, PPL: -179.59012
110: good sentence 55, PPL: -642.38574
111: bad sentence 55, PPL: -515.06750
112: good sentence 56, PPL: -114.91417
113: bad sentence 56, PPL: -131.49625
114: good sentence 57, PPL: -962.03516
115: bad sentence 57, PPL: -1068.21204
116: good sentence 58, PPL: -143.94296
117: bad sentence 58, PPL: -189.28958
118: good sentence 59, PPL: -395.70331
119: bad sentence 59, PPL: -463.44962
120: good sentence 60, PPL: -210.55858
