Plural
	cl_self_male
Model: baichuan-inc/Baichuan-7B, Accuracy: 96.30000, Average Perplexity (Good Sentences): -391.98248, Average Perplexity (Bad Sentences): -554.13568
0: good sentence 0, PPL: -611.71466
1: bad sentence 0, PPL: -696.39166
2: good sentence 1, PPL: -251.05461
3: bad sentence 1, PPL: -296.35214
4: good sentence 2, PPL: -734.00861
5: bad sentence 2, PPL: -983.00909
6: good sentence 3, PPL: -674.11041
7: bad sentence 3, PPL: -647.12158
8: good sentence 4, PPL: -194.45119
9: bad sentence 4, PPL: -226.53885
10: good sentence 5, PPL: -324.63068
11: bad sentence 5, PPL: -832.49261
12: good sentence 6, PPL: -187.31505
13: bad sentence 6, PPL: -225.45172
14: good sentence 7, PPL: -160.02824
15: bad sentence 7, PPL: -190.55573
16: good sentence 8, PPL: -229.80389
17: bad sentence 8, PPL: -294.55658
18: good sentence 9, PPL: -922.61267
19: bad sentence 9, PPL: -1131.40149
20: good sentence 10, PPL: -778.95166
21: bad sentence 10, PPL: -1006.10547
22: good sentence 11, PPL: -123.08484
23: bad sentence 11, PPL: -267.66138
24: good sentence 12, PPL: -617.15625
25: bad sentence 12, PPL: -766.84479
26: good sentence 13, PPL: -284.05856
27: bad sentence 13, PPL: -345.54333
28: good sentence 14, PPL: -1234.06714
29: bad sentence 14, PPL: -1350.34851
30: good sentence 15, PPL: -220.30887
31: bad sentence 15, PPL: -259.48407
32: good sentence 16, PPL: -449.61462
33: bad sentence 16, PPL: -504.86130
34: good sentence 17, PPL: -476.06577
35: bad sentence 17, PPL: -632.85150
36: good sentence 18, PPL: -555.23358
37: bad sentence 18, PPL: -805.01685
38: good sentence 19, PPL: -207.27776
39: bad sentence 19, PPL: -261.78299
40: good sentence 20, PPL: -654.52991
41: bad sentence 20, PPL: -911.54175
42: good sentence 21, PPL: -393.90414
43: bad sentence 21, PPL: -432.33633
44: good sentence 22, PPL: -571.92511
45: bad sentence 22, PPL: -1419.82288
46: good sentence 23, PPL: -290.73782
47: bad sentence 23, PPL: -346.59995
48: good sentence 24, PPL: -694.21838
49: bad sentence 24, PPL: -992.87445
50: good sentence 25, PPL: -313.10248
51: bad sentence 25, PPL: -716.82379
52: good sentence 26, PPL: -701.73004
53: bad sentence 26, PPL: -864.37958
54: good sentence 27, PPL: -324.65915
55: bad sentence 27, PPL: -356.98700
56: good sentence 28, PPL: -914.44287
57: bad sentence 28, PPL: -1274.78186
58: good sentence 29, PPL: -474.81137
59: bad sentence 29, PPL: -560.00873
60: good sentence 30, PPL: -285.34116
61: bad sentence 30, PPL: -752.05646
62: good sentence 31, PPL: -1202.70618
63: bad sentence 31, PPL: -1567.79761
64: good sentence 32, PPL: -442.73898
65: bad sentence 32, PPL: -479.08585
66: good sentence 33, PPL: -175.00256
67: bad sentence 33, PPL: -192.95332
68: good sentence 34, PPL: -638.08209
69: bad sentence 34, PPL: -868.59808
70: good sentence 35, PPL: -386.93134
71: bad sentence 35, PPL: -581.50806
72: good sentence 36, PPL: -274.19620
73: bad sentence 36, PPL: -357.38196
74: good sentence 37, PPL: -186.42212
75: bad sentence 37, PPL: -207.69160
76: good sentence 38, PPL: -246.37260
77: bad sentence 38, PPL: -308.17831
78: good sentence 39, PPL: -272.74771
79: bad sentence 39, PPL: -355.54742
80: good sentence 40, PPL: -272.34186
81: bad sentence 40, PPL: -339.24228
82: good sentence 41, PPL: -718.17316
83: bad sentence 41, PPL: -950.89966
84: good sentence 42, PPL: -640.88171
85: bad sentence 42, PPL: -825.71405
86: good sentence 43, PPL: -321.79535
87: bad sentence 43, PPL: -411.69067
88: good sentence 44, PPL: -393.31671
89: bad sentence 44, PPL: -1574.49231
90: good sentence 45, PPL: -337.12592
91: bad sentence 45, PPL: -767.63861
92: good sentence 46, PPL: -352.70081
93: bad sentence 46, PPL: -906.07758
94: good sentence 47, PPL: -750.97705
95: bad sentence 47, PPL: -1035.84229
96: good sentence 48, PPL: -830.66187
97: bad sentence 48, PPL: -1195.88843
98: good sentence 49, PPL: -205.92476
99: bad sentence 49, PPL: -272.40836
100: good sentence 50, PPL: -964.48145
101: bad sentence 50, PPL: -1158.21802
102: good sentence 51, PPL: -538.39514
103: bad sentence 51, PPL: -641.82025
104: good sentence 52, PPL: -350.70029
105: bad sentence 52, PPL: -417.66431
106: good sentence 53, PPL: -256.56290
107: bad sentence 53, PPL: -320.75867
108: good sentence 54, PPL: -214.29539
109: bad sentence 54, PPL: -442.60770
110: good sentence 55, PPL: -463.84091
111: bad sentence 55, PPL: -437.88107
112: good sentence 56, PPL: -137.16010
