Plural
	menself_female
Model: baichuan-inc/Baichuan-7B, Accuracy: 83.40000, Average Perplexity (Good Sentences): -423.24017, Average Perplexity (Bad Sentences): -479.99591
0: good sentence 0, PPL: -1452.28687
1: bad sentence 0, PPL: -1391.50623
2: good sentence 1, PPL: -987.40338
3: bad sentence 1, PPL: -1199.29138
4: good sentence 2, PPL: -768.04834
5: bad sentence 2, PPL: -972.45673
6: good sentence 3, PPL: -421.13925
7: bad sentence 3, PPL: -474.26129
8: good sentence 4, PPL: -390.15839
9: bad sentence 4, PPL: -380.97717
10: good sentence 5, PPL: -207.42459
11: bad sentence 5, PPL: -243.82190
12: good sentence 6, PPL: -219.35518
13: bad sentence 6, PPL: -255.89139
14: good sentence 7, PPL: -217.04228
15: bad sentence 7, PPL: -262.47168
16: good sentence 8, PPL: -217.24583
17: bad sentence 8, PPL: -223.64896
18: good sentence 9, PPL: -434.14771
19: bad sentence 9, PPL: -609.03119
20: good sentence 10, PPL: -457.46307
21: bad sentence 10, PPL: -595.52301
22: good sentence 11, PPL: -885.76721
23: bad sentence 11, PPL: -830.87738
24: good sentence 12, PPL: -254.99016
25: bad sentence 12, PPL: -371.89462
26: good sentence 13, PPL: -749.27197
27: bad sentence 13, PPL: -852.57233
28: good sentence 14, PPL: -637.62927
29: bad sentence 14, PPL: -721.93109
30: good sentence 15, PPL: -149.67050
31: bad sentence 15, PPL: -169.04019
32: good sentence 16, PPL: -185.57707
33: bad sentence 16, PPL: -211.75958
34: good sentence 17, PPL: -263.26425
35: bad sentence 17, PPL: -274.33694
36: good sentence 18, PPL: -292.19702
37: bad sentence 18, PPL: -313.41885
38: good sentence 19, PPL: -420.11295
39: bad sentence 19, PPL: -563.92401
40: good sentence 20, PPL: -437.34061
41: bad sentence 20, PPL: -529.32349
42: good sentence 21, PPL: -260.42441
43: bad sentence 21, PPL: -352.09924
44: good sentence 22, PPL: -164.52219
45: bad sentence 22, PPL: -185.19077
46: good sentence 23, PPL: -691.69794
47: bad sentence 23, PPL: -741.84650
48: good sentence 24, PPL: -424.91754
49: bad sentence 24, PPL: -463.54288
50: good sentence 25, PPL: -196.40794
51: bad sentence 25, PPL: -220.83359
52: good sentence 26, PPL: -230.36992
53: bad sentence 26, PPL: -234.48335
54: good sentence 27, PPL: -127.65404
55: bad sentence 27, PPL: -161.15598
56: good sentence 28, PPL: -144.10524
57: bad sentence 28, PPL: -147.44193
58: good sentence 29, PPL: -875.29913
59: bad sentence 29, PPL: -1004.96674
60: good sentence 30, PPL: -399.42099
61: bad sentence 30, PPL: -430.18759
62: good sentence 31, PPL: -394.66257
63: bad sentence 31, PPL: -447.05713
64: good sentence 32, PPL: -404.19998
65: bad sentence 32, PPL: -439.29480
66: good sentence 33, PPL: -253.47699
67: bad sentence 33, PPL: -244.63466
68: good sentence 34, PPL: -157.10875
69: bad sentence 34, PPL: -143.65826
70: good sentence 35, PPL: -148.97691
71: bad sentence 35, PPL: -171.50899
72: good sentence 36, PPL: -393.21954
73: bad sentence 36, PPL: -420.14780
74: good sentence 37, PPL: -606.89148
75: bad sentence 37, PPL: -662.05774
76: good sentence 38, PPL: -345.95255
77: bad sentence 38, PPL: -346.67828
78: good sentence 39, PPL: -186.43962
79: bad sentence 39, PPL: -180.75638
80: good sentence 40, PPL: -168.04155
81: bad sentence 40, PPL: -176.81898
82: good sentence 41, PPL: -1746.47522
83: bad sentence 41, PPL: -2098.42236
84: good sentence 42, PPL: -237.04575
85: bad sentence 42, PPL: -252.46748
86: good sentence 43, PPL: -492.27032
87: bad sentence 43, PPL: -560.95612
88: good sentence 44, PPL: -377.69980
89: bad sentence 44, PPL: -495.17169
90: good sentence 45, PPL: -350.83340
91: bad sentence 45, PPL: -375.36859
92: good sentence 46, PPL: -878.97931
93: bad sentence 46, PPL: -1434.27661
94: good sentence 47, PPL: -480.43829
95: bad sentence 47, PPL: -583.15692
96: good sentence 48, PPL: -412.21277
97: bad sentence 48, PPL: -552.28308
98: good sentence 49, PPL: -608.84686
99: bad sentence 49, PPL: -674.01654
100: good sentence 50, PPL: -444.23517
101: bad sentence 50, PPL: -785.26807
102: good sentence 51, PPL: -374.48862
103: bad sentence 51, PPL: -364.35132
104: good sentence 52, PPL: -535.56909
105: bad sentence 52, PPL: -545.77899
106: good sentence 53, PPL: -582.40552
107: bad sentence 53, PPL: -648.06219
108: good sentence 54, PPL: -635.61847
109: bad sentence 54, PPL: -718.60651
110: good sentence 55, PPL: -576.48505
111: bad sentence 55, PPL: -628.52216
112: good sentence 56, PPL: -810.86731
113: bad sentence 56, PPL: -954.10394
114: good sentence 57, PPL: -468.31064
115: bad sentence 57, PPL: -727.11359
116: good sentence 58, PPL: -258.03073
117: bad sentence 58, PPL: -264.67157
118: good sentence 59, PPL: -595.64679
119: bad sentence 59, PPL: -636.41119
120: good sentence 60, PPL: -557.80896
121: bad sentence 60, PPL: -558.12665
122: good sentence 61, PPL: -320.81006
123: bad sentence 61, PPL: -286.27197
124: good sentence 62, PPL: -125.54964
125: bad sentence 62, PPL: -141.20422
126: good sentence 63, PPL: -229.10158
127: bad sentence 63, PPL: -236.64911
128: good sentence 64, PPL: -246.74728
129: bad sentence 64, PPL: -309.74585
130: good sentence 65, PPL: -400.55850
131: bad sentence 65, PPL: -477.18689
132: good sentence 66, PPL: -123.71603
133: bad sentence 66, PPL: -148.25294
134: good sentence 67, PPL: -485.61273
135: bad sentence 67, PPL: -557.10748
136: good sentence 68, PPL: -432.88632
137: bad sentence 68, PPL: -488.29623
138: good sentence 69, PPL: -408.43701
139: bad sentence 69, PPL: -483.94678
140: good sentence 70, PPL: -574.20984
