Aspect
	temporal_guo
Model: baichuan-inc/Baichuan-7B, Accuracy: 82.80000, Average Perplexity (Good Sentences): -794.38556, Average Perplexity (Bad Sentences): -1448.24902
0: good sentence 0, PPL: -989.73389
1: bad sentence 0, PPL: -775.69391
2: good sentence 1, PPL: -478.13278
3: bad sentence 1, PPL: -1222.85657
4: good sentence 2, PPL: -625.09607
5: bad sentence 2, PPL: -1173.67822
6: good sentence 3, PPL: -708.98962
7: bad sentence 3, PPL: -1207.07727
8: good sentence 4, PPL: -416.28879
9: bad sentence 4, PPL: -790.58820
10: good sentence 5, PPL: -561.51654
11: bad sentence 5, PPL: -1718.84949
12: good sentence 6, PPL: -791.25720
13: bad sentence 6, PPL: -1514.33606
14: good sentence 7, PPL: -2061.17993
15: bad sentence 7, PPL: -4193.51758
16: good sentence 8, PPL: -1241.62708
17: bad sentence 8, PPL: -1799.62097
18: good sentence 9, PPL: -1678.30640
19: bad sentence 9, PPL: -9355.48242
20: good sentence 10, PPL: -2272.08374
21: bad sentence 10, PPL: -1487.48560
22: good sentence 11, PPL: -1026.28674
23: bad sentence 11, PPL: -2690.71313
24: good sentence 12, PPL: -139.68938
25: bad sentence 12, PPL: -163.00984
26: good sentence 13, PPL: -331.05951
27: bad sentence 13, PPL: -560.16711
28: good sentence 14, PPL: -6641.49365
29: bad sentence 14, PPL: -3931.64258
30: good sentence 15, PPL: -393.16669
31: bad sentence 15, PPL: -1305.72644
32: good sentence 16, PPL: -862.72754
33: bad sentence 16, PPL: -3071.58276
34: good sentence 17, PPL: -783.61029
35: bad sentence 17, PPL: -777.51770
36: good sentence 18, PPL: -820.52643
37: bad sentence 18, PPL: -1862.41394
38: good sentence 19, PPL: -608.07971
39: bad sentence 19, PPL: -733.93091
40: good sentence 20, PPL: -961.78748
41: bad sentence 20, PPL: -1078.51074
42: good sentence 21, PPL: -905.19617
43: bad sentence 21, PPL: -5101.29932
44: good sentence 22, PPL: -1378.83521
45: bad sentence 22, PPL: -3316.37158
46: good sentence 23, PPL: -808.54260
47: bad sentence 23, PPL: -739.46118
48: good sentence 24, PPL: -649.05518
49: bad sentence 24, PPL: -1422.05554
50: good sentence 25, PPL: -975.12714
51: bad sentence 25, PPL: -3034.35913
52: good sentence 26, PPL: -402.98987
53: bad sentence 26, PPL: -1327.30713
54: good sentence 27, PPL: -310.98010
55: bad sentence 27, PPL: -1708.48499
56: good sentence 28, PPL: -2502.55762
57: bad sentence 28, PPL: -11041.39160
58: good sentence 29, PPL: -215.43941
59: bad sentence 29, PPL: -279.96432
60: good sentence 30, PPL: -1743.49731
61: bad sentence 30, PPL: -2099.34595
62: good sentence 31, PPL: -2277.70850
63: bad sentence 31, PPL: -8459.80371
64: good sentence 32, PPL: -1286.34326
65: bad sentence 32, PPL: -2179.17334
66: good sentence 33, PPL: -102.04227
67: bad sentence 33, PPL: -361.26343
68: good sentence 34, PPL: -481.01047
69: bad sentence 34, PPL: -1209.85071
70: good sentence 35, PPL: -2348.04810
71: bad sentence 35, PPL: -6123.00098
72: good sentence 36, PPL: -1173.29211
73: bad sentence 36, PPL: -5189.21924
74: good sentence 37, PPL: -2327.42700
75: bad sentence 37, PPL: -3575.32520
76: good sentence 38, PPL: -443.65237
77: bad sentence 38, PPL: -1615.46204
78: good sentence 39, PPL: -175.64378
79: bad sentence 39, PPL: -154.63155
80: good sentence 40, PPL: -218.94011
81: bad sentence 40, PPL: -175.45360
82: good sentence 41, PPL: -3653.56567
83: bad sentence 41, PPL: -4457.09375
84: good sentence 42, PPL: -5452.41113
85: bad sentence 42, PPL: -11783.24121
86: good sentence 43, PPL: -2037.20825
87: bad sentence 43, PPL: -3180.30859
88: good sentence 44, PPL: -1263.35095
89: bad sentence 44, PPL: -781.49750
90: good sentence 45, PPL: -696.46075
91: bad sentence 45, PPL: -1996.16248
92: good sentence 46, PPL: -1892.29382
93: bad sentence 46, PPL: -1930.12415
94: good sentence 47, PPL: -1294.45361
95: bad sentence 47, PPL: -3513.55933
96: good sentence 48, PPL: -1910.72083
97: bad sentence 48, PPL: -3381.92944
98: good sentence 49, PPL: -73.26106
99: bad sentence 49, PPL: -91.73537
100: good sentence 50, PPL: -391.62509
101: bad sentence 50, PPL: -836.81323
102: good sentence 51, PPL: -237.55426
103: bad sentence 51, PPL: -237.00674
104: good sentence 52, PPL: -1866.54272
105: bad sentence 52, PPL: -1472.20935
106: good sentence 53, PPL: -1733.55188
107: bad sentence 53, PPL: -1886.64038
108: good sentence 54, PPL: -812.79431
109: bad sentence 54, PPL: -1716.73132
110: good sentence 55, PPL: -1946.84888
111: bad sentence 55, PPL: -2678.13940
112: good sentence 56, PPL: -5222.38770
113: bad sentence 56, PPL: -12960.63867
114: good sentence 57, PPL: -1023.38397
115: bad sentence 57, PPL: -2651.61230
116: good sentence 58, PPL: -1206.69348
117: bad sentence 58, PPL: -2522.81445
118: good sentence 59, PPL: -2647.26758
119: bad sentence 59, PPL: -1613.91992
120: good sentence 60, PPL: -138.43494
121: bad sentence 60, PPL: -361.04544
122: good sentence 61, PPL: -2465.14087
123: bad sentence 61, PPL: -11040.19043
124: good sentence 62, PPL: -1103.02869
125: bad sentence 62, PPL: -3126.32397
126: good sentence 63, PPL: -1678.33765
127: bad sentence 63, PPL: -1217.72681
128: good sentence 64, PPL: -1283.92456
129: bad sentence 64, PPL: -1941.24524
130: good sentence 65, PPL: -2428.06714
131: bad sentence 65, PPL: -4354.63428
132: good sentence 66, PPL: -536.42786
133: bad sentence 66, PPL: -400.46738
134: good sentence 67, PPL: -547.53040
135: bad sentence 67, PPL: -407.71469
136: good sentence 68, PPL: -8439.89160
137: bad sentence 68, PPL: -2393.83862
138: good sentence 69, PPL: -1939.43640
139: bad sentence 69, PPL: -4233.61670
140: good sentence 70, PPL: -1093.90479
141: bad sentence 70, PPL: -1361.93066
142: good sentence 71, PPL: -151.07106
143: bad sentence 71, PPL: -263.79416
144: good sentence 72, PPL: -1269.55713
145: bad sentence 72, PPL: -2868.05005
146: good sentence 73, PPL: -568.32361
147: bad sentence 73, PPL: -2275.15747
148: good sentence 74, PPL: -302.72400
149: bad sentence 74, PPL: -303.40814
150: good sentence 75, PPL: -2092.83936
151: bad sentence 75, PPL: -5440.92627
152: good sentence 76, PPL: -1633.18335
153: bad sentence 76, PPL: -5252.59180
154: good sentence 77, PPL: -464.14914
155: bad sentence 77, PPL: -1041.70410
156: good sentence 78, PPL: -1925.09265
157: bad sentence 78, PPL: -4392.25928
158: good sentence 79, PPL: -573.57166
159: bad sentence 79, PPL: -2001.77954
160: good sentence 80, PPL: -1036.85583
161: bad sentence 80, PPL: -5764.19043
162: good sentence 81, PPL: -260.56488
163: bad sentence 81, PPL: -876.83728
164: good sentence 82, PPL: -349.95242
165: bad sentence 82, PPL: -1393.55737
166: good sentence 83, PPL: -1472.85608
167: bad sentence 83, PPL: -5018.73486
168: good sentence 84, PPL: -2762.69165
169: bad sentence 84, PPL: -2269.53271
170: good sentence 85, PPL: -167.78445
171: bad sentence 85, PPL: -419.38998
172: good sentence 86, PPL: -873.89618
173: bad sentence 86, PPL: -2365.21753
174: good sentence 87, PPL: -1672.47998
175: bad sentence 87, PPL: -3994.87109
176: good sentence 88, PPL: -1010.06537
177: bad sentence 88, PPL: -3854.22656
178: good sentence 89, PPL: -344.44461
179: bad sentence 89, PPL: -410.51077
180: good sentence 90, PPL: -994.53857
181: bad sentence 90, PPL: -1195.23511
182: good sentence 91, PPL: -1610.43750
183: bad sentence 91, PPL: -881.58722
184: good sentence 92, PPL: -1287.21826
185: bad sentence 92, PPL: -2394.29639
186: good sentence 93, PPL: -1267.60449
187: bad sentence 93, PPL: -1739.56689
188: good sentence 94, PPL: -1428.25989
189: bad sentence 94, PPL: -1479.26221
190: good sentence 95, PPL: -669.86188
191: bad sentence 95, PPL: -612.64349
192: good sentence 96, PPL: -1646.42664
193: bad sentence 96, PPL: -929.64130
194: good sentence 97, PPL: -432.09067
195: bad sentence 97, PPL: -2041.53857
196: good sentence 98, PPL: -1959.73022
197: bad sentence 98, PPL: -9991.02148
198: good sentence 99, PPL: -219.18527
199: bad sentence 99, PPL: -451.18930
200: good sentence 100, PPL: -3726.31128
201: bad sentence 100, PPL: -15142.06250
202: good sentence 101, PPL: -2007.80005
203: bad sentence 101, PPL: -4039.57983
204: good sentence 102, PPL: -909.33978
205: bad sentence 102, PPL: -1051.43933
206: good sentence 103, PPL: -482.04117
207: bad sentence 103, PPL: -539.10321
208: good sentence 104, PPL: -225.28731
209: bad sentence 104, PPL: -434.20276
210: good sentence 105, PPL: -408.85107
211: bad sentence 105, PPL: -1028.54431
212: good sentence 106, PPL: -5257.40723
213: bad sentence 106, PPL: -3803.26489
214: good sentence 107, PPL: -1688.95972
215: bad sentence 107, PPL: -2655.81323
216: good sentence 108, PPL: -936.56311
217: bad sentence 108, PPL: -652.25488
218: good sentence 109, PPL: -1562.36841
219: bad sentence 109, PPL: -1654.94556
220: good sentence 110, PPL: -6306.72949
221: bad sentence 110, PPL: -9984.04980
222: good sentence 111, PPL: -767.98322
223: bad sentence 111, PPL: -492.30276
224: good sentence 112, PPL: -1501.77222
225: bad sentence 112, PPL: -1147.35181
