Aspect
	zai_no_le
Model: baichuan-inc/Baichuan-7B, Accuracy: 50.00000, Average Perplexity (Good Sentences): -1101.96631, Average Perplexity (Bad Sentences): -1181.24036
0: good sentence 0, PPL: -5644.28711
1: bad sentence 0, PPL: -5447.13574
2: good sentence 1, PPL: -269.67654
3: bad sentence 1, PPL: -610.29663
4: good sentence 2, PPL: -1004.39563
5: bad sentence 2, PPL: -2003.90552
6: good sentence 3, PPL: -5821.92871
7: bad sentence 3, PPL: -2446.50049
8: good sentence 4, PPL: -1426.15161
9: bad sentence 4, PPL: -1111.73926
10: good sentence 5, PPL: -1595.76843
11: bad sentence 5, PPL: -1154.57922
12: good sentence 6, PPL: -388.15649
13: bad sentence 6, PPL: -322.45108
14: good sentence 7, PPL: -2510.55933
15: bad sentence 7, PPL: -3885.25952
16: good sentence 8, PPL: -535.92780
17: bad sentence 8, PPL: -690.20441
18: good sentence 9, PPL: -300.28296
19: bad sentence 9, PPL: -271.05368
20: good sentence 10, PPL: -432.05957
21: bad sentence 10, PPL: -309.02179
22: good sentence 11, PPL: -529.93793
23: bad sentence 11, PPL: -607.12830
24: good sentence 12, PPL: -1059.85266
25: bad sentence 12, PPL: -3785.05005
26: good sentence 13, PPL: -702.21344
27: bad sentence 13, PPL: -347.81119
28: good sentence 14, PPL: -333.81882
29: bad sentence 14, PPL: -782.04926
30: good sentence 15, PPL: -571.31128
31: bad sentence 15, PPL: -1426.54529
32: good sentence 16, PPL: -2042.90869
33: bad sentence 16, PPL: -1861.24744
34: good sentence 17, PPL: -3016.84741
35: bad sentence 17, PPL: -2744.25635
36: good sentence 18, PPL: -653.18860
37: bad sentence 18, PPL: -426.79895
38: good sentence 19, PPL: -524.10651
39: bad sentence 19, PPL: -823.49091
40: good sentence 20, PPL: -1420.58411
41: bad sentence 20, PPL: -1964.34351
42: good sentence 21, PPL: -784.32764
43: bad sentence 21, PPL: -910.43713
44: good sentence 22, PPL: -6792.33008
45: bad sentence 22, PPL: -5170.79297
46: good sentence 23, PPL: -4210.01514
47: bad sentence 23, PPL: -3520.02905
48: good sentence 24, PPL: -186.00417
49: bad sentence 24, PPL: -130.36621
50: good sentence 25, PPL: -2555.25220
51: bad sentence 25, PPL: -2332.68677
52: good sentence 26, PPL: -953.52222
53: bad sentence 26, PPL: -1834.39783
54: good sentence 27, PPL: -2219.75610
55: bad sentence 27, PPL: -2933.03589
56: good sentence 28, PPL: -553.85541
57: bad sentence 28, PPL: -528.17078
58: good sentence 29, PPL: -169.21478
59: bad sentence 29, PPL: -224.43350
60: good sentence 30, PPL: -576.86206
61: bad sentence 30, PPL: -465.97885
62: good sentence 31, PPL: -499.76764
63: bad sentence 31, PPL: -614.36542
64: good sentence 32, PPL: -4627.48486
65: bad sentence 32, PPL: -2815.35449
66: good sentence 33, PPL: -2320.41235
67: bad sentence 33, PPL: -1629.03394
68: good sentence 34, PPL: -13985.04590
69: bad sentence 34, PPL: -24936.29688
70: good sentence 35, PPL: -458.07843
71: bad sentence 35, PPL: -459.17319
72: good sentence 36, PPL: -3983.98584
73: bad sentence 36, PPL: -1247.12036
74: good sentence 37, PPL: -719.21533
75: bad sentence 37, PPL: -407.75668
76: good sentence 38, PPL: -319.50967
77: bad sentence 38, PPL: -269.13867
78: good sentence 39, PPL: -1843.92957
79: bad sentence 39, PPL: -3273.51733
80: good sentence 40, PPL: -1591.71545
81: bad sentence 40, PPL: -1830.95032
82: good sentence 41, PPL: -805.18378
83: bad sentence 41, PPL: -471.34915
84: good sentence 42, PPL: -844.01971
85: bad sentence 42, PPL: -1385.94629
86: good sentence 43, PPL: -758.00146
87: bad sentence 43, PPL: -596.77405
88: good sentence 44, PPL: -8230.20996
89: bad sentence 44, PPL: -2462.36597
90: good sentence 45, PPL: -546.64606
91: bad sentence 45, PPL: -883.00208
92: good sentence 46, PPL: -2024.35046
93: bad sentence 46, PPL: -1590.26270
94: good sentence 47, PPL: -3666.08179
95: bad sentence 47, PPL: -20843.62109
96: good sentence 48, PPL: -76.16511
97: bad sentence 48, PPL: -66.19541
98: good sentence 49, PPL: -1910.18335
99: bad sentence 49, PPL: -1565.68494
100: good sentence 50, PPL: -645.37091
101: bad sentence 50, PPL: -1304.10107
102: good sentence 51, PPL: -7061.73389
103: bad sentence 51, PPL: -4644.69287
104: good sentence 52, PPL: -4952.62109
105: bad sentence 52, PPL: -3119.82520
106: good sentence 53, PPL: -356.10632
107: bad sentence 53, PPL: -489.05307
108: good sentence 54, PPL: -1393.01318
109: bad sentence 54, PPL: -805.03101
110: good sentence 55, PPL: -16351.90723
111: bad sentence 55, PPL: -10192.39160
112: good sentence 56, PPL: -2443.13745
113: bad sentence 56, PPL: -3432.63257
114: good sentence 57, PPL: -847.26941
115: bad sentence 57, PPL: -994.92230
116: good sentence 58, PPL: -684.58960
117: bad sentence 58, PPL: -1648.76074
118: good sentence 59, PPL: -152.92809
119: bad sentence 59, PPL: -188.80533
120: good sentence 60, PPL: -1160.25000
121: bad sentence 60, PPL: -1421.47302
122: good sentence 61, PPL: -532.68756
123: bad sentence 61, PPL: -613.07782
124: good sentence 62, PPL: -681.15039
125: bad sentence 62, PPL: -1251.76807
126: good sentence 63, PPL: -245.70750
127: bad sentence 63, PPL: -290.31403
128: good sentence 64, PPL: -1383.72778
129: bad sentence 64, PPL: -2717.58472
130: good sentence 65, PPL: -3618.76367
131: bad sentence 65, PPL: -1506.55334
132: good sentence 66, PPL: -334.70807
133: bad sentence 66, PPL: -395.09094
134: good sentence 67, PPL: -2034.57153
135: bad sentence 67, PPL: -1215.41797
