Classifier-Noun
	cl_adj_comp_noun
Model: baichuan-inc/Baichuan-7B, Accuracy: 66.10000, Average Perplexity (Good Sentences): -320.26593, Average Perplexity (Bad Sentences): -404.55344
0: good sentence 0, PPL: -378.60858
1: bad sentence 0, PPL: -374.07458
2: good sentence 1, PPL: -2669.15381
3: bad sentence 1, PPL: -726.52264
4: good sentence 2, PPL: -267.49896
5: bad sentence 2, PPL: -238.42081
6: good sentence 3, PPL: -810.25549
7: bad sentence 3, PPL: -693.15063
8: good sentence 4, PPL: -205.79008
9: bad sentence 4, PPL: -350.76965
10: good sentence 5, PPL: -590.13934
11: bad sentence 5, PPL: -310.42395
12: good sentence 6, PPL: -600.75378
13: bad sentence 6, PPL: -450.82196
14: good sentence 7, PPL: -690.68738
15: bad sentence 7, PPL: -1645.56165
16: good sentence 8, PPL: -164.23428
17: bad sentence 8, PPL: -307.90393
18: good sentence 9, PPL: -216.69730
19: bad sentence 9, PPL: -205.35202
20: good sentence 10, PPL: -116.32874
21: bad sentence 10, PPL: -450.61050
22: good sentence 11, PPL: -155.44801
23: bad sentence 11, PPL: -339.79059
24: good sentence 12, PPL: -605.60706
25: bad sentence 12, PPL: -283.00024
26: good sentence 13, PPL: -541.15796
27: bad sentence 13, PPL: -399.69095
28: good sentence 14, PPL: -94.79913
29: bad sentence 14, PPL: -490.76703
30: good sentence 15, PPL: -233.62935
31: bad sentence 15, PPL: -422.01028
32: good sentence 16, PPL: -248.13507
33: bad sentence 16, PPL: -257.11877
34: good sentence 17, PPL: -479.97418
35: bad sentence 17, PPL: -561.04688
36: good sentence 18, PPL: -180.89607
37: bad sentence 18, PPL: -354.30670
38: good sentence 19, PPL: -798.36108
39: bad sentence 19, PPL: -324.76416
40: good sentence 20, PPL: -288.10083
41: bad sentence 20, PPL: -268.32346
42: good sentence 21, PPL: -471.47546
43: bad sentence 21, PPL: -592.85492
44: good sentence 22, PPL: -489.78845
45: bad sentence 22, PPL: -572.06012
46: good sentence 23, PPL: -155.06046
47: bad sentence 23, PPL: -360.30539
48: good sentence 24, PPL: -1963.04382
49: bad sentence 24, PPL: -567.08759
