Classifier-Noun
	cl_comp_noun
Model: baichuan-inc/Baichuan-7B, Accuracy: 68.80000, Average Perplexity (Good Sentences): -587.05823, Average Perplexity (Bad Sentences): -883.28131
0: good sentence 0, PPL: -780.14819
1: bad sentence 0, PPL: -1158.29919
2: good sentence 1, PPL: -7518.30908
3: bad sentence 1, PPL: -1335.40833
4: good sentence 2, PPL: -324.51169
5: bad sentence 2, PPL: -741.36768
6: good sentence 3, PPL: -1585.95081
7: bad sentence 3, PPL: -2547.14307
8: good sentence 4, PPL: -548.35266
9: bad sentence 4, PPL: -922.09540
10: good sentence 5, PPL: -1366.39099
11: bad sentence 5, PPL: -804.62457
12: good sentence 6, PPL: -1172.08484
13: bad sentence 6, PPL: -880.64319
14: good sentence 7, PPL: -1538.25012
15: bad sentence 7, PPL: -4646.78809
16: good sentence 8, PPL: -234.70605
17: bad sentence 8, PPL: -869.88214
18: good sentence 9, PPL: -736.56494
19: bad sentence 9, PPL: -1016.32190
20: good sentence 10, PPL: -228.71007
21: bad sentence 10, PPL: -872.20978
22: good sentence 11, PPL: -260.58701
23: bad sentence 11, PPL: -718.88721
24: good sentence 12, PPL: -1243.61914
25: bad sentence 12, PPL: -472.21100
26: good sentence 13, PPL: -1231.61694
27: bad sentence 13, PPL: -638.05872
28: good sentence 14, PPL: -132.02495
29: bad sentence 14, PPL: -1963.66748
30: good sentence 15, PPL: -224.98726
31: bad sentence 15, PPL: -515.54742
32: good sentence 16, PPL: -202.75172
33: bad sentence 16, PPL: -466.95090
34: good sentence 17, PPL: -399.46289
35: bad sentence 17, PPL: -843.63428
36: good sentence 18, PPL: -184.06477
37: bad sentence 18, PPL: -648.63226
38: good sentence 19, PPL: -866.50317
39: bad sentence 19, PPL: -294.30176
40: good sentence 20, PPL: -434.17480
41: bad sentence 20, PPL: -459.54776
42: good sentence 21, PPL: -991.28644
43: bad sentence 21, PPL: -1611.35461
44: good sentence 22, PPL: -2217.20752
45: bad sentence 22, PPL: -2298.81152
46: good sentence 23, PPL: -390.02182
47: bad sentence 23, PPL: -1127.49036
48: good sentence 24, PPL: -8889.46191
49: bad sentence 24, PPL: -1256.15222
50: good sentence 25, PPL: -1396.94177
51: bad sentence 25, PPL: -1242.06873
52: good sentence 26, PPL: -3308.88403
53: bad sentence 26, PPL: -638.64832
54: good sentence 27, PPL: -193.13651
55: bad sentence 27, PPL: -1327.24390
56: good sentence 28, PPL: -216.50261
57: bad sentence 28, PPL: -1541.63599
58: good sentence 29, PPL: -477.56042
59: bad sentence 29, PPL: -1532.42419
60: good sentence 30, PPL: -237.42764
61: bad sentence 30, PPL: -314.35114
62: good sentence 31, PPL: -313.37494
