Classifier-Noun
	cl_comp_noun_v2
Model: baichuan-inc/Baichuan-7B, Accuracy: 70.00000, Average Perplexity (Good Sentences): -319.94144, Average Perplexity (Bad Sentences): -557.28815
0: good sentence 0, PPL: -119.44762
1: bad sentence 0, PPL: -108.90910
2: good sentence 1, PPL: -527.28577
3: bad sentence 1, PPL: -473.84491
4: good sentence 2, PPL: -172.15186
5: bad sentence 2, PPL: -1363.46875
6: good sentence 3, PPL: -652.76825
7: bad sentence 3, PPL: -1652.21814
8: good sentence 4, PPL: -329.83582
9: bad sentence 4, PPL: -524.47052
10: good sentence 5, PPL: -551.86420
11: bad sentence 5, PPL: -1199.73059
12: good sentence 6, PPL: -102.81622
13: bad sentence 6, PPL: -470.82147
14: good sentence 7, PPL: -804.20459
15: bad sentence 7, PPL: -2255.73999
16: good sentence 8, PPL: -461.83981
17: bad sentence 8, PPL: -320.59583
18: good sentence 9, PPL: -93.34769
19: bad sentence 9, PPL: -299.57303
20: good sentence 10, PPL: -41.23395
21: bad sentence 10, PPL: -82.14989
22: good sentence 11, PPL: -1921.58008
23: bad sentence 11, PPL: -1317.65955
24: good sentence 12, PPL: -100.21930
25: bad sentence 12, PPL: -535.43048
26: good sentence 13, PPL: -249.71529
27: bad sentence 13, PPL: -479.39819
28: good sentence 14, PPL: -166.63203
29: bad sentence 14, PPL: -224.09100
30: good sentence 15, PPL: -125.19394
31: bad sentence 15, PPL: -1055.04688
32: good sentence 16, PPL: -229.35190
33: bad sentence 16, PPL: -1674.85510
34: good sentence 17, PPL: -52.56870
35: bad sentence 17, PPL: -114.95916
36: good sentence 18, PPL: -80.84978
37: bad sentence 18, PPL: -270.10486
38: good sentence 19, PPL: -222.50652
39: bad sentence 19, PPL: -1192.01196
40: good sentence 20, PPL: -278.06235
41: bad sentence 20, PPL: -734.78009
42: good sentence 21, PPL: -782.65765
43: bad sentence 21, PPL: -1552.49646
44: good sentence 22, PPL: -158.93507
45: bad sentence 22, PPL: -248.38911
46: good sentence 23, PPL: -74.76777
47: bad sentence 23, PPL: -233.39595
48: good sentence 24, PPL: -48.61966
49: bad sentence 24, PPL: -103.09821
50: good sentence 25, PPL: -116.87077
51: bad sentence 25, PPL: -684.74109
52: good sentence 26, PPL: -738.13727
53: bad sentence 26, PPL: -2731.38037
54: good sentence 27, PPL: -35.70581
55: bad sentence 27, PPL: -136.21204
56: good sentence 28, PPL: -637.96527
57: bad sentence 28, PPL: -840.98987
58: good sentence 29, PPL: -175.45937
59: bad sentence 29, PPL: -264.37164
60: good sentence 30, PPL: -252.44508
61: bad sentence 30, PPL: -604.06787
62: good sentence 31, PPL: -50.41778
63: bad sentence 31, PPL: -55.36256
64: good sentence 32, PPL: -475.88574
