Classifier-Noun
	cl_simple_noun
Model: baichuan-inc/Baichuan-7B, Accuracy: 95.10000, Average Perplexity (Good Sentences): -315.03525, Average Perplexity (Bad Sentences): -1364.43970
0: good sentence 0, PPL: -534.53046
1: bad sentence 0, PPL: -3437.64502
2: good sentence 1, PPL: -971.55334
3: bad sentence 1, PPL: -2764.86865
4: good sentence 2, PPL: -1331.42871
5: bad sentence 2, PPL: -2710.40625
6: good sentence 3, PPL: -191.10562
7: bad sentence 3, PPL: -772.75238
8: good sentence 4, PPL: -1365.27283
9: bad sentence 4, PPL: -4826.21240
10: good sentence 5, PPL: -598.83728
11: bad sentence 5, PPL: -1584.67859
12: good sentence 6, PPL: -240.37338
13: bad sentence 6, PPL: -3335.48486
14: good sentence 7, PPL: -326.19339
15: bad sentence 7, PPL: -211.06250
16: good sentence 8, PPL: -125.92244
17: bad sentence 8, PPL: -151.81203
18: good sentence 9, PPL: -7720.00732
19: bad sentence 9, PPL: -4332.58008
20: good sentence 10, PPL: -236.05045
21: bad sentence 10, PPL: -396.96915
22: good sentence 11, PPL: -2605.25879
23: bad sentence 11, PPL: -26008.37695
24: good sentence 12, PPL: -537.00781
25: bad sentence 12, PPL: -1561.85364
26: good sentence 13, PPL: -315.21140
27: bad sentence 13, PPL: -1295.72644
28: good sentence 14, PPL: -211.19780
29: bad sentence 14, PPL: -836.77448
30: good sentence 15, PPL: -368.73636
31: bad sentence 15, PPL: -15892.25000
32: good sentence 16, PPL: -220.12029
33: bad sentence 16, PPL: -693.89935
34: good sentence 17, PPL: -1263.23999
35: bad sentence 17, PPL: -2207.57251
36: good sentence 18, PPL: -159.17329
37: bad sentence 18, PPL: -387.38159
38: good sentence 19, PPL: -819.04919
39: bad sentence 19, PPL: -2092.41016
40: good sentence 20, PPL: -186.86880
41: bad sentence 20, PPL: -2195.20630
42: good sentence 21, PPL: -161.81589
43: bad sentence 21, PPL: -1486.03223
44: good sentence 22, PPL: -137.56061
45: bad sentence 22, PPL: -437.23883
46: good sentence 23, PPL: -197.01323
47: bad sentence 23, PPL: -3617.97681
48: good sentence 24, PPL: -490.37689
49: bad sentence 24, PPL: -1102.10754
50: good sentence 25, PPL: -111.72385
51: bad sentence 25, PPL: -2050.04297
52: good sentence 26, PPL: -772.92889
53: bad sentence 26, PPL: -6578.66357
54: good sentence 27, PPL: -780.84869
55: bad sentence 27, PPL: -286.73920
56: good sentence 28, PPL: -129.10713
57: bad sentence 28, PPL: -89.47544
58: good sentence 29, PPL: -828.76996
59: bad sentence 29, PPL: -2451.61670
60: good sentence 30, PPL: -631.84955
61: bad sentence 30, PPL: -3895.80029
62: good sentence 31, PPL: -261.62500
63: bad sentence 31, PPL: -2767.77466
64: good sentence 32, PPL: -423.64441
65: bad sentence 32, PPL: -1575.96973
66: good sentence 33, PPL: -146.14288
67: bad sentence 33, PPL: -666.73541
68: good sentence 34, PPL: -301.15308
69: bad sentence 34, PPL: -640.02197
70: good sentence 35, PPL: -18147.25195
71: bad sentence 35, PPL: -4041.89575
72: good sentence 36, PPL: -464.42761
73: bad sentence 36, PPL: -1677.47742
74: good sentence 37, PPL: -265.35220
75: bad sentence 37, PPL: -647.85022
76: good sentence 38, PPL: -77.52017
77: bad sentence 38, PPL: -77.52017
78: good sentence 39, PPL: -51.68956
79: bad sentence 39, PPL: -117.91833
80: good sentence 40, PPL: -878.32867
81: bad sentence 40, PPL: -6337.57520
82: good sentence 41, PPL: -4898.68555
83: bad sentence 41, PPL: -10970.79297
84: good sentence 42, PPL: -124.59702
85: bad sentence 42, PPL: -684.10669
86: good sentence 43, PPL: -107.21832
87: bad sentence 43, PPL: -59.62709
88: good sentence 44, PPL: -159.31635
89: bad sentence 44, PPL: -710.68060
90: good sentence 45, PPL: -372.71234
91: bad sentence 45, PPL: -13171.94727
92: good sentence 46, PPL: -33.78846
93: bad sentence 46, PPL: -486.58463
94: good sentence 47, PPL: -1259.99084
95: bad sentence 47, PPL: -3745.37939
96: good sentence 48, PPL: -980.80713
97: bad sentence 48, PPL: -2166.80151
98: good sentence 49, PPL: -5852.15576
99: bad sentence 49, PPL: -3102.26392
100: good sentence 50, PPL: -234.32018
101: bad sentence 50, PPL: -201.90677
102: good sentence 51, PPL: -212.80463
103: bad sentence 51, PPL: -2440.95752
104: good sentence 52, PPL: -413.83600
105: bad sentence 52, PPL: -2532.41187
106: good sentence 53, PPL: -276.35162
107: bad sentence 53, PPL: -1016.63745
108: good sentence 54, PPL: -71.98507
109: bad sentence 54, PPL: -396.56674
110: good sentence 55, PPL: -117.20143
111: bad sentence 55, PPL: -222.29579
