DefinitenessEffect
	definiteness_demonstrative
Model: baichuan-inc/Baichuan-7B, Accuracy: 58.00000, Average Perplexity (Good Sentences): -724.30957, Average Perplexity (Bad Sentences): -737.76147
0: good sentence 0, PPL: -606.79773
1: bad sentence 0, PPL: -273.79132
2: good sentence 1, PPL: -233.52689
3: bad sentence 1, PPL: -263.69922
4: good sentence 2, PPL: -174.85934
5: bad sentence 2, PPL: -243.06097
6: good sentence 3, PPL: -1615.40967
7: bad sentence 3, PPL: -1213.96594
8: good sentence 4, PPL: -648.94812
9: bad sentence 4, PPL: -1030.99646
10: good sentence 5, PPL: -1893.21533
11: bad sentence 5, PPL: -1204.94153
12: good sentence 6, PPL: -4027.57031
13: bad sentence 6, PPL: -1640.45911
14: good sentence 7, PPL: -576.93793
15: bad sentence 7, PPL: -1731.49487
16: good sentence 8, PPL: -2740.81689
17: bad sentence 8, PPL: -1937.15552
18: good sentence 9, PPL: -126.21712
19: bad sentence 9, PPL: -188.87187
20: good sentence 10, PPL: -416.88016
21: bad sentence 10, PPL: -396.84937
22: good sentence 11, PPL: -994.99921
23: bad sentence 11, PPL: -1514.38599
24: good sentence 12, PPL: -803.08331
25: bad sentence 12, PPL: -543.23401
26: good sentence 13, PPL: -5659.09326
27: bad sentence 13, PPL: -737.00592
28: good sentence 14, PPL: -790.79474
29: bad sentence 14, PPL: -1345.42261
30: good sentence 15, PPL: -1126.49731
31: bad sentence 15, PPL: -999.61340
32: good sentence 16, PPL: -213.76378
33: bad sentence 16, PPL: -360.27203
34: good sentence 17, PPL: -304.57385
35: bad sentence 17, PPL: -595.31348
36: good sentence 18, PPL: -301.52884
37: bad sentence 18, PPL: -820.76556
38: good sentence 19, PPL: -341.14035
39: bad sentence 19, PPL: -413.89639
40: good sentence 20, PPL: -103.22139
41: bad sentence 20, PPL: -239.60449
42: good sentence 21, PPL: -1736.60486
43: bad sentence 21, PPL: -1897.67114
44: good sentence 22, PPL: -680.36877
45: bad sentence 22, PPL: -682.01074
46: good sentence 23, PPL: -610.64862
47: bad sentence 23, PPL: -1001.23346
48: good sentence 24, PPL: -152.98271
49: bad sentence 24, PPL: -382.40448
50: good sentence 25, PPL: -8991.02344
51: bad sentence 25, PPL: -4336.42041
52: good sentence 26, PPL: -310.72174
53: bad sentence 26, PPL: -315.05646
54: good sentence 27, PPL: -2237.08789
55: bad sentence 27, PPL: -691.44135
56: good sentence 28, PPL: -975.38757
57: bad sentence 28, PPL: -619.39746
58: good sentence 29, PPL: -284.74924
59: bad sentence 29, PPL: -438.09702
