DefinitenessEffect
	definiteness_every
Model: baichuan-inc/Baichuan-7B, Accuracy: 69.20000, Average Perplexity (Good Sentences): -724.30957, Average Perplexity (Bad Sentences): -935.53790
0: good sentence 0, PPL: -606.79773
1: bad sentence 0, PPL: -338.80823
2: good sentence 1, PPL: -233.52689
3: bad sentence 1, PPL: -269.55444
4: good sentence 2, PPL: -174.85934
5: bad sentence 2, PPL: -530.30194
6: good sentence 3, PPL: -1615.40967
7: bad sentence 3, PPL: -709.29626
8: good sentence 4, PPL: -648.94812
9: bad sentence 4, PPL: -2344.79346
10: good sentence 5, PPL: -1893.21533
11: bad sentence 5, PPL: -8897.01074
12: good sentence 6, PPL: -4027.57031
13: bad sentence 6, PPL: -1459.52356
14: good sentence 7, PPL: -576.93793
15: bad sentence 7, PPL: -879.37213
16: good sentence 8, PPL: -2740.81689
17: bad sentence 8, PPL: -735.25043
18: good sentence 9, PPL: -126.21712
19: bad sentence 9, PPL: -283.08270
20: good sentence 10, PPL: -416.88016
21: bad sentence 10, PPL: -495.11481
22: good sentence 11, PPL: -994.99921
23: bad sentence 11, PPL: -1586.78442
24: good sentence 12, PPL: -803.08331
25: bad sentence 12, PPL: -1272.73499
26: good sentence 13, PPL: -5659.09326
27: bad sentence 13, PPL: -4564.42285
28: good sentence 14, PPL: -790.79474
29: bad sentence 14, PPL: -846.69794
30: good sentence 15, PPL: -1126.49731
31: bad sentence 15, PPL: -1754.66492
32: good sentence 16, PPL: -213.76378
33: bad sentence 16, PPL: -550.64740
34: good sentence 17, PPL: -304.57385
35: bad sentence 17, PPL: -1257.55579
36: good sentence 18, PPL: -301.52884
37: bad sentence 18, PPL: -1109.09180
38: good sentence 19, PPL: -341.14035
39: bad sentence 19, PPL: -1056.48352
40: good sentence 20, PPL: -103.22139
41: bad sentence 20, PPL: -299.26663
42: good sentence 21, PPL: -1736.60486
43: bad sentence 21, PPL: -1021.09296
44: good sentence 22, PPL: -680.36877
45: bad sentence 22, PPL: -904.54120
46: good sentence 23, PPL: -610.64862
47: bad sentence 23, PPL: -2199.50317
48: good sentence 24, PPL: -152.98271
49: bad sentence 24, PPL: -222.55978
50: good sentence 25, PPL: -8991.02344
51: bad sentence 25, PPL: -5907.58496
52: good sentence 26, PPL: -310.72174
53: bad sentence 26, PPL: -665.37128
54: good sentence 27, PPL: -2237.08789
55: bad sentence 27, PPL: -1761.27454
56: good sentence 28, PPL: -975.38757
57: bad sentence 28, PPL: -1413.59106
58: good sentence 29, PPL: -284.74924
59: bad sentence 29, PPL: -665.79852
60: good sentence 30, PPL: -415.99808
61: bad sentence 30, PPL: -491.80649
62: good sentence 31, PPL: -931.61066
63: bad sentence 31, PPL: -1388.17798
64: good sentence 32, PPL: -2298.19141
65: bad sentence 32, PPL: -595.04724
66: good sentence 33, PPL: -1305.85278
67: bad sentence 33, PPL: -775.32452
68: good sentence 34, PPL: -3060.30518
69: bad sentence 34, PPL: -3807.73975
70: good sentence 35, PPL: -101.97456
71: bad sentence 35, PPL: -162.16132
72: good sentence 36, PPL: -200.31030
73: bad sentence 36, PPL: -447.75797
74: good sentence 37, PPL: -289.40002
75: bad sentence 37, PPL: -498.41852
76: good sentence 38, PPL: -930.41382
77: bad sentence 38, PPL: -992.43610
78: good sentence 39, PPL: -24358.76367
79: bad sentence 39, PPL: -4372.79932
80: good sentence 40, PPL: -6257.25000
81: bad sentence 40, PPL: -2961.16943
82: good sentence 41, PPL: -1264.55078
83: bad sentence 41, PPL: -607.30804
84: good sentence 42, PPL: -1603.22058
85: bad sentence 42, PPL: -968.89648
86: good sentence 43, PPL: -1645.95483
87: bad sentence 43, PPL: -224.84816
88: good sentence 44, PPL: -2852.82935
89: bad sentence 44, PPL: -2913.85596
90: good sentence 45, PPL: -1803.29309
91: bad sentence 45, PPL: -672.23865
92: good sentence 46, PPL: -261.64871
93: bad sentence 46, PPL: -439.90479
94: good sentence 47, PPL: -307.56451
95: bad sentence 47, PPL: -1012.03815
96: good sentence 48, PPL: -573.08997
97: bad sentence 48, PPL: -844.58740
98: good sentence 49, PPL: -1355.91028
99: bad sentence 49, PPL: -1290.05652
100: good sentence 50, PPL: -1884.64697
101: bad sentence 50, PPL: -3135.42505
102: good sentence 51, PPL: -163.55984
103: bad sentence 51, PPL: -321.45596
104: good sentence 52, PPL: -406.34271
105: bad sentence 52, PPL: -411.67850
106: good sentence 53, PPL: -383.32202
107: bad sentence 53, PPL: -824.99774
108: good sentence 54, PPL: -256.85040
109: bad sentence 54, PPL: -456.47580
110: good sentence 55, PPL: -873.46838
111: bad sentence 55, PPL: -1420.31311
112: good sentence 56, PPL: -184.09174
113: bad sentence 56, PPL: -433.76733
114: good sentence 57, PPL: -1034.34692
115: bad sentence 57, PPL: -828.77704
116: good sentence 58, PPL: -152.27559
117: bad sentence 58, PPL: -248.20157
118: good sentence 59, PPL: -322.02130
119: bad sentence 59, PPL: -1251.32117
120: good sentence 60, PPL: -226.33931
121: bad sentence 60, PPL: -612.45490
122: good sentence 61, PPL: -7757.51318
123: bad sentence 61, PPL: -3573.78418
124: good sentence 62, PPL: -793.32642
125: bad sentence 62, PPL: -769.78076
126: good sentence 63, PPL: -341.21649
127: bad sentence 63, PPL: -1158.96814
128: good sentence 64, PPL: -2784.70483
129: bad sentence 64, PPL: -11221.47266
130: good sentence 65, PPL: -534.91345
131: bad sentence 65, PPL: -776.46588
132: good sentence 66, PPL: -1229.88867
133: bad sentence 66, PPL: -1742.25647
134: good sentence 67, PPL: -108.73289
135: bad sentence 67, PPL: -157.85637
136: good sentence 68, PPL: -194.44878
137: bad sentence 68, PPL: -299.03839
138: good sentence 69, PPL: -1818.75085
139: bad sentence 69, PPL: -1258.33740
140: good sentence 70, PPL: -1160.34021
141: bad sentence 70, PPL: -1821.19543
142: good sentence 71, PPL: -907.32837
143: bad sentence 71, PPL: -2141.94653
144: good sentence 72, PPL: -14927.72168
145: bad sentence 72, PPL: -6176.47656
146: good sentence 73, PPL: -213.40955
