PolarityItem
	any
Model: baichuan-inc/Baichuan-7B, Accuracy: 92.10000, Average Perplexity (Good Sentences): -620.09491, Average Perplexity (Bad Sentences): -1180.86243
0: good sentence 0, PPL: -372.31995
1: bad sentence 0, PPL: -1221.32629
2: good sentence 1, PPL: -106.86022
3: bad sentence 1, PPL: -208.94241
4: good sentence 2, PPL: -2525.75488
5: bad sentence 2, PPL: -5257.33252
6: good sentence 3, PPL: -745.22205
7: bad sentence 3, PPL: -3024.13818
8: good sentence 4, PPL: -1416.60730
9: bad sentence 4, PPL: -5959.81592
10: good sentence 5, PPL: -1287.88806
11: bad sentence 5, PPL: -2547.36304
12: good sentence 6, PPL: -755.96173
13: bad sentence 6, PPL: -644.79419
14: good sentence 7, PPL: -491.79007
15: bad sentence 7, PPL: -984.36932
16: good sentence 8, PPL: -335.62668
17: bad sentence 8, PPL: -748.75867
18: good sentence 9, PPL: -786.07916
19: bad sentence 9, PPL: -1225.60144
20: good sentence 10, PPL: -1118.34131
21: bad sentence 10, PPL: -1476.76392
22: good sentence 11, PPL: -720.09271
23: bad sentence 11, PPL: -934.35516
24: good sentence 12, PPL: -197.16922
25: bad sentence 12, PPL: -516.57751
26: good sentence 13, PPL: -1259.22327
27: bad sentence 13, PPL: -2767.39600
28: good sentence 14, PPL: -507.75671
29: bad sentence 14, PPL: -1104.91907
30: good sentence 15, PPL: -1552.89990
31: bad sentence 15, PPL: -2870.80298
32: good sentence 16, PPL: -2094.25195
33: bad sentence 16, PPL: -6276.42871
34: good sentence 17, PPL: -1376.34497
35: bad sentence 17, PPL: -2365.49731
36: good sentence 18, PPL: -1585.25977
37: bad sentence 18, PPL: -2132.50659
38: good sentence 19, PPL: -1428.19519
39: bad sentence 19, PPL: -2576.32153
40: good sentence 20, PPL: -1613.01123
41: bad sentence 20, PPL: -1998.72070
42: good sentence 21, PPL: -1941.89893
43: bad sentence 21, PPL: -3255.51929
44: good sentence 22, PPL: -412.67456
45: bad sentence 22, PPL: -485.11307
46: good sentence 23, PPL: -457.84827
47: bad sentence 23, PPL: -644.36603
48: good sentence 24, PPL: -888.71814
49: bad sentence 24, PPL: -6241.55762
50: good sentence 25, PPL: -125.36604
51: bad sentence 25, PPL: -181.52158
52: good sentence 26, PPL: -1556.19263
53: bad sentence 26, PPL: -3204.51855
54: good sentence 27, PPL: -753.30902
55: bad sentence 27, PPL: -1814.19116
56: good sentence 28, PPL: -1282.40234
57: bad sentence 28, PPL: -2161.42114
58: good sentence 29, PPL: -214.11276
59: bad sentence 29, PPL: -484.90237
60: good sentence 30, PPL: -636.49188
61: bad sentence 30, PPL: -619.71063
62: good sentence 31, PPL: -623.37439
63: bad sentence 31, PPL: -1463.77502
64: good sentence 32, PPL: -1276.06506
65: bad sentence 32, PPL: -2213.76147
66: good sentence 33, PPL: -742.63147
67: bad sentence 33, PPL: -2236.25903
68: good sentence 34, PPL: -1529.83301
69: bad sentence 34, PPL: -5852.51270
70: good sentence 35, PPL: -395.26053
71: bad sentence 35, PPL: -461.85635
72: good sentence 36, PPL: -362.55737
73: bad sentence 36, PPL: -1220.80811
74: good sentence 37, PPL: -1116.38733
75: bad sentence 37, PPL: -1474.88501
76: good sentence 38, PPL: -338.32761
77: bad sentence 38, PPL: -1028.95483
78: good sentence 39, PPL: -744.62109
79: bad sentence 39, PPL: -440.85226
80: good sentence 40, PPL: -638.02368
81: bad sentence 40, PPL: -1428.58142
82: good sentence 41, PPL: -2470.20776
83: bad sentence 41, PPL: -2176.82007
84: good sentence 42, PPL: -875.41223
85: bad sentence 42, PPL: -843.55017
86: good sentence 43, PPL: -596.49561
87: bad sentence 43, PPL: -506.78189
88: good sentence 44, PPL: -743.37689
89: bad sentence 44, PPL: -2068.56055
90: good sentence 45, PPL: -60.30516
91: bad sentence 45, PPL: -155.50206
92: good sentence 46, PPL: -1145.83081
93: bad sentence 46, PPL: -1943.60535
94: good sentence 47, PPL: -694.49915
95: bad sentence 47, PPL: -774.27338
96: good sentence 48, PPL: -273.32849
97: bad sentence 48, PPL: -1479.02246
98: good sentence 49, PPL: -218.35094
99: bad sentence 49, PPL: -524.34418
100: good sentence 50, PPL: -878.17450
101: bad sentence 50, PPL: -1557.16199
102: good sentence 51, PPL: -1849.79395
103: bad sentence 51, PPL: -5519.62988
104: good sentence 52, PPL: -153.97495
105: bad sentence 52, PPL: -287.15366
106: good sentence 53, PPL: -603.89618
107: bad sentence 53, PPL: -1005.05389
108: good sentence 54, PPL: -339.66586
109: bad sentence 54, PPL: -506.35269
110: good sentence 55, PPL: -1017.80884
111: bad sentence 55, PPL: -1743.35510
112: good sentence 56, PPL: -7816.88770
113: bad sentence 56, PPL: -23874.41406
114: good sentence 57, PPL: -457.25244
115: bad sentence 57, PPL: -866.05627
116: good sentence 58, PPL: -421.98895
117: bad sentence 58, PPL: -754.89728
118: good sentence 59, PPL: -502.31061
119: bad sentence 59, PPL: -1098.06995
120: good sentence 60, PPL: -909.80133
121: bad sentence 60, PPL: -2026.51477
122: good sentence 61, PPL: -293.02524
123: bad sentence 61, PPL: -1002.57214
124: good sentence 62, PPL: -501.75790
125: bad sentence 62, PPL: -850.22217
126: good sentence 63, PPL: -1656.48022
127: bad sentence 63, PPL: -1892.58984
128: good sentence 64, PPL: -821.50092
129: bad sentence 64, PPL: -691.49475
130: good sentence 65, PPL: -191.98013
131: bad sentence 65, PPL: -338.52014
132: good sentence 66, PPL: -1201.68066
133: bad sentence 66, PPL: -3332.93823
134: good sentence 67, PPL: -5351.35449
135: bad sentence 67, PPL: -2943.19043
136: good sentence 68, PPL: -1921.82922
137: bad sentence 68, PPL: -2090.31006
138: good sentence 69, PPL: -1343.79163
139: bad sentence 69, PPL: -2943.72949
140: good sentence 70, PPL: -880.13269
141: bad sentence 70, PPL: -1142.18787
142: good sentence 71, PPL: -484.69223
143: bad sentence 71, PPL: -1970.10498
144: good sentence 72, PPL: -313.50198
145: bad sentence 72, PPL: -335.80423
146: good sentence 73, PPL: -804.73700
147: bad sentence 73, PPL: -1631.43127
148: good sentence 74, PPL: -505.30853
149: bad sentence 74, PPL: -883.54883
150: good sentence 75, PPL: -1005.36304
151: bad sentence 75, PPL: -2079.95972
152: good sentence 76, PPL: -1194.52917
153: bad sentence 76, PPL: -2796.34253
154: good sentence 77, PPL: -372.97067
155: bad sentence 77, PPL: -1092.70276
156: good sentence 78, PPL: -234.45886
157: bad sentence 78, PPL: -730.36749
158: good sentence 79, PPL: -192.57564
159: bad sentence 79, PPL: -365.23547
160: good sentence 80, PPL: -354.69482
161: bad sentence 80, PPL: -437.42426
162: good sentence 81, PPL: -843.46576
163: bad sentence 81, PPL: -1364.70203
164: good sentence 82, PPL: -1075.94250
165: bad sentence 82, PPL: -1628.31470
166: good sentence 83, PPL: -322.20728
167: bad sentence 83, PPL: -494.98849
168: good sentence 84, PPL: -1077.81726
169: bad sentence 84, PPL: -1314.09497
170: good sentence 85, PPL: -729.79871
171: bad sentence 85, PPL: -1123.37268
172: good sentence 86, PPL: -130.20033
173: bad sentence 86, PPL: -207.01088
174: good sentence 87, PPL: -454.51364
175: bad sentence 87, PPL: -724.28436
176: good sentence 88, PPL: -345.37332
177: bad sentence 88, PPL: -594.34375
178: good sentence 89, PPL: -184.35614
179: bad sentence 89, PPL: -272.26096
180: good sentence 90, PPL: -1685.28076
181: bad sentence 90, PPL: -2577.85132
182: good sentence 91, PPL: -304.19199
183: bad sentence 91, PPL: -1684.63733
184: good sentence 92, PPL: -354.89853
185: bad sentence 92, PPL: -966.26245
186: good sentence 93, PPL: -1123.67053
187: bad sentence 93, PPL: -2187.56030
188: good sentence 94, PPL: -676.86108
189: bad sentence 94, PPL: -964.43640
190: good sentence 95, PPL: -1487.90906
191: bad sentence 95, PPL: -2783.95190
192: good sentence 96, PPL: -166.62949
193: bad sentence 96, PPL: -270.03775
194: good sentence 97, PPL: -838.08105
195: bad sentence 97, PPL: -1403.42993
196: good sentence 98, PPL: -670.60455
197: bad sentence 98, PPL: -3109.88281
198: good sentence 99, PPL: -772.17847
199: bad sentence 99, PPL: -1453.65942
200: good sentence 100, PPL: -1570.42151
201: bad sentence 100, PPL: -7040.79980
202: good sentence 101, PPL: -486.23926
203: bad sentence 101, PPL: -1192.22009
204: good sentence 102, PPL: -452.73904
205: bad sentence 102, PPL: -657.41602
206: good sentence 103, PPL: -747.06970
207: bad sentence 103, PPL: -1896.45374
208: good sentence 104, PPL: -284.30991
209: bad sentence 104, PPL: -407.88562
210: good sentence 105, PPL: -346.64127
211: bad sentence 105, PPL: -694.99042
212: good sentence 106, PPL: -337.83511
213: bad sentence 106, PPL: -767.98938
214: good sentence 107, PPL: -2394.13428
215: bad sentence 107, PPL: -3849.29688
216: good sentence 108, PPL: -191.26753
217: bad sentence 108, PPL: -383.49881
218: good sentence 109, PPL: -446.98019
219: bad sentence 109, PPL: -612.82965
220: good sentence 110, PPL: -181.32884
221: bad sentence 110, PPL: -889.27728
222: good sentence 111, PPL: -485.39233
223: bad sentence 111, PPL: -2226.91309
224: good sentence 112, PPL: -431.44586
225: bad sentence 112, PPL: -782.57672
226: good sentence 113, PPL: -652.77545
227: bad sentence 113, PPL: -849.38385
228: good sentence 114, PPL: -181.90274
229: bad sentence 114, PPL: -297.78098
230: good sentence 115, PPL: -698.93964
231: bad sentence 115, PPL: -1575.49109
232: good sentence 116, PPL: -9425.94531
233: bad sentence 116, PPL: -577.80157
234: good sentence 117, PPL: -1060.43799
235: bad sentence 117, PPL: -2183.01929
236: good sentence 118, PPL: -224.96698
237: bad sentence 118, PPL: -296.96747
238: good sentence 119, PPL: -1073.54919
239: bad sentence 119, PPL: -3256.57837
240: good sentence 120, PPL: -355.76077
241: bad sentence 120, PPL: -644.99042
242: good sentence 121, PPL: -552.46979
243: bad sentence 121, PPL: -1641.83484
244: good sentence 122, PPL: -176.91422
245: bad sentence 122, PPL: -233.44772
246: good sentence 123, PPL: -687.92676
247: bad sentence 123, PPL: -1279.92017
248: good sentence 124, PPL: -765.70990
249: bad sentence 124, PPL: -1097.29590
250: good sentence 125, PPL: -1009.56903
251: bad sentence 125, PPL: -2008.25684
252: good sentence 126, PPL: -1014.58557
253: bad sentence 126, PPL: -2168.05835
254: good sentence 127, PPL: -420.10471
255: bad sentence 127, PPL: -1769.19861
256: good sentence 128, PPL: -1285.91333
257: bad sentence 128, PPL: -4174.03076
258: good sentence 129, PPL: -1423.69592
259: bad sentence 129, PPL: -3475.38184
260: good sentence 130, PPL: -1457.08350
261: bad sentence 130, PPL: -4565.95068
262: good sentence 131, PPL: -239.96730
263: bad sentence 131, PPL: -901.57043
264: good sentence 132, PPL: -4713.80664
265: bad sentence 132, PPL: -6991.90674
266: good sentence 133, PPL: -790.93616
267: bad sentence 133, PPL: -903.40881
268: good sentence 134, PPL: -3181.57690
269: bad sentence 134, PPL: -6640.59424
270: good sentence 135, PPL: -1839.99316
271: bad sentence 135, PPL: -2066.86377
272: good sentence 136, PPL: -508.58081
273: bad sentence 136, PPL: -590.64465
274: good sentence 137, PPL: -277.76495
275: bad sentence 137, PPL: -820.64819
276: good sentence 138, PPL: -247.68256
277: bad sentence 138, PPL: -308.89050
278: good sentence 139, PPL: -1925.95203
279: bad sentence 139, PPL: -2289.24341
280: good sentence 140, PPL: -832.13464
281: bad sentence 140, PPL: -1468.43872
282: good sentence 141, PPL: -824.99774
283: bad sentence 141, PPL: -2894.85913
284: good sentence 142, PPL: -663.31219
285: bad sentence 142, PPL: -1490.28564
286: good sentence 143, PPL: -692.65637
287: bad sentence 143, PPL: -2040.15088
288: good sentence 144, PPL: -552.88196
289: bad sentence 144, PPL: -1480.59814
290: good sentence 145, PPL: -2193.63135
291: bad sentence 145, PPL: -3227.31812
292: good sentence 146, PPL: -1731.68628
293: bad sentence 146, PPL: -5222.42725
294: good sentence 147, PPL: -391.91220
295: bad sentence 147, PPL: -748.09100
296: good sentence 148, PPL: -864.62646
297: bad sentence 148, PPL: -1746.64856
298: good sentence 149, PPL: -2610.41699
299: bad sentence 149, PPL: -4807.99756
300: good sentence 150, PPL: -1041.51624
301: bad sentence 150, PPL: -2099.88672
302: good sentence 151, PPL: -385.33459
303: bad sentence 151, PPL: -696.71552
304: good sentence 152, PPL: -357.63153
305: bad sentence 152, PPL: -808.95209
306: good sentence 153, PPL: -544.15515
307: bad sentence 153, PPL: -1721.50867
308: good sentence 154, PPL: -1192.58850
309: bad sentence 154, PPL: -3620.26880
310: good sentence 155, PPL: -236.73375
311: bad sentence 155, PPL: -336.22403
312: good sentence 156, PPL: -344.91187
