PolarityItem
	more_or_less
Model: baichuan-inc/Baichuan-7B, Accuracy: 96.80000, Average Perplexity (Good Sentences): -140.63547, Average Perplexity (Bad Sentences): -275.31400
0: good sentence 0, PPL: -76.53470
1: bad sentence 0, PPL: -202.11147
2: good sentence 1, PPL: -80.97526
3: bad sentence 1, PPL: -174.36119
4: good sentence 2, PPL: -187.88353
5: bad sentence 2, PPL: -386.85623
6: good sentence 3, PPL: -97.75452
7: bad sentence 3, PPL: -233.90935
8: good sentence 4, PPL: -170.47098
9: bad sentence 4, PPL: -343.73138
10: good sentence 5, PPL: -162.77705
11: bad sentence 5, PPL: -384.55081
12: good sentence 6, PPL: -145.38867
13: bad sentence 6, PPL: -367.86212
14: good sentence 7, PPL: -83.46629
15: bad sentence 7, PPL: -243.70474
16: good sentence 8, PPL: -154.87675
17: bad sentence 8, PPL: -313.67841
18: good sentence 9, PPL: -184.79663
19: bad sentence 9, PPL: -281.32367
20: good sentence 10, PPL: -210.74048
21: bad sentence 10, PPL: -416.31183
22: good sentence 11, PPL: -58.64233
23: bad sentence 11, PPL: -159.93265
24: good sentence 12, PPL: -42.25666
25: bad sentence 12, PPL: -86.35791
26: good sentence 13, PPL: -95.32976
27: bad sentence 13, PPL: -202.86990
28: good sentence 14, PPL: -56.53337
29: bad sentence 14, PPL: -188.85901
30: good sentence 15, PPL: -497.83536
31: bad sentence 15, PPL: -227.21118
32: good sentence 16, PPL: -152.91510
33: bad sentence 16, PPL: -421.06497
34: good sentence 17, PPL: -187.47499
35: bad sentence 17, PPL: -441.15024
36: good sentence 18, PPL: -84.41332
37: bad sentence 18, PPL: -109.69035
38: good sentence 19, PPL: -86.74925
39: bad sentence 19, PPL: -167.55037
40: good sentence 20, PPL: -293.82346
41: bad sentence 20, PPL: -465.70898
42: good sentence 21, PPL: -294.99792
43: bad sentence 21, PPL: -891.61084
44: good sentence 22, PPL: -235.91180
45: bad sentence 22, PPL: -315.15335
46: good sentence 23, PPL: -149.56020
47: bad sentence 23, PPL: -218.75801
48: good sentence 24, PPL: -172.05731
49: bad sentence 24, PPL: -313.88757
50: good sentence 25, PPL: -173.82492
51: bad sentence 25, PPL: -245.78789
52: good sentence 26, PPL: -105.02744
53: bad sentence 26, PPL: -150.57603
54: good sentence 27, PPL: -84.51804
55: bad sentence 27, PPL: -181.50012
56: good sentence 28, PPL: -152.86240
57: bad sentence 28, PPL: -266.50754
58: good sentence 29, PPL: -52.23250
59: bad sentence 29, PPL: -132.97327
60: good sentence 30, PPL: -199.94690
61: bad sentence 30, PPL: -503.62973
62: good sentence 31, PPL: -64.00525
63: bad sentence 31, PPL: -153.40735
64: good sentence 32, PPL: -195.54559
65: bad sentence 32, PPL: -263.19482
66: good sentence 33, PPL: -76.74286
67: bad sentence 33, PPL: -130.02080
68: good sentence 34, PPL: -96.90540
69: bad sentence 34, PPL: -167.58464
70: good sentence 35, PPL: -258.58438
71: bad sentence 35, PPL: -581.98077
72: good sentence 36, PPL: -92.33753
73: bad sentence 36, PPL: -192.71408
