RelativeClause
	rc_resumptive_noun
Model: baichuan-inc/Baichuan-7B, Accuracy: 28.50000, Average Perplexity (Good Sentences): -305.65570, Average Perplexity (Bad Sentences): -250.55449
0: good sentence 0, PPL: -287.06976
1: bad sentence 0, PPL: -185.08986
2: good sentence 1, PPL: -160.10831
3: bad sentence 1, PPL: -175.68483
4: good sentence 2, PPL: -293.45465
5: bad sentence 2, PPL: -172.06183
6: good sentence 3, PPL: -650.84436
7: bad sentence 3, PPL: -481.72775
8: good sentence 4, PPL: -389.27567
9: bad sentence 4, PPL: -267.53326
10: good sentence 5, PPL: -389.29944
11: bad sentence 5, PPL: -133.00073
12: good sentence 6, PPL: -583.54443
13: bad sentence 6, PPL: -344.68530
14: good sentence 7, PPL: -107.84978
15: bad sentence 7, PPL: -70.57798
16: good sentence 8, PPL: -218.51062
17: bad sentence 8, PPL: -168.50960
18: good sentence 9, PPL: -359.20441
19: bad sentence 9, PPL: -310.18024
20: good sentence 10, PPL: -450.44940
21: bad sentence 10, PPL: -333.21814
22: good sentence 11, PPL: -794.85919
23: bad sentence 11, PPL: -287.85284
24: good sentence 12, PPL: -61.82894
25: bad sentence 12, PPL: -98.75168
26: good sentence 13, PPL: -128.26151
27: bad sentence 13, PPL: -105.36627
28: good sentence 14, PPL: -106.60876
29: bad sentence 14, PPL: -61.13216
30: good sentence 15, PPL: -745.66003
31: bad sentence 15, PPL: -477.71118
32: good sentence 16, PPL: -428.21878
33: bad sentence 16, PPL: -273.61224
34: good sentence 17, PPL: -238.14720
35: bad sentence 17, PPL: -315.66849
36: good sentence 18, PPL: -599.37610
37: bad sentence 18, PPL: -676.81079
38: good sentence 19, PPL: -796.74670
39: bad sentence 19, PPL: -632.69495
40: good sentence 20, PPL: -108.01510
41: bad sentence 20, PPL: -118.71643
42: good sentence 21, PPL: -220.65128
43: bad sentence 21, PPL: -207.62408
44: good sentence 22, PPL: -669.34009
45: bad sentence 22, PPL: -423.41882
46: good sentence 23, PPL: -143.84752
47: bad sentence 23, PPL: -100.27514
48: good sentence 24, PPL: -314.27530
49: bad sentence 24, PPL: -242.60487
50: good sentence 25, PPL: -201.91843
51: bad sentence 25, PPL: -233.01588
52: good sentence 26, PPL: -171.16185
53: bad sentence 26, PPL: -119.81264
54: good sentence 27, PPL: -508.05386
55: bad sentence 27, PPL: -346.69153
56: good sentence 28, PPL: -257.30286
57: bad sentence 28, PPL: -178.24132
58: good sentence 29, PPL: -159.66345
59: bad sentence 29, PPL: -148.74323
60: good sentence 30, PPL: -339.76175
61: bad sentence 30, PPL: -280.35709
62: good sentence 31, PPL: -369.24326
63: bad sentence 31, PPL: -384.59464
64: good sentence 32, PPL: -890.00989
65: bad sentence 32, PPL: -808.19952
66: good sentence 33, PPL: -138.89838
67: bad sentence 33, PPL: -114.89965
68: good sentence 34, PPL: -395.22528
69: bad sentence 34, PPL: -297.18378
70: good sentence 35, PPL: -302.63248
71: bad sentence 35, PPL: -267.31113
72: good sentence 36, PPL: -279.19232
73: bad sentence 36, PPL: -322.23712
74: good sentence 37, PPL: -101.96722
75: bad sentence 37, PPL: -118.30148
76: good sentence 38, PPL: -440.19626
77: bad sentence 38, PPL: -416.59760
78: good sentence 39, PPL: -118.50671
79: bad sentence 39, PPL: -119.00622
80: good sentence 40, PPL: -100.18939
81: bad sentence 40, PPL: -102.99940
82: good sentence 41, PPL: -277.88950
83: bad sentence 41, PPL: -274.31012
84: good sentence 42, PPL: -74.90351
85: bad sentence 42, PPL: -71.66081
86: good sentence 43, PPL: -179.07253
87: bad sentence 43, PPL: -161.94627
88: good sentence 44, PPL: -401.32343
89: bad sentence 44, PPL: -399.92032
90: good sentence 45, PPL: -293.39951
91: bad sentence 45, PPL: -209.06398
92: good sentence 46, PPL: -131.66087
93: bad sentence 46, PPL: -139.80666
94: good sentence 47, PPL: -428.65085
95: bad sentence 47, PPL: -535.27020
96: good sentence 48, PPL: -181.53423
97: bad sentence 48, PPL: -109.14951
98: good sentence 49, PPL: -186.25676
99: bad sentence 49, PPL: -146.82056
100: good sentence 50, PPL: -485.86890
101: bad sentence 50, PPL: -478.09494
102: good sentence 51, PPL: -155.88670
103: bad sentence 51, PPL: -184.51735
104: good sentence 52, PPL: -429.81299
105: bad sentence 52, PPL: -278.35406
106: good sentence 53, PPL: -371.33063
107: bad sentence 53, PPL: -162.77736
108: good sentence 54, PPL: -649.85138
109: bad sentence 54, PPL: -419.96231
110: good sentence 55, PPL: -255.94948
111: bad sentence 55, PPL: -301.15637
112: good sentence 56, PPL: -143.89362
113: bad sentence 56, PPL: -173.11943
114: good sentence 57, PPL: -340.68146
115: bad sentence 57, PPL: -284.14865
116: good sentence 58, PPL: -348.46027
117: bad sentence 58, PPL: -192.32329
118: good sentence 59, PPL: -266.63974
119: bad sentence 59, PPL: -215.95006
120: good sentence 60, PPL: -509.17676
121: bad sentence 60, PPL: -382.79834
122: good sentence 61, PPL: -269.35657
123: bad sentence 61, PPL: -133.28484
124: good sentence 62, PPL: -628.42145
125: bad sentence 62, PPL: -461.50278
126: good sentence 63, PPL: -157.77780
127: bad sentence 63, PPL: -109.80904
128: good sentence 64, PPL: -281.88159
129: bad sentence 64, PPL: -298.43826
130: good sentence 65, PPL: -795.71204
131: bad sentence 65, PPL: -448.85184
132: good sentence 66, PPL: -588.51624
133: bad sentence 66, PPL: -352.50360
134: good sentence 67, PPL: -240.79256
135: bad sentence 67, PPL: -229.22168
136: good sentence 68, PPL: -149.66885
137: bad sentence 68, PPL: -198.80104
138: good sentence 69, PPL: -132.42555
139: bad sentence 69, PPL: -139.45078
140: good sentence 70, PPL: -107.85267
141: bad sentence 70, PPL: -102.79372
142: good sentence 71, PPL: -405.49918
143: bad sentence 71, PPL: -149.39990
144: good sentence 72, PPL: -196.17198
145: bad sentence 72, PPL: -157.98483
146: good sentence 73, PPL: -451.06604
147: bad sentence 73, PPL: -332.83795
148: good sentence 74, PPL: -340.65527
149: bad sentence 74, PPL: -288.00827
150: good sentence 75, PPL: -803.62915
151: bad sentence 75, PPL: -646.17249
152: good sentence 76, PPL: -181.99367
153: bad sentence 76, PPL: -121.08983
154: good sentence 77, PPL: -806.78876
155: bad sentence 77, PPL: -769.85638
156: good sentence 78, PPL: -585.78308
157: bad sentence 78, PPL: -322.46707
158: good sentence 79, PPL: -468.36063
159: bad sentence 79, PPL: -256.42282
160: good sentence 80, PPL: -171.92249
161: bad sentence 80, PPL: -112.78947
162: good sentence 81, PPL: -512.83667
163: bad sentence 81, PPL: -485.42615
164: good sentence 82, PPL: -401.42484
165: bad sentence 82, PPL: -474.24026
166: good sentence 83, PPL: -269.81366
167: bad sentence 83, PPL: -192.20483
168: good sentence 84, PPL: -276.61859
169: bad sentence 84, PPL: -229.71208
170: good sentence 85, PPL: -338.42169
171: bad sentence 85, PPL: -350.22034
172: good sentence 86, PPL: -181.74191
173: bad sentence 86, PPL: -123.46527
174: good sentence 87, PPL: -363.95541
175: bad sentence 87, PPL: -352.79568
176: good sentence 88, PPL: -342.10880
177: bad sentence 88, PPL: -257.03946
178: good sentence 89, PPL: -2041.62903
179: bad sentence 89, PPL: -746.99133
180: good sentence 90, PPL: -811.37781
181: bad sentence 90, PPL: -831.50519
182: good sentence 91, PPL: -340.80884
183: bad sentence 91, PPL: -354.91916
184: good sentence 92, PPL: -1121.04224
185: bad sentence 92, PPL: -882.93933
186: good sentence 93, PPL: -348.11798
187: bad sentence 93, PPL: -126.34074
188: good sentence 94, PPL: -319.45178
189: bad sentence 94, PPL: -552.65057
190: good sentence 95, PPL: -103.43961
191: bad sentence 95, PPL: -109.76559
192: good sentence 96, PPL: -797.31555
193: bad sentence 96, PPL: -616.17151
194: good sentence 97, PPL: -820.88379
195: bad sentence 97, PPL: -684.92590
196: good sentence 98, PPL: -686.05981
197: bad sentence 98, PPL: -553.62671
198: good sentence 99, PPL: -207.65161
199: bad sentence 99, PPL: -122.97519
200: good sentence 100, PPL: -296.40073
201: bad sentence 100, PPL: -231.82227
202: good sentence 101, PPL: -166.97548
203: bad sentence 101, PPL: -197.05287
204: good sentence 102, PPL: -297.09482
205: bad sentence 102, PPL: -372.36487
206: good sentence 103, PPL: -392.71738
207: bad sentence 103, PPL: -265.26794
208: good sentence 104, PPL: -252.19652
209: bad sentence 104, PPL: -241.09290
210: good sentence 105, PPL: -458.37579
211: bad sentence 105, PPL: -634.54462
212: good sentence 106, PPL: -544.38617
213: bad sentence 106, PPL: -523.39374
214: good sentence 107, PPL: -265.68784
