RelativeClause
	rc_resumptive_pronoun
Model: baichuan-inc/Baichuan-7B, Accuracy: 77.80000, Average Perplexity (Good Sentences): -305.65570, Average Perplexity (Bad Sentences): -364.72571
0: good sentence 0, PPL: -287.06976
1: bad sentence 0, PPL: -339.34695
2: good sentence 1, PPL: -160.10831
3: bad sentence 1, PPL: -255.79135
4: good sentence 2, PPL: -293.45465
5: bad sentence 2, PPL: -254.18565
6: good sentence 3, PPL: -650.84436
7: bad sentence 3, PPL: -618.68311
8: good sentence 4, PPL: -389.27567
9: bad sentence 4, PPL: -468.75433
10: good sentence 5, PPL: -389.29944
11: bad sentence 5, PPL: -430.85437
12: good sentence 6, PPL: -583.54443
13: bad sentence 6, PPL: -442.34839
14: good sentence 7, PPL: -107.84978
15: bad sentence 7, PPL: -133.67476
16: good sentence 8, PPL: -218.51062
17: bad sentence 8, PPL: -305.63470
18: good sentence 9, PPL: -359.20441
19: bad sentence 9, PPL: -412.99091
20: good sentence 10, PPL: -450.44940
21: bad sentence 10, PPL: -521.78699
22: good sentence 11, PPL: -794.85919
23: bad sentence 11, PPL: -750.63269
24: good sentence 12, PPL: -61.82894
25: bad sentence 12, PPL: -162.00226
26: good sentence 13, PPL: -128.26151
27: bad sentence 13, PPL: -154.86177
28: good sentence 14, PPL: -106.60876
29: bad sentence 14, PPL: -91.02170
30: good sentence 15, PPL: -745.66003
31: bad sentence 15, PPL: -869.24402
32: good sentence 16, PPL: -428.21878
33: bad sentence 16, PPL: -628.80035
34: good sentence 17, PPL: -238.14720
35: bad sentence 17, PPL: -493.10083
36: good sentence 18, PPL: -599.37610
37: bad sentence 18, PPL: -1191.00745
38: good sentence 19, PPL: -796.74670
39: bad sentence 19, PPL: -977.17188
40: good sentence 20, PPL: -108.01510
41: bad sentence 20, PPL: -131.08893
42: good sentence 21, PPL: -220.65128
43: bad sentence 21, PPL: -253.55643
44: good sentence 22, PPL: -669.34009
45: bad sentence 22, PPL: -543.40448
46: good sentence 23, PPL: -143.84752
47: bad sentence 23, PPL: -249.06859
48: good sentence 24, PPL: -314.27530
49: bad sentence 24, PPL: -323.98581
50: good sentence 25, PPL: -201.91843
51: bad sentence 25, PPL: -310.69345
52: good sentence 26, PPL: -171.16185
