WhFronting
	bare_wh
Model: baichuan-inc/Baichuan-7B, Accuracy: 100.00000, Average Perplexity (Good Sentences): -410.00354, Average Perplexity (Bad Sentences): -1824.30090
0: good sentence 0, PPL: -185.85849
1: bad sentence 0, PPL: -708.02271
2: good sentence 1, PPL: -592.98102
3: bad sentence 1, PPL: -3506.86743
4: good sentence 2, PPL: -238.13573
5: bad sentence 2, PPL: -1233.78064
6: good sentence 3, PPL: -464.57092
7: bad sentence 3, PPL: -1335.93884
8: good sentence 4, PPL: -633.03418
9: bad sentence 4, PPL: -1803.25098
10: good sentence 5, PPL: -183.13110
11: bad sentence 5, PPL: -1163.95715
12: good sentence 6, PPL: -354.63480
13: bad sentence 6, PPL: -1131.90857
14: good sentence 7, PPL: -583.45538
15: bad sentence 7, PPL: -2516.35083
16: good sentence 8, PPL: -649.81604
17: bad sentence 8, PPL: -4802.44775
18: good sentence 9, PPL: -554.80487
19: bad sentence 9, PPL: -3480.08130
20: good sentence 10, PPL: -310.49426
21: bad sentence 10, PPL: -1902.97205
22: good sentence 11, PPL: -381.90588
23: bad sentence 11, PPL: -2117.45337
24: good sentence 12, PPL: -882.80377
25: bad sentence 12, PPL: -3981.42993
26: good sentence 13, PPL: -163.98271
27: bad sentence 13, PPL: -839.02197
28: good sentence 14, PPL: -375.81525
29: bad sentence 14, PPL: -1413.20837
30: good sentence 15, PPL: -372.71732
31: bad sentence 15, PPL: -2115.36255
32: good sentence 16, PPL: -256.83511
33: bad sentence 16, PPL: -851.65936
34: good sentence 17, PPL: -497.47916
35: bad sentence 17, PPL: -1742.21985
36: good sentence 18, PPL: -317.31784
37: bad sentence 18, PPL: -1678.30957
38: good sentence 19, PPL: -482.27774
39: bad sentence 19, PPL: -2781.08740
40: good sentence 20, PPL: -339.04773
41: bad sentence 20, PPL: -1905.42920
42: good sentence 21, PPL: -188.36139
43: bad sentence 21, PPL: -682.99097
44: good sentence 22, PPL: -242.57098
45: bad sentence 22, PPL: -768.30658
46: good sentence 23, PPL: -271.02576
47: bad sentence 23, PPL: -1816.32397
48: good sentence 24, PPL: -458.45383
49: bad sentence 24, PPL: -2811.12085
50: good sentence 25, PPL: -166.92062
51: bad sentence 25, PPL: -817.31854
52: good sentence 26, PPL: -485.77856
53: bad sentence 26, PPL: -3128.99365
54: good sentence 27, PPL: -168.47240
55: bad sentence 27, PPL: -934.98358
56: good sentence 28, PPL: -658.61487
57: bad sentence 28, PPL: -1740.24548
58: good sentence 29, PPL: -562.01129
59: bad sentence 29, PPL: -1957.97888
60: good sentence 30, PPL: -869.48163
61: bad sentence 30, PPL: -2676.73877
62: good sentence 31, PPL: -380.24323
63: bad sentence 31, PPL: -1759.27612
64: good sentence 32, PPL: -211.59294
65: bad sentence 32, PPL: -907.80524
66: good sentence 33, PPL: -579.33685
67: bad sentence 33, PPL: -2249.70752
68: good sentence 34, PPL: -383.86490
69: bad sentence 34, PPL: -2089.91553
70: good sentence 35, PPL: -540.57220
71: bad sentence 35, PPL: -3395.42505
72: good sentence 36, PPL: -496.29950
73: bad sentence 36, PPL: -2123.90918
74: good sentence 37, PPL: -399.29797
75: bad sentence 37, PPL: -1350.67822
76: good sentence 38, PPL: -323.54120
77: bad sentence 38, PPL: -2589.91113
78: good sentence 39, PPL: -203.31895
79: bad sentence 39, PPL: -1043.02869
80: good sentence 40, PPL: -784.32581
81: bad sentence 40, PPL: -3064.11328
82: good sentence 41, PPL: -441.63220
83: bad sentence 41, PPL: -1401.97986
84: good sentence 42, PPL: -254.50816
85: bad sentence 42, PPL: -970.89948
86: good sentence 43, PPL: -188.20633
87: bad sentence 43, PPL: -1422.51660
88: good sentence 44, PPL: -683.69995
89: bad sentence 44, PPL: -2828.84351
90: good sentence 45, PPL: -457.44434
91: bad sentence 45, PPL: -2839.41577
92: good sentence 46, PPL: -276.09650
93: bad sentence 46, PPL: -1215.87646
94: good sentence 47, PPL: -221.27347
95: bad sentence 47, PPL: -1234.31726
96: good sentence 48, PPL: -384.23666
97: bad sentence 48, PPL: -1192.71753
98: good sentence 49, PPL: -399.64542
99: bad sentence 49, PPL: -1907.64197
100: good sentence 50, PPL: -808.94208
101: bad sentence 50, PPL: -3837.22339
102: good sentence 51, PPL: -290.45584
103: bad sentence 51, PPL: -1102.60120
104: good sentence 52, PPL: -1060.47388
105: bad sentence 52, PPL: -3290.31860
106: good sentence 53, PPL: -458.81750
107: bad sentence 53, PPL: -2108.87354
108: good sentence 54, PPL: -446.58926
109: bad sentence 54, PPL: -1844.87256
110: good sentence 55, PPL: -896.54181
111: bad sentence 55, PPL: -4408.76025
112: good sentence 56, PPL: -484.95139
113: bad sentence 56, PPL: -1997.00781
114: good sentence 57, PPL: -226.24921
115: bad sentence 57, PPL: -776.82477
116: good sentence 58, PPL: -541.28564
117: bad sentence 58, PPL: -2697.86914
118: good sentence 59, PPL: -470.35046
119: bad sentence 59, PPL: -3070.34082
120: good sentence 60, PPL: -349.93924
121: bad sentence 60, PPL: -1850.71765
122: good sentence 61, PPL: -977.63611
123: bad sentence 61, PPL: -4263.73828
124: good sentence 62, PPL: -395.37854
125: bad sentence 62, PPL: -1219.70374
126: good sentence 63, PPL: -262.61276
127: bad sentence 63, PPL: -1524.82166
128: good sentence 64, PPL: -898.21570
129: bad sentence 64, PPL: -2495.22095
130: good sentence 65, PPL: -191.18974
131: bad sentence 65, PPL: -821.45001
132: good sentence 66, PPL: -339.16949
133: bad sentence 66, PPL: -921.35571
134: good sentence 67, PPL: -379.86282
135: bad sentence 67, PPL: -1260.81421
136: good sentence 68, PPL: -500.95059
137: bad sentence 68, PPL: -1906.89624
138: good sentence 69, PPL: -254.24530
139: bad sentence 69, PPL: -1976.58459
140: good sentence 70, PPL: -242.92378
141: bad sentence 70, PPL: -1051.06592
142: good sentence 71, PPL: -258.89688
143: bad sentence 71, PPL: -670.16602
144: good sentence 72, PPL: -419.04514
145: bad sentence 72, PPL: -2525.19873
146: good sentence 73, PPL: -248.42134
147: bad sentence 73, PPL: -1348.26843
148: good sentence 74, PPL: -328.29996
149: bad sentence 74, PPL: -1269.05908
150: good sentence 75, PPL: -437.22092
151: bad sentence 75, PPL: -2359.32178
152: good sentence 76, PPL: -813.48639
153: bad sentence 76, PPL: -2199.65503
154: good sentence 77, PPL: -759.75543
155: bad sentence 77, PPL: -2850.25000
156: good sentence 78, PPL: -742.03644
157: bad sentence 78, PPL: -2070.79199
158: good sentence 79, PPL: -298.79410
159: bad sentence 79, PPL: -1087.27246
160: good sentence 80, PPL: -2000.84521
161: bad sentence 80, PPL: -5725.96973
162: good sentence 81, PPL: -582.82751
163: bad sentence 81, PPL: -1474.00330
164: good sentence 82, PPL: -562.55475
165: bad sentence 82, PPL: -2355.20239
166: good sentence 83, PPL: -525.01245
167: bad sentence 83, PPL: -1518.02551
168: good sentence 84, PPL: -118.31948
169: bad sentence 84, PPL: -827.21234
170: good sentence 85, PPL: -190.44418
171: bad sentence 85, PPL: -948.03876
172: good sentence 86, PPL: -577.65222
173: bad sentence 86, PPL: -1792.04492
174: good sentence 87, PPL: -226.09152
175: bad sentence 87, PPL: -910.65979
176: good sentence 88, PPL: -229.43350
177: bad sentence 88, PPL: -967.91656
178: good sentence 89, PPL: -328.96893
179: bad sentence 89, PPL: -1565.79688
180: good sentence 90, PPL: -287.50757
181: bad sentence 90, PPL: -1316.75513
182: good sentence 91, PPL: -1832.91223
183: bad sentence 91, PPL: -21087.75000
184: good sentence 92, PPL: -295.64316
185: bad sentence 92, PPL: -1140.71619
186: good sentence 93, PPL: -514.52753
187: bad sentence 93, PPL: -2461.74365
188: good sentence 94, PPL: -314.47321
189: bad sentence 94, PPL: -1708.35864
190: good sentence 95, PPL: -451.95068
191: bad sentence 95, PPL: -1391.15662
192: good sentence 96, PPL: -961.81860
193: bad sentence 96, PPL: -3619.06738
194: good sentence 97, PPL: -814.17291
195: bad sentence 97, PPL: -3152.18457
196: good sentence 98, PPL: -601.15240
197: bad sentence 98, PPL: -3141.92944
198: good sentence 99, PPL: -182.25211
199: bad sentence 99, PPL: -809.33295
200: good sentence 100, PPL: -390.72678
201: bad sentence 100, PPL: -1625.04309
202: good sentence 101, PPL: -1590.93396
203: bad sentence 101, PPL: -3660.60718
204: good sentence 102, PPL: -710.83716
205: bad sentence 102, PPL: -1204.60596
206: good sentence 103, PPL: -412.20197
207: bad sentence 103, PPL: -1266.78015
208: good sentence 104, PPL: -256.64609
209: bad sentence 104, PPL: -1392.18384
210: good sentence 105, PPL: -414.94373
211: bad sentence 105, PPL: -1404.73889
212: good sentence 106, PPL: -162.56731
213: bad sentence 106, PPL: -1394.53381
214: good sentence 107, PPL: -296.45276
215: bad sentence 107, PPL: -877.18604
216: good sentence 108, PPL: -582.71472
217: bad sentence 108, PPL: -2990.19458
218: good sentence 109, PPL: -384.10568
219: bad sentence 109, PPL: -1557.40796
220: good sentence 110, PPL: -289.16223
221: bad sentence 110, PPL: -993.66876
222: good sentence 111, PPL: -372.36203
223: bad sentence 111, PPL: -1689.40430
224: good sentence 112, PPL: -376.95691
225: bad sentence 112, PPL: -2186.64673
226: good sentence 113, PPL: -369.72849
227: bad sentence 113, PPL: -2488.51123
228: good sentence 114, PPL: -330.70624
229: bad sentence 114, PPL: -2338.58276
230: good sentence 115, PPL: -600.79993
231: bad sentence 115, PPL: -2225.69556
232: good sentence 116, PPL: -1674.37830
233: bad sentence 116, PPL: -3952.10791
234: good sentence 117, PPL: -223.81752
235: bad sentence 117, PPL: -1020.90265
236: good sentence 118, PPL: -260.81088
237: bad sentence 118, PPL: -914.86029
238: good sentence 119, PPL: -563.12646
239: bad sentence 119, PPL: -2132.32983
240: good sentence 120, PPL: -662.58960
241: bad sentence 120, PPL: -2465.97095
242: good sentence 121, PPL: -491.40237
243: bad sentence 121, PPL: -2949.33252
244: good sentence 122, PPL: -548.16156
245: bad sentence 122, PPL: -2274.02295
246: good sentence 123, PPL: -319.35278
247: bad sentence 123, PPL: -1301.17175
248: good sentence 124, PPL: -504.43726
249: bad sentence 124, PPL: -1808.38208
250: good sentence 125, PPL: -390.55801
251: bad sentence 125, PPL: -1091.43420
252: good sentence 126, PPL: -282.90875
253: bad sentence 126, PPL: -1199.50867
254: good sentence 127, PPL: -934.97736
255: bad sentence 127, PPL: -3377.90015
256: good sentence 128, PPL: -371.56656
257: bad sentence 128, PPL: -2855.79785
258: good sentence 129, PPL: -554.19989
259: bad sentence 129, PPL: -1783.21497
260: good sentence 130, PPL: -409.54749
261: bad sentence 130, PPL: -1536.14941
262: good sentence 131, PPL: -230.23088
263: bad sentence 131, PPL: -963.43665
264: good sentence 132, PPL: -546.82904
265: bad sentence 132, PPL: -2495.68628
266: good sentence 133, PPL: -510.73840
267: bad sentence 133, PPL: -1630.76709
268: good sentence 134, PPL: -243.89876
269: bad sentence 134, PPL: -1008.81439
270: good sentence 135, PPL: -144.11995
271: bad sentence 135, PPL: -761.53918
272: good sentence 136, PPL: -533.86133
273: bad sentence 136, PPL: -2191.01978
274: good sentence 137, PPL: -465.26593
275: bad sentence 137, PPL: -3143.97949
276: good sentence 138, PPL: -355.10806
277: bad sentence 138, PPL: -1245.98450
278: good sentence 139, PPL: -262.51639
279: bad sentence 139, PPL: -1855.99097
280: good sentence 140, PPL: -1559.32800
281: bad sentence 140, PPL: -4112.57275
282: good sentence 141, PPL: -465.97818
283: bad sentence 141, PPL: -1632.63977
284: good sentence 142, PPL: -391.26093
285: bad sentence 142, PPL: -1451.66028
286: good sentence 143, PPL: -279.94574
287: bad sentence 143, PPL: -2293.65332
288: good sentence 144, PPL: -359.67761
289: bad sentence 144, PPL: -1323.34607
290: good sentence 145, PPL: -1181.81445
291: bad sentence 145, PPL: -5600.67773
292: good sentence 146, PPL: -351.74701
293: bad sentence 146, PPL: -1604.39612
294: good sentence 147, PPL: -321.54428
295: bad sentence 147, PPL: -1755.86755
296: good sentence 148, PPL: -239.55183
297: bad sentence 148, PPL: -1115.27063
298: good sentence 149, PPL: -248.44823
299: bad sentence 149, PPL: -1583.82190
300: good sentence 150, PPL: -543.67352
301: bad sentence 150, PPL: -1487.96155
302: good sentence 151, PPL: -634.63568
303: bad sentence 151, PPL: -1539.03967
304: good sentence 152, PPL: -308.32236
305: bad sentence 152, PPL: -1332.36865
306: good sentence 153, PPL: -516.19733
307: bad sentence 153, PPL: -2085.72803
308: good sentence 154, PPL: -136.61003
309: bad sentence 154, PPL: -567.57855
310: good sentence 155, PPL: -743.57367
311: bad sentence 155, PPL: -2757.49438
312: good sentence 156, PPL: -517.68884
313: bad sentence 156, PPL: -1534.13123
314: good sentence 157, PPL: -598.16949
315: bad sentence 157, PPL: -1924.37402
316: good sentence 158, PPL: -338.75861
317: bad sentence 158, PPL: -1672.71533
318: good sentence 159, PPL: -579.20538
319: bad sentence 159, PPL: -3584.62183
320: good sentence 160, PPL: -390.26462
321: bad sentence 160, PPL: -1828.66077
322: good sentence 161, PPL: -276.80533
323: bad sentence 161, PPL: -1962.75659
324: good sentence 162, PPL: -791.66895
325: bad sentence 162, PPL: -2058.89526
326: good sentence 163, PPL: -659.26660
327: bad sentence 163, PPL: -3498.11938
328: good sentence 164, PPL: -462.06409
329: bad sentence 164, PPL: -1987.77332
330: good sentence 165, PPL: -173.06065
331: bad sentence 165, PPL: -672.26434
332: good sentence 166, PPL: -938.81354
333: bad sentence 166, PPL: -3733.41821
334: good sentence 167, PPL: -1694.27063
335: bad sentence 167, PPL: -7796.40625
336: good sentence 168, PPL: -586.99915
337: bad sentence 168, PPL: -2369.87549
338: good sentence 169, PPL: -359.18536
339: bad sentence 169, PPL: -1726.98767
340: good sentence 170, PPL: -450.87723
341: bad sentence 170, PPL: -1120.50830
342: good sentence 171, PPL: -446.52795
343: bad sentence 171, PPL: -2350.25391
344: good sentence 172, PPL: -240.74698
345: bad sentence 172, PPL: -1522.31238
346: good sentence 173, PPL: -575.16022
347: bad sentence 173, PPL: -2571.88672
348: good sentence 174, PPL: -300.42117
349: bad sentence 174, PPL: -1356.57568
350: good sentence 175, PPL: -685.55786
351: bad sentence 175, PPL: -4731.97168
352: good sentence 176, PPL: -971.35889
353: bad sentence 176, PPL: -4368.68945
354: good sentence 177, PPL: -188.01169
355: bad sentence 177, PPL: -1204.17981
356: good sentence 178, PPL: -200.53488
357: bad sentence 178, PPL: -668.47577
358: good sentence 179, PPL: -273.85165
359: bad sentence 179, PPL: -1066.70593
360: good sentence 180, PPL: -872.25464
361: bad sentence 180, PPL: -3650.91138
362: good sentence 181, PPL: -753.04504
363: bad sentence 181, PPL: -3914.66040
364: good sentence 182, PPL: -521.56305
365: bad sentence 182, PPL: -1887.50061
366: good sentence 183, PPL: -482.44888
367: bad sentence 183, PPL: -2227.55469
368: good sentence 184, PPL: -363.21701
369: bad sentence 184, PPL: -2633.91333
370: good sentence 185, PPL: -1001.11127
371: bad sentence 185, PPL: -3236.44751
372: good sentence 186, PPL: -323.36166
373: bad sentence 186, PPL: -1188.61829
