WhFronting
	mod_wh
Model: baichuan-inc/Baichuan-7B, Accuracy: 100.00000, Average Perplexity (Good Sentences): -439.41342, Average Perplexity (Bad Sentences): -1996.53357
0: good sentence 0, PPL: -165.96007
1: bad sentence 0, PPL: -676.37842
2: good sentence 1, PPL: -542.93958
3: bad sentence 1, PPL: -2989.47046
4: good sentence 2, PPL: -156.09378
5: bad sentence 2, PPL: -1058.99133
6: good sentence 3, PPL: -442.65118
7: bad sentence 3, PPL: -1861.25623
8: good sentence 4, PPL: -490.97256
9: bad sentence 4, PPL: -1626.22668
10: good sentence 5, PPL: -232.69720
11: bad sentence 5, PPL: -888.61353
12: good sentence 6, PPL: -271.68372
13: bad sentence 6, PPL: -1005.83350
14: good sentence 7, PPL: -590.13599
15: bad sentence 7, PPL: -2324.84253
16: good sentence 8, PPL: -1615.57764
17: bad sentence 8, PPL: -5563.88037
18: good sentence 9, PPL: -1505.54224
19: bad sentence 9, PPL: -5468.26758
20: good sentence 10, PPL: -288.29376
21: bad sentence 10, PPL: -2413.94067
22: good sentence 11, PPL: -492.16638
23: bad sentence 11, PPL: -3929.77954
24: good sentence 12, PPL: -618.64563
25: bad sentence 12, PPL: -2260.86377
26: good sentence 13, PPL: -201.10637
27: bad sentence 13, PPL: -782.70764
28: good sentence 14, PPL: -469.90686
29: bad sentence 14, PPL: -2023.96448
30: good sentence 15, PPL: -381.29666
31: bad sentence 15, PPL: -1414.20532
32: good sentence 16, PPL: -288.81165
33: bad sentence 16, PPL: -783.84052
34: good sentence 17, PPL: -432.18875
35: bad sentence 17, PPL: -1378.60059
36: good sentence 18, PPL: -126.56626
37: bad sentence 18, PPL: -888.21826
38: good sentence 19, PPL: -255.82623
39: bad sentence 19, PPL: -2079.78101
40: good sentence 20, PPL: -454.01025
41: bad sentence 20, PPL: -2623.88501
42: good sentence 21, PPL: -399.75864
43: bad sentence 21, PPL: -1628.56079
44: good sentence 22, PPL: -235.60503
45: bad sentence 22, PPL: -1167.69397
46: good sentence 23, PPL: -224.02325
47: bad sentence 23, PPL: -1842.45581
48: good sentence 24, PPL: -1035.50598
49: bad sentence 24, PPL: -2393.54761
50: good sentence 25, PPL: -130.08510
51: bad sentence 25, PPL: -621.51666
52: good sentence 26, PPL: -1376.08911
53: bad sentence 26, PPL: -5226.09912
54: good sentence 27, PPL: -428.30392
55: bad sentence 27, PPL: -2040.01648
56: good sentence 28, PPL: -688.46661
57: bad sentence 28, PPL: -2217.00342
58: good sentence 29, PPL: -552.09821
59: bad sentence 29, PPL: -2042.31946
60: good sentence 30, PPL: -1252.45959
61: bad sentence 30, PPL: -4144.86328
62: good sentence 31, PPL: -421.99054
63: bad sentence 31, PPL: -2212.71875
64: good sentence 32, PPL: -379.94037
65: bad sentence 32, PPL: -1441.36096
66: good sentence 33, PPL: -329.74081
67: bad sentence 33, PPL: -2749.59253
68: good sentence 34, PPL: -354.13715
69: bad sentence 34, PPL: -3040.56104
70: good sentence 35, PPL: -559.22156
71: bad sentence 35, PPL: -3753.26733
72: good sentence 36, PPL: -255.65369
73: bad sentence 36, PPL: -2007.50916
74: good sentence 37, PPL: -291.45908
75: bad sentence 37, PPL: -2064.27930
76: good sentence 38, PPL: -673.42828
77: bad sentence 38, PPL: -3552.69873
78: good sentence 39, PPL: -213.99150
79: bad sentence 39, PPL: -994.12799
80: good sentence 40, PPL: -1362.23584
81: bad sentence 40, PPL: -4288.04590
82: good sentence 41, PPL: -739.75458
83: bad sentence 41, PPL: -2041.22900
84: good sentence 42, PPL: -273.31924
85: bad sentence 42, PPL: -1826.34033
86: good sentence 43, PPL: -339.51721
