Anaphor
	baseline_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 89.80000, Average Perplexity (Good Sentences): -21970.28320, Average Perplexity (Bad Sentences): -22974.29883
0: good sentence 0, PPL: -15259.93555
1: bad sentence 0, PPL: -16523.21484
2: good sentence 1, PPL: -13215.62109
3: bad sentence 1, PPL: -13770.30371
4: good sentence 2, PPL: -39958.98047
5: bad sentence 2, PPL: -40826.41016
6: good sentence 3, PPL: -30202.19922
7: bad sentence 3, PPL: -31584.41992
8: good sentence 4, PPL: -36927.09375
9: bad sentence 4, PPL: -37961.93750
10: good sentence 5, PPL: -23922.25195
11: bad sentence 5, PPL: -25405.94141
12: good sentence 6, PPL: -75457.66406
13: bad sentence 6, PPL: -79366.35156
14: good sentence 7, PPL: -26439.52148
15: bad sentence 7, PPL: -28118.22070
16: good sentence 8, PPL: -41871.46094
17: bad sentence 8, PPL: -43670.33594
18: good sentence 9, PPL: -64732.71875
19: bad sentence 9, PPL: -68274.03125
20: good sentence 10, PPL: -11959.95703
21: bad sentence 10, PPL: -12300.76270
22: good sentence 11, PPL: -37900.36719
23: bad sentence 11, PPL: -42221.80078
24: good sentence 12, PPL: -44528.64453
25: bad sentence 12, PPL: -48286.50000
26: good sentence 13, PPL: -10568.81641
27: bad sentence 13, PPL: -10728.68066
28: good sentence 14, PPL: -22690.18945
29: bad sentence 14, PPL: -23623.17578
30: good sentence 15, PPL: -25543.86133
31: bad sentence 15, PPL: -27565.24023
32: good sentence 16, PPL: -32562.28906
33: bad sentence 16, PPL: -34723.51953
34: good sentence 17, PPL: -31909.88867
35: bad sentence 17, PPL: -33378.38281
36: good sentence 18, PPL: -7187.51855
37: bad sentence 18, PPL: -7692.74805
38: good sentence 19, PPL: -62500.84375
39: bad sentence 19, PPL: -66172.13281
40: good sentence 20, PPL: -38854.02344
41: bad sentence 20, PPL: -42081.10547
42: good sentence 21, PPL: -24469.73047
43: bad sentence 21, PPL: -26133.63672
44: good sentence 22, PPL: -23328.16992
45: bad sentence 22, PPL: -23764.06055
46: good sentence 23, PPL: -21309.68555
47: bad sentence 23, PPL: -22139.07227
48: good sentence 24, PPL: -74372.71875
49: bad sentence 24, PPL: -77592.11719
50: good sentence 25, PPL: -31831.19922
51: bad sentence 25, PPL: -34283.22266
52: good sentence 26, PPL: -6889.51025
53: bad sentence 26, PPL: -6647.44434
54: good sentence 27, PPL: -58463.07031
55: bad sentence 27, PPL: -60803.74609
56: good sentence 28, PPL: -13550.54590
57: bad sentence 28, PPL: -14151.59863
58: good sentence 29, PPL: -35169.60156
59: bad sentence 29, PPL: -38914.50391
60: good sentence 30, PPL: -18742.20898
61: bad sentence 30, PPL: -18903.49805
62: good sentence 31, PPL: -58787.45703
63: bad sentence 31, PPL: -62041.67188
64: good sentence 32, PPL: -96586.22656
65: bad sentence 32, PPL: -101401.29688
66: good sentence 33, PPL: -12179.05078
67: bad sentence 33, PPL: -11802.65234
68: good sentence 34, PPL: -14075.12109
69: bad sentence 34, PPL: -14471.21777
70: good sentence 35, PPL: -44965.27734
71: bad sentence 35, PPL: -46658.63281
72: good sentence 36, PPL: -22355.05469
73: bad sentence 36, PPL: -22698.32617
74: good sentence 37, PPL: -20739.12695
75: bad sentence 37, PPL: -20529.69141
76: good sentence 38, PPL: -16994.81250
77: bad sentence 38, PPL: -18155.07617
78: good sentence 39, PPL: -20195.45312
79: bad sentence 39, PPL: -20461.65039
80: good sentence 40, PPL: -66126.52344
81: bad sentence 40, PPL: -70770.21094
82: good sentence 41, PPL: -23014.53906
83: bad sentence 41, PPL: -24702.77148
84: good sentence 42, PPL: -38774.51172
85: bad sentence 42, PPL: -40427.69141
86: good sentence 43, PPL: -26984.97070
87: bad sentence 43, PPL: -28346.53711
88: good sentence 44, PPL: -18981.53711
89: bad sentence 44, PPL: -20331.94727
90: good sentence 45, PPL: -17124.97070
91: bad sentence 45, PPL: -18381.78711
92: good sentence 46, PPL: -88635.71094
93: bad sentence 46, PPL: -97048.71875
94: good sentence 47, PPL: -42308.82422
95: bad sentence 47, PPL: -43407.38281
96: good sentence 48, PPL: -11398.09766
97: bad sentence 48, PPL: -11467.40918
98: good sentence 49, PPL: -31128.27734
99: bad sentence 49, PPL: -33357.21875
100: good sentence 50, PPL: -18955.90430
101: bad sentence 50, PPL: -19760.53906
102: good sentence 51, PPL: -52478.77344
103: bad sentence 51, PPL: -55731.50391
104: good sentence 52, PPL: -32303.83594
105: bad sentence 52, PPL: -33686.75391
106: good sentence 53, PPL: -12947.66699
107: bad sentence 53, PPL: -13473.32031
108: good sentence 54, PPL: -33984.84766
109: bad sentence 54, PPL: -36008.26172
110: good sentence 55, PPL: -21449.98633
111: bad sentence 55, PPL: -22924.44141
112: good sentence 56, PPL: -18309.80859
113: bad sentence 56, PPL: -19838.35352
114: good sentence 57, PPL: -51387.23438
115: bad sentence 57, PPL: -53997.30469
116: good sentence 58, PPL: -10803.82812
117: bad sentence 58, PPL: -10630.81348
118: good sentence 59, PPL: -15354.50098
119: bad sentence 59, PPL: -14297.04590
