Anaphor
	baseline_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 53.80000, Average Perplexity (Good Sentences): -24010.22461, Average Perplexity (Bad Sentences): -24138.77344
0: good sentence 0, PPL: -15814.20605
1: bad sentence 0, PPL: -15925.14160
2: good sentence 1, PPL: -10841.38770
3: bad sentence 1, PPL: -11032.32812
4: good sentence 2, PPL: -32017.31250
5: bad sentence 2, PPL: -32190.04688
6: good sentence 3, PPL: -28290.47266
7: bad sentence 3, PPL: -28356.49023
8: good sentence 4, PPL: -39035.82812
9: bad sentence 4, PPL: -40364.62500
10: good sentence 5, PPL: -29556.07031
11: bad sentence 5, PPL: -29798.45312
12: good sentence 6, PPL: -78793.34375
13: bad sentence 6, PPL: -77646.74219
14: good sentence 7, PPL: -45807.82031
15: bad sentence 7, PPL: -44992.60156
16: good sentence 8, PPL: -36504.01562
17: bad sentence 8, PPL: -36583.82031
18: good sentence 9, PPL: -56469.33594
19: bad sentence 9, PPL: -55382.02734
20: good sentence 10, PPL: -19108.87695
21: bad sentence 10, PPL: -19256.16016
22: good sentence 11, PPL: -53356.25781
23: bad sentence 11, PPL: -51769.97656
24: good sentence 12, PPL: -52158.30078
25: bad sentence 12, PPL: -49983.98828
26: good sentence 13, PPL: -12483.64551
27: bad sentence 13, PPL: -12784.59863
28: good sentence 14, PPL: -39188.98047
29: bad sentence 14, PPL: -38557.76172
30: good sentence 15, PPL: -26616.59180
31: bad sentence 15, PPL: -27023.05859
32: good sentence 16, PPL: -37746.23438
33: bad sentence 16, PPL: -38480.14062
34: good sentence 17, PPL: -30760.28125
35: bad sentence 17, PPL: -30363.78320
36: good sentence 18, PPL: -8393.24121
37: bad sentence 18, PPL: -8242.99902
38: good sentence 19, PPL: -64572.65234
39: bad sentence 19, PPL: -63213.58984
40: good sentence 20, PPL: -44867.40234
41: bad sentence 20, PPL: -44284.62891
42: good sentence 21, PPL: -29737.07617
43: bad sentence 21, PPL: -29376.08594
44: good sentence 22, PPL: -22445.78125
45: bad sentence 22, PPL: -22311.34961
46: good sentence 23, PPL: -19774.69727
47: bad sentence 23, PPL: -20049.16797
48: good sentence 24, PPL: -63774.48438
49: bad sentence 24, PPL: -63075.32812
50: good sentence 25, PPL: -42928.92969
51: bad sentence 25, PPL: -41805.42578
52: good sentence 26, PPL: -5785.92920
53: bad sentence 26, PPL: -6163.66064
54: good sentence 27, PPL: -56088.26562
55: bad sentence 27, PPL: -56512.91797
56: good sentence 28, PPL: -16230.62891
57: bad sentence 28, PPL: -16673.25781
58: good sentence 29, PPL: -43792.12109
59: bad sentence 29, PPL: -43560.19531
60: good sentence 30, PPL: -34939.96875
61: bad sentence 30, PPL: -35324.76562
62: good sentence 31, PPL: -58516.50781
63: bad sentence 31, PPL: -58389.91016
64: good sentence 32, PPL: -96534.01562
65: bad sentence 32, PPL: -93442.69531
66: good sentence 33, PPL: -12590.41406
67: bad sentence 33, PPL: -13169.12109
68: good sentence 34, PPL: -14636.28613
69: bad sentence 34, PPL: -14994.41016
70: good sentence 35, PPL: -51072.60156
71: bad sentence 35, PPL: -51565.73438
72: good sentence 36, PPL: -22658.70312
73: bad sentence 36, PPL: -22591.98828
74: good sentence 37, PPL: -23462.68555
75: bad sentence 37, PPL: -24202.48438
76: good sentence 38, PPL: -20690.68750
77: bad sentence 38, PPL: -20424.37305
78: good sentence 39, PPL: -19774.28320
79: bad sentence 39, PPL: -20310.00781
80: good sentence 40, PPL: -88446.23438
81: bad sentence 40, PPL: -88360.82812
82: good sentence 41, PPL: -24768.30273
83: bad sentence 41, PPL: -24262.06055
84: good sentence 42, PPL: -41918.00781
85: bad sentence 42, PPL: -42161.28516
86: good sentence 43, PPL: -24817.48438
87: bad sentence 43, PPL: -24712.85742
88: good sentence 44, PPL: -20582.93555
