Anaphor
	pp_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 95.20000, Average Perplexity (Good Sentences): -9086.94824, Average Perplexity (Bad Sentences): -9295.21191
0: good sentence 0, PPL: -6693.34717
1: bad sentence 0, PPL: -6900.25439
2: good sentence 1, PPL: -9773.67188
3: bad sentence 1, PPL: -10059.08398
4: good sentence 2, PPL: -4763.05273
5: bad sentence 2, PPL: -4781.47607
6: good sentence 3, PPL: -6901.12256
7: bad sentence 3, PPL: -7001.76221
8: good sentence 4, PPL: -4624.81543
9: bad sentence 4, PPL: -4642.50928
10: good sentence 5, PPL: -4509.64111
11: bad sentence 5, PPL: -4631.18457
12: good sentence 6, PPL: -12030.91797
13: bad sentence 6, PPL: -12633.93066
14: good sentence 7, PPL: -13673.36133
15: bad sentence 7, PPL: -13883.99707
16: good sentence 8, PPL: -15238.17969
17: bad sentence 8, PPL: -15368.59473
18: good sentence 9, PPL: -11015.47559
19: bad sentence 9, PPL: -11162.94824
20: good sentence 10, PPL: -9034.73145
21: bad sentence 10, PPL: -9090.16406
22: good sentence 11, PPL: -5247.15430
23: bad sentence 11, PPL: -5425.72314
24: good sentence 12, PPL: -17112.28516
25: bad sentence 12, PPL: -17341.33203
26: good sentence 13, PPL: -12338.05371
27: bad sentence 13, PPL: -12334.50098
28: good sentence 14, PPL: -7336.75537
29: bad sentence 14, PPL: -7630.86670
30: good sentence 15, PPL: -7241.07227
31: bad sentence 15, PPL: -7460.50537
32: good sentence 16, PPL: -7756.21826
33: bad sentence 16, PPL: -7745.58203
34: good sentence 17, PPL: -11451.09277
35: bad sentence 17, PPL: -11943.66895
36: good sentence 18, PPL: -6340.24121
37: bad sentence 18, PPL: -6610.04492
38: good sentence 19, PPL: -6193.10352
39: bad sentence 19, PPL: -6275.07031
40: good sentence 20, PPL: -16222.81445
41: bad sentence 20, PPL: -16627.30469
42: good sentence 21, PPL: -11044.44531
43: bad sentence 21, PPL: -11148.38379
44: good sentence 22, PPL: -3882.18164
45: bad sentence 22, PPL: -4015.44360
46: good sentence 23, PPL: -11676.44434
47: bad sentence 23, PPL: -11728.68652
48: good sentence 24, PPL: -16908.19531
49: bad sentence 24, PPL: -17417.07617
50: good sentence 25, PPL: -6810.22510
51: bad sentence 25, PPL: -6971.39258
52: good sentence 26, PPL: -6392.00977
53: bad sentence 26, PPL: -6441.81738
54: good sentence 27, PPL: -5351.81396
55: bad sentence 27, PPL: -5404.83838
56: good sentence 28, PPL: -5133.98926
57: bad sentence 28, PPL: -5303.50488
58: good sentence 29, PPL: -12802.65625
59: bad sentence 29, PPL: -13291.94043
60: good sentence 30, PPL: -10153.36230
61: bad sentence 30, PPL: -10219.18652
62: good sentence 31, PPL: -13580.70312
63: bad sentence 31, PPL: -13708.77246
64: good sentence 32, PPL: -9512.53906
65: bad sentence 32, PPL: -9924.27246
66: good sentence 33, PPL: -18981.60938
67: bad sentence 33, PPL: -19706.15234
68: good sentence 34, PPL: -3724.74805
69: bad sentence 34, PPL: -3846.02002
70: good sentence 35, PPL: -24069.30664
71: bad sentence 35, PPL: -25249.87891
72: good sentence 36, PPL: -5551.21826
73: bad sentence 36, PPL: -5669.69727
74: good sentence 37, PPL: -6019.11719
75: bad sentence 37, PPL: -6113.98633
76: good sentence 38, PPL: -14860.59277
77: bad sentence 38, PPL: -15402.38672
78: good sentence 39, PPL: -12590.99023
79: bad sentence 39, PPL: -12871.24902
80: good sentence 40, PPL: -14710.95508
81: bad sentence 40, PPL: -14874.89941
82: good sentence 41, PPL: -11597.53906
83: bad sentence 41, PPL: -12083.54688
84: good sentence 42, PPL: -14099.62695
85: bad sentence 42, PPL: -14527.95312
86: good sentence 43, PPL: -12183.25684
87: bad sentence 43, PPL: -12749.70410
88: good sentence 44, PPL: -17925.31250
89: bad sentence 44, PPL: -18553.16797
90: good sentence 45, PPL: -9591.29785
91: bad sentence 45, PPL: -9726.69629
92: good sentence 46, PPL: -5309.16309
93: bad sentence 46, PPL: -5451.76660
94: good sentence 47, PPL: -10921.60352
95: bad sentence 47, PPL: -11200.57031
96: good sentence 48, PPL: -16655.99805
97: bad sentence 48, PPL: -17165.35742
98: good sentence 49, PPL: -9113.94824
99: bad sentence 49, PPL: -9376.23145
100: good sentence 50, PPL: -12533.55664
101: bad sentence 50, PPL: -12902.79883
102: good sentence 51, PPL: -14018.84375
103: bad sentence 51, PPL: -14169.04688
104: good sentence 52, PPL: -10024.94238
105: bad sentence 52, PPL: -10451.58496
106: good sentence 53, PPL: -13325.12988
107: bad sentence 53, PPL: -13737.83984
108: good sentence 54, PPL: -18918.77148
109: bad sentence 54, PPL: -19298.83008
110: good sentence 55, PPL: -6760.04443
111: bad sentence 55, PPL: -6896.89209
112: good sentence 56, PPL: -11705.03125
113: bad sentence 56, PPL: -11964.54297
114: good sentence 57, PPL: -17948.06250
115: bad sentence 57, PPL: -18269.42969
116: good sentence 58, PPL: -16895.99414
117: bad sentence 58, PPL: -17254.31250
118: good sentence 59, PPL: -5872.15332
119: bad sentence 59, PPL: -5957.12207
120: good sentence 60, PPL: -22317.00977
121: bad sentence 60, PPL: -23030.80859
122: good sentence 61, PPL: -3902.57935
123: bad sentence 61, PPL: -3898.06348
124: good sentence 62, PPL: -14734.32031
125: bad sentence 62, PPL: -15122.03223
126: good sentence 63, PPL: -5092.51074
127: bad sentence 63, PPL: -5152.72168
128: good sentence 64, PPL: -1861.84827
129: bad sentence 64, PPL: -1927.67004
130: good sentence 65, PPL: -8160.82129
131: bad sentence 65, PPL: -8370.31543
132: good sentence 66, PPL: -7948.68262
133: bad sentence 66, PPL: -8223.71387
134: good sentence 67, PPL: -5616.06543
135: bad sentence 67, PPL: -5899.38232
136: good sentence 68, PPL: -10422.75977
137: bad sentence 68, PPL: -10625.74609
138: good sentence 69, PPL: -6177.61377
139: bad sentence 69, PPL: -6277.90771
140: good sentence 70, PPL: -7341.45898
141: bad sentence 70, PPL: -7514.20898
142: good sentence 71, PPL: -8625.15332
143: bad sentence 71, PPL: -8768.50293
144: good sentence 72, PPL: -3932.43018
145: bad sentence 72, PPL: -4038.60913
146: good sentence 73, PPL: -11381.67480
