Anaphor
	pp_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 46.30000, Average Perplexity (Good Sentences): -8751.65137, Average Perplexity (Bad Sentences): -8740.65039
0: good sentence 0, PPL: -6009.24023
1: bad sentence 0, PPL: -5933.26367
2: good sentence 1, PPL: -9391.12207
3: bad sentence 1, PPL: -9390.85352
4: good sentence 2, PPL: -3509.65771
5: bad sentence 2, PPL: -3519.07227
6: good sentence 3, PPL: -6315.11914
7: bad sentence 3, PPL: -6391.47363
8: good sentence 4, PPL: -4272.91357
9: bad sentence 4, PPL: -4342.67383
10: good sentence 5, PPL: -4247.90137
11: bad sentence 5, PPL: -4230.82764
12: good sentence 6, PPL: -12578.36426
13: bad sentence 6, PPL: -12300.42285
14: good sentence 7, PPL: -15298.50586
15: bad sentence 7, PPL: -15260.27051
16: good sentence 8, PPL: -11969.82617
17: bad sentence 8, PPL: -11990.66699
18: good sentence 9, PPL: -10925.44824
19: bad sentence 9, PPL: -10956.14453
20: good sentence 10, PPL: -6903.38672
21: bad sentence 10, PPL: -7030.07129
22: good sentence 11, PPL: -6699.44629
23: bad sentence 11, PPL: -6645.08008
24: good sentence 12, PPL: -11771.75098
25: bad sentence 12, PPL: -11728.19434
26: good sentence 13, PPL: -13406.08203
27: bad sentence 13, PPL: -13634.81738
28: good sentence 14, PPL: -7996.49219
29: bad sentence 14, PPL: -7884.09619
30: good sentence 15, PPL: -8034.73633
31: bad sentence 15, PPL: -7926.14062
32: good sentence 16, PPL: -7935.93555
33: bad sentence 16, PPL: -8107.51367
34: good sentence 17, PPL: -12820.10254
35: bad sentence 17, PPL: -12424.58008
36: good sentence 18, PPL: -7453.34424
37: bad sentence 18, PPL: -7442.98096
38: good sentence 19, PPL: -6230.24658
39: bad sentence 19, PPL: -6296.27881
40: good sentence 20, PPL: -12680.12500
41: bad sentence 20, PPL: -12638.65527
42: good sentence 21, PPL: -11744.91699
43: bad sentence 21, PPL: -11775.99512
44: good sentence 22, PPL: -3957.70874
45: bad sentence 22, PPL: -3894.08813
46: good sentence 23, PPL: -11323.38477
47: bad sentence 23, PPL: -11435.69336
48: good sentence 24, PPL: -13656.15918
49: bad sentence 24, PPL: -13659.83301
50: good sentence 25, PPL: -5358.52979
51: bad sentence 25, PPL: -5378.13232
52: good sentence 26, PPL: -5937.54297
53: bad sentence 26, PPL: -6020.96582
54: good sentence 27, PPL: -5149.35156
55: bad sentence 27, PPL: -5234.12988
56: good sentence 28, PPL: -5293.88916
57: bad sentence 28, PPL: -5225.16748
58: good sentence 29, PPL: -11345.40234
59: bad sentence 29, PPL: -11234.08594
60: good sentence 30, PPL: -7225.84082
61: bad sentence 30, PPL: -7285.31348
62: good sentence 31, PPL: -13044.72461
63: bad sentence 31, PPL: -13003.78516
64: good sentence 32, PPL: -12951.90234
65: bad sentence 32, PPL: -12726.50098
66: good sentence 33, PPL: -16381.95410
67: bad sentence 33, PPL: -16108.77637
68: good sentence 34, PPL: -3430.58398
69: bad sentence 34, PPL: -3396.72681
70: good sentence 35, PPL: -22773.97656
71: bad sentence 35, PPL: -22173.15430
72: good sentence 36, PPL: -5738.40625
73: bad sentence 36, PPL: -5853.51758
74: good sentence 37, PPL: -4222.58496
75: bad sentence 37, PPL: -4328.02539
76: good sentence 38, PPL: -13894.71387
77: bad sentence 38, PPL: -13754.81641
78: good sentence 39, PPL: -11459.60254
79: bad sentence 39, PPL: -11580.26367
80: good sentence 40, PPL: -9719.66797
81: bad sentence 40, PPL: -9873.92578
82: good sentence 41, PPL: -8748.48926
83: bad sentence 41, PPL: -8595.87012
84: good sentence 42, PPL: -8550.95020
85: bad sentence 42, PPL: -8716.37695
86: good sentence 43, PPL: -13869.90234
87: bad sentence 43, PPL: -13593.24512
88: good sentence 44, PPL: -19917.55469
