Anaphor
	self_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 66.40000, Average Perplexity (Good Sentences): -19400.65430, Average Perplexity (Bad Sentences): -19627.84766
0: good sentence 0, PPL: -13569.10254
1: bad sentence 0, PPL: -14430.53418
2: good sentence 1, PPL: -11549.77930
3: bad sentence 1, PPL: -11400.17383
4: good sentence 2, PPL: -32953.94922
5: bad sentence 2, PPL: -34346.44922
6: good sentence 3, PPL: -26584.19727
7: bad sentence 3, PPL: -26625.68164
8: good sentence 4, PPL: -32725.16992
9: bad sentence 4, PPL: -33115.40625
10: good sentence 5, PPL: -21632.41016
11: bad sentence 5, PPL: -21860.72461
12: good sentence 6, PPL: -60666.35156
13: bad sentence 6, PPL: -61523.29297
14: good sentence 7, PPL: -23757.60156
15: bad sentence 7, PPL: -23812.29102
16: good sentence 8, PPL: -35145.86719
17: bad sentence 8, PPL: -35732.30078
18: good sentence 9, PPL: -51854.27344
19: bad sentence 9, PPL: -53269.82422
20: good sentence 10, PPL: -11348.66016
21: bad sentence 10, PPL: -11371.77930
22: good sentence 11, PPL: -33374.05078
23: bad sentence 11, PPL: -34924.17969
24: good sentence 12, PPL: -39756.83594
25: bad sentence 12, PPL: -40883.68359
26: good sentence 13, PPL: -9637.42773
27: bad sentence 13, PPL: -9608.83008
28: good sentence 14, PPL: -20522.68164
29: bad sentence 14, PPL: -20808.02930
30: good sentence 15, PPL: -21914.43164
31: bad sentence 15, PPL: -22473.96875
32: good sentence 16, PPL: -28645.74414
33: bad sentence 16, PPL: -28965.56055
34: good sentence 17, PPL: -27311.13477
35: bad sentence 17, PPL: -27447.27734
36: good sentence 18, PPL: -6697.61230
37: bad sentence 18, PPL: -6860.39893
38: good sentence 19, PPL: -52695.67969
39: bad sentence 19, PPL: -53114.34766
40: good sentence 20, PPL: -34004.62109
41: bad sentence 20, PPL: -34927.50781
42: good sentence 21, PPL: -24463.43164
43: bad sentence 21, PPL: -24580.22070
44: good sentence 22, PPL: -19855.34961
45: bad sentence 22, PPL: -19792.50781
46: good sentence 23, PPL: -20038.00391
47: bad sentence 23, PPL: -20362.50781
48: good sentence 24, PPL: -58976.63672
49: bad sentence 24, PPL: -60337.17969
50: good sentence 25, PPL: -29356.20117
51: bad sentence 25, PPL: -30010.11914
52: good sentence 26, PPL: -6243.27197
53: bad sentence 26, PPL: -6124.02930
54: good sentence 27, PPL: -48563.59375
55: bad sentence 27, PPL: -49030.16016
56: good sentence 28, PPL: -10891.75195
57: bad sentence 28, PPL: -10938.36523
58: good sentence 29, PPL: -31579.30078
59: bad sentence 29, PPL: -33135.24609
60: good sentence 30, PPL: -16295.36621
61: bad sentence 30, PPL: -16081.82129
62: good sentence 31, PPL: -51841.91016
63: bad sentence 31, PPL: -51209.25781
64: good sentence 32, PPL: -76717.39062
65: bad sentence 32, PPL: -78597.08594
66: good sentence 33, PPL: -9697.65039
67: bad sentence 33, PPL: -9499.13086
68: good sentence 34, PPL: -11680.18652
69: bad sentence 34, PPL: -11740.87402
70: good sentence 35, PPL: -38501.90625
71: bad sentence 35, PPL: -38432.39062
72: good sentence 36, PPL: -17046.35156
73: bad sentence 36, PPL: -16569.70117
74: good sentence 37, PPL: -16067.12012
75: bad sentence 37, PPL: -15632.00781
76: good sentence 38, PPL: -16579.02734
77: bad sentence 38, PPL: -16666.80273
78: good sentence 39, PPL: -17718.52148
79: bad sentence 39, PPL: -17014.29102
80: good sentence 40, PPL: -53833.17969
81: bad sentence 40, PPL: -54739.41797
82: good sentence 41, PPL: -19900.39258
83: bad sentence 41, PPL: -21221.24609
84: good sentence 42, PPL: -33927.33203
85: bad sentence 42, PPL: -33698.64453
86: good sentence 43, PPL: -23893.29492
87: bad sentence 43, PPL: -24142.82617
88: good sentence 44, PPL: -17109.82227
89: bad sentence 44, PPL: -17246.74609
90: good sentence 45, PPL: -15175.42871
91: bad sentence 45, PPL: -15750.05957
92: good sentence 46, PPL: -77043.59375
93: bad sentence 46, PPL: -79781.00000
94: good sentence 47, PPL: -38967.35156
95: bad sentence 47, PPL: -37954.29688
96: good sentence 48, PPL: -8942.99805
97: bad sentence 48, PPL: -8669.07422
98: good sentence 49, PPL: -27088.00195
99: bad sentence 49, PPL: -27348.32812
100: good sentence 50, PPL: -16823.19141
101: bad sentence 50, PPL: -16786.85742
102: good sentence 51, PPL: -44635.70312
103: bad sentence 51, PPL: -44770.75781
