Anaphor
	self_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 86.70000, Average Perplexity (Good Sentences): -20217.34375, Average Perplexity (Bad Sentences): -20933.72266
0: good sentence 0, PPL: -13845.53320
1: bad sentence 0, PPL: -13949.08203
2: good sentence 1, PPL: -8985.00586
3: bad sentence 1, PPL: -9633.23730
4: good sentence 2, PPL: -27005.61914
5: bad sentence 2, PPL: -26558.62891
6: good sentence 3, PPL: -23867.17383
7: bad sentence 3, PPL: -24962.16016
8: good sentence 4, PPL: -33232.46484
9: bad sentence 4, PPL: -34552.83594
10: good sentence 5, PPL: -25403.90625
11: bad sentence 5, PPL: -26705.12500
12: good sentence 6, PPL: -61448.47266
13: bad sentence 6, PPL: -62907.60156
14: good sentence 7, PPL: -35995.28125
15: bad sentence 7, PPL: -38021.28125
16: good sentence 8, PPL: -30189.96094
17: bad sentence 8, PPL: -31276.55469
18: good sentence 9, PPL: -45169.73828
19: bad sentence 9, PPL: -45790.61328
20: good sentence 10, PPL: -17000.35742
21: bad sentence 10, PPL: -17938.53320
22: good sentence 11, PPL: -43945.82422
23: bad sentence 11, PPL: -45985.97266
24: good sentence 12, PPL: -44730.90234
25: bad sentence 12, PPL: -44487.00391
26: good sentence 13, PPL: -10954.73438
27: bad sentence 13, PPL: -11301.29004
28: good sentence 14, PPL: -32775.11328
29: bad sentence 14, PPL: -33421.28516
30: good sentence 15, PPL: -22539.73438
31: bad sentence 15, PPL: -23647.42773
32: good sentence 16, PPL: -31505.99414
33: bad sentence 16, PPL: -33837.89062
34: good sentence 17, PPL: -25645.35352
35: bad sentence 17, PPL: -26258.92578
36: good sentence 18, PPL: -7304.62646
37: bad sentence 18, PPL: -7344.71533
38: good sentence 19, PPL: -51967.14844
39: bad sentence 19, PPL: -53143.58203
40: good sentence 20, PPL: -37366.22656
41: bad sentence 20, PPL: -38356.88672
42: good sentence 21, PPL: -27301.67969
43: bad sentence 21, PPL: -28246.36719
44: good sentence 22, PPL: -18404.97656
45: bad sentence 22, PPL: -18467.65820
46: good sentence 23, PPL: -16685.22070
47: bad sentence 23, PPL: -17346.22852
48: good sentence 24, PPL: -49917.25000
49: bad sentence 24, PPL: -50356.27734
50: good sentence 25, PPL: -36131.03125
51: bad sentence 25, PPL: -37406.01562
52: good sentence 26, PPL: -5058.89355
53: bad sentence 26, PPL: -5323.67822
54: good sentence 27, PPL: -45443.97656
55: bad sentence 27, PPL: -47448.48047
56: good sentence 28, PPL: -12049.39355
57: bad sentence 28, PPL: -12982.48438
58: good sentence 29, PPL: -36780.66797
59: bad sentence 29, PPL: -38766.70703
60: good sentence 30, PPL: -26072.37500
61: bad sentence 30, PPL: -26311.06641
62: good sentence 31, PPL: -47840.00781
63: bad sentence 31, PPL: -50757.08594
64: good sentence 32, PPL: -74008.69531
65: bad sentence 32, PPL: -72807.67969
66: good sentence 33, PPL: -9818.51562
67: bad sentence 33, PPL: -10184.21094
68: good sentence 34, PPL: -11397.75000
69: bad sentence 34, PPL: -11833.48828
70: good sentence 35, PPL: -41520.69922
71: bad sentence 35, PPL: -43796.58984
72: good sentence 36, PPL: -15556.17773
73: bad sentence 36, PPL: -16661.87695
74: good sentence 37, PPL: -17335.60938
75: bad sentence 37, PPL: -17949.19336
76: good sentence 38, PPL: -17607.02734
77: bad sentence 38, PPL: -18787.08984
78: good sentence 39, PPL: -16807.63477
79: bad sentence 39, PPL: -17781.62891
80: good sentence 40, PPL: -67551.04688
81: bad sentence 40, PPL: -70802.75000
82: good sentence 41, PPL: -21493.45898
83: bad sentence 41, PPL: -21166.53125
84: good sentence 42, PPL: -33975.77344
85: bad sentence 42, PPL: -36135.06250
86: good sentence 43, PPL: -20610.31641
87: bad sentence 43, PPL: -21563.75781
88: good sentence 44, PPL: -17930.21875
89: bad sentence 44, PPL: -19344.99023
90: good sentence 45, PPL: -14596.65527
91: bad sentence 45, PPL: -14967.84961
92: good sentence 46, PPL: -73415.17969
93: bad sentence 46, PPL: -75349.15625
94: good sentence 47, PPL: -56438.91406
95: bad sentence 47, PPL: -59253.16016
96: good sentence 48, PPL: -10239.01953
97: bad sentence 48, PPL: -10943.40527
