Plural
	baseline_cl_men_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 88.80000, Average Perplexity (Good Sentences): -16982.19336, Average Perplexity (Bad Sentences): -18119.73828
0: good sentence 0, PPL: -21637.29883
1: bad sentence 0, PPL: -23173.88281
2: good sentence 1, PPL: -19362.74609
3: bad sentence 1, PPL: -21116.08594
4: good sentence 2, PPL: -29906.66602
5: bad sentence 2, PPL: -33698.70703
6: good sentence 3, PPL: -15978.11230
7: bad sentence 3, PPL: -16903.23047
8: good sentence 4, PPL: -29812.80859
9: bad sentence 4, PPL: -32217.47461
10: good sentence 5, PPL: -12913.41016
11: bad sentence 5, PPL: -13655.87305
12: good sentence 6, PPL: -12604.13379
13: bad sentence 6, PPL: -13441.46680
14: good sentence 7, PPL: -23510.10352
15: bad sentence 7, PPL: -26167.30469
16: good sentence 8, PPL: -7313.36719
17: bad sentence 8, PPL: -7172.05762
18: good sentence 9, PPL: -17811.31250
19: bad sentence 9, PPL: -18440.41406
20: good sentence 10, PPL: -17663.43750
21: bad sentence 10, PPL: -19679.53906
22: good sentence 11, PPL: -11097.10742
23: bad sentence 11, PPL: -11331.00000
24: good sentence 12, PPL: -21323.00195
25: bad sentence 12, PPL: -24505.76562
26: good sentence 13, PPL: -21373.08398
27: bad sentence 13, PPL: -24553.34766
28: good sentence 14, PPL: -10588.44922
29: bad sentence 14, PPL: -11578.36426
30: good sentence 15, PPL: -9162.95312
31: bad sentence 15, PPL: -9581.06836
32: good sentence 16, PPL: -17488.94531
33: bad sentence 16, PPL: -19480.41406
34: good sentence 17, PPL: -14213.17969
35: bad sentence 17, PPL: -14835.96777
36: good sentence 18, PPL: -19847.85156
37: bad sentence 18, PPL: -22246.77930
38: good sentence 19, PPL: -13546.73438
39: bad sentence 19, PPL: -13079.61719
40: good sentence 20, PPL: -23473.51953
41: bad sentence 20, PPL: -25966.39453
42: good sentence 21, PPL: -24358.01953
43: bad sentence 21, PPL: -25418.88281
44: good sentence 22, PPL: -7217.04639
45: bad sentence 22, PPL: -7396.36475
46: good sentence 23, PPL: -12449.26270
47: bad sentence 23, PPL: -12744.99902
48: good sentence 24, PPL: -33848.60938
49: bad sentence 24, PPL: -37910.81250
50: good sentence 25, PPL: -35752.10938
51: bad sentence 25, PPL: -41124.37500
52: good sentence 26, PPL: -21867.02148
53: bad sentence 26, PPL: -24879.47656
