Plural
	baseline_cl_men_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 87.60000, Average Perplexity (Good Sentences): -17544.72461, Average Perplexity (Bad Sentences): -18705.38867
0: good sentence 0, PPL: -22143.23242
1: bad sentence 0, PPL: -23433.61523
2: good sentence 1, PPL: -20118.71484
3: bad sentence 1, PPL: -21527.55273
4: good sentence 2, PPL: -30080.83594
5: bad sentence 2, PPL: -33987.95703
6: good sentence 3, PPL: -14205.57715
7: bad sentence 3, PPL: -15108.19336
8: good sentence 4, PPL: -29966.07812
9: bad sentence 4, PPL: -32766.67188
10: good sentence 5, PPL: -14366.68262
11: bad sentence 5, PPL: -15093.25977
12: good sentence 6, PPL: -12335.79395
13: bad sentence 6, PPL: -12924.21387
14: good sentence 7, PPL: -23055.48633
15: bad sentence 7, PPL: -25315.38867
16: good sentence 8, PPL: -7624.22510
17: bad sentence 8, PPL: -7548.31787
18: good sentence 9, PPL: -17477.52539
19: bad sentence 9, PPL: -17780.34180
20: good sentence 10, PPL: -17751.72461
21: bad sentence 10, PPL: -19108.80469
22: good sentence 11, PPL: -16079.93457
23: bad sentence 11, PPL: -17718.42188
24: good sentence 12, PPL: -22391.04883
25: bad sentence 12, PPL: -24340.39648
26: good sentence 13, PPL: -21708.83398
27: bad sentence 13, PPL: -25066.45508
28: good sentence 14, PPL: -10327.17090
29: bad sentence 14, PPL: -10910.48633
30: good sentence 15, PPL: -12549.81152
31: bad sentence 15, PPL: -13198.10156
32: good sentence 16, PPL: -16057.39355
33: bad sentence 16, PPL: -18348.00195
34: good sentence 17, PPL: -15662.62891
35: bad sentence 17, PPL: -16472.44141
36: good sentence 18, PPL: -19766.04297
37: bad sentence 18, PPL: -21254.19727
38: good sentence 19, PPL: -13345.23535
39: bad sentence 19, PPL: -12717.20703
40: good sentence 20, PPL: -21152.42578
41: bad sentence 20, PPL: -23255.40039
42: good sentence 21, PPL: -23676.53711
43: bad sentence 21, PPL: -24500.36719
44: good sentence 22, PPL: -7563.30615
45: bad sentence 22, PPL: -7490.26904
46: good sentence 23, PPL: -11432.85938
47: bad sentence 23, PPL: -11460.79395
48: good sentence 24, PPL: -32263.71680
49: bad sentence 24, PPL: -35873.38672
50: good sentence 25, PPL: -35611.53516
51: bad sentence 25, PPL: -40978.23047
52: good sentence 26, PPL: -23843.31055
53: bad sentence 26, PPL: -27939.66016
54: good sentence 27, PPL: -14929.00293
55: bad sentence 27, PPL: -15925.08105
56: good sentence 28, PPL: -22799.05469
57: bad sentence 28, PPL: -25583.20898
58: good sentence 29, PPL: -13875.52637
59: bad sentence 29, PPL: -15697.21680
60: good sentence 30, PPL: -18872.76758
61: bad sentence 30, PPL: -18876.49219
62: good sentence 31, PPL: -15163.59473
63: bad sentence 31, PPL: -16081.40723
64: good sentence 32, PPL: -30720.29688
65: bad sentence 32, PPL: -33995.67578
66: good sentence 33, PPL: -13262.51270
67: bad sentence 33, PPL: -13740.02734
68: good sentence 34, PPL: -6612.47217
69: bad sentence 34, PPL: -6142.74072
70: good sentence 35, PPL: -14527.10840
