Plural
	baseline_men_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 51.80000, Average Perplexity (Good Sentences): -11991.00977, Average Perplexity (Bad Sentences): -11818.51172
0: good sentence 0, PPL: -10621.10547
1: bad sentence 0, PPL: -11174.54785
2: good sentence 1, PPL: -10069.27637
3: bad sentence 1, PPL: -9622.50391
4: good sentence 2, PPL: -13777.29199
5: bad sentence 2, PPL: -14035.41895
6: good sentence 3, PPL: -13252.81543
7: bad sentence 3, PPL: -12539.58301
8: good sentence 4, PPL: -13172.51270
9: bad sentence 4, PPL: -12700.20215
10: good sentence 5, PPL: -6009.57861
11: bad sentence 5, PPL: -5688.78857
12: good sentence 6, PPL: -7627.57764
13: bad sentence 6, PPL: -6287.22412
14: good sentence 7, PPL: -16803.48438
15: bad sentence 7, PPL: -15433.82227
16: good sentence 8, PPL: -5359.57178
17: bad sentence 8, PPL: -4475.84863
18: good sentence 9, PPL: -15179.16211
19: bad sentence 9, PPL: -13355.96875
20: good sentence 10, PPL: -12763.92578
21: bad sentence 10, PPL: -14080.46484
22: good sentence 11, PPL: -11470.69043
23: bad sentence 11, PPL: -11077.06055
24: good sentence 12, PPL: -5035.63916
25: bad sentence 12, PPL: -4940.00781
26: good sentence 13, PPL: -13166.74707
27: bad sentence 13, PPL: -15222.55078
28: good sentence 14, PPL: -18663.01562
29: bad sentence 14, PPL: -21143.97461
30: good sentence 15, PPL: -18388.67773
31: bad sentence 15, PPL: -20880.90625
32: good sentence 16, PPL: -14190.14160
33: bad sentence 16, PPL: -15206.47363
34: good sentence 17, PPL: -16428.93750
35: bad sentence 17, PPL: -16611.74023
36: good sentence 18, PPL: -11879.29395
37: bad sentence 18, PPL: -10950.74414
38: good sentence 19, PPL: -13927.04395
39: bad sentence 19, PPL: -14630.64746
40: good sentence 20, PPL: -17226.88867
41: bad sentence 20, PPL: -18067.21289
42: good sentence 21, PPL: -15112.11230
43: bad sentence 21, PPL: -17692.09570
44: good sentence 22, PPL: -19472.94727
45: bad sentence 22, PPL: -20189.13672
46: good sentence 23, PPL: -10958.31836
47: bad sentence 23, PPL: -11323.55664
48: good sentence 24, PPL: -12354.99707
49: bad sentence 24, PPL: -12403.09277
50: good sentence 25, PPL: -16436.58398
51: bad sentence 25, PPL: -15638.41992
52: good sentence 26, PPL: -12240.60156
53: bad sentence 26, PPL: -12313.84961
54: good sentence 27, PPL: -7103.82178
55: bad sentence 27, PPL: -5797.15186
56: good sentence 28, PPL: -7464.60449
57: bad sentence 28, PPL: -6860.35986
58: good sentence 29, PPL: -21629.91211
59: bad sentence 29, PPL: -21856.09766
60: good sentence 30, PPL: -3384.44604
61: bad sentence 30, PPL: -3004.29517
62: good sentence 31, PPL: -13824.27734
63: bad sentence 31, PPL: -15282.91797
64: good sentence 32, PPL: -9351.12012
65: bad sentence 32, PPL: -9990.90723
66: good sentence 33, PPL: -9223.48242
67: bad sentence 33, PPL: -7746.85254
68: good sentence 34, PPL: -42476.44141
69: bad sentence 34, PPL: -44923.48828
70: good sentence 35, PPL: -36616.45703
71: bad sentence 35, PPL: -38995.97656
72: good sentence 36, PPL: -6265.89697
73: bad sentence 36, PPL: -5146.66650
74: good sentence 37, PPL: -7653.17480
75: bad sentence 37, PPL: -6553.80957
76: good sentence 38, PPL: -10652.88770
77: bad sentence 38, PPL: -12086.83105
78: good sentence 39, PPL: -42238.19141
79: bad sentence 39, PPL: -46413.47266
80: good sentence 40, PPL: -36893.82812
81: bad sentence 40, PPL: -41010.28516
82: good sentence 41, PPL: -14092.89062
83: bad sentence 41, PPL: -14879.48242
84: good sentence 42, PPL: -11511.02832
85: bad sentence 42, PPL: -11207.54785
86: good sentence 43, PPL: -5845.85791
87: bad sentence 43, PPL: -5564.52783
88: good sentence 44, PPL: -8773.78125
89: bad sentence 44, PPL: -8964.28516
90: good sentence 45, PPL: -8699.91797
91: bad sentence 45, PPL: -10082.46973
92: good sentence 46, PPL: -17086.34180
93: bad sentence 46, PPL: -18514.61914
94: good sentence 47, PPL: -14640.41797
95: bad sentence 47, PPL: -12715.19336
96: good sentence 48, PPL: -16784.87305
97: bad sentence 48, PPL: -15143.23242
98: good sentence 49, PPL: -15488.08301
99: bad sentence 49, PPL: -17037.41211
100: good sentence 50, PPL: -4907.67725
101: bad sentence 50, PPL: -4743.94531
102: good sentence 51, PPL: -7998.66553
103: bad sentence 51, PPL: -6924.77100
104: good sentence 52, PPL: -5596.07031
105: bad sentence 52, PPL: -4500.46826
106: good sentence 53, PPL: -8394.57715
107: bad sentence 53, PPL: -8134.83691
108: good sentence 54, PPL: -8546.89844
109: bad sentence 54, PPL: -7448.37695
110: good sentence 55, PPL: -10023.97656
111: bad sentence 55, PPL: -9646.33691
112: good sentence 56, PPL: -3854.18237
113: bad sentence 56, PPL: -2940.45776
114: good sentence 57, PPL: -11105.03711
115: bad sentence 57, PPL: -12379.12793
116: good sentence 58, PPL: -8784.23730
117: bad sentence 58, PPL: -7934.33105
118: good sentence 59, PPL: -18560.65430
119: bad sentence 59, PPL: -19324.26367
120: good sentence 60, PPL: -8697.42871
121: bad sentence 60, PPL: -9140.92383
122: good sentence 61, PPL: -8996.29004
123: bad sentence 61, PPL: -9000.26270
124: good sentence 62, PPL: -15607.51855
125: bad sentence 62, PPL: -15075.62305
126: good sentence 63, PPL: -8654.26367
127: bad sentence 63, PPL: -8309.05859
128: good sentence 64, PPL: -4601.06885
129: bad sentence 64, PPL: -3609.41284
130: good sentence 65, PPL: -11075.45508
131: bad sentence 65, PPL: -11254.29980
132: good sentence 66, PPL: -13815.53906
133: bad sentence 66, PPL: -14285.73242
134: good sentence 67, PPL: -25165.95508
135: bad sentence 67, PPL: -24987.59766
136: good sentence 68, PPL: -13153.35645
137: bad sentence 68, PPL: -11394.17480
138: good sentence 69, PPL: -7429.06006
139: bad sentence 69, PPL: -6668.61963
140: good sentence 70, PPL: -12058.47363
141: bad sentence 70, PPL: -12999.20996
142: good sentence 71, PPL: -18999.46680
143: bad sentence 71, PPL: -20474.43555
144: good sentence 72, PPL: -12920.66504
145: bad sentence 72, PPL: -14670.13086
146: good sentence 73, PPL: -12554.25293
147: bad sentence 73, PPL: -12661.45508
148: good sentence 74, PPL: -15806.54688
149: bad sentence 74, PPL: -18278.98047
150: good sentence 75, PPL: -10118.14844
151: bad sentence 75, PPL: -10196.81445
152: good sentence 76, PPL: -7406.86084
153: bad sentence 76, PPL: -6191.45020
154: good sentence 77, PPL: -15689.04492
155: bad sentence 77, PPL: -16833.89453
156: good sentence 78, PPL: -11817.62109
157: bad sentence 78, PPL: -12644.23730
158: good sentence 79, PPL: -5807.06787
159: bad sentence 79, PPL: -5541.06348
160: good sentence 80, PPL: -17411.94336
161: bad sentence 80, PPL: -16383.57812
162: good sentence 81, PPL: -14845.25195
163: bad sentence 81, PPL: -15764.03516
164: good sentence 82, PPL: -13907.00293
165: bad sentence 82, PPL: -14325.72070
166: good sentence 83, PPL: -8540.25000
167: bad sentence 83, PPL: -8406.45801
168: good sentence 84, PPL: -7350.60059
169: bad sentence 84, PPL: -7109.46045
170: good sentence 85, PPL: -16804.15625
171: bad sentence 85, PPL: -15874.69336
172: good sentence 86, PPL: -10893.21680
173: bad sentence 86, PPL: -9636.67285
174: good sentence 87, PPL: -6046.61816
175: bad sentence 87, PPL: -4944.09863
176: good sentence 88, PPL: -9620.20020
177: bad sentence 88, PPL: -9936.46973
178: good sentence 89, PPL: -6511.76855
179: bad sentence 89, PPL: -6242.73682
180: good sentence 90, PPL: -15127.38379
181: bad sentence 90, PPL: -16854.05469
182: good sentence 91, PPL: -12239.13086
183: bad sentence 91, PPL: -13294.29883
184: good sentence 92, PPL: -22731.38281
185: bad sentence 92, PPL: -24168.09570
186: good sentence 93, PPL: -17690.34180
187: bad sentence 93, PPL: -18177.35547
188: good sentence 94, PPL: -1772.34131
189: bad sentence 94, PPL: -1407.69592
190: good sentence 95, PPL: -9613.68848
191: bad sentence 95, PPL: -10531.45898
192: good sentence 96, PPL: -10095.71875
193: bad sentence 96, PPL: -10144.95215
194: good sentence 97, PPL: -10060.00488
195: bad sentence 97, PPL: -10487.32031
196: good sentence 98, PPL: -11912.51172
197: bad sentence 98, PPL: -14526.96973
198: good sentence 99, PPL: -7486.66992
199: bad sentence 99, PPL: -6685.80029
200: good sentence 100, PPL: -19601.19141
201: bad sentence 100, PPL: -20993.82227
202: good sentence 101, PPL: -10828.30664
203: bad sentence 101, PPL: -12386.67383
204: good sentence 102, PPL: -5237.03564
205: bad sentence 102, PPL: -4296.25732
206: good sentence 103, PPL: -12425.08984
207: bad sentence 103, PPL: -12759.09473
208: good sentence 104, PPL: -18679.64648
209: bad sentence 104, PPL: -21859.72266
210: good sentence 105, PPL: -13120.23145
211: bad sentence 105, PPL: -14497.82227
212: good sentence 106, PPL: -10722.29883
213: bad sentence 106, PPL: -9928.07715
214: good sentence 107, PPL: -20146.36133
215: bad sentence 107, PPL: -21101.57031
216: good sentence 108, PPL: -7809.49561
217: bad sentence 108, PPL: -8251.26465
218: good sentence 109, PPL: -6459.05469
219: bad sentence 109, PPL: -6292.89893
220: good sentence 110, PPL: -19478.51953
221: bad sentence 110, PPL: -21075.74805
222: good sentence 111, PPL: -9782.68066
223: bad sentence 111, PPL: -10451.31641
224: good sentence 112, PPL: -6292.65918
225: bad sentence 112, PPL: -5760.11865
226: good sentence 113, PPL: -5459.34717
227: bad sentence 113, PPL: -4653.05420
228: good sentence 114, PPL: -15881.62891
229: bad sentence 114, PPL: -16948.91211
230: good sentence 115, PPL: -39698.83203
231: bad sentence 115, PPL: -43954.12500
232: good sentence 116, PPL: -10046.68750
233: bad sentence 116, PPL: -11938.51074
234: good sentence 117, PPL: -12868.48828
235: bad sentence 117, PPL: -12655.14160
236: good sentence 118, PPL: -20176.20312
237: bad sentence 118, PPL: -21234.99023
238: good sentence 119, PPL: -16296.96582
239: bad sentence 119, PPL: -14169.65430
240: good sentence 120, PPL: -14999.25879
241: bad sentence 120, PPL: -17996.39844
242: good sentence 121, PPL: -6363.60547
243: bad sentence 121, PPL: -5322.84082
244: good sentence 122, PPL: -9541.57617
245: bad sentence 122, PPL: -9705.58887
246: good sentence 123, PPL: -5308.93994
247: bad sentence 123, PPL: -4191.44287
248: good sentence 124, PPL: -18927.19922
249: bad sentence 124, PPL: -20059.68750
250: good sentence 125, PPL: -19230.63281
251: bad sentence 125, PPL: -18705.45898
252: good sentence 126, PPL: -5606.31006
253: bad sentence 126, PPL: -4675.11182
254: good sentence 127, PPL: -21812.32617
255: bad sentence 127, PPL: -24192.49414
256: good sentence 128, PPL: -7516.93994
257: bad sentence 128, PPL: -7352.09424
258: good sentence 129, PPL: -8210.06348
259: bad sentence 129, PPL: -8540.23438
260: good sentence 130, PPL: -9807.45410
261: bad sentence 130, PPL: -9283.28809
262: good sentence 131, PPL: -17942.14258
263: bad sentence 131, PPL: -16216.99805
264: good sentence 132, PPL: -7160.57568
265: bad sentence 132, PPL: -7222.84375
266: good sentence 133, PPL: -15828.22461
267: bad sentence 133, PPL: -17417.98828
268: good sentence 134, PPL: -9230.48730
269: bad sentence 134, PPL: -9127.25684
270: good sentence 135, PPL: -7228.83887
271: bad sentence 135, PPL: -6300.29736
272: good sentence 136, PPL: -9826.35547
273: bad sentence 136, PPL: -8626.23047
274: good sentence 137, PPL: -8888.87793
275: bad sentence 137, PPL: -8563.57617
276: good sentence 138, PPL: -24850.45117
277: bad sentence 138, PPL: -27774.94727
278: good sentence 139, PPL: -19692.79492
279: bad sentence 139, PPL: -22551.90430
280: good sentence 140, PPL: -10682.16602
281: bad sentence 140, PPL: -10673.28711
282: good sentence 141, PPL: -8654.71777
283: bad sentence 141, PPL: -7830.75049
284: good sentence 142, PPL: -16198.23438
285: bad sentence 142, PPL: -16100.89648
286: good sentence 143, PPL: -16737.28711
287: bad sentence 143, PPL: -19722.24609
288: good sentence 144, PPL: -6458.33350
289: bad sentence 144, PPL: -6311.80762
290: good sentence 145, PPL: -20974.38867
291: bad sentence 145, PPL: -19916.64453
292: good sentence 146, PPL: -17114.14648
293: bad sentence 146, PPL: -18917.43750
294: good sentence 147, PPL: -13742.11035
295: bad sentence 147, PPL: -13448.31348
296: good sentence 148, PPL: -11296.59180
297: bad sentence 148, PPL: -12448.95410
298: good sentence 149, PPL: -8041.92676
299: bad sentence 149, PPL: -7578.45410
300: good sentence 150, PPL: -6149.68066
301: bad sentence 150, PPL: -5369.80420
302: good sentence 151, PPL: -8655.77344
303: bad sentence 151, PPL: -7724.74219
304: good sentence 152, PPL: -23518.93945
305: bad sentence 152, PPL: -22745.54297
306: good sentence 153, PPL: -9468.26270
307: bad sentence 153, PPL: -10266.18164
308: good sentence 154, PPL: -11752.82715
309: bad sentence 154, PPL: -11895.10742
310: good sentence 155, PPL: -6784.56738
311: bad sentence 155, PPL: -6600.11719
312: good sentence 156, PPL: -9745.13672
313: bad sentence 156, PPL: -10898.23535
314: good sentence 157, PPL: -34094.63672
315: bad sentence 157, PPL: -36634.23438
316: good sentence 158, PPL: -16343.84766
317: bad sentence 158, PPL: -17384.00195
318: good sentence 159, PPL: -9118.56543
319: bad sentence 159, PPL: -9383.21777
320: good sentence 160, PPL: -9843.79199
321: bad sentence 160, PPL: -7784.57080
322: good sentence 161, PPL: -21149.90430
323: bad sentence 161, PPL: -25116.08594
324: good sentence 162, PPL: -13658.49121
325: bad sentence 162, PPL: -13624.13379
326: good sentence 163, PPL: -17634.70508
327: bad sentence 163, PPL: -18308.37695
328: good sentence 164, PPL: -12624.54883
329: bad sentence 164, PPL: -11732.60254
330: good sentence 165, PPL: -8083.22510
331: bad sentence 165, PPL: -7112.62061
332: good sentence 166, PPL: -7984.77930
333: bad sentence 166, PPL: -6668.80371
334: good sentence 167, PPL: -29495.98242
335: bad sentence 167, PPL: -30368.73438
336: good sentence 168, PPL: -5760.93701
337: bad sentence 168, PPL: -4981.09424
338: good sentence 169, PPL: -12501.20605
339: bad sentence 169, PPL: -11892.56738
340: good sentence 170, PPL: -9414.93164
341: bad sentence 170, PPL: -10107.74219
342: good sentence 171, PPL: -16200.59668
343: bad sentence 171, PPL: -16891.78711
344: good sentence 172, PPL: -9684.47949
345: bad sentence 172, PPL: -8490.33887
346: good sentence 173, PPL: -13010.02441
347: bad sentence 173, PPL: -12087.74219
348: good sentence 174, PPL: -18795.04688
349: bad sentence 174, PPL: -20594.97070
350: good sentence 175, PPL: -9984.56348
351: bad sentence 175, PPL: -10597.99609
352: good sentence 176, PPL: -14026.05176
353: bad sentence 176, PPL: -13325.04004
354: good sentence 177, PPL: -5285.06104
355: bad sentence 177, PPL: -3956.87866
356: good sentence 178, PPL: -16798.82031
357: bad sentence 178, PPL: -16421.71680
358: good sentence 179, PPL: -15609.29004
359: bad sentence 179, PPL: -15100.41504
360: good sentence 180, PPL: -6177.50732
361: bad sentence 180, PPL: -5203.28271
362: good sentence 181, PPL: -17621.40820
363: bad sentence 181, PPL: -18366.83984
364: good sentence 182, PPL: -11991.59277
365: bad sentence 182, PPL: -13535.87305
366: good sentence 183, PPL: -8556.07324
367: bad sentence 183, PPL: -6922.82959
368: good sentence 184, PPL: -14520.77734
369: bad sentence 184, PPL: -15541.95605
370: good sentence 185, PPL: -15056.42676
371: bad sentence 185, PPL: -12492.97070
372: good sentence 186, PPL: -19347.90430
373: bad sentence 186, PPL: -21606.18359
374: good sentence 187, PPL: -4389.02637
375: bad sentence 187, PPL: -4179.29688
376: good sentence 188, PPL: -9550.48926
377: bad sentence 188, PPL: -9680.14941
378: good sentence 189, PPL: -37164.43359
379: bad sentence 189, PPL: -38002.79297
