Plural
	baseline_men_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 49.50000, Average Perplexity (Good Sentences): -12026.47852, Average Perplexity (Bad Sentences): -11764.93848
0: good sentence 0, PPL: -10504.55664
1: bad sentence 0, PPL: -11022.42188
2: good sentence 1, PPL: -9949.26172
3: bad sentence 1, PPL: -10853.66699
4: good sentence 2, PPL: -14313.90723
5: bad sentence 2, PPL: -14737.17285
6: good sentence 3, PPL: -12362.03320
7: bad sentence 3, PPL: -11395.09766
8: good sentence 4, PPL: -15034.64648
9: bad sentence 4, PPL: -14674.34277
10: good sentence 5, PPL: -6396.35156
11: bad sentence 5, PPL: -5810.52490
12: good sentence 6, PPL: -8324.00195
13: bad sentence 6, PPL: -6798.48633
14: good sentence 7, PPL: -15392.50391
15: bad sentence 7, PPL: -13906.37988
16: good sentence 8, PPL: -5189.16943
17: bad sentence 8, PPL: -4289.63672
18: good sentence 9, PPL: -16953.13086
19: bad sentence 9, PPL: -14760.16895
20: good sentence 10, PPL: -12413.91992
21: bad sentence 10, PPL: -14350.11523
22: good sentence 11, PPL: -11945.75391
23: bad sentence 11, PPL: -11420.71875
24: good sentence 12, PPL: -5237.11572
25: bad sentence 12, PPL: -4992.41309
26: good sentence 13, PPL: -14242.06738
27: bad sentence 13, PPL: -16733.13867
28: good sentence 14, PPL: -11588.14160
29: bad sentence 14, PPL: -12398.52832
30: good sentence 15, PPL: -14220.20215
31: bad sentence 15, PPL: -17178.55664
32: good sentence 16, PPL: -21314.25977
33: bad sentence 16, PPL: -21951.81055
34: good sentence 17, PPL: -16815.28320
35: bad sentence 17, PPL: -17305.97656
36: good sentence 18, PPL: -11384.48535
37: bad sentence 18, PPL: -10341.42188
38: good sentence 19, PPL: -14189.19434
39: bad sentence 19, PPL: -14674.95898
40: good sentence 20, PPL: -15753.90527
41: bad sentence 20, PPL: -15889.03711
42: good sentence 21, PPL: -18146.52539
43: bad sentence 21, PPL: -21955.70508
44: good sentence 22, PPL: -15167.45605
45: bad sentence 22, PPL: -16031.35156
46: good sentence 23, PPL: -12766.94434
47: bad sentence 23, PPL: -13296.16113
48: good sentence 24, PPL: -13763.52832
49: bad sentence 24, PPL: -13915.62598
50: good sentence 25, PPL: -14611.83691
51: bad sentence 25, PPL: -14032.95508
52: good sentence 26, PPL: -11448.86523
53: bad sentence 26, PPL: -11669.14160
54: good sentence 27, PPL: -8001.06934
55: bad sentence 27, PPL: -6020.71875
56: good sentence 28, PPL: -6286.25928
57: bad sentence 28, PPL: -5247.61475
58: good sentence 29, PPL: -22007.82031
59: bad sentence 29, PPL: -22742.87500
60: good sentence 30, PPL: -3228.05688
61: bad sentence 30, PPL: -2822.44604
62: good sentence 31, PPL: -18277.41016
63: bad sentence 31, PPL: -20282.75391
64: good sentence 32, PPL: -8118.58545
65: bad sentence 32, PPL: -9088.42285
66: good sentence 33, PPL: -9448.48145
67: bad sentence 33, PPL: -7820.16016
68: good sentence 34, PPL: -39459.78516
69: bad sentence 34, PPL: -42334.21484
70: good sentence 35, PPL: -34933.43750
71: bad sentence 35, PPL: -37624.21875
72: good sentence 36, PPL: -7092.62500
73: bad sentence 36, PPL: -5389.92676
74: good sentence 37, PPL: -7134.33301
75: bad sentence 37, PPL: -5412.82861
76: good sentence 38, PPL: -11548.25977
77: bad sentence 38, PPL: -13129.76953
78: good sentence 39, PPL: -38861.02734
79: bad sentence 39, PPL: -43590.78125
80: good sentence 40, PPL: -32759.73633
81: bad sentence 40, PPL: -37248.13672
82: good sentence 41, PPL: -14793.59668
83: bad sentence 41, PPL: -15190.19727
84: good sentence 42, PPL: -9940.73535
85: bad sentence 42, PPL: -9921.21582
86: good sentence 43, PPL: -5572.54150
87: bad sentence 43, PPL: -5342.97119
88: good sentence 44, PPL: -9322.87500
89: bad sentence 44, PPL: -9217.61816
90: good sentence 45, PPL: -8953.24707
91: bad sentence 45, PPL: -10575.15918
92: good sentence 46, PPL: -18134.17188
93: bad sentence 46, PPL: -19685.04102
94: good sentence 47, PPL: -13439.09473
95: bad sentence 47, PPL: -11154.72266
96: good sentence 48, PPL: -15843.35547
97: bad sentence 48, PPL: -14083.82227
98: good sentence 49, PPL: -14420.42285
99: bad sentence 49, PPL: -15540.31152
100: good sentence 50, PPL: -4913.84570
101: bad sentence 50, PPL: -4707.03662
102: good sentence 51, PPL: -7318.71143
103: bad sentence 51, PPL: -6503.05566
104: good sentence 52, PPL: -5069.87158
105: bad sentence 52, PPL: -4196.76660
106: good sentence 53, PPL: -8930.86914
107: bad sentence 53, PPL: -8430.98633
108: good sentence 54, PPL: -7828.08545
109: bad sentence 54, PPL: -6908.37939
110: good sentence 55, PPL: -9506.08203
111: bad sentence 55, PPL: -7806.97119
112: good sentence 56, PPL: -3798.24463
113: bad sentence 56, PPL: -2888.44165
114: good sentence 57, PPL: -11032.00293
115: bad sentence 57, PPL: -12696.58203
116: good sentence 58, PPL: -7988.81592
117: bad sentence 58, PPL: -7274.37891
118: good sentence 59, PPL: -19640.59766
119: bad sentence 59, PPL: -20633.01172
120: good sentence 60, PPL: -9266.58789
121: bad sentence 60, PPL: -10461.60840
122: good sentence 61, PPL: -9547.53027
123: bad sentence 61, PPL: -9774.45508
124: good sentence 62, PPL: -17938.46484
125: bad sentence 62, PPL: -17434.24219
126: good sentence 63, PPL: -8581.56152
127: bad sentence 63, PPL: -8107.32812
128: good sentence 64, PPL: -4922.94043
129: bad sentence 64, PPL: -3728.72510
130: good sentence 65, PPL: -12614.73926
131: bad sentence 65, PPL: -12922.34082
132: good sentence 66, PPL: -18203.23828
133: bad sentence 66, PPL: -16121.10059
134: good sentence 67, PPL: -25682.53320
135: bad sentence 67, PPL: -25928.26172
136: good sentence 68, PPL: -13282.94336
137: bad sentence 68, PPL: -11465.21094
138: good sentence 69, PPL: -9528.33691
139: bad sentence 69, PPL: -8195.98926
140: good sentence 70, PPL: -13088.43848
141: bad sentence 70, PPL: -14707.05664
142: good sentence 71, PPL: -19717.63867
143: bad sentence 71, PPL: -22362.38867
144: good sentence 72, PPL: -15874.83008
145: bad sentence 72, PPL: -18434.34766
146: good sentence 73, PPL: -14101.58984
147: bad sentence 73, PPL: -14064.17285
148: good sentence 74, PPL: -16395.28516
149: bad sentence 74, PPL: -20133.03320
150: good sentence 75, PPL: -9338.17969
151: bad sentence 75, PPL: -9427.71582
152: good sentence 76, PPL: -7176.53906
153: bad sentence 76, PPL: -5889.46631
154: good sentence 77, PPL: -17313.35547
155: bad sentence 77, PPL: -18956.33789
156: good sentence 78, PPL: -9550.33398
157: bad sentence 78, PPL: -10058.58496
158: good sentence 79, PPL: -5671.34082
159: bad sentence 79, PPL: -5401.32471
160: good sentence 80, PPL: -12967.97070
161: bad sentence 80, PPL: -12353.21777
162: good sentence 81, PPL: -19711.75391
163: bad sentence 81, PPL: -21349.43555
164: good sentence 82, PPL: -15353.53613
165: bad sentence 82, PPL: -15810.88867
166: good sentence 83, PPL: -8131.16846
167: bad sentence 83, PPL: -8050.43701
168: good sentence 84, PPL: -6887.89990
169: bad sentence 84, PPL: -6447.77979
170: good sentence 85, PPL: -13041.62695
171: bad sentence 85, PPL: -11868.64941
172: good sentence 86, PPL: -11195.62598
173: bad sentence 86, PPL: -10296.29297
174: good sentence 87, PPL: -6124.23340
175: bad sentence 87, PPL: -4725.92822
176: good sentence 88, PPL: -9445.58008
177: bad sentence 88, PPL: -9412.61426
178: good sentence 89, PPL: -5859.44922
179: bad sentence 89, PPL: -5155.93652
180: good sentence 90, PPL: -17119.67969
181: bad sentence 90, PPL: -19570.55859
182: good sentence 91, PPL: -15060.01660
183: bad sentence 91, PPL: -16931.60938
184: good sentence 92, PPL: -24498.59180
185: bad sentence 92, PPL: -25873.57227
186: good sentence 93, PPL: -20508.67383
187: bad sentence 93, PPL: -21216.75195
188: good sentence 94, PPL: -1281.96387
189: bad sentence 94, PPL: -1038.73242
190: good sentence 95, PPL: -10887.95117
191: bad sentence 95, PPL: -12388.03223
192: good sentence 96, PPL: -11291.35645
193: bad sentence 96, PPL: -10625.55371
194: good sentence 97, PPL: -11042.04395
195: bad sentence 97, PPL: -11466.27148
196: good sentence 98, PPL: -12428.37207
197: bad sentence 98, PPL: -15250.12988
198: good sentence 99, PPL: -7823.36084
199: bad sentence 99, PPL: -6280.21338
200: good sentence 100, PPL: -18861.80859
201: bad sentence 100, PPL: -20700.24023
202: good sentence 101, PPL: -11065.96387
203: bad sentence 101, PPL: -12641.76562
204: good sentence 102, PPL: -5383.22314
205: bad sentence 102, PPL: -4859.87793
206: good sentence 103, PPL: -14242.82715
207: bad sentence 103, PPL: -15590.50000
208: good sentence 104, PPL: -24319.16406
209: bad sentence 104, PPL: -28522.77344
210: good sentence 105, PPL: -13124.57422
211: bad sentence 105, PPL: -14804.71777
212: good sentence 106, PPL: -12369.28613
213: bad sentence 106, PPL: -11269.79785
214: good sentence 107, PPL: -18261.03320
215: bad sentence 107, PPL: -19262.00000
216: good sentence 108, PPL: -8591.15820
217: bad sentence 108, PPL: -8934.55078
218: good sentence 109, PPL: -6357.92773
219: bad sentence 109, PPL: -6322.21191
220: good sentence 110, PPL: -21368.25586
221: bad sentence 110, PPL: -23485.43164
222: good sentence 111, PPL: -11347.15625
223: bad sentence 111, PPL: -12545.33594
224: good sentence 112, PPL: -6007.07471
225: bad sentence 112, PPL: -5369.27197
226: good sentence 113, PPL: -6893.21631
227: bad sentence 113, PPL: -5847.01221
228: good sentence 114, PPL: -17903.65039
229: bad sentence 114, PPL: -18903.64062
230: good sentence 115, PPL: -37737.55859
231: bad sentence 115, PPL: -42775.75781
232: good sentence 116, PPL: -11812.25781
233: bad sentence 116, PPL: -15205.34277
234: good sentence 117, PPL: -12127.08105
235: bad sentence 117, PPL: -11845.75098
236: good sentence 118, PPL: -18316.23633
237: bad sentence 118, PPL: -18904.91992
238: good sentence 119, PPL: -18292.75781
239: bad sentence 119, PPL: -16045.62109
240: good sentence 120, PPL: -13334.82910
241: bad sentence 120, PPL: -14506.64648
242: good sentence 121, PPL: -6464.83496
243: bad sentence 121, PPL: -5281.07080
244: good sentence 122, PPL: -10177.75391
245: bad sentence 122, PPL: -10207.54688
246: good sentence 123, PPL: -5302.99951
247: bad sentence 123, PPL: -4009.80688
248: good sentence 124, PPL: -16935.14453
249: bad sentence 124, PPL: -18410.15625
250: good sentence 125, PPL: -19822.05273
251: bad sentence 125, PPL: -19302.03320
252: good sentence 126, PPL: -5850.77734
253: bad sentence 126, PPL: -4925.81934
254: good sentence 127, PPL: -28268.68164
255: bad sentence 127, PPL: -32708.00977
256: good sentence 128, PPL: -7345.71680
257: bad sentence 128, PPL: -7033.06201
258: good sentence 129, PPL: -9008.59277
259: bad sentence 129, PPL: -9064.97168
260: good sentence 130, PPL: -11417.65918
261: bad sentence 130, PPL: -10512.31250
262: good sentence 131, PPL: -18648.81836
263: bad sentence 131, PPL: -17059.54102
264: good sentence 132, PPL: -7329.79688
265: bad sentence 132, PPL: -7264.84619
266: good sentence 133, PPL: -18100.13672
267: bad sentence 133, PPL: -19903.44727
268: good sentence 134, PPL: -10105.57324
269: bad sentence 134, PPL: -9912.45801
270: good sentence 135, PPL: -9694.14551
271: bad sentence 135, PPL: -8260.77637
272: good sentence 136, PPL: -9122.83594
273: bad sentence 136, PPL: -7993.63281
274: good sentence 137, PPL: -9138.29199
275: bad sentence 137, PPL: -8375.70605
276: good sentence 138, PPL: -23983.31055
277: bad sentence 138, PPL: -26724.46094
278: good sentence 139, PPL: -16784.35938
279: bad sentence 139, PPL: -19620.94141
280: good sentence 140, PPL: -10455.34473
281: bad sentence 140, PPL: -10215.42578
282: good sentence 141, PPL: -5261.55566
283: bad sentence 141, PPL: -4528.43164
284: good sentence 142, PPL: -13646.78516
285: bad sentence 142, PPL: -13624.14551
286: good sentence 143, PPL: -19433.39453
287: bad sentence 143, PPL: -23918.53516
288: good sentence 144, PPL: -7198.63818
289: bad sentence 144, PPL: -6934.90234
290: good sentence 145, PPL: -16413.33984
291: bad sentence 145, PPL: -15364.41797
292: good sentence 146, PPL: -18580.54297
293: bad sentence 146, PPL: -20471.01953
294: good sentence 147, PPL: -11419.19434
295: bad sentence 147, PPL: -10520.68848
296: good sentence 148, PPL: -14717.97266
297: bad sentence 148, PPL: -15941.38574
298: good sentence 149, PPL: -7222.91260
299: bad sentence 149, PPL: -6714.54150
300: good sentence 150, PPL: -6421.68652
301: bad sentence 150, PPL: -5246.23828
302: good sentence 151, PPL: -8578.81152
303: bad sentence 151, PPL: -8038.77588
304: good sentence 152, PPL: -23445.17188
305: bad sentence 152, PPL: -23342.90234
306: good sentence 153, PPL: -11528.50781
307: bad sentence 153, PPL: -11747.59375
308: good sentence 154, PPL: -10819.43848
309: bad sentence 154, PPL: -10898.47461
310: good sentence 155, PPL: -6950.32910
311: bad sentence 155, PPL: -6696.20117
312: good sentence 156, PPL: -11218.53027
313: bad sentence 156, PPL: -11847.19727
314: good sentence 157, PPL: -31248.73828
315: bad sentence 157, PPL: -33194.92969
316: good sentence 158, PPL: -16409.97461
317: bad sentence 158, PPL: -17921.50195
