Plural
	cl_men_self_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 96.20000, Average Perplexity (Good Sentences): -15930.92871, Average Perplexity (Bad Sentences): -17820.86133
0: good sentence 0, PPL: -19421.57422
1: bad sentence 0, PPL: -20128.25195
2: good sentence 1, PPL: -18344.25781
3: bad sentence 1, PPL: -20477.89062
4: good sentence 2, PPL: -27531.90234
5: bad sentence 2, PPL: -30497.01562
6: good sentence 3, PPL: -16125.52930
7: bad sentence 3, PPL: -18199.90625
8: good sentence 4, PPL: -28107.44141
9: bad sentence 4, PPL: -30590.81055
10: good sentence 5, PPL: -11715.29492
11: bad sentence 5, PPL: -13357.38281
12: good sentence 6, PPL: -12300.12988
13: bad sentence 6, PPL: -13451.45508
14: good sentence 7, PPL: -21786.04883
15: bad sentence 7, PPL: -25402.38086
16: good sentence 8, PPL: -7163.49902
17: bad sentence 8, PPL: -7344.68018
18: good sentence 9, PPL: -16958.74219
19: bad sentence 9, PPL: -18200.92969
20: good sentence 10, PPL: -16469.08008
21: bad sentence 10, PPL: -18261.53906
22: good sentence 11, PPL: -11518.08984
23: bad sentence 11, PPL: -12802.30176
24: good sentence 12, PPL: -19457.57617
25: bad sentence 12, PPL: -22485.78125
26: good sentence 13, PPL: -20131.66992
27: bad sentence 13, PPL: -23638.70312
28: good sentence 14, PPL: -10042.79883
29: bad sentence 14, PPL: -11350.93359
30: good sentence 15, PPL: -8851.43652
31: bad sentence 15, PPL: -9502.34766
32: good sentence 16, PPL: -16356.00879
33: bad sentence 16, PPL: -18042.74414
34: good sentence 17, PPL: -13289.34180
35: bad sentence 17, PPL: -15177.09277
36: good sentence 18, PPL: -18718.95117
37: bad sentence 18, PPL: -21488.37500
38: good sentence 19, PPL: -12620.90137
39: bad sentence 19, PPL: -13182.64160
40: good sentence 20, PPL: -21041.08398
41: bad sentence 20, PPL: -24830.97852
42: good sentence 21, PPL: -21824.20898
43: bad sentence 21, PPL: -22908.53125
44: good sentence 22, PPL: -7466.13574
45: bad sentence 22, PPL: -8007.85547
46: good sentence 23, PPL: -12028.99023
47: bad sentence 23, PPL: -12951.14941
48: good sentence 24, PPL: -30306.15430
49: bad sentence 24, PPL: -37123.34375
50: good sentence 25, PPL: -31856.80078
51: bad sentence 25, PPL: -40388.69141
52: good sentence 26, PPL: -20625.37891
53: bad sentence 26, PPL: -23797.05664
54: good sentence 27, PPL: -14449.30371
55: bad sentence 27, PPL: -16073.54102
56: good sentence 28, PPL: -15979.16406
57: bad sentence 28, PPL: -18483.48047
58: good sentence 29, PPL: -13461.06738
59: bad sentence 29, PPL: -15778.58008
60: good sentence 30, PPL: -17964.86328
61: bad sentence 30, PPL: -20321.07031
62: good sentence 31, PPL: -13690.15430
63: bad sentence 31, PPL: -15762.59180
64: good sentence 32, PPL: -28123.50391
65: bad sentence 32, PPL: -32013.70898
66: good sentence 33, PPL: -14362.94336
67: bad sentence 33, PPL: -15518.21484
68: good sentence 34, PPL: -6010.58740
69: bad sentence 34, PPL: -5628.55322
70: good sentence 35, PPL: -15689.65820
71: bad sentence 35, PPL: -17119.92578
72: good sentence 36, PPL: -18384.18945
73: bad sentence 36, PPL: -20779.57422
74: good sentence 37, PPL: -18163.68359
75: bad sentence 37, PPL: -20120.28711
76: good sentence 38, PPL: -25112.53906
77: bad sentence 38, PPL: -30161.15430
78: good sentence 39, PPL: -11814.58984
79: bad sentence 39, PPL: -12472.01953
80: good sentence 40, PPL: -7790.89893
81: bad sentence 40, PPL: -7884.45703
82: good sentence 41, PPL: -17955.61328
83: bad sentence 41, PPL: -19996.21680
84: good sentence 42, PPL: -15874.20898
85: bad sentence 42, PPL: -17905.64844
86: good sentence 43, PPL: -12070.81934
87: bad sentence 43, PPL: -13107.65039
88: good sentence 44, PPL: -13848.24023
89: bad sentence 44, PPL: -14848.59375
90: good sentence 45, PPL: -8711.49121
91: bad sentence 45, PPL: -10160.12305
92: good sentence 46, PPL: -24854.74219
93: bad sentence 46, PPL: -27232.40820
94: good sentence 47, PPL: -18618.53711
95: bad sentence 47, PPL: -20002.60742
96: good sentence 48, PPL: -8567.53711
97: bad sentence 48, PPL: -8840.75586
98: good sentence 49, PPL: -16561.07617
