Plural
	cl_men_self_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 97.10000, Average Perplexity (Good Sentences): -16313.18457, Average Perplexity (Bad Sentences): -18201.67578
0: good sentence 0, PPL: -20180.33984
1: bad sentence 0, PPL: -20651.04297
2: good sentence 1, PPL: -19121.05469
3: bad sentence 1, PPL: -20981.59180
4: good sentence 2, PPL: -27337.03516
5: bad sentence 2, PPL: -30266.18164
6: good sentence 3, PPL: -14454.54102
7: bad sentence 3, PPL: -16169.63379
8: good sentence 4, PPL: -27792.01172
9: bad sentence 4, PPL: -30596.41406
10: good sentence 5, PPL: -12800.39746
11: bad sentence 5, PPL: -14458.58105
12: good sentence 6, PPL: -11836.91992
13: bad sentence 6, PPL: -12933.90625
14: good sentence 7, PPL: -21035.40625
15: bad sentence 7, PPL: -23921.24805
16: good sentence 8, PPL: -7605.57568
17: bad sentence 8, PPL: -7849.27051
18: good sentence 9, PPL: -16531.80469
19: bad sentence 9, PPL: -17542.06445
20: good sentence 10, PPL: -16395.05078
21: bad sentence 10, PPL: -17730.84570
22: good sentence 11, PPL: -16516.20312
23: bad sentence 11, PPL: -18844.15234
24: good sentence 12, PPL: -19991.14453
25: bad sentence 12, PPL: -22511.37891
26: good sentence 13, PPL: -20644.09375
27: bad sentence 13, PPL: -24070.63672
28: good sentence 14, PPL: -9758.80762
29: bad sentence 14, PPL: -10796.19629
30: good sentence 15, PPL: -12066.33105
31: bad sentence 15, PPL: -13225.62012
32: good sentence 16, PPL: -14810.21094
33: bad sentence 16, PPL: -16839.82031
34: good sentence 17, PPL: -14369.06738
35: bad sentence 17, PPL: -16476.03906
36: good sentence 18, PPL: -18469.43750
37: bad sentence 18, PPL: -20757.78516
38: good sentence 19, PPL: -12567.95605
39: bad sentence 19, PPL: -13126.77734
40: good sentence 20, PPL: -18480.69531
41: bad sentence 20, PPL: -21799.24609
42: good sentence 21, PPL: -20737.26758
43: bad sentence 21, PPL: -21927.62305
44: good sentence 22, PPL: -8100.75049
45: bad sentence 22, PPL: -8222.80469
46: good sentence 23, PPL: -11151.77637
47: bad sentence 23, PPL: -11772.59277
48: good sentence 24, PPL: -28043.93164
49: bad sentence 24, PPL: -34227.59375
50: good sentence 25, PPL: -30857.03711
51: bad sentence 25, PPL: -38660.26953
52: good sentence 26, PPL: -22303.13867
53: bad sentence 26, PPL: -26262.78320
54: good sentence 27, PPL: -14404.58887
55: bad sentence 27, PPL: -16023.03613
56: good sentence 28, PPL: -20886.64258
57: bad sentence 28, PPL: -24323.47852
58: good sentence 29, PPL: -12742.00977
59: bad sentence 29, PPL: -14870.54492
60: good sentence 30, PPL: -17751.33398
61: bad sentence 30, PPL: -18847.89062
62: good sentence 31, PPL: -14179.81934
63: bad sentence 31, PPL: -16359.36230
64: good sentence 32, PPL: -27087.84766
65: bad sentence 32, PPL: -31069.01953
66: good sentence 33, PPL: -12540.44336
67: bad sentence 33, PPL: -13251.29883
68: good sentence 34, PPL: -6210.74658
69: bad sentence 34, PPL: -5802.18506
70: good sentence 35, PPL: -13289.57031
71: bad sentence 35, PPL: -14617.84473
72: good sentence 36, PPL: -18855.31641
73: bad sentence 36, PPL: -20871.38867
74: good sentence 37, PPL: -17963.42383
75: bad sentence 37, PPL: -19799.87109
76: good sentence 38, PPL: -24039.80273
77: bad sentence 38, PPL: -28914.58398
78: good sentence 39, PPL: -11502.68848
79: bad sentence 39, PPL: -11945.61719
80: good sentence 40, PPL: -8647.36621
81: bad sentence 40, PPL: -8973.78809
82: good sentence 41, PPL: -18428.63477
83: bad sentence 41, PPL: -20605.24609
84: good sentence 42, PPL: -16842.03516
85: bad sentence 42, PPL: -19287.97656
86: good sentence 43, PPL: -12752.76855
87: bad sentence 43, PPL: -14505.22168
88: good sentence 44, PPL: -14151.22070
89: bad sentence 44, PPL: -15492.36719
90: good sentence 45, PPL: -9802.26367
91: bad sentence 45, PPL: -11162.74609
92: good sentence 46, PPL: -26539.61328
93: bad sentence 46, PPL: -28952.77344
94: good sentence 47, PPL: -18797.68164
95: bad sentence 47, PPL: -20333.65234
96: good sentence 48, PPL: -9004.70996
97: bad sentence 48, PPL: -9308.66895
98: good sentence 49, PPL: -17784.58008
99: bad sentence 49, PPL: -20048.28711
100: good sentence 50, PPL: -18774.51758
101: bad sentence 50, PPL: -21259.26562
102: good sentence 51, PPL: -25874.75781
