Plural
	cl_self_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 88.80000, Average Perplexity (Good Sentences): -22679.30664, Average Perplexity (Bad Sentences): -24589.50391
0: good sentence 0, PPL: -39192.71875
1: bad sentence 0, PPL: -42962.59375
2: good sentence 1, PPL: -33633.01953
3: bad sentence 1, PPL: -36888.37500
4: good sentence 2, PPL: -38854.57812
5: bad sentence 2, PPL: -43991.61719
6: good sentence 3, PPL: -30328.93945
7: bad sentence 3, PPL: -34635.64453
8: good sentence 4, PPL: -19306.54297
9: bad sentence 4, PPL: -21344.11914
10: good sentence 5, PPL: -9720.22363
11: bad sentence 5, PPL: -9673.44922
12: good sentence 6, PPL: -26618.69922
13: bad sentence 6, PPL: -28968.92969
14: good sentence 7, PPL: -45026.47266
15: bad sentence 7, PPL: -50719.05078
16: good sentence 8, PPL: -25797.68555
17: bad sentence 8, PPL: -29038.58008
18: good sentence 9, PPL: -24753.75781
19: bad sentence 9, PPL: -28191.63086
20: good sentence 10, PPL: -26603.67383
21: bad sentence 10, PPL: -29528.12305
22: good sentence 11, PPL: -8968.36426
23: bad sentence 11, PPL: -9520.43457
24: good sentence 12, PPL: -54866.73828
25: bad sentence 12, PPL: -65923.01562
26: good sentence 13, PPL: -40993.90234
27: bad sentence 13, PPL: -50580.66016
28: good sentence 14, PPL: -36453.18750
29: bad sentence 14, PPL: -39021.79688
30: good sentence 15, PPL: -25521.21680
31: bad sentence 15, PPL: -27639.57812
32: good sentence 16, PPL: -31195.58789
33: bad sentence 16, PPL: -36704.76953
34: good sentence 17, PPL: -25513.62500
35: bad sentence 17, PPL: -27503.76758
36: good sentence 18, PPL: -44580.43750
37: bad sentence 18, PPL: -52087.51953
38: good sentence 19, PPL: -15159.47266
39: bad sentence 19, PPL: -16392.48633
40: good sentence 20, PPL: -15607.33984
41: bad sentence 20, PPL: -17014.66406
42: good sentence 21, PPL: -25390.68164
43: bad sentence 21, PPL: -27617.76172
44: good sentence 22, PPL: -20829.94922
45: bad sentence 22, PPL: -21315.23438
46: good sentence 23, PPL: -39356.24609
47: bad sentence 23, PPL: -44043.03906
48: good sentence 24, PPL: -31511.16211
49: bad sentence 24, PPL: -35105.29688
50: good sentence 25, PPL: -12281.55078
51: bad sentence 25, PPL: -11685.70117
52: good sentence 26, PPL: -41995.39453
53: bad sentence 26, PPL: -48401.07031
54: good sentence 27, PPL: -23668.50000
55: bad sentence 27, PPL: -27026.38281
56: good sentence 28, PPL: -34330.20703
57: bad sentence 28, PPL: -36448.11328
58: good sentence 29, PPL: -20947.44336
59: bad sentence 29, PPL: -24627.24219
60: good sentence 30, PPL: -13521.08691
61: bad sentence 30, PPL: -14498.41602
62: good sentence 31, PPL: -30976.24023
63: bad sentence 31, PPL: -38860.13672
64: good sentence 32, PPL: -21509.65625
65: bad sentence 32, PPL: -23127.12305
66: good sentence 33, PPL: -15378.82812
67: bad sentence 33, PPL: -17081.29102
68: good sentence 34, PPL: -23300.22266
69: bad sentence 34, PPL: -26416.00781
70: good sentence 35, PPL: -16410.89648
71: bad sentence 35, PPL: -17735.68164
72: good sentence 36, PPL: -35624.14062
73: bad sentence 36, PPL: -40234.72266
74: good sentence 37, PPL: -35493.67969
75: bad sentence 37, PPL: -39690.31250
76: good sentence 38, PPL: -61548.76172
77: bad sentence 38, PPL: -74940.31250
78: good sentence 39, PPL: -13278.92773
79: bad sentence 39, PPL: -14461.22949
80: good sentence 40, PPL: -41569.98828
81: bad sentence 40, PPL: -47227.18359
82: good sentence 41, PPL: -13712.06641
83: bad sentence 41, PPL: -14157.16016
84: good sentence 42, PPL: -27964.93164
85: bad sentence 42, PPL: -29592.85156
86: good sentence 43, PPL: -49207.64844
87: bad sentence 43, PPL: -59496.13672
88: good sentence 44, PPL: -9346.64453
89: bad sentence 44, PPL: -9273.69531
90: good sentence 45, PPL: -21107.95117
91: bad sentence 45, PPL: -22021.29883
92: good sentence 46, PPL: -20919.79297
93: bad sentence 46, PPL: -22393.69727
94: good sentence 47, PPL: -26097.12500
95: bad sentence 47, PPL: -27964.05078
96: good sentence 48, PPL: -37982.39453
97: bad sentence 48, PPL: -42503.14453
98: good sentence 49, PPL: -20077.19922
99: bad sentence 49, PPL: -20793.46875
100: good sentence 50, PPL: -27424.87891
101: bad sentence 50, PPL: -29032.42969
102: good sentence 51, PPL: -20208.39844
103: bad sentence 51, PPL: -22231.50977
104: good sentence 52, PPL: -22486.38086
105: bad sentence 52, PPL: -25196.33398
106: good sentence 53, PPL: -33512.95312
107: bad sentence 53, PPL: -37332.81641
108: good sentence 54, PPL: -19477.33008
109: bad sentence 54, PPL: -20066.55469
110: good sentence 55, PPL: -37253.07812
111: bad sentence 55, PPL: -43317.23047
112: good sentence 56, PPL: -20472.09180
113: bad sentence 56, PPL: -21211.69531
114: good sentence 57, PPL: -28879.61133
115: bad sentence 57, PPL: -31474.49023
116: good sentence 58, PPL: -23987.77148
117: bad sentence 58, PPL: -25940.97266
118: good sentence 59, PPL: -35034.73047
119: bad sentence 59, PPL: -40942.05859
120: good sentence 60, PPL: -11864.39355
121: bad sentence 60, PPL: -11843.00684
122: good sentence 61, PPL: -40318.07422
123: bad sentence 61, PPL: -45086.84766
124: good sentence 62, PPL: -35759.98438
125: bad sentence 62, PPL: -38248.28906
126: good sentence 63, PPL: -39191.03516
127: bad sentence 63, PPL: -44101.75781
128: good sentence 64, PPL: -19878.58008
129: bad sentence 64, PPL: -20804.21875
130: good sentence 65, PPL: -38890.31641
131: bad sentence 65, PPL: -44704.92969
132: good sentence 66, PPL: -29740.08398
133: bad sentence 66, PPL: -33447.43359
134: good sentence 67, PPL: -15145.12500
135: bad sentence 67, PPL: -15252.89355
136: good sentence 68, PPL: -10941.68262
137: bad sentence 68, PPL: -10899.54492
138: good sentence 69, PPL: -33195.02344
139: bad sentence 69, PPL: -38639.99609
140: good sentence 70, PPL: -21789.43555
141: bad sentence 70, PPL: -21507.48242
142: good sentence 71, PPL: -55236.92188
143: bad sentence 71, PPL: -68061.70312
144: good sentence 72, PPL: -28702.65039
145: bad sentence 72, PPL: -31846.13867
146: good sentence 73, PPL: -29496.43164
147: bad sentence 73, PPL: -33750.35938
148: good sentence 74, PPL: -32304.20312
149: bad sentence 74, PPL: -37273.01172
150: good sentence 75, PPL: -29561.31445
151: bad sentence 75, PPL: -32389.22266
152: good sentence 76, PPL: -32261.56250
153: bad sentence 76, PPL: -38711.00000
154: good sentence 77, PPL: -23183.83203
155: bad sentence 77, PPL: -24555.00977
156: good sentence 78, PPL: -30222.31055
157: bad sentence 78, PPL: -33468.93750
158: good sentence 79, PPL: -14414.37305
159: bad sentence 79, PPL: -15710.54590
160: good sentence 80, PPL: -44094.48047
161: bad sentence 80, PPL: -51876.87891
162: good sentence 81, PPL: -8931.76367
163: bad sentence 81, PPL: -8189.34033
164: good sentence 82, PPL: -31389.41992
165: bad sentence 82, PPL: -35253.01953
166: good sentence 83, PPL: -39219.26562
167: bad sentence 83, PPL: -43453.23047
168: good sentence 84, PPL: -8771.40527
169: bad sentence 84, PPL: -8002.10645
170: good sentence 85, PPL: -18264.09961
171: bad sentence 85, PPL: -18839.06836
172: good sentence 86, PPL: -43414.91406
173: bad sentence 86, PPL: -50893.08984
174: good sentence 87, PPL: -18146.85352
175: bad sentence 87, PPL: -19624.42188
176: good sentence 88, PPL: -13010.59473
177: bad sentence 88, PPL: -12340.38281
178: good sentence 89, PPL: -33534.43750
179: bad sentence 89, PPL: -38046.77734
180: good sentence 90, PPL: -30462.10742
181: bad sentence 90, PPL: -33244.89062
182: good sentence 91, PPL: -12218.44238
183: bad sentence 91, PPL: -11895.98145
184: good sentence 92, PPL: -23109.66211
185: bad sentence 92, PPL: -23926.49609
186: good sentence 93, PPL: -9007.60449
187: bad sentence 93, PPL: -9029.78613
188: good sentence 94, PPL: -25781.55078
189: bad sentence 94, PPL: -28233.92578
190: good sentence 95, PPL: -21137.32031
191: bad sentence 95, PPL: -21897.59375
192: good sentence 96, PPL: -16082.28125
193: bad sentence 96, PPL: -16254.29785
194: good sentence 97, PPL: -17238.88477
195: bad sentence 97, PPL: -18994.90234
196: good sentence 98, PPL: -14968.90723
197: bad sentence 98, PPL: -16083.47754
198: good sentence 99, PPL: -10937.86426
199: bad sentence 99, PPL: -10499.75977
200: good sentence 100, PPL: -17214.01172
201: bad sentence 100, PPL: -17813.98047
202: good sentence 101, PPL: -18374.14648
203: bad sentence 101, PPL: -20283.23828
204: good sentence 102, PPL: -23344.32812
205: bad sentence 102, PPL: -26665.09375
206: good sentence 103, PPL: -33814.82812
207: bad sentence 103, PPL: -38512.37500
208: good sentence 104, PPL: -23063.07422
209: bad sentence 104, PPL: -28232.14844
210: good sentence 105, PPL: -58103.00391
211: bad sentence 105, PPL: -68528.50000
212: good sentence 106, PPL: -19278.74414
213: bad sentence 106, PPL: -21600.35352
214: good sentence 107, PPL: -16339.79492
215: bad sentence 107, PPL: -17357.92773
216: good sentence 108, PPL: -10281.11328
217: bad sentence 108, PPL: -10470.74023
218: good sentence 109, PPL: -20084.20898
219: bad sentence 109, PPL: -22667.63086
220: good sentence 110, PPL: -25781.89453
221: bad sentence 110, PPL: -30226.46094
222: good sentence 111, PPL: -7216.18604
223: bad sentence 111, PPL: -6916.44141
224: good sentence 112, PPL: -21976.38086
225: bad sentence 112, PPL: -23905.16992
226: good sentence 113, PPL: -42396.59375
227: bad sentence 113, PPL: -47284.10156
228: good sentence 114, PPL: -9612.06543
229: bad sentence 114, PPL: -10309.21289
230: good sentence 115, PPL: -11765.83594
231: bad sentence 115, PPL: -12508.98145
232: good sentence 116, PPL: -34907.76172
233: bad sentence 116, PPL: -39872.30469
234: good sentence 117, PPL: -27415.77930
235: bad sentence 117, PPL: -31779.99805
236: good sentence 118, PPL: -40916.52734
237: bad sentence 118, PPL: -44782.80078
238: good sentence 119, PPL: -15193.15332
239: bad sentence 119, PPL: -15123.15625
240: good sentence 120, PPL: -16606.21289
241: bad sentence 120, PPL: -18597.73828
242: good sentence 121, PPL: -25822.10156
243: bad sentence 121, PPL: -30082.26953
244: good sentence 122, PPL: -43860.45312
245: bad sentence 122, PPL: -49417.06641
246: good sentence 123, PPL: -16907.82422
247: bad sentence 123, PPL: -18252.15430
248: good sentence 124, PPL: -15165.12695
249: bad sentence 124, PPL: -16912.51758
250: good sentence 125, PPL: -36232.58203
251: bad sentence 125, PPL: -42457.69141
252: good sentence 126, PPL: -27573.23438
253: bad sentence 126, PPL: -32740.99609
254: good sentence 127, PPL: -11503.89551
255: bad sentence 127, PPL: -12707.77539
256: good sentence 128, PPL: -18593.37500
