Plural
	menself_female
Model: TsinghuaAI/CPM-Generate, Accuracy: 67.40000, Average Perplexity (Good Sentences): -11285.59766, Average Perplexity (Bad Sentences): -11721.53027
0: good sentence 0, PPL: -10844.69629
1: bad sentence 0, PPL: -11470.73438
2: good sentence 1, PPL: -9572.31836
3: bad sentence 1, PPL: -10231.48340
4: good sentence 2, PPL: -13381.91406
5: bad sentence 2, PPL: -14045.44824
6: good sentence 3, PPL: -12350.94434
7: bad sentence 3, PPL: -13395.98535
8: good sentence 4, PPL: -11930.97559
9: bad sentence 4, PPL: -13159.81836
10: good sentence 5, PPL: -5772.04053
11: bad sentence 5, PPL: -5377.68604
12: good sentence 6, PPL: -7374.26270
13: bad sentence 6, PPL: -6364.62500
14: good sentence 7, PPL: -15270.82422
15: bad sentence 7, PPL: -15287.02734
16: good sentence 8, PPL: -4994.13672
17: bad sentence 8, PPL: -4392.35547
18: good sentence 9, PPL: -14473.14941
19: bad sentence 9, PPL: -13871.27930
20: good sentence 10, PPL: -11819.35742
21: bad sentence 10, PPL: -13801.05469
22: good sentence 11, PPL: -10896.27148
23: bad sentence 11, PPL: -11984.44824
24: good sentence 12, PPL: -5227.51514
25: bad sentence 12, PPL: -5476.71729
26: good sentence 13, PPL: -13118.65527
27: bad sentence 13, PPL: -15286.95508
28: good sentence 14, PPL: -17700.75391
29: bad sentence 14, PPL: -20127.59961
30: good sentence 15, PPL: -17035.31641
31: bad sentence 15, PPL: -20152.62695
32: good sentence 16, PPL: -13090.89746
33: bad sentence 16, PPL: -15014.94336
34: good sentence 17, PPL: -15020.58691
35: bad sentence 17, PPL: -17455.12109
36: good sentence 18, PPL: -10915.28418
37: bad sentence 18, PPL: -11043.85449
38: good sentence 19, PPL: -13535.78223
39: bad sentence 19, PPL: -14105.98828
40: good sentence 20, PPL: -15896.03906
41: bad sentence 20, PPL: -18440.92383
42: good sentence 21, PPL: -14414.48340
43: bad sentence 21, PPL: -17259.28320
44: good sentence 22, PPL: -17094.21289
45: bad sentence 22, PPL: -18614.09961
46: good sentence 23, PPL: -10938.12598
47: bad sentence 23, PPL: -11231.40723
48: good sentence 24, PPL: -11857.01953
49: bad sentence 24, PPL: -12166.94336
50: good sentence 25, PPL: -15102.10059
51: bad sentence 25, PPL: -15674.12012
52: good sentence 26, PPL: -11137.52344
53: bad sentence 26, PPL: -11132.70215
54: good sentence 27, PPL: -6813.43408
55: bad sentence 27, PPL: -5651.88721
56: good sentence 28, PPL: -6860.81787
57: bad sentence 28, PPL: -6654.87793
58: good sentence 29, PPL: -19071.62891
59: bad sentence 29, PPL: -20083.03906
60: good sentence 30, PPL: -3522.60474
61: bad sentence 30, PPL: -3193.41992
62: good sentence 31, PPL: -13866.64941
63: bad sentence 31, PPL: -15635.09375
64: good sentence 32, PPL: -8594.04199
65: bad sentence 32, PPL: -10257.46191
66: good sentence 33, PPL: -8430.39941
67: bad sentence 33, PPL: -7468.24365
68: good sentence 34, PPL: -36445.12109
69: bad sentence 34, PPL: -41742.75781
70: good sentence 35, PPL: -31627.91602
71: bad sentence 35, PPL: -37682.39062
72: good sentence 36, PPL: -5982.90186
73: bad sentence 36, PPL: -4792.31836
74: good sentence 37, PPL: -7395.37695
75: bad sentence 37, PPL: -6342.15771
76: good sentence 38, PPL: -10418.79395
77: bad sentence 38, PPL: -11882.55664
78: good sentence 39, PPL: -35983.61328
79: bad sentence 39, PPL: -40126.89453
80: good sentence 40, PPL: -32301.21680
81: bad sentence 40, PPL: -40681.32812
82: good sentence 41, PPL: -13576.16992
83: bad sentence 41, PPL: -14567.48047
84: good sentence 42, PPL: -10569.27051
85: bad sentence 42, PPL: -10659.55371
86: good sentence 43, PPL: -6052.99951
87: bad sentence 43, PPL: -5804.85840
88: good sentence 44, PPL: -8237.66211
89: bad sentence 44, PPL: -9341.38672
90: good sentence 45, PPL: -8677.62695
91: bad sentence 45, PPL: -10146.91602
92: good sentence 46, PPL: -16028.64551
93: bad sentence 46, PPL: -17912.29102
94: good sentence 47, PPL: -13338.68359
95: bad sentence 47, PPL: -12986.90527
96: good sentence 48, PPL: -14981.98926
97: bad sentence 48, PPL: -14890.25684
98: good sentence 49, PPL: -14392.98633
99: bad sentence 49, PPL: -15679.05273
100: good sentence 50, PPL: -5178.81689
101: bad sentence 50, PPL: -5330.11523
102: good sentence 51, PPL: -7839.76221
103: bad sentence 51, PPL: -7237.04053
104: good sentence 52, PPL: -5414.48633
105: bad sentence 52, PPL: -4598.20020
106: good sentence 53, PPL: -8102.67480
107: bad sentence 53, PPL: -8633.44043
108: good sentence 54, PPL: -8440.84180
109: bad sentence 54, PPL: -7649.77441
110: good sentence 55, PPL: -8874.29199
111: bad sentence 55, PPL: -9665.41699
112: good sentence 56, PPL: -3883.80347
113: bad sentence 56, PPL: -2859.14282
114: good sentence 57, PPL: -11253.43066
115: bad sentence 57, PPL: -12614.40332
116: good sentence 58, PPL: -8072.64014
117: bad sentence 58, PPL: -7569.65576
118: good sentence 59, PPL: -17659.78125
119: bad sentence 59, PPL: -18947.71484
120: good sentence 60, PPL: -9096.33008
121: bad sentence 60, PPL: -9663.57422
122: good sentence 61, PPL: -8898.41016
123: bad sentence 61, PPL: -9233.41992
124: good sentence 62, PPL: -14292.58789
125: bad sentence 62, PPL: -15499.03223
126: good sentence 63, PPL: -8583.03516
127: bad sentence 63, PPL: -9330.61328
128: good sentence 64, PPL: -4516.07959
129: bad sentence 64, PPL: -3494.33179
130: good sentence 65, PPL: -10201.05664
131: bad sentence 65, PPL: -11821.26172
132: good sentence 66, PPL: -12919.24805
133: bad sentence 66, PPL: -13751.81250
134: good sentence 67, PPL: -22480.84766
135: bad sentence 67, PPL: -25465.22656
136: good sentence 68, PPL: -12137.84180
137: bad sentence 68, PPL: -11559.41016
138: good sentence 69, PPL: -7415.79492
139: bad sentence 69, PPL: -6685.45605
140: good sentence 70, PPL: -11884.10938
141: bad sentence 70, PPL: -12939.56934
142: good sentence 71, PPL: -17314.97461
143: bad sentence 71, PPL: -19308.60547
144: good sentence 72, PPL: -12247.16504
145: bad sentence 72, PPL: -14076.81250
146: good sentence 73, PPL: -12139.00977
147: bad sentence 73, PPL: -14306.10156
148: good sentence 74, PPL: -14881.72363
149: bad sentence 74, PPL: -17637.93359
150: good sentence 75, PPL: -9697.27051
151: bad sentence 75, PPL: -10112.62012
152: good sentence 76, PPL: -6996.26855
153: bad sentence 76, PPL: -5835.59814
154: good sentence 77, PPL: -14813.09375
155: bad sentence 77, PPL: -16252.54492
156: good sentence 78, PPL: -11248.81641
157: bad sentence 78, PPL: -12507.01367
158: good sentence 79, PPL: -5824.49463
159: bad sentence 79, PPL: -5985.16162
160: good sentence 80, PPL: -16167.56738
161: bad sentence 80, PPL: -16553.29102
162: good sentence 81, PPL: -14357.60254
163: bad sentence 81, PPL: -15891.08203
164: good sentence 82, PPL: -13324.84961
165: bad sentence 82, PPL: -14001.40723
166: good sentence 83, PPL: -8761.92383
167: bad sentence 83, PPL: -8723.15430
168: good sentence 84, PPL: -7416.71387
169: bad sentence 84, PPL: -7274.59424
170: good sentence 85, PPL: -15339.07617
171: bad sentence 85, PPL: -16211.02930
172: good sentence 86, PPL: -9607.43750
173: bad sentence 86, PPL: -8341.53223
174: good sentence 87, PPL: -5725.53271
175: bad sentence 87, PPL: -4438.76025
176: good sentence 88, PPL: -9496.65820
177: bad sentence 88, PPL: -9848.56250
178: good sentence 89, PPL: -6268.52051
179: bad sentence 89, PPL: -5772.63477
180: good sentence 90, PPL: -14694.49512
181: bad sentence 90, PPL: -16551.14453
182: good sentence 91, PPL: -11908.02539
183: bad sentence 91, PPL: -13410.30078
184: good sentence 92, PPL: -19931.19922
185: bad sentence 92, PPL: -23580.47656
186: good sentence 93, PPL: -16336.42969
187: bad sentence 93, PPL: -17362.29883
188: good sentence 94, PPL: -1700.37549
189: bad sentence 94, PPL: -1441.65662
190: good sentence 95, PPL: -9585.12500
191: bad sentence 95, PPL: -10540.71289
192: good sentence 96, PPL: -9483.75195
193: bad sentence 96, PPL: -10787.67480
194: good sentence 97, PPL: -9688.43359
195: bad sentence 97, PPL: -10500.86035
196: good sentence 98, PPL: -11626.08691
197: bad sentence 98, PPL: -14192.25293
198: good sentence 99, PPL: -6933.87012
199: bad sentence 99, PPL: -6767.64307
200: good sentence 100, PPL: -18973.03125
201: bad sentence 100, PPL: -20987.65625
