Plural
	menself_male
Model: TsinghuaAI/CPM-Generate, Accuracy: 61.10000, Average Perplexity (Good Sentences): -11317.30566, Average Perplexity (Bad Sentences): -11491.92188
0: good sentence 0, PPL: -10744.96191
1: bad sentence 0, PPL: -11100.07129
2: good sentence 1, PPL: -9669.09668
3: bad sentence 1, PPL: -10560.86719
4: good sentence 2, PPL: -13938.01855
5: bad sentence 2, PPL: -14261.13574
6: good sentence 3, PPL: -11389.65527
7: bad sentence 3, PPL: -11962.79785
8: good sentence 4, PPL: -13464.70117
9: bad sentence 4, PPL: -14974.60449
10: good sentence 5, PPL: -6117.81250
11: bad sentence 5, PPL: -5359.80225
12: good sentence 6, PPL: -8140.09131
13: bad sentence 6, PPL: -6800.00977
14: good sentence 7, PPL: -14472.39062
15: bad sentence 7, PPL: -14067.95605
16: good sentence 8, PPL: -4929.27344
17: bad sentence 8, PPL: -4223.22070
18: good sentence 9, PPL: -16208.09180
19: bad sentence 9, PPL: -15453.83887
20: good sentence 10, PPL: -11598.17969
21: bad sentence 10, PPL: -13556.34863
22: good sentence 11, PPL: -11141.81543
23: bad sentence 11, PPL: -12304.45898
24: good sentence 12, PPL: -5564.83057
25: bad sentence 12, PPL: -5664.47656
26: good sentence 13, PPL: -14421.38574
27: bad sentence 13, PPL: -16517.21094
28: good sentence 14, PPL: -11258.63574
29: bad sentence 14, PPL: -11891.77344
30: good sentence 15, PPL: -13273.80078
31: bad sentence 15, PPL: -16111.03320
32: good sentence 16, PPL: -18833.08594
33: bad sentence 16, PPL: -21539.21680
34: good sentence 17, PPL: -15324.27930
35: bad sentence 17, PPL: -17765.50977
36: good sentence 18, PPL: -10445.02930
37: bad sentence 18, PPL: -10396.17480
38: good sentence 19, PPL: -13748.96680
39: bad sentence 19, PPL: -13843.44727
40: good sentence 20, PPL: -14420.62891
41: bad sentence 20, PPL: -16187.65527
42: good sentence 21, PPL: -16929.80078
43: bad sentence 21, PPL: -20333.32227
44: good sentence 22, PPL: -13374.48926
45: bad sentence 22, PPL: -14976.77441
46: good sentence 23, PPL: -12863.61719
47: bad sentence 23, PPL: -12965.59570
48: good sentence 24, PPL: -13082.42383
49: bad sentence 24, PPL: -13165.05273
50: good sentence 25, PPL: -13493.48242
51: bad sentence 25, PPL: -14157.30859
52: good sentence 26, PPL: -10726.14355
53: bad sentence 26, PPL: -10893.99609
54: good sentence 27, PPL: -7750.99023
55: bad sentence 27, PPL: -5890.74170
56: good sentence 28, PPL: -5974.90820
57: bad sentence 28, PPL: -5332.44873
58: good sentence 29, PPL: -19557.10547
59: bad sentence 29, PPL: -20755.70898
60: good sentence 30, PPL: -3330.66602
61: bad sentence 30, PPL: -2873.43091
62: good sentence 31, PPL: -17940.72266
63: bad sentence 31, PPL: -19462.36523
64: good sentence 32, PPL: -7445.03955
65: bad sentence 32, PPL: -8981.80176
66: good sentence 33, PPL: -8774.88477
67: bad sentence 33, PPL: -7680.92383
68: good sentence 34, PPL: -34009.87500
