Aspect
	temporal_guo
Model: TsinghuaAI/CPM-Generate, Accuracy: 79.70000, Average Perplexity (Good Sentences): -34197.96484, Average Perplexity (Bad Sentences): -43085.15234
0: good sentence 0, PPL: -15873.27051
1: bad sentence 0, PPL: -18489.86328
2: good sentence 1, PPL: -65654.73438
3: bad sentence 1, PPL: -54512.44141
4: good sentence 2, PPL: -91394.90625
5: bad sentence 2, PPL: -94750.05469
6: good sentence 3, PPL: -39858.42578
7: bad sentence 3, PPL: -33240.67188
8: good sentence 4, PPL: -36031.55078
9: bad sentence 4, PPL: -48308.84375
10: good sentence 5, PPL: -40037.59766
11: bad sentence 5, PPL: -85053.44531
12: good sentence 6, PPL: -51018.27344
13: bad sentence 6, PPL: -43168.06641
14: good sentence 7, PPL: -75355.26562
15: bad sentence 7, PPL: -77539.07812
16: good sentence 8, PPL: -21946.72461
17: bad sentence 8, PPL: -19712.48633
18: good sentence 9, PPL: -75469.75781
19: bad sentence 9, PPL: -101779.73438
20: good sentence 10, PPL: -9523.82129
21: bad sentence 10, PPL: -10024.51270
22: good sentence 11, PPL: -51296.11719
23: bad sentence 11, PPL: -65206.02344
24: good sentence 12, PPL: -46587.71094
25: bad sentence 12, PPL: -52765.82812
26: good sentence 13, PPL: -11542.53418
27: bad sentence 13, PPL: -22924.00586
28: good sentence 14, PPL: -57141.13672
29: bad sentence 14, PPL: -58230.08984
30: good sentence 15, PPL: -17320.85352
31: bad sentence 15, PPL: -35849.85547
32: good sentence 16, PPL: -10564.18164
33: bad sentence 16, PPL: -12473.83984
34: good sentence 17, PPL: -62958.13672
35: bad sentence 17, PPL: -108219.41406
36: good sentence 18, PPL: -71296.22656
37: bad sentence 18, PPL: -83750.70312
38: good sentence 19, PPL: -27316.31836
39: bad sentence 19, PPL: -48743.94922
40: good sentence 20, PPL: -76851.47656
41: bad sentence 20, PPL: -85064.14844
42: good sentence 21, PPL: -46300.25391
43: bad sentence 21, PPL: -70291.63281
44: good sentence 22, PPL: -34664.78906
45: bad sentence 22, PPL: -33365.49219
46: good sentence 23, PPL: -23524.48047
47: bad sentence 23, PPL: -37813.71875
48: good sentence 24, PPL: -33140.39844
49: bad sentence 24, PPL: -30639.48242
50: good sentence 25, PPL: -18206.41602
51: bad sentence 25, PPL: -26068.54492
52: good sentence 26, PPL: -11066.38574
53: bad sentence 26, PPL: -21574.28906
54: good sentence 27, PPL: -53613.28125
55: bad sentence 27, PPL: -74136.83594
56: good sentence 28, PPL: -47909.08594
57: bad sentence 28, PPL: -58215.76562
