Aspect
	zai_guo
Model: TsinghuaAI/CPM-Generate, Accuracy: 78.60000, Average Perplexity (Good Sentences): -10947.95605, Average Perplexity (Bad Sentences): -12362.71680
0: good sentence 0, PPL: -14233.72949
1: bad sentence 0, PPL: -31348.67188
2: good sentence 1, PPL: -41693.90234
3: bad sentence 1, PPL: -45272.11719
4: good sentence 2, PPL: -7035.91992
5: bad sentence 2, PPL: -7337.65820
6: good sentence 3, PPL: -22485.93164
7: bad sentence 3, PPL: -25159.23633
8: good sentence 4, PPL: -7848.70166
9: bad sentence 4, PPL: -8560.29297
10: good sentence 5, PPL: -25715.37305
11: bad sentence 5, PPL: -26083.16797
12: good sentence 6, PPL: -13303.11230
13: bad sentence 6, PPL: -24655.60742
14: good sentence 7, PPL: -16131.09766
15: bad sentence 7, PPL: -25893.27148
16: good sentence 8, PPL: -22362.62305
17: bad sentence 8, PPL: -22788.16406
18: good sentence 9, PPL: -4022.87939
19: bad sentence 9, PPL: -3910.02637
20: good sentence 10, PPL: -5656.11963
21: bad sentence 10, PPL: -5638.84717
22: good sentence 11, PPL: -13973.10156
23: bad sentence 11, PPL: -15414.55371
24: good sentence 12, PPL: -3535.50488
25: bad sentence 12, PPL: -4552.81934
26: good sentence 13, PPL: -41402.78906
27: bad sentence 13, PPL: -39949.98828
28: good sentence 14, PPL: -7547.58350
29: bad sentence 14, PPL: -13506.69238
30: good sentence 15, PPL: -34338.00000
31: bad sentence 15, PPL: -37043.91016
32: good sentence 16, PPL: -10366.66113
33: bad sentence 16, PPL: -15373.88672
34: good sentence 17, PPL: -1804.18323
35: bad sentence 17, PPL: -2277.94604
36: good sentence 18, PPL: -63454.52734
37: bad sentence 18, PPL: -46734.87500
38: good sentence 19, PPL: -3957.04102
39: bad sentence 19, PPL: -4615.05664
40: good sentence 20, PPL: -4983.53613
41: bad sentence 20, PPL: -7439.86523
42: good sentence 21, PPL: -5860.67822
43: bad sentence 21, PPL: -7090.96826
44: good sentence 22, PPL: -22762.44531
45: bad sentence 22, PPL: -23183.41211
46: good sentence 23, PPL: -23226.00977
47: bad sentence 23, PPL: -21403.35547
48: good sentence 24, PPL: -8581.77344
49: bad sentence 24, PPL: -13282.52539
50: good sentence 25, PPL: -8861.48730
51: bad sentence 25, PPL: -9278.69336
52: good sentence 26, PPL: -9780.98242
53: bad sentence 26, PPL: -12101.13379
54: good sentence 27, PPL: -24627.28906
55: bad sentence 27, PPL: -23477.08008
56: good sentence 28, PPL: -4715.36621
57: bad sentence 28, PPL: -5083.48584
58: good sentence 29, PPL: -11057.38672
59: bad sentence 29, PPL: -12683.16113
60: good sentence 30, PPL: -21959.78906
61: bad sentence 30, PPL: -21422.85742
62: good sentence 31, PPL: -7526.89600
63: bad sentence 31, PPL: -11414.02246
64: good sentence 32, PPL: -2987.13062
65: bad sentence 32, PPL: -3377.71997
66: good sentence 33, PPL: -2593.30713
67: bad sentence 33, PPL: -2830.82324
68: good sentence 34, PPL: -4005.67114
69: bad sentence 34, PPL: -6069.05127
70: good sentence 35, PPL: -45385.28906
71: bad sentence 35, PPL: -48745.20312
72: good sentence 36, PPL: -46058.52344
73: bad sentence 36, PPL: -38695.16406
74: good sentence 37, PPL: -8570.23438
75: bad sentence 37, PPL: -11469.83691
76: good sentence 38, PPL: -9936.77344
77: bad sentence 38, PPL: -12806.94238
78: good sentence 39, PPL: -5925.43213
79: bad sentence 39, PPL: -6199.58594
80: good sentence 40, PPL: -3556.80054
81: bad sentence 40, PPL: -4573.75195
82: good sentence 41, PPL: -18123.17773
83: bad sentence 41, PPL: -21473.35938
84: good sentence 42, PPL: -11233.56055
85: bad sentence 42, PPL: -12563.18750
86: good sentence 43, PPL: -4065.31079
87: bad sentence 43, PPL: -3258.95825
88: good sentence 44, PPL: -11807.05469
89: bad sentence 44, PPL: -14993.46582
90: good sentence 45, PPL: -6871.78613
91: bad sentence 45, PPL: -7973.28174
92: good sentence 46, PPL: -4171.33301
93: bad sentence 46, PPL: -7400.11084
94: good sentence 47, PPL: -37570.72266
95: bad sentence 47, PPL: -35453.32031
96: good sentence 48, PPL: -4729.29150
97: bad sentence 48, PPL: -10144.45801
98: good sentence 49, PPL: -73017.46094
99: bad sentence 49, PPL: -73373.11719
100: good sentence 50, PPL: -34931.44141
101: bad sentence 50, PPL: -61601.90625
102: good sentence 51, PPL: -2882.31250
103: bad sentence 51, PPL: -3143.13403
104: good sentence 52, PPL: -4967.88232
105: bad sentence 52, PPL: -5303.96582
106: good sentence 53, PPL: -32992.91016
107: bad sentence 53, PPL: -38038.94141
108: good sentence 54, PPL: -9090.97070
109: bad sentence 54, PPL: -9962.58301
110: good sentence 55, PPL: -6015.88623
111: bad sentence 55, PPL: -6590.93457
112: good sentence 56, PPL: -10117.89746
113: bad sentence 56, PPL: -11924.66309
114: good sentence 57, PPL: -8805.18945
115: bad sentence 57, PPL: -10766.63574
116: good sentence 58, PPL: -4156.07324
117: bad sentence 58, PPL: -5083.06396
118: good sentence 59, PPL: -13530.78809
119: bad sentence 59, PPL: -16908.09961
120: good sentence 60, PPL: -9322.45801
121: bad sentence 60, PPL: -9277.80859
122: good sentence 61, PPL: -13217.49902
123: bad sentence 61, PPL: -14040.57227
124: good sentence 62, PPL: -2183.59595
125: bad sentence 62, PPL: -2528.68921
126: good sentence 63, PPL: -12449.10840
127: bad sentence 63, PPL: -13115.55273
128: good sentence 64, PPL: -3249.31299
129: bad sentence 64, PPL: -4043.72705
130: good sentence 65, PPL: -26423.21484
131: bad sentence 65, PPL: -24167.35938
132: good sentence 66, PPL: -12436.47070
133: bad sentence 66, PPL: -10558.25977
134: good sentence 67, PPL: -5654.99805
135: bad sentence 67, PPL: -6441.71289
136: good sentence 68, PPL: -6457.41016
137: bad sentence 68, PPL: -14775.91504
138: good sentence 69, PPL: -9015.58008
139: bad sentence 69, PPL: -10596.53125
140: good sentence 70, PPL: -4209.14795
141: bad sentence 70, PPL: -10667.87305
142: good sentence 71, PPL: -5612.10889
143: bad sentence 71, PPL: -5813.25146
144: good sentence 72, PPL: -5111.85254
145: bad sentence 72, PPL: -8321.66797
146: good sentence 73, PPL: -20016.90039
147: bad sentence 73, PPL: -21097.26367
148: good sentence 74, PPL: -3372.13892
149: bad sentence 74, PPL: -4926.32227
150: good sentence 75, PPL: -7897.72461
151: bad sentence 75, PPL: -8095.76904
152: good sentence 76, PPL: -1370.63208
153: bad sentence 76, PPL: -2009.71692
154: good sentence 77, PPL: -16202.80664
155: bad sentence 77, PPL: -15537.24414
156: good sentence 78, PPL: -10943.31152
157: bad sentence 78, PPL: -14819.97363
158: good sentence 79, PPL: -7440.82324
159: bad sentence 79, PPL: -11911.85254
160: good sentence 80, PPL: -15051.00000
161: bad sentence 80, PPL: -16833.13867
162: good sentence 81, PPL: -6505.57959
163: bad sentence 81, PPL: -6522.48975
164: good sentence 82, PPL: -7167.40820
165: bad sentence 82, PPL: -7785.23145
166: good sentence 83, PPL: -8894.51660
167: bad sentence 83, PPL: -8719.96094
168: good sentence 84, PPL: -3354.06885
169: bad sentence 84, PPL: -4158.84033
170: good sentence 85, PPL: -8000.06982
171: bad sentence 85, PPL: -9686.03125
172: good sentence 86, PPL: -13220.61328
173: bad sentence 86, PPL: -15434.73535
174: good sentence 87, PPL: -10455.95312
175: bad sentence 87, PPL: -11224.66211
176: good sentence 88, PPL: -4549.16504
177: bad sentence 88, PPL: -8977.51953
178: good sentence 89, PPL: -16115.22852
179: bad sentence 89, PPL: -14356.34277
180: good sentence 90, PPL: -8676.35254
181: bad sentence 90, PPL: -9597.86816
182: good sentence 91, PPL: -10425.23535
183: bad sentence 91, PPL: -10178.67578
184: good sentence 92, PPL: -16055.37207
185: bad sentence 92, PPL: -18492.33203
186: good sentence 93, PPL: -10634.78906
187: bad sentence 93, PPL: -12304.14160
188: good sentence 94, PPL: -13658.26953
189: bad sentence 94, PPL: -14587.30371
190: good sentence 95, PPL: -6931.88672
191: bad sentence 95, PPL: -9075.68945
192: good sentence 96, PPL: -20334.48633
193: bad sentence 96, PPL: -18287.75000
194: good sentence 97, PPL: -6065.76465
195: bad sentence 97, PPL: -8340.83984
196: good sentence 98, PPL: -6396.01025
197: bad sentence 98, PPL: -7753.16455
198: good sentence 99, PPL: -8014.29590
199: bad sentence 99, PPL: -8292.53711
200: good sentence 100, PPL: -1807.36316
201: bad sentence 100, PPL: -2590.53125
202: good sentence 101, PPL: -6565.58936
203: bad sentence 101, PPL: -7267.74951
204: good sentence 102, PPL: -17947.80664
205: bad sentence 102, PPL: -23006.41992
206: good sentence 103, PPL: -7417.21680
207: bad sentence 103, PPL: -9760.87402
208: good sentence 104, PPL: -1920.07251
209: bad sentence 104, PPL: -3048.08936
210: good sentence 105, PPL: -6258.86768
211: bad sentence 105, PPL: -6556.51025
212: good sentence 106, PPL: -32918.60938
213: bad sentence 106, PPL: -35326.44922
214: good sentence 107, PPL: -2382.75439
215: bad sentence 107, PPL: -3077.16211
216: good sentence 108, PPL: -35531.00000
217: bad sentence 108, PPL: -33888.36719
218: good sentence 109, PPL: -8839.76172
219: bad sentence 109, PPL: -8656.60742
220: good sentence 110, PPL: -2801.96851
221: bad sentence 110, PPL: -4754.64844
222: good sentence 111, PPL: -11384.83301
223: bad sentence 111, PPL: -11667.22852
224: good sentence 112, PPL: -5064.40137
225: bad sentence 112, PPL: -5381.41064
226: good sentence 113, PPL: -4667.36523
227: bad sentence 113, PPL: -6053.77881
228: good sentence 114, PPL: -7448.20654
229: bad sentence 114, PPL: -16262.17480
230: good sentence 115, PPL: -12616.95410
231: bad sentence 115, PPL: -15393.70801
232: good sentence 116, PPL: -23747.63672
233: bad sentence 116, PPL: -25764.71484
234: good sentence 117, PPL: -5386.91064
235: bad sentence 117, PPL: -6891.17871
236: good sentence 118, PPL: -1991.79248
237: bad sentence 118, PPL: -3286.63037
238: good sentence 119, PPL: -13194.35059
239: bad sentence 119, PPL: -15274.93262
240: good sentence 120, PPL: -3304.32764
241: bad sentence 120, PPL: -7125.70410
242: good sentence 121, PPL: -11449.43262
243: bad sentence 121, PPL: -13311.17090
244: good sentence 122, PPL: -18527.37109
245: bad sentence 122, PPL: -21066.04102
246: good sentence 123, PPL: -33413.83203
247: bad sentence 123, PPL: -37182.26562
248: good sentence 124, PPL: -6338.01025
249: bad sentence 124, PPL: -8537.61133
250: good sentence 125, PPL: -15937.40234
251: bad sentence 125, PPL: -17610.48828
252: good sentence 126, PPL: -3110.25635
253: bad sentence 126, PPL: -4034.00146
254: good sentence 127, PPL: -1846.80713
255: bad sentence 127, PPL: -2232.01709
256: good sentence 128, PPL: -6313.52344
257: bad sentence 128, PPL: -6673.79199
258: good sentence 129, PPL: -20673.68359
259: bad sentence 129, PPL: -23025.40625
260: good sentence 130, PPL: -7460.07861
261: bad sentence 130, PPL: -9313.14453
262: good sentence 131, PPL: -20464.07031
263: bad sentence 131, PPL: -21661.64258
264: good sentence 132, PPL: -2136.18286
265: bad sentence 132, PPL: -2932.90161
266: good sentence 133, PPL: -5809.34424
267: bad sentence 133, PPL: -8002.30518
268: good sentence 134, PPL: -3446.77100
269: bad sentence 134, PPL: -4008.68628
270: good sentence 135, PPL: -12453.54883
271: bad sentence 135, PPL: -13771.55078
272: good sentence 136, PPL: -6718.75000
273: bad sentence 136, PPL: -7597.93506
274: good sentence 137, PPL: -29101.34570
275: bad sentence 137, PPL: -28105.83398
276: good sentence 138, PPL: -23536.39648
277: bad sentence 138, PPL: -25490.64258
278: good sentence 139, PPL: -61002.73047
279: bad sentence 139, PPL: -56626.75391
280: good sentence 140, PPL: -30653.24805
281: bad sentence 140, PPL: -30335.76562
282: good sentence 141, PPL: -28861.38477
283: bad sentence 141, PPL: -34418.35547
284: good sentence 142, PPL: -12391.05762
285: bad sentence 142, PPL: -15321.28223
286: good sentence 143, PPL: -19194.79297
287: bad sentence 143, PPL: -21448.75781
288: good sentence 144, PPL: -8390.55957
289: bad sentence 144, PPL: -9498.81445
290: good sentence 145, PPL: -1534.18542
291: bad sentence 145, PPL: -1341.90125
292: good sentence 146, PPL: -13824.21191
293: bad sentence 146, PPL: -14765.02637
294: good sentence 147, PPL: -15505.56641
295: bad sentence 147, PPL: -17836.29883
296: good sentence 148, PPL: -11058.93652
297: bad sentence 148, PPL: -8943.39062
298: good sentence 149, PPL: -4328.11182
299: bad sentence 149, PPL: -5087.27832
300: good sentence 150, PPL: -14544.71387
301: bad sentence 150, PPL: -14645.27637
302: good sentence 151, PPL: -10657.10449
303: bad sentence 151, PPL: -12319.66406
304: good sentence 152, PPL: -6277.32715
305: bad sentence 152, PPL: -7043.00293
306: good sentence 153, PPL: -4130.30713
307: bad sentence 153, PPL: -5129.82910
308: good sentence 154, PPL: -15566.72949
309: bad sentence 154, PPL: -17411.81055
310: good sentence 155, PPL: -17268.07617
311: bad sentence 155, PPL: -20489.20312
312: good sentence 156, PPL: -8494.37207
313: bad sentence 156, PPL: -9414.73340
314: good sentence 157, PPL: -8254.16113
315: bad sentence 157, PPL: -9845.50977
316: good sentence 158, PPL: -4146.76123
317: bad sentence 158, PPL: -5332.54053
318: good sentence 159, PPL: -13908.59375
319: bad sentence 159, PPL: -16019.07910
320: good sentence 160, PPL: -5832.09229
321: bad sentence 160, PPL: -4411.34277
322: good sentence 161, PPL: -9273.35059
323: bad sentence 161, PPL: -22243.30078
324: good sentence 162, PPL: -7516.30908
325: bad sentence 162, PPL: -8748.80664
326: good sentence 163, PPL: -13581.20801
327: bad sentence 163, PPL: -16443.62500
328: good sentence 164, PPL: -7281.79199
329: bad sentence 164, PPL: -8016.85693
330: good sentence 165, PPL: -13161.07324
331: bad sentence 165, PPL: -14979.64551
332: good sentence 166, PPL: -6482.77588
333: bad sentence 166, PPL: -7359.44580
334: good sentence 167, PPL: -5271.28906
335: bad sentence 167, PPL: -5679.88184
336: good sentence 168, PPL: -11334.10156
337: bad sentence 168, PPL: -12671.95312
338: good sentence 169, PPL: -56231.05469
339: bad sentence 169, PPL: -54977.67188
340: good sentence 170, PPL: -3750.65503
341: bad sentence 170, PPL: -4099.50586
342: good sentence 171, PPL: -1651.84863
343: bad sentence 171, PPL: -1961.30823
344: good sentence 172, PPL: -3031.91479
345: bad sentence 172, PPL: -4063.07446
346: good sentence 173, PPL: -13847.14453
347: bad sentence 173, PPL: -15766.96777
348: good sentence 174, PPL: -7277.52197
349: bad sentence 174, PPL: -7933.29443
350: good sentence 175, PPL: -12224.41016
351: bad sentence 175, PPL: -13567.87305
352: good sentence 176, PPL: -13144.11426
353: bad sentence 176, PPL: -16968.95117
354: good sentence 177, PPL: -20596.87500
355: bad sentence 177, PPL: -20482.38477
356: good sentence 178, PPL: -5309.87207
357: bad sentence 178, PPL: -6368.73584
358: good sentence 179, PPL: -9635.89258
359: bad sentence 179, PPL: -12443.73047
360: good sentence 180, PPL: -8594.47656
361: bad sentence 180, PPL: -10104.19531
362: good sentence 181, PPL: -2162.57056
363: bad sentence 181, PPL: -2953.18701
364: good sentence 182, PPL: -9472.74219
365: bad sentence 182, PPL: -9968.84570
366: good sentence 183, PPL: -8973.03516
367: bad sentence 183, PPL: -11119.02539
368: good sentence 184, PPL: -21954.76367
369: bad sentence 184, PPL: -24381.51758
370: good sentence 185, PPL: -26308.33203
371: bad sentence 185, PPL: -33409.65625
372: good sentence 186, PPL: -2150.27344
373: bad sentence 186, PPL: -2983.76245
374: good sentence 187, PPL: -6604.72656
375: bad sentence 187, PPL: -6088.44873
376: good sentence 188, PPL: -3160.44727
377: bad sentence 188, PPL: -4680.51855
378: good sentence 189, PPL: -2507.04370
379: bad sentence 189, PPL: -3517.03931
380: good sentence 190, PPL: -2673.84570
381: bad sentence 190, PPL: -3139.65601
382: good sentence 191, PPL: -16493.59961
383: bad sentence 191, PPL: -16377.71973
384: good sentence 192, PPL: -16443.23242
385: bad sentence 192, PPL: -15519.53125
386: good sentence 193, PPL: -3368.85718
387: bad sentence 193, PPL: -4794.07373
388: good sentence 194, PPL: -14562.50684
389: bad sentence 194, PPL: -14051.57031
390: good sentence 195, PPL: -2579.12256
391: bad sentence 195, PPL: -2973.96411
392: good sentence 196, PPL: -4702.93994
393: bad sentence 196, PPL: -5730.55273
394: good sentence 197, PPL: -7297.06445
395: bad sentence 197, PPL: -7213.54395
396: good sentence 198, PPL: -12600.16797
397: bad sentence 198, PPL: -9487.77832
398: good sentence 199, PPL: -5013.08105
399: bad sentence 199, PPL: -8395.66699
400: good sentence 200, PPL: -22370.00391
401: bad sentence 200, PPL: -23254.42383
402: good sentence 201, PPL: -5871.69385
403: bad sentence 201, PPL: -7212.63623
404: good sentence 202, PPL: -7475.59717
405: bad sentence 202, PPL: -5994.35303
406: good sentence 203, PPL: -9631.23438
407: bad sentence 203, PPL: -10359.33789
408: good sentence 204, PPL: -60679.31250
409: bad sentence 204, PPL: -56978.48438
410: good sentence 205, PPL: -15989.04199
411: bad sentence 205, PPL: -19047.72461
412: good sentence 206, PPL: -2287.91968
413: bad sentence 206, PPL: -2952.63086
414: good sentence 207, PPL: -4564.74072
415: bad sentence 207, PPL: -5150.15723
416: good sentence 208, PPL: -6037.74463
417: bad sentence 208, PPL: -6194.86377
418: good sentence 209, PPL: -7722.17188
419: bad sentence 209, PPL: -8704.34961
420: good sentence 210, PPL: -12649.21777
421: bad sentence 210, PPL: -14401.11328
422: good sentence 211, PPL: -6516.74463
423: bad sentence 211, PPL: -7867.00928
424: good sentence 212, PPL: -24287.94531
425: bad sentence 212, PPL: -27169.65625
426: good sentence 213, PPL: -10096.10449
427: bad sentence 213, PPL: -11559.59766
428: good sentence 214, PPL: -4691.05176
429: bad sentence 214, PPL: -4984.38721
430: good sentence 215, PPL: -4026.18018
431: bad sentence 215, PPL: -4175.41650
432: good sentence 216, PPL: -1543.15564
433: bad sentence 216, PPL: -1764.61523
434: good sentence 217, PPL: -5478.55566
435: bad sentence 217, PPL: -7732.83594
436: good sentence 218, PPL: -11865.17578
437: bad sentence 218, PPL: -14928.74707
438: good sentence 219, PPL: -9567.84668
439: bad sentence 219, PPL: -11613.98633
440: good sentence 220, PPL: -4981.47412
441: bad sentence 220, PPL: -6182.02197
442: good sentence 221, PPL: -14725.90430
443: bad sentence 221, PPL: -16460.66406
444: good sentence 222, PPL: -4778.51758
445: bad sentence 222, PPL: -4455.14746
