Classifier-Noun
	cl_comp_noun_v2
Model: TsinghuaAI/CPM-Generate, Accuracy: 45.20000, Average Perplexity (Good Sentences): -37465.02734, Average Perplexity (Bad Sentences): -35781.64844
0: good sentence 0, PPL: -9210.51855
1: bad sentence 0, PPL: -38781.42578
2: good sentence 1, PPL: -11733.41992
3: bad sentence 1, PPL: -42574.54297
4: good sentence 2, PPL: -54448.01172
5: bad sentence 2, PPL: -22478.64258
6: good sentence 3, PPL: -7631.56543
7: bad sentence 3, PPL: -34168.07031
8: good sentence 4, PPL: -84652.15625
9: bad sentence 4, PPL: -25071.47656
10: good sentence 5, PPL: -39190.58984
11: bad sentence 5, PPL: -70263.07812
12: good sentence 6, PPL: -105385.97656
13: bad sentence 6, PPL: -97490.35938
14: good sentence 7, PPL: -25567.28320
15: bad sentence 7, PPL: -59923.44141
16: good sentence 8, PPL: -11573.51758
17: bad sentence 8, PPL: -17145.90430
18: good sentence 9, PPL: -57241.05469
19: bad sentence 9, PPL: -44526.77344
20: good sentence 10, PPL: -97361.67969
21: bad sentence 10, PPL: -84283.85938
22: good sentence 11, PPL: -20545.69141
23: bad sentence 11, PPL: -22838.63867
24: good sentence 12, PPL: -79744.94531
25: bad sentence 12, PPL: -85358.73438
26: good sentence 13, PPL: -32750.86328
27: bad sentence 13, PPL: -29716.09766
28: good sentence 14, PPL: -65898.82031
29: bad sentence 14, PPL: -64912.61328
30: good sentence 15, PPL: -37188.61328
31: bad sentence 15, PPL: -31120.70703
32: good sentence 16, PPL: -31021.08789
33: bad sentence 16, PPL: -30913.88281
34: good sentence 17, PPL: -13191.90918
35: bad sentence 17, PPL: -6854.33057
36: good sentence 18, PPL: -89044.00000
37: bad sentence 18, PPL: -27618.47461
38: good sentence 19, PPL: -22146.33594
39: bad sentence 19, PPL: -29309.25977
40: good sentence 20, PPL: -30461.93359
41: bad sentence 20, PPL: -37628.92188
42: good sentence 21, PPL: -109652.86719
43: bad sentence 21, PPL: -89448.27344
44: good sentence 22, PPL: -31016.91406
45: bad sentence 22, PPL: -59506.06641
46: good sentence 23, PPL: -35706.20703
47: bad sentence 23, PPL: -37070.20312
48: good sentence 24, PPL: -13397.96582
49: bad sentence 24, PPL: -16907.95508
50: good sentence 25, PPL: -34528.12891
51: bad sentence 25, PPL: -39226.93359
52: good sentence 26, PPL: -16458.16797
53: bad sentence 26, PPL: -71686.69531
54: good sentence 27, PPL: -30871.16602
55: bad sentence 27, PPL: -144444.60938
56: good sentence 28, PPL: -43939.45703
57: bad sentence 28, PPL: -24967.30273
58: good sentence 29, PPL: -23165.83984
59: bad sentence 29, PPL: -78476.80469
60: good sentence 30, PPL: -47844.43359
61: bad sentence 30, PPL: -31355.84961
62: good sentence 31, PPL: -45550.53906
63: bad sentence 31, PPL: -29712.86719
64: good sentence 32, PPL: -20077.84961
65: bad sentence 32, PPL: -21581.80078
66: good sentence 33, PPL: -7508.62109
67: bad sentence 33, PPL: -16510.17188
68: good sentence 34, PPL: -56483.93359
69: bad sentence 34, PPL: -53730.34766
70: good sentence 35, PPL: -59606.94141
71: bad sentence 35, PPL: -63994.11719
72: good sentence 36, PPL: -52032.75781
73: bad sentence 36, PPL: -52679.59766
74: good sentence 37, PPL: -78432.35938
75: bad sentence 37, PPL: -84903.60156
76: good sentence 38, PPL: -74809.78125
77: bad sentence 38, PPL: -79160.89844
78: good sentence 39, PPL: -81469.14062
79: bad sentence 39, PPL: -99093.71875
80: good sentence 40, PPL: -61396.86328
81: bad sentence 40, PPL: -51751.21875
82: good sentence 41, PPL: -54047.53906
83: bad sentence 41, PPL: -30807.57812
84: good sentence 42, PPL: -111248.54688
85: bad sentence 42, PPL: -36083.89062
86: good sentence 43, PPL: -40451.48438
87: bad sentence 43, PPL: -19520.39648
88: good sentence 44, PPL: -62690.67969
89: bad sentence 44, PPL: -48307.32031
90: good sentence 45, PPL: -30390.40625
91: bad sentence 45, PPL: -19564.69922
92: good sentence 46, PPL: -16806.86523
93: bad sentence 46, PPL: -16108.74512
94: good sentence 47, PPL: -30974.32031
95: bad sentence 47, PPL: -52965.07422
96: good sentence 48, PPL: -35729.50781
97: bad sentence 48, PPL: -39881.92578
98: good sentence 49, PPL: -27978.32422
99: bad sentence 49, PPL: -21888.74023
100: good sentence 50, PPL: -50738.10938
101: bad sentence 50, PPL: -44030.69141
102: good sentence 51, PPL: -79299.32031
103: bad sentence 51, PPL: -27924.31836
104: good sentence 52, PPL: -31580.77734
105: bad sentence 52, PPL: -68909.39062
106: good sentence 53, PPL: -15696.43848
107: bad sentence 53, PPL: -43520.99609
108: good sentence 54, PPL: -29766.64258
109: bad sentence 54, PPL: -44160.84766
110: good sentence 55, PPL: -108117.81250
111: bad sentence 55, PPL: -32263.22656
112: good sentence 56, PPL: -12738.75391
113: bad sentence 56, PPL: -23277.85547
114: good sentence 57, PPL: -8498.45605
115: bad sentence 57, PPL: -18181.34375
116: good sentence 58, PPL: -44922.97656
117: bad sentence 58, PPL: -30961.47266
118: good sentence 59, PPL: -49411.55078
119: bad sentence 59, PPL: -23014.29688
120: good sentence 60, PPL: -25566.59961
121: bad sentence 60, PPL: -27562.66602
122: good sentence 61, PPL: -21813.86523
123: bad sentence 61, PPL: -10547.37012
124: good sentence 62, PPL: -63268.83984
125: bad sentence 62, PPL: -91615.60156
126: good sentence 63, PPL: -4497.83398
127: bad sentence 63, PPL: -12675.54297
128: good sentence 64, PPL: -34012.86328
129: bad sentence 64, PPL: -55896.08594
130: good sentence 65, PPL: -24615.99414
131: bad sentence 65, PPL: -8502.87500
132: good sentence 66, PPL: -20363.30273
133: bad sentence 66, PPL: -7554.76318
134: good sentence 67, PPL: -31186.48438
135: bad sentence 67, PPL: -9535.37305
136: good sentence 68, PPL: -17367.08398
137: bad sentence 68, PPL: -25633.81250
138: good sentence 69, PPL: -27034.24609
139: bad sentence 69, PPL: -41334.06250
140: good sentence 70, PPL: -29734.29688
141: bad sentence 70, PPL: -15204.67578
142: good sentence 71, PPL: -36400.97656
143: bad sentence 71, PPL: -36229.98828
144: good sentence 72, PPL: -7126.38379
145: bad sentence 72, PPL: -23646.68359
146: good sentence 73, PPL: -10519.96582
147: bad sentence 73, PPL: -4733.39307
148: good sentence 74, PPL: -41903.17969
149: bad sentence 74, PPL: -31187.88477
150: good sentence 75, PPL: -45456.71875
151: bad sentence 75, PPL: -60566.80859
152: good sentence 76, PPL: -13872.56152
153: bad sentence 76, PPL: -9033.60254
154: good sentence 77, PPL: -97334.65625
155: bad sentence 77, PPL: -22858.29492
156: good sentence 78, PPL: -37513.61719
157: bad sentence 78, PPL: -18814.16602
158: good sentence 79, PPL: -96098.34375
159: bad sentence 79, PPL: -49198.68750
160: good sentence 80, PPL: -4049.23804
161: bad sentence 80, PPL: -3859.30957
162: good sentence 81, PPL: -32590.15625
163: bad sentence 81, PPL: -11469.70605
164: good sentence 82, PPL: -38041.84766
165: bad sentence 82, PPL: -37800.33984
166: good sentence 83, PPL: -8402.13086
167: bad sentence 83, PPL: -18902.52344
168: good sentence 84, PPL: -44571.33984
169: bad sentence 84, PPL: -30438.43750
170: good sentence 85, PPL: -7668.55371
171: bad sentence 85, PPL: -16954.31055
172: good sentence 86, PPL: -55470.88281
173: bad sentence 86, PPL: -49103.53125
174: good sentence 87, PPL: -23007.69141
175: bad sentence 87, PPL: -18398.13281
176: good sentence 88, PPL: -25734.70508
177: bad sentence 88, PPL: -14645.50098
178: good sentence 89, PPL: -34407.39453
179: bad sentence 89, PPL: -17001.73633
180: good sentence 90, PPL: -39101.51562
181: bad sentence 90, PPL: -24300.10742
182: good sentence 91, PPL: -48486.44922
183: bad sentence 91, PPL: -41388.65625
184: good sentence 92, PPL: -49496.87109
185: bad sentence 92, PPL: -14921.08984
186: good sentence 93, PPL: -22193.75977
187: bad sentence 93, PPL: -24977.47266
188: good sentence 94, PPL: -23386.66602
189: bad sentence 94, PPL: -37687.35156
190: good sentence 95, PPL: -41033.60547
191: bad sentence 95, PPL: -12785.09863
192: good sentence 96, PPL: -16825.09961
193: bad sentence 96, PPL: -28546.06836
194: good sentence 97, PPL: -47010.14453
195: bad sentence 97, PPL: -16179.98340
196: good sentence 98, PPL: -105647.91406
197: bad sentence 98, PPL: -50803.57422
198: good sentence 99, PPL: -12880.10254
199: bad sentence 99, PPL: -9955.52539
200: good sentence 100, PPL: -32996.84375
201: bad sentence 100, PPL: -42887.59766
202: good sentence 101, PPL: -18061.26953
203: bad sentence 101, PPL: -13445.18457
204: good sentence 102, PPL: -44800.19141
205: bad sentence 102, PPL: -24870.93750
206: good sentence 103, PPL: -23530.51758
207: bad sentence 103, PPL: -17176.85352
208: good sentence 104, PPL: -33491.57812
209: bad sentence 104, PPL: -23462.44141
210: good sentence 105, PPL: -29404.42188
211: bad sentence 105, PPL: -13794.59375
212: good sentence 106, PPL: -18002.40625
213: bad sentence 106, PPL: -69270.13281
214: good sentence 107, PPL: -15900.13379
215: bad sentence 107, PPL: -7651.60596
216: good sentence 108, PPL: -82694.42188
217: bad sentence 108, PPL: -95098.58594
218: good sentence 109, PPL: -18366.52539
219: bad sentence 109, PPL: -11824.19336
220: good sentence 110, PPL: -12382.52832
221: bad sentence 110, PPL: -13826.07129
222: good sentence 111, PPL: -86173.54688
223: bad sentence 111, PPL: -69331.79688
224: good sentence 112, PPL: -35712.33984
225: bad sentence 112, PPL: -16344.46973
226: good sentence 113, PPL: -107696.60156
227: bad sentence 113, PPL: -115654.59375
228: good sentence 114, PPL: -26823.32617
229: bad sentence 114, PPL: -32407.85547
230: good sentence 115, PPL: -11386.21191
231: bad sentence 115, PPL: -11440.98438
232: good sentence 116, PPL: -102792.06250
233: bad sentence 116, PPL: -59989.48438
234: good sentence 117, PPL: -26084.25977
235: bad sentence 117, PPL: -45432.66406
236: good sentence 118, PPL: -28549.96094
237: bad sentence 118, PPL: -30086.83398
238: good sentence 119, PPL: -60543.18750
239: bad sentence 119, PPL: -18636.64062
240: good sentence 120, PPL: -80549.64062
241: bad sentence 120, PPL: -86197.63281
242: good sentence 121, PPL: -35352.91016
243: bad sentence 121, PPL: -43347.02734
244: good sentence 122, PPL: -11129.67676
245: bad sentence 122, PPL: -7107.67090
246: good sentence 123, PPL: -12235.61816
247: bad sentence 123, PPL: -24366.33789
248: good sentence 124, PPL: -7365.32959
249: bad sentence 124, PPL: -14325.37891
250: good sentence 125, PPL: -35562.32422
251: bad sentence 125, PPL: -58866.66797
252: good sentence 126, PPL: -28047.43555
253: bad sentence 126, PPL: -29334.28906
254: good sentence 127, PPL: -53517.34766
255: bad sentence 127, PPL: -85918.09375
256: good sentence 128, PPL: -17041.47461
257: bad sentence 128, PPL: -17622.76953
258: good sentence 129, PPL: -47138.26562
259: bad sentence 129, PPL: -28822.41211
260: good sentence 130, PPL: -45971.10547
261: bad sentence 130, PPL: -16002.75586
262: good sentence 131, PPL: -35130.65234
263: bad sentence 131, PPL: -31179.64648
264: good sentence 132, PPL: -94473.69531
265: bad sentence 132, PPL: -51013.80078
266: good sentence 133, PPL: -28107.65820
267: bad sentence 133, PPL: -21351.18555
268: good sentence 134, PPL: -32036.91797
269: bad sentence 134, PPL: -39814.62500
270: good sentence 135, PPL: -30940.10352
271: bad sentence 135, PPL: -33309.94922
272: good sentence 136, PPL: -38622.75391
273: bad sentence 136, PPL: -46802.66797
