Classifier-Noun
	cl_simple_noun
Model: TsinghuaAI/CPM-Generate, Accuracy: 61.20000, Average Perplexity (Good Sentences): -23436.45312, Average Perplexity (Bad Sentences): -26126.90820
0: good sentence 0, PPL: -47137.09766
1: bad sentence 0, PPL: -78223.94531
2: good sentence 1, PPL: -42091.50391
3: bad sentence 1, PPL: -58923.79297
4: good sentence 2, PPL: -14421.79785
5: bad sentence 2, PPL: -4043.07910
6: good sentence 3, PPL: -18736.66797
7: bad sentence 3, PPL: -15910.59863
8: good sentence 4, PPL: -9597.73926
9: bad sentence 4, PPL: -17157.61523
10: good sentence 5, PPL: -37654.55469
11: bad sentence 5, PPL: -68228.53125
12: good sentence 6, PPL: -6716.22559
13: bad sentence 6, PPL: -7826.97266
14: good sentence 7, PPL: -39329.49609
15: bad sentence 7, PPL: -25617.75586
16: good sentence 8, PPL: -33311.57031
17: bad sentence 8, PPL: -29827.85156
18: good sentence 9, PPL: -40967.99219
19: bad sentence 9, PPL: -52658.35156
20: good sentence 10, PPL: -24895.54492
21: bad sentence 10, PPL: -9791.74316
22: good sentence 11, PPL: -38627.54297
23: bad sentence 11, PPL: -56821.39062
24: good sentence 12, PPL: -16877.36133
25: bad sentence 12, PPL: -21346.66602
26: good sentence 13, PPL: -38327.41797
27: bad sentence 13, PPL: -34402.53906
28: good sentence 14, PPL: -63220.28516
29: bad sentence 14, PPL: -87740.77344
30: good sentence 15, PPL: -89672.56250
31: bad sentence 15, PPL: -107043.72656
32: good sentence 16, PPL: -56033.46875
33: bad sentence 16, PPL: -10491.31152
34: good sentence 17, PPL: -35714.68750
35: bad sentence 17, PPL: -24245.08398
36: good sentence 18, PPL: -42783.38672
37: bad sentence 18, PPL: -28647.10938
38: good sentence 19, PPL: -172463.59375
39: bad sentence 19, PPL: -145017.15625
40: good sentence 20, PPL: -22307.56055
41: bad sentence 20, PPL: -31513.41406
42: good sentence 21, PPL: -19344.86133
43: bad sentence 21, PPL: -28341.80859
44: good sentence 22, PPL: -31353.78711
45: bad sentence 22, PPL: -14789.36426
46: good sentence 23, PPL: -3556.02393
47: bad sentence 23, PPL: -3102.61011
48: good sentence 24, PPL: -34005.04688
49: bad sentence 24, PPL: -52505.41016
50: good sentence 25, PPL: -26686.86914
51: bad sentence 25, PPL: -9908.44043
52: good sentence 26, PPL: -7929.27051
53: bad sentence 26, PPL: -6560.67578
54: good sentence 27, PPL: -28171.47266
55: bad sentence 27, PPL: -42127.80469
56: good sentence 28, PPL: -8974.72070
57: bad sentence 28, PPL: -13995.94727
58: good sentence 29, PPL: -101152.88281
59: bad sentence 29, PPL: -172940.40625
60: good sentence 30, PPL: -65351.64062
61: bad sentence 30, PPL: -72052.76562
62: good sentence 31, PPL: -50486.73438
63: bad sentence 31, PPL: -25520.68359
64: good sentence 32, PPL: -12364.52148
65: bad sentence 32, PPL: -30555.73438
66: good sentence 33, PPL: -11640.56543
67: bad sentence 33, PPL: -8213.73633
68: good sentence 34, PPL: -19020.16992
69: bad sentence 34, PPL: -21332.23633
70: good sentence 35, PPL: -70108.12500
71: bad sentence 35, PPL: -61955.87891
72: good sentence 36, PPL: -30616.96094
73: bad sentence 36, PPL: -15789.65820
74: good sentence 37, PPL: -4096.79346
75: bad sentence 37, PPL: -5007.32324
76: good sentence 38, PPL: -34233.23828
77: bad sentence 38, PPL: -34233.23828
78: good sentence 39, PPL: -65082.01953
79: bad sentence 39, PPL: -75152.02344
80: good sentence 40, PPL: -48807.90625
81: bad sentence 40, PPL: -55187.63672
82: good sentence 41, PPL: -25105.26172
83: bad sentence 41, PPL: -39528.71094
84: good sentence 42, PPL: -116944.14844
85: bad sentence 42, PPL: -181550.50000
86: good sentence 43, PPL: -53063.31250
87: bad sentence 43, PPL: -80951.39844
88: good sentence 44, PPL: -41003.99219
