DefinitenessEffect
	definiteness_demonstrative
Model: TsinghuaAI/CPM-Generate, Accuracy: 48.30000, Average Perplexity (Good Sentences): -3931.39893, Average Perplexity (Bad Sentences): -4307.86377
0: good sentence 0, PPL: -2796.37964
1: bad sentence 0, PPL: -4689.41455
2: good sentence 1, PPL: -782.05707
3: bad sentence 1, PPL: -1534.83655
4: good sentence 2, PPL: -5843.69531
5: bad sentence 2, PPL: -4535.64502
6: good sentence 3, PPL: -1727.08740
7: bad sentence 3, PPL: -2602.75073
8: good sentence 4, PPL: -5404.65820
9: bad sentence 4, PPL: -4547.11768
10: good sentence 5, PPL: -3427.04907
11: bad sentence 5, PPL: -2440.99463
12: good sentence 6, PPL: -1716.70911
13: bad sentence 6, PPL: -2332.06396
14: good sentence 7, PPL: -11665.60352
15: bad sentence 7, PPL: -21367.68555
16: good sentence 8, PPL: -2592.42798
17: bad sentence 8, PPL: -4100.22510
18: good sentence 9, PPL: -3073.27637
19: bad sentence 9, PPL: -1472.35889
20: good sentence 10, PPL: -11211.43945
21: bad sentence 10, PPL: -5172.92822
22: good sentence 11, PPL: -8950.08789
23: bad sentence 11, PPL: -5891.20215
24: good sentence 12, PPL: -2881.08667
25: bad sentence 12, PPL: -5144.45312
26: good sentence 13, PPL: -3950.60449
27: bad sentence 13, PPL: -3225.11841
28: good sentence 14, PPL: -4342.04883
29: bad sentence 14, PPL: -12794.14941
30: good sentence 15, PPL: -7368.26660
31: bad sentence 15, PPL: -6885.22754
32: good sentence 16, PPL: -1807.95959
33: bad sentence 16, PPL: -3439.06812
34: good sentence 17, PPL: -1373.78650
35: bad sentence 17, PPL: -1569.51428
36: good sentence 18, PPL: -2693.23560
37: bad sentence 18, PPL: -1859.34741
38: good sentence 19, PPL: -5357.88574
39: bad sentence 19, PPL: -3906.19849
40: good sentence 20, PPL: -16942.80273
41: bad sentence 20, PPL: -13721.02734
42: good sentence 21, PPL: -4503.35791
43: bad sentence 21, PPL: -4688.69922
44: good sentence 22, PPL: -8956.46582
45: bad sentence 22, PPL: -7873.44141
46: good sentence 23, PPL: -5530.45215
47: bad sentence 23, PPL: -4070.91699
48: good sentence 24, PPL: -1421.03589
49: bad sentence 24, PPL: -1147.49353
50: good sentence 25, PPL: -5084.34863
51: bad sentence 25, PPL: -4243.39453
52: good sentence 26, PPL: -1916.23730
53: bad sentence 26, PPL: -1897.97266
54: good sentence 27, PPL: -4900.51709
55: bad sentence 27, PPL: -5321.41943
56: good sentence 28, PPL: -1342.41077
57: bad sentence 28, PPL: -2009.42358
58: good sentence 29, PPL: -1002.57025
59: bad sentence 29, PPL: -1705.15112
60: good sentence 30, PPL: -7934.95166
61: bad sentence 30, PPL: -4114.71436
62: good sentence 31, PPL: -7398.08594
63: bad sentence 31, PPL: -5531.22754
64: good sentence 32, PPL: -1872.18420
65: bad sentence 32, PPL: -2494.93530
66: good sentence 33, PPL: -1993.22913
67: bad sentence 33, PPL: -3801.11841
68: good sentence 34, PPL: -9020.13867
69: bad sentence 34, PPL: -7445.98389
70: good sentence 35, PPL: -7224.46973
71: bad sentence 35, PPL: -5561.17529
72: good sentence 36, PPL: -4138.03857
73: bad sentence 36, PPL: -8194.06738
74: good sentence 37, PPL: -3268.32983
75: bad sentence 37, PPL: -6138.05615
76: good sentence 38, PPL: -1654.21326
77: bad sentence 38, PPL: -2930.99487
78: good sentence 39, PPL: -1729.36182
79: bad sentence 39, PPL: -1621.40906
80: good sentence 40, PPL: -5653.12158
81: bad sentence 40, PPL: -4225.56982
82: good sentence 41, PPL: -891.80389
83: bad sentence 41, PPL: -1170.54321
84: good sentence 42, PPL: -1704.16199
85: bad sentence 42, PPL: -3023.30469
86: good sentence 43, PPL: -1412.00720
87: bad sentence 43, PPL: -1544.84668
88: good sentence 44, PPL: -8946.64062
89: bad sentence 44, PPL: -6159.23584
90: good sentence 45, PPL: -1439.80444
91: bad sentence 45, PPL: -1943.79529
92: good sentence 46, PPL: -11103.71289
93: bad sentence 46, PPL: -9568.27539
94: good sentence 47, PPL: -3744.50439
95: bad sentence 47, PPL: -2864.93359
96: good sentence 48, PPL: -4548.16309
97: bad sentence 48, PPL: -5202.76660
98: good sentence 49, PPL: -10113.43066
99: bad sentence 49, PPL: -9265.54492
100: good sentence 50, PPL: -5376.13232
101: bad sentence 50, PPL: -10495.81445
102: good sentence 51, PPL: -3261.68506
