DefinitenessEffect
	definiteness_every
Model: TsinghuaAI/CPM-Generate, Accuracy: 92.50000, Average Perplexity (Good Sentences): -3931.39893, Average Perplexity (Bad Sentences): -7608.61523
0: good sentence 0, PPL: -2796.37964
1: bad sentence 0, PPL: -12359.29785
2: good sentence 1, PPL: -782.05707
3: bad sentence 1, PPL: -2486.16162
4: good sentence 2, PPL: -5843.69531
5: bad sentence 2, PPL: -5889.37061
6: good sentence 3, PPL: -1727.08740
7: bad sentence 3, PPL: -6329.47559
8: good sentence 4, PPL: -5404.65820
9: bad sentence 4, PPL: -7633.16650
10: good sentence 5, PPL: -3427.04907
11: bad sentence 5, PPL: -5089.23877
12: good sentence 6, PPL: -1716.70911
13: bad sentence 6, PPL: -6503.19824
14: good sentence 7, PPL: -11665.60352
15: bad sentence 7, PPL: -9334.59180
16: good sentence 8, PPL: -2592.42798
17: bad sentence 8, PPL: -10503.67578
18: good sentence 9, PPL: -3073.27637
19: bad sentence 9, PPL: -2962.67651
20: good sentence 10, PPL: -11211.43945
21: bad sentence 10, PPL: -7723.79199
22: good sentence 11, PPL: -8950.08789
23: bad sentence 11, PPL: -8103.77148
24: good sentence 12, PPL: -2881.08667
25: bad sentence 12, PPL: -11034.58008
26: good sentence 13, PPL: -3950.60449
27: bad sentence 13, PPL: -5174.14209
28: good sentence 14, PPL: -4342.04883
29: bad sentence 14, PPL: -12725.02051
30: good sentence 15, PPL: -7368.26660
31: bad sentence 15, PPL: -11767.23926
32: good sentence 16, PPL: -1807.95959
33: bad sentence 16, PPL: -5966.17920
34: good sentence 17, PPL: -1373.78650
35: bad sentence 17, PPL: -2674.11206
36: good sentence 18, PPL: -2693.23560
37: bad sentence 18, PPL: -3173.02563
38: good sentence 19, PPL: -5357.88574
39: bad sentence 19, PPL: -9754.02539
40: good sentence 20, PPL: -16942.80273
41: bad sentence 20, PPL: -15677.90234
42: good sentence 21, PPL: -4503.35791
43: bad sentence 21, PPL: -6615.38623
44: good sentence 22, PPL: -8956.46582
45: bad sentence 22, PPL: -11791.58301
46: good sentence 23, PPL: -5530.45215
47: bad sentence 23, PPL: -8735.55859
48: good sentence 24, PPL: -1421.03589
49: bad sentence 24, PPL: -2376.04688
50: good sentence 25, PPL: -5084.34863
51: bad sentence 25, PPL: -6094.77441
52: good sentence 26, PPL: -1916.23730
53: bad sentence 26, PPL: -3688.10400
54: good sentence 27, PPL: -4900.51709
55: bad sentence 27, PPL: -6286.74463
56: good sentence 28, PPL: -1342.41077
57: bad sentence 28, PPL: -5060.10449
58: good sentence 29, PPL: -1002.57025
59: bad sentence 29, PPL: -3023.33057
60: good sentence 30, PPL: -7934.95166
61: bad sentence 30, PPL: -8120.54443
62: good sentence 31, PPL: -7398.08594
63: bad sentence 31, PPL: -8126.17578
64: good sentence 32, PPL: -1872.18420
65: bad sentence 32, PPL: -6699.81055
66: good sentence 33, PPL: -1993.22913
67: bad sentence 33, PPL: -9651.96973
68: good sentence 34, PPL: -9020.13867
69: bad sentence 34, PPL: -9271.38770
70: good sentence 35, PPL: -7224.46973
71: bad sentence 35, PPL: -14982.93164
72: good sentence 36, PPL: -4138.03857
73: bad sentence 36, PPL: -9367.74023
74: good sentence 37, PPL: -3268.32983
75: bad sentence 37, PPL: -6740.70557
76: good sentence 38, PPL: -1654.21326
77: bad sentence 38, PPL: -3964.64478
78: good sentence 39, PPL: -1729.36182
79: bad sentence 39, PPL: -2807.63379
80: good sentence 40, PPL: -5653.12158
81: bad sentence 40, PPL: -5707.45508
82: good sentence 41, PPL: -891.80389
83: bad sentence 41, PPL: -3039.92603
84: good sentence 42, PPL: -1704.16199
85: bad sentence 42, PPL: -7789.94727
86: good sentence 43, PPL: -1412.00720
87: bad sentence 43, PPL: -3967.42480
88: good sentence 44, PPL: -8946.64062
89: bad sentence 44, PPL: -8000.00830
90: good sentence 45, PPL: -1439.80444
91: bad sentence 45, PPL: -5135.60059
92: good sentence 46, PPL: -11103.71289
93: bad sentence 46, PPL: -16000.63477
94: good sentence 47, PPL: -3744.50439
95: bad sentence 47, PPL: -5095.04150
96: good sentence 48, PPL: -4548.16309
97: bad sentence 48, PPL: -7219.68994
98: good sentence 49, PPL: -10113.43066
99: bad sentence 49, PPL: -13260.90723
100: good sentence 50, PPL: -5376.13232
101: bad sentence 50, PPL: -14927.70703
102: good sentence 51, PPL: -3261.68506
103: bad sentence 51, PPL: -2504.67993
104: good sentence 52, PPL: -1712.85950
105: bad sentence 52, PPL: -5637.82031
106: good sentence 53, PPL: -5199.75049
107: bad sentence 53, PPL: -6737.49219
108: good sentence 54, PPL: -5258.41553
109: bad sentence 54, PPL: -9020.74023
110: good sentence 55, PPL: -3690.44360
111: bad sentence 55, PPL: -5665.59961
112: good sentence 56, PPL: -5555.12158
113: bad sentence 56, PPL: -7456.28760
114: good sentence 57, PPL: -5937.71289
115: bad sentence 57, PPL: -7332.22949
116: good sentence 58, PPL: -4463.61865
117: bad sentence 58, PPL: -5948.19238
118: good sentence 59, PPL: -5729.83691
119: bad sentence 59, PPL: -7790.43018
120: good sentence 60, PPL: -14218.37207
121: bad sentence 60, PPL: -16417.83203
122: good sentence 61, PPL: -8028.24121
123: bad sentence 61, PPL: -8113.63867
124: good sentence 62, PPL: -7201.79688
125: bad sentence 62, PPL: -9286.00586
126: good sentence 63, PPL: -9715.90527
127: bad sentence 63, PPL: -13344.68848
128: good sentence 64, PPL: -4060.28564
129: bad sentence 64, PPL: -5890.42676
130: good sentence 65, PPL: -5622.41553
131: bad sentence 65, PPL: -14821.45801
132: good sentence 66, PPL: -5392.28662
133: bad sentence 66, PPL: -5757.72412
134: good sentence 67, PPL: -3834.47266
135: bad sentence 67, PPL: -5043.80566
136: good sentence 68, PPL: -11149.68066
137: bad sentence 68, PPL: -14381.70801
138: good sentence 69, PPL: -4194.06201
139: bad sentence 69, PPL: -11042.47656
140: good sentence 70, PPL: -5108.77246
141: bad sentence 70, PPL: -16872.59766
142: good sentence 71, PPL: -1725.96521
143: bad sentence 71, PPL: -7196.95654
144: good sentence 72, PPL: -8585.65430
145: bad sentence 72, PPL: -9296.70117
146: good sentence 73, PPL: -5681.18213
147: bad sentence 73, PPL: -7647.49121
148: good sentence 74, PPL: -6688.54248
149: bad sentence 74, PPL: -9641.74805
150: good sentence 75, PPL: -1769.90320
151: bad sentence 75, PPL: -6866.31641
152: good sentence 76, PPL: -6263.69238
153: bad sentence 76, PPL: -9857.49805
154: good sentence 77, PPL: -3851.38623
155: bad sentence 77, PPL: -5239.04395
156: good sentence 78, PPL: -6698.62793
157: bad sentence 78, PPL: -5857.85107
158: good sentence 79, PPL: -2319.38818
159: bad sentence 79, PPL: -5812.91357
160: good sentence 80, PPL: -5821.91797
161: bad sentence 80, PPL: -6659.69043
162: good sentence 81, PPL: -7489.98389
163: bad sentence 81, PPL: -10784.04297
164: good sentence 82, PPL: -7281.09033
165: bad sentence 82, PPL: -8266.41016
166: good sentence 83, PPL: -1582.04883
167: bad sentence 83, PPL: -5604.69043
168: good sentence 84, PPL: -8971.58008
169: bad sentence 84, PPL: -13876.09570
170: good sentence 85, PPL: -3939.99780
171: bad sentence 85, PPL: -16279.47656
172: good sentence 86, PPL: -5314.32959
173: bad sentence 86, PPL: -7073.42090
174: good sentence 87, PPL: -2064.46826
175: bad sentence 87, PPL: -9156.71680
176: good sentence 88, PPL: -3933.48022
177: bad sentence 88, PPL: -8287.79395
178: good sentence 89, PPL: -7339.86963
179: bad sentence 89, PPL: -14961.28516
180: good sentence 90, PPL: -1793.44006
181: bad sentence 90, PPL: -2559.63892
182: good sentence 91, PPL: -2317.10547
183: bad sentence 91, PPL: -9607.82324
184: good sentence 92, PPL: -2499.04224
185: bad sentence 92, PPL: -7945.12109
186: good sentence 93, PPL: -1305.30933
187: bad sentence 93, PPL: -3871.85474
188: good sentence 94, PPL: -7894.26807
189: bad sentence 94, PPL: -8554.57227
190: good sentence 95, PPL: -7092.87598
191: bad sentence 95, PPL: -7381.65088
192: good sentence 96, PPL: -6717.52588
193: bad sentence 96, PPL: -8147.06494
194: good sentence 97, PPL: -3700.21240
195: bad sentence 97, PPL: -13583.31836
196: good sentence 98, PPL: -2323.21021
197: bad sentence 98, PPL: -5846.42139
198: good sentence 99, PPL: -3419.69360
199: bad sentence 99, PPL: -5421.63770
200: good sentence 100, PPL: -2019.65027
201: bad sentence 100, PPL: -4317.65723
