PolarityItem
	any
Model: TsinghuaAI/CPM-Generate, Accuracy: 95.90000, Average Perplexity (Good Sentences): -26958.22070, Average Perplexity (Bad Sentences): -48085.91406
0: good sentence 0, PPL: -48222.44141
1: bad sentence 0, PPL: -89759.75000
2: good sentence 1, PPL: -50056.11328
3: bad sentence 1, PPL: -148712.46875
4: good sentence 2, PPL: -28293.06250
5: bad sentence 2, PPL: -79654.57812
6: good sentence 3, PPL: -14234.44922
7: bad sentence 3, PPL: -26019.01953
8: good sentence 4, PPL: -18017.82812
9: bad sentence 4, PPL: -29669.11914
10: good sentence 5, PPL: -82568.25781
11: bad sentence 5, PPL: -144862.89062
12: good sentence 6, PPL: -10515.01074
13: bad sentence 6, PPL: -14547.34961
14: good sentence 7, PPL: -28769.13477
15: bad sentence 7, PPL: -55669.62109
16: good sentence 8, PPL: -31931.38281
17: bad sentence 8, PPL: -56560.90625
18: good sentence 9, PPL: -27710.44336
19: bad sentence 9, PPL: -46427.06250
20: good sentence 10, PPL: -32651.97266
21: bad sentence 10, PPL: -54688.80469
22: good sentence 11, PPL: -79831.69531
23: bad sentence 11, PPL: -104460.80469
24: good sentence 12, PPL: -46104.44531
25: bad sentence 12, PPL: -67701.38281
26: good sentence 13, PPL: -7254.80664
27: bad sentence 13, PPL: -14464.59473
28: good sentence 14, PPL: -55857.98047
29: bad sentence 14, PPL: -122888.57031
30: good sentence 15, PPL: -42774.41016
31: bad sentence 15, PPL: -70215.32031
32: good sentence 16, PPL: -5004.97900
33: bad sentence 16, PPL: -6001.69775
34: good sentence 17, PPL: -17107.27539
35: bad sentence 17, PPL: -20542.16602
36: good sentence 18, PPL: -50023.51953
37: bad sentence 18, PPL: -115178.86719
38: good sentence 19, PPL: -90743.35938
39: bad sentence 19, PPL: -179846.53125
40: good sentence 20, PPL: -30032.53711
41: bad sentence 20, PPL: -51073.18359
42: good sentence 21, PPL: -9813.96582
43: bad sentence 21, PPL: -14195.96289
44: good sentence 22, PPL: -76587.57031
45: bad sentence 22, PPL: -129636.61719
46: good sentence 23, PPL: -39060.92578
47: bad sentence 23, PPL: -73170.95312
48: good sentence 24, PPL: -17617.00586
49: bad sentence 24, PPL: -49749.91406
50: good sentence 25, PPL: -79872.50781
51: bad sentence 25, PPL: -140361.75000
52: good sentence 26, PPL: -43027.01172
53: bad sentence 26, PPL: -92902.00781
54: good sentence 27, PPL: -46175.15625
55: bad sentence 27, PPL: -74946.74219
56: good sentence 28, PPL: -19936.88281
57: bad sentence 28, PPL: -28691.37500
58: good sentence 29, PPL: -23015.63672
59: bad sentence 29, PPL: -38567.28906
60: good sentence 30, PPL: -42770.33203
61: bad sentence 30, PPL: -41907.33594
62: good sentence 31, PPL: -34682.54688
63: bad sentence 31, PPL: -56090.08594
64: good sentence 32, PPL: -10081.21973
65: bad sentence 32, PPL: -13286.42676
66: good sentence 33, PPL: -11471.46680
67: bad sentence 33, PPL: -18112.58594
68: good sentence 34, PPL: -27673.23242
69: bad sentence 34, PPL: -55125.62109
70: good sentence 35, PPL: -36368.25391
71: bad sentence 35, PPL: -56546.34375
72: good sentence 36, PPL: -28553.63672
73: bad sentence 36, PPL: -131984.60938
74: good sentence 37, PPL: -35179.26562
75: bad sentence 37, PPL: -46370.11328
76: good sentence 38, PPL: -19296.88086
77: bad sentence 38, PPL: -34499.95703
78: good sentence 39, PPL: -12820.28711
79: bad sentence 39, PPL: -25211.09375
80: good sentence 40, PPL: -18861.93555
81: bad sentence 40, PPL: -41691.11719
82: good sentence 41, PPL: -13790.14844
83: bad sentence 41, PPL: -13794.92188
84: good sentence 42, PPL: -11712.71387
85: bad sentence 42, PPL: -22744.95703
86: good sentence 43, PPL: -17229.45117
87: bad sentence 43, PPL: -27920.29688
88: good sentence 44, PPL: -28069.64453
89: bad sentence 44, PPL: -59283.97266
90: good sentence 45, PPL: -17277.81055
91: bad sentence 45, PPL: -58683.37891
92: good sentence 46, PPL: -145733.51562
93: bad sentence 46, PPL: -263335.18750
94: good sentence 47, PPL: -34587.02344
95: bad sentence 47, PPL: -58467.03125
96: good sentence 48, PPL: -85605.82812
97: bad sentence 48, PPL: -152555.06250
98: good sentence 49, PPL: -28101.97461
99: bad sentence 49, PPL: -45614.00781
100: good sentence 50, PPL: -84190.50781
101: bad sentence 50, PPL: -174498.87500
102: good sentence 51, PPL: -13519.88867
103: bad sentence 51, PPL: -27168.43750
104: good sentence 52, PPL: -24855.31055
105: bad sentence 52, PPL: -20770.50000
106: good sentence 53, PPL: -42315.68750
107: bad sentence 53, PPL: -64038.68750
108: good sentence 54, PPL: -27885.59766
109: bad sentence 54, PPL: -37012.76562
110: good sentence 55, PPL: -79354.46875
111: bad sentence 55, PPL: -120319.79688
112: good sentence 56, PPL: -43598.26172
113: bad sentence 56, PPL: -49910.15625
114: good sentence 57, PPL: -7392.26074
115: bad sentence 57, PPL: -11536.71289
116: good sentence 58, PPL: -34357.51953
117: bad sentence 58, PPL: -18893.90820
118: good sentence 59, PPL: -8890.08984
119: bad sentence 59, PPL: -9010.13867
120: good sentence 60, PPL: -10292.97363
121: bad sentence 60, PPL: -17338.70117
122: good sentence 61, PPL: -22295.75781
123: bad sentence 61, PPL: -48151.58203
124: good sentence 62, PPL: -24723.48828
125: bad sentence 62, PPL: -50305.10938
126: good sentence 63, PPL: -46809.76562
127: bad sentence 63, PPL: -109566.51562
128: good sentence 64, PPL: -20249.10547
129: bad sentence 64, PPL: -52450.15625
130: good sentence 65, PPL: -37602.12500
131: bad sentence 65, PPL: -64596.24219
132: good sentence 66, PPL: -26629.33789
133: bad sentence 66, PPL: -46975.05078
134: good sentence 67, PPL: -14652.91992
135: bad sentence 67, PPL: -43080.01562
136: good sentence 68, PPL: -10009.36133
137: bad sentence 68, PPL: -9449.76074
138: good sentence 69, PPL: -50426.53516
