PolarityItem
	even_wh
Model: TsinghuaAI/CPM-Generate, Accuracy: 42.30000, Average Perplexity (Good Sentences): -29499.72461, Average Perplexity (Bad Sentences): -29037.58203
0: good sentence 0, PPL: -24867.56836
1: bad sentence 0, PPL: -26561.28906
2: good sentence 1, PPL: -15189.60352
3: bad sentence 1, PPL: -13152.41602
4: good sentence 2, PPL: -20880.20898
5: bad sentence 2, PPL: -19819.65039
6: good sentence 3, PPL: -31510.91992
7: bad sentence 3, PPL: -29053.89648
8: good sentence 4, PPL: -39884.89062
9: bad sentence 4, PPL: -39850.06250
10: good sentence 5, PPL: -70567.21875
11: bad sentence 5, PPL: -90120.08594
12: good sentence 6, PPL: -27862.33789
13: bad sentence 6, PPL: -26155.95312
14: good sentence 7, PPL: -25111.53516
15: bad sentence 7, PPL: -26930.39258
16: good sentence 8, PPL: -23480.63867
17: bad sentence 8, PPL: -21577.10742
18: good sentence 9, PPL: -7751.04248
19: bad sentence 9, PPL: -7104.28271
20: good sentence 10, PPL: -16070.86035
21: bad sentence 10, PPL: -15839.70020
22: good sentence 11, PPL: -33711.98047
23: bad sentence 11, PPL: -35786.80078
24: good sentence 12, PPL: -14702.59766
25: bad sentence 12, PPL: -12472.43555
26: good sentence 13, PPL: -30381.94336
27: bad sentence 13, PPL: -31009.78906
28: good sentence 14, PPL: -27174.06250
29: bad sentence 14, PPL: -31205.46680
30: good sentence 15, PPL: -14615.54395
31: bad sentence 15, PPL: -13272.99023
32: good sentence 16, PPL: -36919.03125
33: bad sentence 16, PPL: -33464.91797
34: good sentence 17, PPL: -21232.84375
35: bad sentence 17, PPL: -23647.76562
36: good sentence 18, PPL: -24610.73633
37: bad sentence 18, PPL: -22975.85547
38: good sentence 19, PPL: -33495.41016
39: bad sentence 19, PPL: -37261.67578
40: good sentence 20, PPL: -25611.84375
41: bad sentence 20, PPL: -27138.01172
42: good sentence 21, PPL: -36821.03125
43: bad sentence 21, PPL: -34457.70312
44: good sentence 22, PPL: -33660.26172
45: bad sentence 22, PPL: -29492.74609
46: good sentence 23, PPL: -23547.37695
47: bad sentence 23, PPL: -23781.35742
48: good sentence 24, PPL: -26310.66406
49: bad sentence 24, PPL: -27558.66992
50: good sentence 25, PPL: -42718.68359
51: bad sentence 25, PPL: -41967.84766
52: good sentence 26, PPL: -47175.23828
53: bad sentence 26, PPL: -44831.60547
54: good sentence 27, PPL: -31347.26953
55: bad sentence 27, PPL: -31358.27148
56: good sentence 28, PPL: -33246.66797
57: bad sentence 28, PPL: -36496.84375
58: good sentence 29, PPL: -27373.71680
59: bad sentence 29, PPL: -27938.91406
60: good sentence 30, PPL: -15170.56641
61: bad sentence 30, PPL: -14493.91016
62: good sentence 31, PPL: -54501.41797
63: bad sentence 31, PPL: -54868.41016
64: good sentence 32, PPL: -19227.90039
65: bad sentence 32, PPL: -34430.40625
66: good sentence 33, PPL: -48748.26953
67: bad sentence 33, PPL: -44389.32031
68: good sentence 34, PPL: -24677.76562
69: bad sentence 34, PPL: -22639.80469
70: good sentence 35, PPL: -26111.09180
71: bad sentence 35, PPL: -23482.72070
72: good sentence 36, PPL: -41040.49219
73: bad sentence 36, PPL: -38724.03125
74: good sentence 37, PPL: -22170.99805
75: bad sentence 37, PPL: -24837.30078
76: good sentence 38, PPL: -9922.57812
77: bad sentence 38, PPL: -8212.50684
78: good sentence 39, PPL: -10574.78613
79: bad sentence 39, PPL: -10769.27441
80: good sentence 40, PPL: -57339.17969
81: bad sentence 40, PPL: -54348.92969
82: good sentence 41, PPL: -33491.06641
83: bad sentence 41, PPL: -33951.57812
84: good sentence 42, PPL: -22033.92383
85: bad sentence 42, PPL: -26554.67773
86: good sentence 43, PPL: -27644.71875
87: bad sentence 43, PPL: -31189.43164
88: good sentence 44, PPL: -35353.34766
89: bad sentence 44, PPL: -40223.90234
90: good sentence 45, PPL: -41229.92969
91: bad sentence 45, PPL: -35965.60156
92: good sentence 46, PPL: -45390.57031
93: bad sentence 46, PPL: -43862.29297
94: good sentence 47, PPL: -17713.08203
95: bad sentence 47, PPL: -16140.79199
96: good sentence 48, PPL: -15977.62402
97: bad sentence 48, PPL: -15620.68164
98: good sentence 49, PPL: -37249.34766
99: bad sentence 49, PPL: -40399.98047
100: good sentence 50, PPL: -21754.34570
101: bad sentence 50, PPL: -21858.30664
102: good sentence 51, PPL: -33180.37109
103: bad sentence 51, PPL: -37065.92969
104: good sentence 52, PPL: -31908.94531
105: bad sentence 52, PPL: -32937.20312
106: good sentence 53, PPL: -57292.28516
107: bad sentence 53, PPL: -49472.80078
108: good sentence 54, PPL: -35929.60547
109: bad sentence 54, PPL: -40205.15234
110: good sentence 55, PPL: -42151.91797
111: bad sentence 55, PPL: -38681.66016
112: good sentence 56, PPL: -17002.80469
113: bad sentence 56, PPL: -17188.14258
114: good sentence 57, PPL: -21282.34961
115: bad sentence 57, PPL: -18996.64062
116: good sentence 58, PPL: -40001.37891
117: bad sentence 58, PPL: -40558.91016
118: good sentence 59, PPL: -39368.89844
119: bad sentence 59, PPL: -40413.96484
120: good sentence 60, PPL: -28979.98438
121: bad sentence 60, PPL: -30543.93555
122: good sentence 61, PPL: -14350.94922
123: bad sentence 61, PPL: -12941.37109
124: good sentence 62, PPL: -41217.66406
125: bad sentence 62, PPL: -45478.22656
126: good sentence 63, PPL: -32514.13086
127: bad sentence 63, PPL: -29692.92578
128: good sentence 64, PPL: -19416.31641
129: bad sentence 64, PPL: -18805.85938
130: good sentence 65, PPL: -54394.97266
131: bad sentence 65, PPL: -62325.07812
132: good sentence 66, PPL: -44825.23047
133: bad sentence 66, PPL: -48368.26172
134: good sentence 67, PPL: -20973.31055
135: bad sentence 67, PPL: -20961.15234
136: good sentence 68, PPL: -40444.39062
137: bad sentence 68, PPL: -43332.85156
138: good sentence 69, PPL: -19861.82617
139: bad sentence 69, PPL: -21779.75586
140: good sentence 70, PPL: -45670.07031
141: bad sentence 70, PPL: -45128.01172
142: good sentence 71, PPL: -13215.36816
143: bad sentence 71, PPL: -12409.00879
144: good sentence 72, PPL: -37150.15625
145: bad sentence 72, PPL: -33137.67969
146: good sentence 73, PPL: -56678.83594
147: bad sentence 73, PPL: -55176.11328
148: good sentence 74, PPL: -31426.07812
149: bad sentence 74, PPL: -32716.43164
150: good sentence 75, PPL: -42927.08203
151: bad sentence 75, PPL: -39003.48828
152: good sentence 76, PPL: -25983.23828
153: bad sentence 76, PPL: -28039.46484
154: good sentence 77, PPL: -13679.12598
155: bad sentence 77, PPL: -13515.63379
156: good sentence 78, PPL: -29140.80859
157: bad sentence 78, PPL: -34195.06250
158: good sentence 79, PPL: -33060.03125
159: bad sentence 79, PPL: -32648.14062
160: good sentence 80, PPL: -54244.32812
161: bad sentence 80, PPL: -53319.27734
162: good sentence 81, PPL: -28345.37695
163: bad sentence 81, PPL: -24142.01953
164: good sentence 82, PPL: -19931.59766
165: bad sentence 82, PPL: -21077.91797
166: good sentence 83, PPL: -29541.50195
167: bad sentence 83, PPL: -28414.96289
168: good sentence 84, PPL: -43055.33203
169: bad sentence 84, PPL: -44252.96094
170: good sentence 85, PPL: -27663.12695
171: bad sentence 85, PPL: -25454.10547
172: good sentence 86, PPL: -22432.91797
173: bad sentence 86, PPL: -25593.45898
174: good sentence 87, PPL: -32698.56055
175: bad sentence 87, PPL: -31061.61328
176: good sentence 88, PPL: -50438.46094
177: bad sentence 88, PPL: -50667.51562
178: good sentence 89, PPL: -28936.43164
179: bad sentence 89, PPL: -26497.91016
180: good sentence 90, PPL: -12477.93164
181: bad sentence 90, PPL: -9966.83984
182: good sentence 91, PPL: -51846.46094
183: bad sentence 91, PPL: -70964.99219
184: good sentence 92, PPL: -39059.54688
185: bad sentence 92, PPL: -34777.33984
186: good sentence 93, PPL: -13951.29102
187: bad sentence 93, PPL: -12570.51074
188: good sentence 94, PPL: -32729.28906
189: bad sentence 94, PPL: -32651.22461
190: good sentence 95, PPL: -23503.04297
191: bad sentence 95, PPL: -31809.59375
192: good sentence 96, PPL: -26670.58789
193: bad sentence 96, PPL: -25490.27734
194: good sentence 97, PPL: -52753.55469
195: bad sentence 97, PPL: -55179.53516
196: good sentence 98, PPL: -29853.60547
197: bad sentence 98, PPL: -31148.23047
198: good sentence 99, PPL: -16282.73633
199: bad sentence 99, PPL: -18118.56250
200: good sentence 100, PPL: -42025.48047
201: bad sentence 100, PPL: -37469.53125
202: good sentence 101, PPL: -22856.24414
203: bad sentence 101, PPL: -27447.16992
204: good sentence 102, PPL: -26368.46289
205: bad sentence 102, PPL: -48123.02734
206: good sentence 103, PPL: -30497.07422
207: bad sentence 103, PPL: -34342.94141
208: good sentence 104, PPL: -30023.77344
209: bad sentence 104, PPL: -28195.41992
210: good sentence 105, PPL: -36860.66406
211: bad sentence 105, PPL: -43544.95312
212: good sentence 106, PPL: -40593.89453
213: bad sentence 106, PPL: -35293.55078
214: good sentence 107, PPL: -38751.11328
215: bad sentence 107, PPL: -32099.27930
216: good sentence 108, PPL: -26986.05078
217: bad sentence 108, PPL: -28455.44922
218: good sentence 109, PPL: -30792.80273
219: bad sentence 109, PPL: -24210.19531
220: good sentence 110, PPL: -49808.30469
221: bad sentence 110, PPL: -54185.07422
222: good sentence 111, PPL: -35006.27344
223: bad sentence 111, PPL: -22541.36914
224: good sentence 112, PPL: -32503.46289
225: bad sentence 112, PPL: -30596.90820
226: good sentence 113, PPL: -48685.08203
227: bad sentence 113, PPL: -45758.57031
228: good sentence 114, PPL: -22457.29883
229: bad sentence 114, PPL: -23935.50977
230: good sentence 115, PPL: -17973.17383
231: bad sentence 115, PPL: -19222.23438
232: good sentence 116, PPL: -55680.60938
233: bad sentence 116, PPL: -53668.83984
234: good sentence 117, PPL: -17227.42969
235: bad sentence 117, PPL: -17505.11523
236: good sentence 118, PPL: -18890.62891
237: bad sentence 118, PPL: -17975.69531
238: good sentence 119, PPL: -28017.19922
239: bad sentence 119, PPL: -26278.21484
240: good sentence 120, PPL: -49331.08594
241: bad sentence 120, PPL: -41575.06250
242: good sentence 121, PPL: -31956.36328
243: bad sentence 121, PPL: -30554.25000
244: good sentence 122, PPL: -40654.60547
245: bad sentence 122, PPL: -38196.52734
246: good sentence 123, PPL: -27193.73828
247: bad sentence 123, PPL: -26163.53711
248: good sentence 124, PPL: -21129.90430
249: bad sentence 124, PPL: -22868.99805
250: good sentence 125, PPL: -18107.86914
251: bad sentence 125, PPL: -17910.37891
252: good sentence 126, PPL: -31620.10547
253: bad sentence 126, PPL: -32726.04297
254: good sentence 127, PPL: -52534.66016
255: bad sentence 127, PPL: -50953.99609
256: good sentence 128, PPL: -59956.36719
257: bad sentence 128, PPL: -66220.92969
258: good sentence 129, PPL: -20851.91211
259: bad sentence 129, PPL: -26321.50586
260: good sentence 130, PPL: -31932.53711
261: bad sentence 130, PPL: -30997.28125
262: good sentence 131, PPL: -23068.35352
263: bad sentence 131, PPL: -22712.46484
264: good sentence 132, PPL: -16475.00195
265: bad sentence 132, PPL: -13965.41504
266: good sentence 133, PPL: -20568.53125
267: bad sentence 133, PPL: -21270.15625
268: good sentence 134, PPL: -14811.73730
269: bad sentence 134, PPL: -16489.25977
270: good sentence 135, PPL: -31136.58984
271: bad sentence 135, PPL: -31583.72852
272: good sentence 136, PPL: -29196.94531
273: bad sentence 136, PPL: -32625.60742
274: good sentence 137, PPL: -33432.09375
275: bad sentence 137, PPL: -29289.98242
276: good sentence 138, PPL: -43200.56250
277: bad sentence 138, PPL: -35823.30469
278: good sentence 139, PPL: -11603.86719
279: bad sentence 139, PPL: -13526.51758
280: good sentence 140, PPL: -37880.92578
281: bad sentence 140, PPL: -37250.19922
282: good sentence 141, PPL: -44244.18750
283: bad sentence 141, PPL: -36895.83203
284: good sentence 142, PPL: -26300.02734
285: bad sentence 142, PPL: -25167.34766
286: good sentence 143, PPL: -37978.33984
287: bad sentence 143, PPL: -37809.60547
288: good sentence 144, PPL: -29049.27148
289: bad sentence 144, PPL: -33379.78125
290: good sentence 145, PPL: -32912.01953
291: bad sentence 145, PPL: -24571.92383
292: good sentence 146, PPL: -42343.13672
293: bad sentence 146, PPL: -35536.32031
294: good sentence 147, PPL: -31524.65820
295: bad sentence 147, PPL: -30707.17383
296: good sentence 148, PPL: -36185.13672
297: bad sentence 148, PPL: -37762.90234
298: good sentence 149, PPL: -28814.13867
299: bad sentence 149, PPL: -28755.03711
300: good sentence 150, PPL: -23808.45312
301: bad sentence 150, PPL: -19339.91797
302: good sentence 151, PPL: -13422.77637
303: bad sentence 151, PPL: -10391.88281
304: good sentence 152, PPL: -41472.77344
305: bad sentence 152, PPL: -41890.47266
306: good sentence 153, PPL: -17960.41016
307: bad sentence 153, PPL: -14836.47656
308: good sentence 154, PPL: -18169.36523
309: bad sentence 154, PPL: -19859.99023
310: good sentence 155, PPL: -26787.71680
311: bad sentence 155, PPL: -27313.84180
312: good sentence 156, PPL: -41785.77344
313: bad sentence 156, PPL: -44106.67578
314: good sentence 157, PPL: -23329.50586
315: bad sentence 157, PPL: -25740.37500
316: good sentence 158, PPL: -35129.07812
317: bad sentence 158, PPL: -37366.47656
318: good sentence 159, PPL: -23829.37500
319: bad sentence 159, PPL: -22767.67969
320: good sentence 160, PPL: -12042.21289
321: bad sentence 160, PPL: -11035.84277
322: good sentence 161, PPL: -59298.55469
323: bad sentence 161, PPL: -56351.25000
324: good sentence 162, PPL: -36250.00391
325: bad sentence 162, PPL: -32464.12305
326: good sentence 163, PPL: -21626.09766
327: bad sentence 163, PPL: -19209.07617
328: good sentence 164, PPL: -10989.51660
329: bad sentence 164, PPL: -10378.68066
330: good sentence 165, PPL: -15885.44629
331: bad sentence 165, PPL: -16575.29688
332: good sentence 166, PPL: -16666.53320
333: bad sentence 166, PPL: -17031.12500
334: good sentence 167, PPL: -32472.76172
335: bad sentence 167, PPL: -29294.39453
336: good sentence 168, PPL: -11054.20215
337: bad sentence 168, PPL: -11947.99805
338: good sentence 169, PPL: -43608.32422
339: bad sentence 169, PPL: -38676.67969
340: good sentence 170, PPL: -21067.14648
341: bad sentence 170, PPL: -18008.86328
342: good sentence 171, PPL: -19883.96484
343: bad sentence 171, PPL: -21636.92969
344: good sentence 172, PPL: -45702.09375
345: bad sentence 172, PPL: -40843.31250
346: good sentence 173, PPL: -19017.32227
347: bad sentence 173, PPL: -14300.26367
348: good sentence 174, PPL: -32078.99023
349: bad sentence 174, PPL: -31313.08594
350: good sentence 175, PPL: -49035.25391
351: bad sentence 175, PPL: -53807.36328
352: good sentence 176, PPL: -33307.37500
353: bad sentence 176, PPL: -33209.58984
354: good sentence 177, PPL: -20227.39258
355: bad sentence 177, PPL: -20856.02930
356: good sentence 178, PPL: -34240.45312
357: bad sentence 178, PPL: -31021.47266
358: good sentence 179, PPL: -25042.65820
359: bad sentence 179, PPL: -19972.39453
360: good sentence 180, PPL: -28635.85742
361: bad sentence 180, PPL: -28728.36719
362: good sentence 181, PPL: -27462.38281
363: bad sentence 181, PPL: -29155.32031
364: good sentence 182, PPL: -35880.16016
365: bad sentence 182, PPL: -36979.38672
366: good sentence 183, PPL: -25406.13477
367: bad sentence 183, PPL: -25797.83203
368: good sentence 184, PPL: -17135.39258
369: bad sentence 184, PPL: -20671.79102
370: good sentence 185, PPL: -38430.59375
371: bad sentence 185, PPL: -33222.35547
372: good sentence 186, PPL: -22307.81836
373: bad sentence 186, PPL: -21516.55078
374: good sentence 187, PPL: -25353.90234
375: bad sentence 187, PPL: -24942.66992
376: good sentence 188, PPL: -35804.44922
377: bad sentence 188, PPL: -36611.42969
378: good sentence 189, PPL: -28545.03320
379: bad sentence 189, PPL: -26867.25977
380: good sentence 190, PPL: -51830.19922
381: bad sentence 190, PPL: -48463.37891
382: good sentence 191, PPL: -38888.27344
383: bad sentence 191, PPL: -36137.40625
384: good sentence 192, PPL: -21085.11523
385: bad sentence 192, PPL: -20022.76172
386: good sentence 193, PPL: -65027.11719
387: bad sentence 193, PPL: -68232.36719
388: good sentence 194, PPL: -14621.58105
389: bad sentence 194, PPL: -14370.41016
390: good sentence 195, PPL: -22317.90234
391: bad sentence 195, PPL: -22110.06055
392: good sentence 196, PPL: -146593.96875
393: bad sentence 196, PPL: -176187.60938
394: good sentence 197, PPL: -33792.07031
395: bad sentence 197, PPL: -34834.07031
396: good sentence 198, PPL: -16805.45508
397: bad sentence 198, PPL: -14913.77637
398: good sentence 199, PPL: -35501.02734
399: bad sentence 199, PPL: -40071.97656
400: good sentence 200, PPL: -37080.91797
401: bad sentence 200, PPL: -38707.30469
402: good sentence 201, PPL: -33429.48047
403: bad sentence 201, PPL: -34261.00000
404: good sentence 202, PPL: -11849.52441
405: bad sentence 202, PPL: -10122.15332
406: good sentence 203, PPL: -23996.09961
407: bad sentence 203, PPL: -25636.89453
408: good sentence 204, PPL: -24260.46484
409: bad sentence 204, PPL: -26539.81445
410: good sentence 205, PPL: -24597.85352
411: bad sentence 205, PPL: -24638.23438
412: good sentence 206, PPL: -34866.47266
413: bad sentence 206, PPL: -32771.79688
414: good sentence 207, PPL: -37604.41797
415: bad sentence 207, PPL: -34954.10156
416: good sentence 208, PPL: -53529.19141
417: bad sentence 208, PPL: -51091.84375
418: good sentence 209, PPL: -91861.97656
419: bad sentence 209, PPL: -90119.65625
420: good sentence 210, PPL: -33992.10547
421: bad sentence 210, PPL: -30163.85547
422: good sentence 211, PPL: -20400.06055
423: bad sentence 211, PPL: -21642.99609
424: good sentence 212, PPL: -37260.04297
425: bad sentence 212, PPL: -35186.61328
426: good sentence 213, PPL: -33901.62109
427: bad sentence 213, PPL: -37884.75391
428: good sentence 214, PPL: -14828.01758
429: bad sentence 214, PPL: -14767.47656
430: good sentence 215, PPL: -52468.56641
431: bad sentence 215, PPL: -53507.39453
432: good sentence 216, PPL: -37953.24609
433: bad sentence 216, PPL: -35389.67969
434: good sentence 217, PPL: -11502.17285
435: bad sentence 217, PPL: -11615.14941
436: good sentence 218, PPL: -21707.42773
437: bad sentence 218, PPL: -22481.40820
438: good sentence 219, PPL: -18474.56250
439: bad sentence 219, PPL: -23626.14844
440: good sentence 220, PPL: -40381.91406
441: bad sentence 220, PPL: -37199.85938
442: good sentence 221, PPL: -15832.42090
443: bad sentence 221, PPL: -15911.64648
444: good sentence 222, PPL: -16587.89844
445: bad sentence 222, PPL: -16007.51855
446: good sentence 223, PPL: -29312.69922
447: bad sentence 223, PPL: -27904.45898
448: good sentence 224, PPL: -33563.55469
449: bad sentence 224, PPL: -36039.28516
450: good sentence 225, PPL: -29305.23633
451: bad sentence 225, PPL: -26308.55859
