RelativeClause
	rc_resumptive_pronoun
Model: TsinghuaAI/CPM-Generate, Accuracy: 18.60000, Average Perplexity (Good Sentences): -8137.31982, Average Perplexity (Bad Sentences): -7641.11963
0: good sentence 0, PPL: -6091.36963
1: bad sentence 0, PPL: -5839.92920
2: good sentence 1, PPL: -7342.57178
3: bad sentence 1, PPL: -6220.77100
4: good sentence 2, PPL: -4167.82959
5: bad sentence 2, PPL: -4044.96509
6: good sentence 3, PPL: -31094.36328
7: bad sentence 3, PPL: -27032.88086
8: good sentence 4, PPL: -2436.89502
9: bad sentence 4, PPL: -3989.00830
10: good sentence 5, PPL: -13448.20996
11: bad sentence 5, PPL: -13893.38867
12: good sentence 6, PPL: -5676.55713
13: bad sentence 6, PPL: -5626.02002
14: good sentence 7, PPL: -8772.67578
15: bad sentence 7, PPL: -8351.04395
16: good sentence 8, PPL: -32820.74609
17: bad sentence 8, PPL: -29394.88867
18: good sentence 9, PPL: -9294.93750
19: bad sentence 9, PPL: -8541.74023
20: good sentence 10, PPL: -4537.37109
21: bad sentence 10, PPL: -4223.53516
22: good sentence 11, PPL: -7287.77344
23: bad sentence 11, PPL: -5527.48340
24: good sentence 12, PPL: -9369.03613
25: bad sentence 12, PPL: -8504.34277
26: good sentence 13, PPL: -17254.64258
27: bad sentence 13, PPL: -15946.28125
28: good sentence 14, PPL: -5805.57812
29: bad sentence 14, PPL: -5838.91553
30: good sentence 15, PPL: -10453.76855
31: bad sentence 15, PPL: -9718.24023
32: good sentence 16, PPL: -13654.46680
33: bad sentence 16, PPL: -13275.07812
34: good sentence 17, PPL: -7563.22656
35: bad sentence 17, PPL: -7328.07031
36: good sentence 18, PPL: -13291.90137
37: bad sentence 18, PPL: -12218.46484
38: good sentence 19, PPL: -6111.68896
39: bad sentence 19, PPL: -5832.75488
40: good sentence 20, PPL: -13348.20117
41: bad sentence 20, PPL: -10716.17480
42: good sentence 21, PPL: -13460.51562
43: bad sentence 21, PPL: -12792.06250
44: good sentence 22, PPL: -14817.12012
45: bad sentence 22, PPL: -13996.60059
46: good sentence 23, PPL: -11932.93262
47: bad sentence 23, PPL: -10241.93945
48: good sentence 24, PPL: -8685.46777
49: bad sentence 24, PPL: -8838.30273
50: good sentence 25, PPL: -15580.88379
51: bad sentence 25, PPL: -15787.64062
52: good sentence 26, PPL: -15667.39453
53: bad sentence 26, PPL: -13676.16504
54: good sentence 27, PPL: -4278.70801
55: bad sentence 27, PPL: -3995.24805
56: good sentence 28, PPL: -7353.76367
57: bad sentence 28, PPL: -7110.39648
58: good sentence 29, PPL: -5245.83350
59: bad sentence 29, PPL: -4757.68262
60: good sentence 30, PPL: -6569.92334
