WhFronting
	bare_wh
Model: TsinghuaAI/CPM-Generate, Accuracy: 96.60000, Average Perplexity (Good Sentences): -41805.86328, Average Perplexity (Bad Sentences): -57735.29688
0: good sentence 0, PPL: -15246.40625
1: bad sentence 0, PPL: -25274.64453
2: good sentence 1, PPL: -40046.22656
3: bad sentence 1, PPL: -37957.76953
4: good sentence 2, PPL: -63616.97266
5: bad sentence 2, PPL: -88504.70312
6: good sentence 3, PPL: -21562.75000
7: bad sentence 3, PPL: -36109.87891
8: good sentence 4, PPL: -30311.06836
9: bad sentence 4, PPL: -28632.47070
10: good sentence 5, PPL: -31128.39648
11: bad sentence 5, PPL: -39694.62891
12: good sentence 6, PPL: -32554.89844
13: bad sentence 6, PPL: -44415.06641
14: good sentence 7, PPL: -31800.21875
15: bad sentence 7, PPL: -49543.57812
16: good sentence 8, PPL: -19080.32422
17: bad sentence 8, PPL: -28330.78320
18: good sentence 9, PPL: -47985.35938
19: bad sentence 9, PPL: -71800.74219
20: good sentence 10, PPL: -44650.73047
21: bad sentence 10, PPL: -65431.90234
22: good sentence 11, PPL: -28206.58203
23: bad sentence 11, PPL: -42598.79297
24: good sentence 12, PPL: -83708.07031
25: bad sentence 12, PPL: -104009.21094
26: good sentence 13, PPL: -40111.32031
27: bad sentence 13, PPL: -48381.59375
28: good sentence 14, PPL: -58416.08984
29: bad sentence 14, PPL: -90624.96094
30: good sentence 15, PPL: -53051.77344
31: bad sentence 15, PPL: -78101.70312
32: good sentence 16, PPL: -25305.44531
33: bad sentence 16, PPL: -40809.05078
34: good sentence 17, PPL: -29875.33789
35: bad sentence 17, PPL: -44887.81641
36: good sentence 18, PPL: -26715.87305
37: bad sentence 18, PPL: -41809.77344
38: good sentence 19, PPL: -55094.45312
39: bad sentence 19, PPL: -82098.24219
40: good sentence 20, PPL: -15340.90332
41: bad sentence 20, PPL: -23833.69336
42: good sentence 21, PPL: -20574.04492
43: bad sentence 21, PPL: -33162.30859
44: good sentence 22, PPL: -135318.53125
45: bad sentence 22, PPL: -123104.28125
46: good sentence 23, PPL: -56420.88281
47: bad sentence 23, PPL: -85563.30469
48: good sentence 24, PPL: -103990.46094
49: bad sentence 24, PPL: -125257.36719
50: good sentence 25, PPL: -69760.25781
51: bad sentence 25, PPL: -85392.68750
52: good sentence 26, PPL: -44779.98438
53: bad sentence 26, PPL: -67179.84375
54: good sentence 27, PPL: -55154.33594
55: bad sentence 27, PPL: -68290.96094
56: good sentence 28, PPL: -34802.25781
57: bad sentence 28, PPL: -32339.80664
58: good sentence 29, PPL: -64727.03906
59: bad sentence 29, PPL: -102060.92969
60: good sentence 30, PPL: -52542.67969
61: bad sentence 30, PPL: -55185.42969
62: good sentence 31, PPL: -53081.17969
63: bad sentence 31, PPL: -80012.64062
64: good sentence 32, PPL: -34146.50781
65: bad sentence 32, PPL: -45198.34766
66: good sentence 33, PPL: -47494.79297
67: bad sentence 33, PPL: -71074.57812
68: good sentence 34, PPL: -96290.53906
69: bad sentence 34, PPL: -121432.78125
70: good sentence 35, PPL: -72622.17188
71: bad sentence 35, PPL: -111057.10156
72: good sentence 36, PPL: -81370.92188
73: bad sentence 36, PPL: -99076.24219
74: good sentence 37, PPL: -10963.44043
75: bad sentence 37, PPL: -18176.88672
76: good sentence 38, PPL: -55349.76562
77: bad sentence 38, PPL: -76565.95312
78: good sentence 39, PPL: -48935.47266
79: bad sentence 39, PPL: -65650.91406
80: good sentence 40, PPL: -40416.39453
81: bad sentence 40, PPL: -58220.53906
82: good sentence 41, PPL: -18442.68359
83: bad sentence 41, PPL: -31708.46094
84: good sentence 42, PPL: -56641.22656
85: bad sentence 42, PPL: -86615.58594
86: good sentence 43, PPL: -37221.54297
87: bad sentence 43, PPL: -43883.42578
88: good sentence 44, PPL: -27918.21875
89: bad sentence 44, PPL: -41188.03516
90: good sentence 45, PPL: -89799.47656
91: bad sentence 45, PPL: -164890.00000
92: good sentence 46, PPL: -37164.18750
93: bad sentence 46, PPL: -42712.00391
94: good sentence 47, PPL: -13762.26855
95: bad sentence 47, PPL: -19926.58008
96: good sentence 48, PPL: -23405.22852
97: bad sentence 48, PPL: -38514.69141
98: good sentence 49, PPL: -21014.11328
99: bad sentence 49, PPL: -25145.03711
100: good sentence 50, PPL: -44078.08594
101: bad sentence 50, PPL: -55528.94531
102: good sentence 51, PPL: -68678.52344
103: bad sentence 51, PPL: -101864.10938
104: good sentence 52, PPL: -202160.06250
105: bad sentence 52, PPL: -202658.07812
106: good sentence 53, PPL: -24413.78906
107: bad sentence 53, PPL: -36803.93750
108: good sentence 54, PPL: -29514.27344
109: bad sentence 54, PPL: -42133.35156
110: good sentence 55, PPL: -46178.15234
111: bad sentence 55, PPL: -66924.44531
112: good sentence 56, PPL: -16273.14258
113: bad sentence 56, PPL: -26711.77148
114: good sentence 57, PPL: -26879.30469
115: bad sentence 57, PPL: -42905.27344
116: good sentence 58, PPL: -26579.70898
117: bad sentence 58, PPL: -44635.74219
118: good sentence 59, PPL: -133198.12500
119: bad sentence 59, PPL: -195154.75000
120: good sentence 60, PPL: -122499.85938
121: bad sentence 60, PPL: -159079.51562
122: good sentence 61, PPL: -45030.93750
123: bad sentence 61, PPL: -69196.90625
124: good sentence 62, PPL: -61980.46094
125: bad sentence 62, PPL: -88642.98438
126: good sentence 63, PPL: -53427.19141
127: bad sentence 63, PPL: -66348.67969
128: good sentence 64, PPL: -27208.80859
129: bad sentence 64, PPL: -42881.87109
