Plural
	cl_men_self_female
Model: Qwen/Qwen-14B, Accuracy: 87.50000, Average Perplexity (Good Sentences): -395.75000, Average Perplexity (Bad Sentences): -578.00000
0: good sentence 0, PPL: -333.25000
1: bad sentence 0, PPL: -330.50000
2: good sentence 1, PPL: -370.25000
3: bad sentence 1, PPL: -841.00000
4: good sentence 2, PPL: -274.00000
5: bad sentence 2, PPL: -315.50000
6: good sentence 3, PPL: -1118.00000
7: bad sentence 3, PPL: -1292.00000
8: good sentence 4, PPL: -994.50000
9: bad sentence 4, PPL: -975.50000
10: good sentence 5, PPL: -330.50000
11: bad sentence 5, PPL: -488.50000
12: good sentence 6, PPL: -309.25000
13: bad sentence 6, PPL: -432.75000
14: good sentence 7, PPL: -711.00000
15: bad sentence 7, PPL: -905.50000
16: good sentence 8, PPL: -675.50000
17: bad sentence 8, PPL: -745.00000
18: good sentence 9, PPL: -324.25000
19: bad sentence 9, PPL: -406.50000
20: good sentence 10, PPL: -520.00000
21: bad sentence 10, PPL: -416.25000
22: good sentence 11, PPL: -1436.00000
23: bad sentence 11, PPL: -1453.00000
24: good sentence 12, PPL: -439.75000
25: bad sentence 12, PPL: -426.00000
26: good sentence 13, PPL: -218.50000
27: bad sentence 13, PPL: -257.50000
28: good sentence 14, PPL: -857.50000
29: bad sentence 14, PPL: -790.00000
30: good sentence 15, PPL: -190.62500
31: bad sentence 15, PPL: -217.62500
32: good sentence 16, PPL: -237.12500
33: bad sentence 16, PPL: -350.50000
34: good sentence 17, PPL: -510.00000
35: bad sentence 17, PPL: -534.50000
36: good sentence 18, PPL: -196.62500
37: bad sentence 18, PPL: -299.75000
38: good sentence 19, PPL: -215.12500
39: bad sentence 19, PPL: -204.50000
40: good sentence 20, PPL: -1014.00000
41: bad sentence 20, PPL: -1181.00000
42: good sentence 21, PPL: -673.00000
43: bad sentence 21, PPL: -871.00000
44: good sentence 22, PPL: -304.50000
45: bad sentence 22, PPL: -320.50000
46: good sentence 23, PPL: -250.50000
47: bad sentence 23, PPL: -341.00000
48: good sentence 24, PPL: -477.25000
49: bad sentence 24, PPL: -739.00000
50: good sentence 25, PPL: -85.56250
51: bad sentence 25, PPL: -131.50000
52: good sentence 26, PPL: -547.00000
53: bad sentence 26, PPL: -787.00000
54: good sentence 27, PPL: -502.00000
55: bad sentence 27, PPL: -469.75000
56: good sentence 28, PPL: -508.00000
57: bad sentence 28, PPL: -566.50000
58: good sentence 29, PPL: -241.87500
59: bad sentence 29, PPL: -411.50000
60: good sentence 30, PPL: -247.62500
61: bad sentence 30, PPL: -400.25000
62: good sentence 31, PPL: -373.00000
63: bad sentence 31, PPL: -508.00000
64: good sentence 32, PPL: -725.00000
65: bad sentence 32, PPL: -912.50000
66: good sentence 33, PPL: -705.50000
67: bad sentence 33, PPL: -733.50000
68: good sentence 34, PPL: -824.50000
69: bad sentence 34, PPL: -802.50000
70: good sentence 35, PPL: -184.75000
71: bad sentence 35, PPL: -281.75000
72: good sentence 36, PPL: -421.25000
73: bad sentence 36, PPL: -532.50000
74: good sentence 37, PPL: -368.75000
75: bad sentence 37, PPL: -444.75000
76: good sentence 38, PPL: -217.62500
77: bad sentence 38, PPL: -281.75000
78: good sentence 39, PPL: -2164.00000
79: bad sentence 39, PPL: -1940.00000
80: good sentence 40, PPL: -395.75000
81: bad sentence 40, PPL: -502.00000
82: good sentence 41, PPL: -888.00000
83: bad sentence 41, PPL: -1365.00000
84: good sentence 42, PPL: -230.75000
85: bad sentence 42, PPL: -350.50000
86: good sentence 43, PPL: -346.50000
87: bad sentence 43, PPL: -469.75000
88: good sentence 44, PPL: -188.37500
89: bad sentence 44, PPL: -279.50000
90: good sentence 45, PPL: -127.93750
91: bad sentence 45, PPL: -190.62500
92: good sentence 46, PPL: -258.50000
93: bad sentence 46, PPL: -386.50000
94: good sentence 47, PPL: -815.00000
95: bad sentence 47, PPL: -745.00000
96: good sentence 48, PPL: -132.00000
97: bad sentence 48, PPL: -206.87500
98: good sentence 49, PPL: -613.00000
99: bad sentence 49, PPL: -867.50000
100: good sentence 50, PPL: -874.50000
101: bad sentence 50, PPL: -1257.00000
102: good sentence 51, PPL: -2340.00000
103: bad sentence 51, PPL: -2242.00000
104: good sentence 52, PPL: -949.00000
105: bad sentence 52, PPL: -930.50000
106: good sentence 53, PPL: -339.75000
