DefinitenessEffect
	definiteness_every
Model: Qwen/Qwen-14B, Accuracy: 88.00000, Average Perplexity (Good Sentences): -313.00000, Average Perplexity (Bad Sentences): -1110.00000
0: good sentence 0, PPL: -147.25000
1: bad sentence 0, PPL: -195.12500
2: good sentence 1, PPL: -39.62500
3: bad sentence 1, PPL: -182.50000
4: good sentence 2, PPL: -70.37500
5: bad sentence 2, PPL: -524.00000
6: good sentence 3, PPL: -385.00000
7: bad sentence 3, PPL: -1118.00000
8: good sentence 4, PPL: -246.62500
9: bad sentence 4, PPL: -481.00000
10: good sentence 5, PPL: -8040.00000
11: bad sentence 5, PPL: -8168.00000
12: good sentence 6, PPL: -578.00000
13: bad sentence 6, PPL: -386.50000
14: good sentence 7, PPL: -422.75000
15: bad sentence 7, PPL: -1097.00000
16: good sentence 8, PPL: -874.50000
17: bad sentence 8, PPL: -1338.00000
18: good sentence 9, PPL: -44.81250
19: bad sentence 9, PPL: -436.25000
20: good sentence 10, PPL: -91.81250
21: bad sentence 10, PPL: -905.50000
22: good sentence 11, PPL: -486.75000
23: bad sentence 11, PPL: -1046.00000
24: good sentence 12, PPL: -438.00000
25: bad sentence 12, PPL: -272.00000
26: good sentence 13, PPL: -1071.00000
27: bad sentence 13, PPL: -2358.00000
28: good sentence 14, PPL: -389.50000
29: bad sentence 14, PPL: -4236.00000
30: good sentence 15, PPL: -455.25000
31: bad sentence 15, PPL: -891.50000
32: good sentence 16, PPL: -55.03125
33: bad sentence 16, PPL: -345.00000
34: good sentence 17, PPL: -114.68750
35: bad sentence 17, PPL: -573.50000
36: good sentence 18, PPL: -260.50000
37: bad sentence 18, PPL: -4544.00000
38: good sentence 19, PPL: -122.06250
39: bad sentence 19, PPL: -364.50000
40: good sentence 20, PPL: -321.75000
41: bad sentence 20, PPL: -1822.00000
42: good sentence 21, PPL: -799.00000
43: bad sentence 21, PPL: -2800.00000
44: good sentence 22, PPL: -270.75000
45: bad sentence 22, PPL: -4404.00000
46: good sentence 23, PPL: -172.12500
47: bad sentence 23, PPL: -1365.00000
48: good sentence 24, PPL: -189.12500
49: bad sentence 24, PPL: -1752.00000
50: good sentence 25, PPL: -1080.00000
51: bad sentence 25, PPL: -4204.00000
52: good sentence 26, PPL: -103.18750
53: bad sentence 26, PPL: -1131.00000
54: good sentence 27, PPL: -471.75000
55: bad sentence 27, PPL: -971.50000
56: good sentence 28, PPL: -949.00000
57: bad sentence 28, PPL: -700.00000
58: good sentence 29, PPL: -62.59375
59: bad sentence 29, PPL: -279.50000
60: good sentence 30, PPL: -956.50000
61: bad sentence 30, PPL: -2778.00000
62: good sentence 31, PPL: -409.75000
63: bad sentence 31, PPL: -2834.00000
64: good sentence 32, PPL: -532.50000
65: bad sentence 32, PPL: -1436.00000
66: good sentence 33, PPL: -1092.00000
67: bad sentence 33, PPL: -453.50000
68: good sentence 34, PPL: -3124.00000
69: bad sentence 34, PPL: -11072.00000
70: good sentence 35, PPL: -101.18750
71: bad sentence 35, PPL: -912.50000
72: good sentence 36, PPL: -490.50000
73: bad sentence 36, PPL: -5152.00000
74: good sentence 37, PPL: -100.81250
75: bad sentence 37, PPL: -594.00000
76: good sentence 38, PPL: -429.50000
77: bad sentence 38, PPL: -3652.00000
78: good sentence 39, PPL: -18544.00000
79: bad sentence 39, PPL: -2768.00000
80: good sentence 40, PPL: -4652.00000
81: bad sentence 40, PPL: -17840.00000
82: good sentence 41, PPL: -331.75000
83: bad sentence 41, PPL: -909.00000
84: good sentence 42, PPL: -1063.00000
85: bad sentence 42, PPL: -564.50000
86: good sentence 43, PPL: -3798.00000
87: bad sentence 43, PPL: -1059.00000
88: good sentence 44, PPL: -1318.00000
89: bad sentence 44, PPL: -10488.00000
90: good sentence 45, PPL: -432.75000
91: bad sentence 45, PPL: -1910.00000
92: good sentence 46, PPL: -85.25000
93: bad sentence 46, PPL: -138.87500
94: good sentence 47, PPL: -99.62500
95: bad sentence 47, PPL: -379.00000
96: good sentence 48, PPL: -683.50000
97: bad sentence 48, PPL: -805.50000
98: good sentence 49, PPL: -582.50000
99: bad sentence 49, PPL: -6068.00000
100: good sentence 50, PPL: -949.00000
101: bad sentence 50, PPL: -2098.00000
102: good sentence 51, PPL: -46.43750
103: bad sentence 51, PPL: -383.50000
104: good sentence 52, PPL: -121.62500
105: bad sentence 52, PPL: -460.75000
106: good sentence 53, PPL: -1940.00000
107: bad sentence 53, PPL: -20368.00000
108: good sentence 54, PPL: -263.50000
109: bad sentence 54, PPL: -971.50000
110: good sentence 55, PPL: -330.50000
111: bad sentence 55, PPL: -1318.00000
112: good sentence 56, PPL: -54.59375
113: bad sentence 56, PPL: -222.75000
114: good sentence 57, PPL: -231.62500
115: bad sentence 57, PPL: -439.75000
116: good sentence 58, PPL: -31.04688
117: bad sentence 58, PPL: -257.50000
118: good sentence 59, PPL: -53.96875
119: bad sentence 59, PPL: -361.75000
120: good sentence 60, PPL: -74.06250
121: bad sentence 60, PPL: -394.00000
122: good sentence 61, PPL: -5524.00000
123: bad sentence 61, PPL: -18848.00000
124: good sentence 62, PPL: -195.12500
125: bad sentence 62, PPL: -834.50000
126: good sentence 63, PPL: -102.81250
127: bad sentence 63, PPL: -265.50000
128: good sentence 64, PPL: -1118.00000
129: bad sentence 64, PPL: -22896.00000
130: good sentence 65, PPL: -812.00000
131: bad sentence 65, PPL: -1318.00000
132: good sentence 66, PPL: -429.50000
133: bad sentence 66, PPL: -3300.00000
134: good sentence 67, PPL: -34.50000
135: bad sentence 67, PPL: -264.50000
136: good sentence 68, PPL: -283.75000
137: bad sentence 68, PPL: -1947.00000
138: good sentence 69, PPL: -1333.00000
139: bad sentence 69, PPL: -2442.00000
140: good sentence 70, PPL: -494.25000
141: bad sentence 70, PPL: -1105.00000
