Plural
	baseline_cl_female
Model: 01-ai/Yi-6B, Accuracy: 29.40000, Average Perplexity (Good Sentences): -415.62711, Average Perplexity (Bad Sentences): -406.06281
0: good sentence 0, PPL: -318.41779
1: bad sentence 0, PPL: -325.23352
2: good sentence 1, PPL: -84.93210
3: bad sentence 1, PPL: -73.98717
4: good sentence 2, PPL: -730.89673
5: bad sentence 2, PPL: -385.44449
6: good sentence 3, PPL: -464.96252
7: bad sentence 3, PPL: -633.43390
8: good sentence 4, PPL: -202.10017
9: bad sentence 4, PPL: -196.47154
10: good sentence 5, PPL: -190.58400
11: bad sentence 5, PPL: -310.30124
12: good sentence 6, PPL: -297.67859
13: bad sentence 6, PPL: -215.17596
14: good sentence 7, PPL: -161.00964
15: bad sentence 7, PPL: -120.49289
16: good sentence 8, PPL: -429.08298
17: bad sentence 8, PPL: -327.98465
18: good sentence 9, PPL: -1036.03601
19: bad sentence 9, PPL: -1028.10291
20: good sentence 10, PPL: -484.07138
21: bad sentence 10, PPL: -387.97424
22: good sentence 11, PPL: -73.09071
23: bad sentence 11, PPL: -104.89090
24: good sentence 12, PPL: -321.04788
25: bad sentence 12, PPL: -256.54111
26: good sentence 13, PPL: -322.41602
27: bad sentence 13, PPL: -234.08041
28: good sentence 14, PPL: -1027.21753
29: bad sentence 14, PPL: -1078.21716
30: good sentence 15, PPL: -248.06244
31: bad sentence 15, PPL: -142.55525
32: good sentence 16, PPL: -306.00162
33: bad sentence 16, PPL: -244.36604
34: good sentence 17, PPL: -260.64963
35: bad sentence 17, PPL: -203.13194
36: good sentence 18, PPL: -496.57666
37: bad sentence 18, PPL: -329.04990
38: good sentence 19, PPL: -591.85529
39: bad sentence 19, PPL: -353.09744
40: good sentence 20, PPL: -770.42633
41: bad sentence 20, PPL: -476.02032
42: good sentence 21, PPL: -510.82825
43: bad sentence 21, PPL: -405.40945
44: good sentence 22, PPL: -654.64819
45: bad sentence 22, PPL: -563.11627
46: good sentence 23, PPL: -436.20782
47: bad sentence 23, PPL: -334.34595
48: good sentence 24, PPL: -1916.99219
49: bad sentence 24, PPL: -1614.09387
50: good sentence 25, PPL: -362.86627
51: bad sentence 25, PPL: -845.23969
52: good sentence 26, PPL: -472.11798
53: bad sentence 26, PPL: -408.45862
54: good sentence 27, PPL: -264.96060
55: bad sentence 27, PPL: -209.95642
56: good sentence 28, PPL: -591.46002
57: bad sentence 28, PPL: -568.11090
58: good sentence 29, PPL: -1048.07153
59: bad sentence 29, PPL: -939.05890
60: good sentence 30, PPL: -325.41257
61: bad sentence 30, PPL: -727.46564
62: good sentence 31, PPL: -1310.36377
63: bad sentence 31, PPL: -1119.68481
64: good sentence 32, PPL: -422.41010
65: bad sentence 32, PPL: -387.45047
66: good sentence 33, PPL: -284.95450
67: bad sentence 33, PPL: -311.14474
68: good sentence 34, PPL: -472.25757
69: bad sentence 34, PPL: -371.02158
70: good sentence 35, PPL: -822.51764
71: bad sentence 35, PPL: -573.43250
72: good sentence 36, PPL: -256.47336
73: bad sentence 36, PPL: -242.73935
74: good sentence 37, PPL: -731.23486
75: bad sentence 37, PPL: -630.31421
76: good sentence 38, PPL: -125.49194
77: bad sentence 38, PPL: -112.38822
78: good sentence 39, PPL: -338.14825
79: bad sentence 39, PPL: -278.97324
80: good sentence 40, PPL: -74.57364
81: bad sentence 40, PPL: -70.22020
82: good sentence 41, PPL: -610.45703
83: bad sentence 41, PPL: -544.64758
84: good sentence 42, PPL: -541.31073
85: bad sentence 42, PPL: -396.64218
86: good sentence 43, PPL: -518.24628
87: bad sentence 43, PPL: -458.45255
88: good sentence 44, PPL: -189.25177
89: bad sentence 44, PPL: -418.16608
90: good sentence 45, PPL: -213.95476
91: bad sentence 45, PPL: -447.99463
92: good sentence 46, PPL: -131.84589
93: bad sentence 46, PPL: -242.09837
94: good sentence 47, PPL: -529.63251
95: bad sentence 47, PPL: -412.46033
96: good sentence 48, PPL: -827.00214
97: bad sentence 48, PPL: -680.54010
98: good sentence 49, PPL: -615.06543
99: bad sentence 49, PPL: -394.37476
100: good sentence 50, PPL: -687.59229
101: bad sentence 50, PPL: -423.42990
102: good sentence 51, PPL: -1228.11475
103: bad sentence 51, PPL: -955.74274
104: good sentence 52, PPL: -484.35605
105: bad sentence 52, PPL: -438.54199
106: good sentence 53, PPL: -377.45169
107: bad sentence 53, PPL: -305.26550
108: good sentence 54, PPL: -234.56981
109: bad sentence 54, PPL: -277.60739
110: good sentence 55, PPL: -554.80457
111: bad sentence 55, PPL: -415.25827
112: good sentence 56, PPL: -176.50420
113: bad sentence 56, PPL: -522.77490
114: good sentence 57, PPL: -741.11139
115: bad sentence 57, PPL: -637.89990
116: good sentence 58, PPL: -467.37299
117: bad sentence 58, PPL: -887.91760
118: good sentence 59, PPL: -289.70599
119: bad sentence 59, PPL: -241.08221
120: good sentence 60, PPL: -225.18549
121: bad sentence 60, PPL: -498.88004
122: good sentence 61, PPL: -458.05396
123: bad sentence 61, PPL: -314.51987
124: good sentence 62, PPL: -1437.76965
