Plural
	baseline_cl_male
Model: 01-ai/Yi-6B, Accuracy: 47.60000, Average Perplexity (Good Sentences): -430.80487, Average Perplexity (Bad Sentences): -491.21518
0: good sentence 0, PPL: -297.18762
1: bad sentence 0, PPL: -332.09415
2: good sentence 1, PPL: -188.07329
3: bad sentence 1, PPL: -94.10007
4: good sentence 2, PPL: -597.88806
5: bad sentence 2, PPL: -544.08069
6: good sentence 3, PPL: -365.57803
7: bad sentence 3, PPL: -495.20547
8: good sentence 4, PPL: -261.52609
9: bad sentence 4, PPL: -292.25275
10: good sentence 5, PPL: -211.38066
11: bad sentence 5, PPL: -534.96069
12: good sentence 6, PPL: -295.53308
13: bad sentence 6, PPL: -237.29773
14: good sentence 7, PPL: -122.38319
15: bad sentence 7, PPL: -115.44096
16: good sentence 8, PPL: -507.22556
17: bad sentence 8, PPL: -429.58371
18: good sentence 9, PPL: -1118.30762
19: bad sentence 9, PPL: -1122.00598
20: good sentence 10, PPL: -444.12244
21: bad sentence 10, PPL: -446.20401
22: good sentence 11, PPL: -92.52697
23: bad sentence 11, PPL: -167.32370
24: good sentence 12, PPL: -329.39493
25: bad sentence 12, PPL: -322.06647
26: good sentence 13, PPL: -213.32318
27: bad sentence 13, PPL: -204.91380
28: good sentence 14, PPL: -1268.18005
29: bad sentence 14, PPL: -1504.53955
30: good sentence 15, PPL: -192.97211
31: bad sentence 15, PPL: -146.64983
32: good sentence 16, PPL: -392.92715
33: bad sentence 16, PPL: -343.48514
34: good sentence 17, PPL: -302.60925
35: bad sentence 17, PPL: -243.92226
36: good sentence 18, PPL: -384.25333
37: bad sentence 18, PPL: -319.72607
38: good sentence 19, PPL: -751.88641
39: bad sentence 19, PPL: -494.40067
40: good sentence 20, PPL: -679.64307
41: bad sentence 20, PPL: -528.68433
42: good sentence 21, PPL: -401.09518
43: bad sentence 21, PPL: -444.31693
44: good sentence 22, PPL: -782.19836
45: bad sentence 22, PPL: -722.09393
46: good sentence 23, PPL: -296.63559
47: bad sentence 23, PPL: -268.26688
48: good sentence 24, PPL: -1870.01978
49: bad sentence 24, PPL: -1576.26807
50: good sentence 25, PPL: -468.48438
51: bad sentence 25, PPL: -1216.26562
52: good sentence 26, PPL: -511.37683
53: bad sentence 26, PPL: -521.05920
54: good sentence 27, PPL: -292.91559
55: bad sentence 27, PPL: -283.36740
56: good sentence 28, PPL: -740.32556
57: bad sentence 28, PPL: -614.55945
58: good sentence 29, PPL: -1055.60046
59: bad sentence 29, PPL: -1033.84595
60: good sentence 30, PPL: -473.82639
61: bad sentence 30, PPL: -1286.84692
62: good sentence 31, PPL: -1516.69348
63: bad sentence 31, PPL: -1292.13489
64: good sentence 32, PPL: -447.32132
65: bad sentence 32, PPL: -463.87189
66: good sentence 33, PPL: -333.61371
67: bad sentence 33, PPL: -360.62009
68: good sentence 34, PPL: -484.20761
69: bad sentence 34, PPL: -422.80368
70: good sentence 35, PPL: -775.10565
71: bad sentence 35, PPL: -511.13770
72: good sentence 36, PPL: -347.93808
73: bad sentence 36, PPL: -302.07281
74: good sentence 37, PPL: -576.92114
75: bad sentence 37, PPL: -607.89478
76: good sentence 38, PPL: -153.35623
77: bad sentence 38, PPL: -147.85844
78: good sentence 39, PPL: -362.20883
79: bad sentence 39, PPL: -332.25381
80: good sentence 40, PPL: -145.97392
81: bad sentence 40, PPL: -94.50490
82: good sentence 41, PPL: -669.36346
83: bad sentence 41, PPL: -646.23132
84: good sentence 42, PPL: -643.14191
85: bad sentence 42, PPL: -566.72015
86: good sentence 43, PPL: -643.51978
87: bad sentence 43, PPL: -707.71588
88: good sentence 44, PPL: -146.91873
89: bad sentence 44, PPL: -387.59018
90: good sentence 45, PPL: -235.42589
91: bad sentence 45, PPL: -535.18365
92: good sentence 46, PPL: -149.40367
93: bad sentence 46, PPL: -300.73032
94: good sentence 47, PPL: -674.40619
95: bad sentence 47, PPL: -602.33807
96: good sentence 48, PPL: -1002.02917
97: bad sentence 48, PPL: -872.39734
98: good sentence 49, PPL: -860.37268
99: bad sentence 49, PPL: -626.89630
100: good sentence 50, PPL: -556.99011
101: bad sentence 50, PPL: -475.57159
102: good sentence 51, PPL: -1219.21936
103: bad sentence 51, PPL: -1131.67822
104: good sentence 52, PPL: -518.71625
105: bad sentence 52, PPL: -540.05518
106: good sentence 53, PPL: -395.80954
107: bad sentence 53, PPL: -358.34271
108: good sentence 54, PPL: -466.72403
109: bad sentence 54, PPL: -387.16660
110: good sentence 55, PPL: -499.99835
111: bad sentence 55, PPL: -513.09741
112: good sentence 56, PPL: -228.92316
113: bad sentence 56, PPL: -614.41205
114: good sentence 57, PPL: -743.16742
115: bad sentence 57, PPL: -722.95459
116: good sentence 58, PPL: -573.62939
117: bad sentence 58, PPL: -1664.29944
118: good sentence 59, PPL: -314.38068
119: bad sentence 59, PPL: -295.31897
120: good sentence 60, PPL: -306.59445
121: bad sentence 60, PPL: -758.74139
122: good sentence 61, PPL: -583.87561
123: bad sentence 61, PPL: -398.32962
124: good sentence 62, PPL: -1048.25208
125: bad sentence 62, PPL: -1021.48212
126: good sentence 63, PPL: -583.83417
127: bad sentence 63, PPL: -541.82617
128: good sentence 64, PPL: -876.11127
129: bad sentence 64, PPL: -924.01007
130: good sentence 65, PPL: -199.97427
131: bad sentence 65, PPL: -164.50665
