Plural
	baseline_cl_men_female
Model: 01-ai/Yi-6B, Accuracy: 25.30000, Average Perplexity (Good Sentences): -479.72501, Average Perplexity (Bad Sentences): -454.73801
0: good sentence 0, PPL: -1013.22314
1: bad sentence 0, PPL: -900.57532
2: good sentence 1, PPL: -636.82251
3: bad sentence 1, PPL: -537.51428
4: good sentence 2, PPL: -430.72519
5: bad sentence 2, PPL: -393.38928
6: good sentence 3, PPL: -390.14648
7: bad sentence 3, PPL: -331.54019
8: good sentence 4, PPL: -1016.97485
9: bad sentence 4, PPL: -894.01837
10: good sentence 5, PPL: -369.69196
11: bad sentence 5, PPL: -238.91562
12: good sentence 6, PPL: -786.67578
13: bad sentence 6, PPL: -640.60791
14: good sentence 7, PPL: -472.07092
15: bad sentence 7, PPL: -550.60962
16: good sentence 8, PPL: -433.13327
17: bad sentence 8, PPL: -466.39410
18: good sentence 9, PPL: -422.40970
19: bad sentence 9, PPL: -302.32138
20: good sentence 10, PPL: -480.89993
21: bad sentence 10, PPL: -366.08041
22: good sentence 11, PPL: -398.77243
23: bad sentence 11, PPL: -387.93167
24: good sentence 12, PPL: -420.01138
25: bad sentence 12, PPL: -261.52847
26: good sentence 13, PPL: -128.49756
27: bad sentence 13, PPL: -170.24701
28: good sentence 14, PPL: -1238.49304
29: bad sentence 14, PPL: -839.28204
30: good sentence 15, PPL: -160.61819
31: bad sentence 15, PPL: -298.71118
32: good sentence 16, PPL: -477.99329
33: bad sentence 16, PPL: -545.51233
34: good sentence 17, PPL: -1295.07593
35: bad sentence 17, PPL: -1141.51489
36: good sentence 18, PPL: -290.79660
37: bad sentence 18, PPL: -262.75833
38: good sentence 19, PPL: -225.16553
39: bad sentence 19, PPL: -373.07437
40: good sentence 20, PPL: -1101.76758
41: bad sentence 20, PPL: -1306.54419
42: good sentence 21, PPL: -1235.96399
43: bad sentence 21, PPL: -733.63452
44: good sentence 22, PPL: -680.71796
45: bad sentence 22, PPL: -608.19830
46: good sentence 23, PPL: -475.59335
47: bad sentence 23, PPL: -814.94812
48: good sentence 24, PPL: -554.56915
49: bad sentence 24, PPL: -544.08795
50: good sentence 25, PPL: -154.31696
51: bad sentence 25, PPL: -150.54193
52: good sentence 26, PPL: -908.43097
53: bad sentence 26, PPL: -633.32251
54: good sentence 27, PPL: -773.70245
55: bad sentence 27, PPL: -688.29553
56: good sentence 28, PPL: -771.27911
57: bad sentence 28, PPL: -632.57214
58: good sentence 29, PPL: -360.58536
59: bad sentence 29, PPL: -768.86700
60: good sentence 30, PPL: -266.52673
61: bad sentence 30, PPL: -580.39587
62: good sentence 31, PPL: -608.16870
63: bad sentence 31, PPL: -424.61395
64: good sentence 32, PPL: -275.35327
65: bad sentence 32, PPL: -249.40898
66: good sentence 33, PPL: -475.05573
67: bad sentence 33, PPL: -922.83832
68: good sentence 34, PPL: -1751.27197
69: bad sentence 34, PPL: -1722.83911
70: good sentence 35, PPL: -282.20856
71: bad sentence 35, PPL: -304.66364
72: good sentence 36, PPL: -662.83319
73: bad sentence 36, PPL: -351.95670
74: good sentence 37, PPL: -402.95624
75: bad sentence 37, PPL: -666.64825
76: good sentence 38, PPL: -262.50861
77: bad sentence 38, PPL: -219.70198
78: good sentence 39, PPL: -694.00287
79: bad sentence 39, PPL: -740.56671
80: good sentence 40, PPL: -418.21411
81: bad sentence 40, PPL: -316.17947
82: good sentence 41, PPL: -929.65503
83: bad sentence 41, PPL: -689.66919
84: good sentence 42, PPL: -340.55719
85: bad sentence 42, PPL: -336.68320
86: good sentence 43, PPL: -404.02365
87: bad sentence 43, PPL: -773.25659
88: good sentence 44, PPL: -510.93253
89: bad sentence 44, PPL: -492.78940
90: good sentence 45, PPL: -117.19657
91: bad sentence 45, PPL: -182.90279
92: good sentence 46, PPL: -271.50824
93: bad sentence 46, PPL: -256.29803
94: good sentence 47, PPL: -930.73511
95: bad sentence 47, PPL: -859.98926
96: good sentence 48, PPL: -140.92232
97: bad sentence 48, PPL: -289.70325
98: good sentence 49, PPL: -861.39655
99: bad sentence 49, PPL: -680.17706
100: good sentence 50, PPL: -1234.49744
101: bad sentence 50, PPL: -1267.28345
102: good sentence 51, PPL: -1592.01538
103: bad sentence 51, PPL: -964.88446
104: good sentence 52, PPL: -1442.83813
105: bad sentence 52, PPL: -809.88654
106: good sentence 53, PPL: -534.77374
107: bad sentence 53, PPL: -418.89429
108: good sentence 54, PPL: -193.70253
109: bad sentence 54, PPL: -322.62424
110: good sentence 55, PPL: -421.66190
111: bad sentence 55, PPL: -392.26746
112: good sentence 56, PPL: -388.10486
113: bad sentence 56, PPL: -313.38196
114: good sentence 57, PPL: -1830.00415
115: bad sentence 57, PPL: -1415.10376
116: good sentence 58, PPL: -461.88123
117: bad sentence 58, PPL: -465.45654
118: good sentence 59, PPL: -497.03860
119: bad sentence 59, PPL: -857.59406
120: good sentence 60, PPL: -1698.86975
121: bad sentence 60, PPL: -1120.30750
122: good sentence 61, PPL: -128.42931
123: bad sentence 61, PPL: -195.35175
124: good sentence 62, PPL: -265.58334
125: bad sentence 62, PPL: -172.47122
126: good sentence 63, PPL: -380.82227
127: bad sentence 63, PPL: -683.19092
128: good sentence 64, PPL: -146.12971
129: bad sentence 64, PPL: -118.08286
130: good sentence 65, PPL: -435.53195
131: bad sentence 65, PPL: -353.13986
132: good sentence 66, PPL: -322.24234
133: bad sentence 66, PPL: -687.28412
134: good sentence 67, PPL: -742.69061
135: bad sentence 67, PPL: -565.30591
136: good sentence 68, PPL: -374.89938
137: bad sentence 68, PPL: -870.47467
138: good sentence 69, PPL: -712.44568
139: bad sentence 69, PPL: -431.39752
140: good sentence 70, PPL: -540.75299
141: bad sentence 70, PPL: -489.26511
142: good sentence 71, PPL: -783.05267
143: bad sentence 71, PPL: -701.95258
144: good sentence 72, PPL: -1659.81213
145: bad sentence 72, PPL: -951.02979
146: good sentence 73, PPL: -450.43390
147: bad sentence 73, PPL: -319.62366
148: good sentence 74, PPL: -518.83252
149: bad sentence 74, PPL: -524.02557
150: good sentence 75, PPL: -444.99200
151: bad sentence 75, PPL: -1040.29333
152: good sentence 76, PPL: -185.96913
153: bad sentence 76, PPL: -161.46381
154: good sentence 77, PPL: -132.86368
155: bad sentence 77, PPL: -223.91560
156: good sentence 78, PPL: -857.95520
157: bad sentence 78, PPL: -698.69836
158: good sentence 79, PPL: -539.58667
159: bad sentence 79, PPL: -477.30771
160: good sentence 80, PPL: -633.79736
161: bad sentence 80, PPL: -487.25122
162: good sentence 81, PPL: -271.97614
163: bad sentence 81, PPL: -209.42308
164: good sentence 82, PPL: -545.99738
165: bad sentence 82, PPL: -597.84247
166: good sentence 83, PPL: -73.63275
167: bad sentence 83, PPL: -107.54131
168: good sentence 84, PPL: -308.62360
169: bad sentence 84, PPL: -200.68698
170: good sentence 85, PPL: -434.98050
171: bad sentence 85, PPL: -1033.31799
172: good sentence 86, PPL: -543.50427
173: bad sentence 86, PPL: -530.29791
174: good sentence 87, PPL: -152.99074
175: bad sentence 87, PPL: -132.52075
176: good sentence 88, PPL: -837.39441
177: bad sentence 88, PPL: -591.73425
178: good sentence 89, PPL: -637.55444
179: bad sentence 89, PPL: -478.81998
180: good sentence 90, PPL: -741.82452
181: bad sentence 90, PPL: -1959.80969
182: good sentence 91, PPL: -430.04813
183: bad sentence 91, PPL: -398.62512
184: good sentence 92, PPL: -1090.84204
185: bad sentence 92, PPL: -868.99622
186: good sentence 93, PPL: -504.91928
187: bad sentence 93, PPL: -399.27075
188: good sentence 94, PPL: -183.18866
189: bad sentence 94, PPL: -162.76672
190: good sentence 95, PPL: -429.29886
191: bad sentence 95, PPL: -303.24686
192: good sentence 96, PPL: -306.34442
193: bad sentence 96, PPL: -248.31273
194: good sentence 97, PPL: -640.89484
195: bad sentence 97, PPL: -474.48679
196: good sentence 98, PPL: -477.52469
197: bad sentence 98, PPL: -338.51657
198: good sentence 99, PPL: -498.54114
199: bad sentence 99, PPL: -414.89587
200: good sentence 100, PPL: -140.73369
201: bad sentence 100, PPL: -247.03773
202: good sentence 101, PPL: -163.79211
203: bad sentence 101, PPL: -142.38834
204: good sentence 102, PPL: -474.12744
205: bad sentence 102, PPL: -905.56403
206: good sentence 103, PPL: -802.10852
207: bad sentence 103, PPL: -563.54712
208: good sentence 104, PPL: -456.66824
209: bad sentence 104, PPL: -937.44421
210: good sentence 105, PPL: -422.17352
211: bad sentence 105, PPL: -370.76230
212: good sentence 106, PPL: -196.43184
213: bad sentence 106, PPL: -174.00887
214: good sentence 107, PPL: -266.34720
215: bad sentence 107, PPL: -163.27005
216: good sentence 108, PPL: -662.15778
217: bad sentence 108, PPL: -532.86969
218: good sentence 109, PPL: -581.96716
219: bad sentence 109, PPL: -448.93683
220: good sentence 110, PPL: -173.34113
221: bad sentence 110, PPL: -124.84074
222: good sentence 111, PPL: -415.52585
223: bad sentence 111, PPL: -396.64108
224: good sentence 112, PPL: -280.37219
225: bad sentence 112, PPL: -658.06366
226: good sentence 113, PPL: -978.92780
227: bad sentence 113, PPL: -780.54266
228: good sentence 114, PPL: -713.32233
229: bad sentence 114, PPL: -552.04980
230: good sentence 115, PPL: -446.83890
231: bad sentence 115, PPL: -350.63440
232: good sentence 116, PPL: -432.22214
233: bad sentence 116, PPL: -399.07092
234: good sentence 117, PPL: -548.80627
235: bad sentence 117, PPL: -417.25165
236: good sentence 118, PPL: -693.86823
237: bad sentence 118, PPL: -496.09482
238: good sentence 119, PPL: -459.58786
239: bad sentence 119, PPL: -1017.98456
240: good sentence 120, PPL: -833.81079
241: bad sentence 120, PPL: -751.44592
242: good sentence 121, PPL: -637.80200
243: bad sentence 121, PPL: -495.75003
244: good sentence 122, PPL: -810.48114
245: bad sentence 122, PPL: -743.63428
246: good sentence 123, PPL: -765.35181
247: bad sentence 123, PPL: -519.39691
248: good sentence 124, PPL: -672.91534
249: bad sentence 124, PPL: -449.21259
250: good sentence 125, PPL: -1544.04919
251: bad sentence 125, PPL: -1333.06262
252: good sentence 126, PPL: -650.86047
253: bad sentence 126, PPL: -451.33951
254: good sentence 127, PPL: -367.46503
255: bad sentence 127, PPL: -869.88135
256: good sentence 128, PPL: -358.46420
257: bad sentence 128, PPL: -288.65790
258: good sentence 129, PPL: -71.80643
259: bad sentence 129, PPL: -104.08356
260: good sentence 130, PPL: -641.44330
261: bad sentence 130, PPL: -530.15302
262: good sentence 131, PPL: -212.86206
263: bad sentence 131, PPL: -144.03291
264: good sentence 132, PPL: -446.51157
265: bad sentence 132, PPL: -383.02933
266: good sentence 133, PPL: -652.07483
267: bad sentence 133, PPL: -504.28214
268: good sentence 134, PPL: -406.92188
269: bad sentence 134, PPL: -906.04089
270: good sentence 135, PPL: -346.78693
271: bad sentence 135, PPL: -312.11240
272: good sentence 136, PPL: -184.81250
273: bad sentence 136, PPL: -143.03809
274: good sentence 137, PPL: -357.81320
275: bad sentence 137, PPL: -234.27794
276: good sentence 138, PPL: -422.92346
277: bad sentence 138, PPL: -332.70721
278: good sentence 139, PPL: -140.12219
279: bad sentence 139, PPL: -244.30663
280: good sentence 140, PPL: -679.59869
281: bad sentence 140, PPL: -1439.83398
282: good sentence 141, PPL: -310.63019
283: bad sentence 141, PPL: -503.72961
284: good sentence 142, PPL: -683.24829
285: bad sentence 142, PPL: -551.76263
286: good sentence 143, PPL: -1134.76697
287: bad sentence 143, PPL: -1051.95190
288: good sentence 144, PPL: -512.86182
289: bad sentence 144, PPL: -1193.06799
290: good sentence 145, PPL: -398.19785
291: bad sentence 145, PPL: -671.50342
292: good sentence 146, PPL: -532.89661
293: bad sentence 146, PPL: -1113.99719
294: good sentence 147, PPL: -578.08514
295: bad sentence 147, PPL: -452.90530
296: good sentence 148, PPL: -395.99268
297: bad sentence 148, PPL: -384.36749
298: good sentence 149, PPL: -392.40347
299: bad sentence 149, PPL: -348.95294
300: good sentence 150, PPL: -553.13086
301: bad sentence 150, PPL: -482.72870
302: good sentence 151, PPL: -1353.01111
303: bad sentence 151, PPL: -956.52734
304: good sentence 152, PPL: -561.88403
305: bad sentence 152, PPL: -512.93225
306: good sentence 153, PPL: -282.34290
307: bad sentence 153, PPL: -235.78383
308: good sentence 154, PPL: -1203.10486
309: bad sentence 154, PPL: -888.64526
310: good sentence 155, PPL: -449.41058
311: bad sentence 155, PPL: -1014.14636
312: good sentence 156, PPL: -341.03577
313: bad sentence 156, PPL: -622.42981
314: good sentence 157, PPL: -548.15662
315: bad sentence 157, PPL: -516.71594
316: good sentence 158, PPL: -415.24741
317: bad sentence 158, PPL: -353.33847
318: good sentence 159, PPL: -444.14743
319: bad sentence 159, PPL: -358.83221
320: good sentence 160, PPL: -417.04117
321: bad sentence 160, PPL: -367.72623
322: good sentence 161, PPL: -383.66141
323: bad sentence 161, PPL: -253.06166
324: good sentence 162, PPL: -411.39041
325: bad sentence 162, PPL: -364.58664
326: good sentence 163, PPL: -435.48145
327: bad sentence 163, PPL: -429.99664
328: good sentence 164, PPL: -1186.02478
329: bad sentence 164, PPL: -1118.52686
330: good sentence 165, PPL: -512.18237
331: bad sentence 165, PPL: -418.88708
332: good sentence 166, PPL: -109.06330
333: bad sentence 166, PPL: -158.98387
334: good sentence 167, PPL: -551.84607
335: bad sentence 167, PPL: -486.36215
336: good sentence 168, PPL: -847.75275
337: bad sentence 168, PPL: -702.85797
338: good sentence 169, PPL: -626.51135
339: bad sentence 169, PPL: -580.24640
340: good sentence 170, PPL: -226.18243
341: bad sentence 170, PPL: -266.10458
342: good sentence 171, PPL: -519.27826
343: bad sentence 171, PPL: -403.67761
344: good sentence 172, PPL: -341.75775
345: bad sentence 172, PPL: -538.20801
346: good sentence 173, PPL: -627.94257
347: bad sentence 173, PPL: -450.89938
348: good sentence 174, PPL: -433.41959
349: bad sentence 174, PPL: -422.49936
350: good sentence 175, PPL: -551.55591
351: bad sentence 175, PPL: -352.63809
352: good sentence 176, PPL: -1228.21301
353: bad sentence 176, PPL: -979.71234
354: good sentence 177, PPL: -309.94116
355: bad sentence 177, PPL: -228.03012
356: good sentence 178, PPL: -292.54889
357: bad sentence 178, PPL: -171.13704
358: good sentence 179, PPL: -382.30255
359: bad sentence 179, PPL: -714.79938
360: good sentence 180, PPL: -1016.22980
361: bad sentence 180, PPL: -867.49420
362: good sentence 181, PPL: -836.25836
363: bad sentence 181, PPL: -680.64655
364: good sentence 182, PPL: -538.39368
365: bad sentence 182, PPL: -460.06342
366: good sentence 183, PPL: -197.46768
367: bad sentence 183, PPL: -121.57275
368: good sentence 184, PPL: -437.29410
369: bad sentence 184, PPL: -425.93872
370: good sentence 185, PPL: -339.95996
371: bad sentence 185, PPL: -807.63898
372: good sentence 186, PPL: -395.34366
373: bad sentence 186, PPL: -209.87035
374: good sentence 187, PPL: -192.48245
375: bad sentence 187, PPL: -153.25352
376: good sentence 188, PPL: -309.59509
377: bad sentence 188, PPL: -217.04724
378: good sentence 189, PPL: -340.09796
379: bad sentence 189, PPL: -280.12881
380: good sentence 190, PPL: -819.88348
381: bad sentence 190, PPL: -831.85101
382: good sentence 191, PPL: -2088.33936
383: bad sentence 191, PPL: -1880.67639
384: good sentence 192, PPL: -784.62463
385: bad sentence 192, PPL: -508.28961
386: good sentence 193, PPL: -70.13590
387: bad sentence 193, PPL: -106.81540
388: good sentence 194, PPL: -641.60144
389: bad sentence 194, PPL: -1579.45520
390: good sentence 195, PPL: -255.90408
391: bad sentence 195, PPL: -204.32799
392: good sentence 196, PPL: -885.11700
393: bad sentence 196, PPL: -750.65411
394: good sentence 197, PPL: -636.78546
395: bad sentence 197, PPL: -661.58783
396: good sentence 198, PPL: -298.18933
397: bad sentence 198, PPL: -237.66982
398: good sentence 199, PPL: -281.41934
399: bad sentence 199, PPL: -662.27435
400: good sentence 200, PPL: -698.46222
401: bad sentence 200, PPL: -513.06653
402: good sentence 201, PPL: -849.05255
403: bad sentence 201, PPL: -602.28430
404: good sentence 202, PPL: -1149.44580
405: bad sentence 202, PPL: -810.61450
406: good sentence 203, PPL: -380.78433
407: bad sentence 203, PPL: -1083.84619
408: good sentence 204, PPL: -355.93317
409: bad sentence 204, PPL: -401.49225
410: good sentence 205, PPL: -464.22327
411: bad sentence 205, PPL: -329.72604
412: good sentence 206, PPL: -899.82416
413: bad sentence 206, PPL: -647.05060
414: good sentence 207, PPL: -1137.02014
415: bad sentence 207, PPL: -742.42505
416: good sentence 208, PPL: -488.96237
417: bad sentence 208, PPL: -1003.92786
418: good sentence 209, PPL: -348.60553
419: bad sentence 209, PPL: -697.94482
420: good sentence 210, PPL: -522.17651
421: bad sentence 210, PPL: -445.09793
422: good sentence 211, PPL: -575.38702
423: bad sentence 211, PPL: -497.56812
424: good sentence 212, PPL: -173.96381
425: bad sentence 212, PPL: -299.52289
426: good sentence 213, PPL: -350.99472
