Plural
	baseline_cl_men_male
Model: 01-ai/Yi-6B, Accuracy: 38.90000, Average Perplexity (Good Sentences): -521.33307, Average Perplexity (Bad Sentences): -558.09125
0: good sentence 0, PPL: -1015.72064
1: bad sentence 0, PPL: -1113.88354
2: good sentence 1, PPL: -775.82709
3: bad sentence 1, PPL: -725.08636
4: good sentence 2, PPL: -499.35266
5: bad sentence 2, PPL: -539.70325
6: good sentence 3, PPL: -415.06467
7: bad sentence 3, PPL: -344.30222
8: good sentence 4, PPL: -1039.57874
9: bad sentence 4, PPL: -1169.64551
10: good sentence 5, PPL: -301.95874
11: bad sentence 5, PPL: -232.51729
12: good sentence 6, PPL: -704.50006
13: bad sentence 6, PPL: -661.45599
14: good sentence 7, PPL: -571.04846
15: bad sentence 7, PPL: -652.36029
16: good sentence 8, PPL: -465.47141
17: bad sentence 8, PPL: -458.82761
18: good sentence 9, PPL: -603.77814
19: bad sentence 9, PPL: -415.53180
20: good sentence 10, PPL: -413.52808
21: bad sentence 10, PPL: -376.01477
22: good sentence 11, PPL: -479.40784
23: bad sentence 11, PPL: -436.08972
24: good sentence 12, PPL: -314.88928
25: bad sentence 12, PPL: -275.62308
26: good sentence 13, PPL: -151.52917
27: bad sentence 13, PPL: -243.12694
28: good sentence 14, PPL: -869.79425
29: bad sentence 14, PPL: -765.55469
30: good sentence 15, PPL: -159.11348
31: bad sentence 15, PPL: -333.79654
32: good sentence 16, PPL: -644.24713
33: bad sentence 16, PPL: -732.80072
34: good sentence 17, PPL: -1579.28284
35: bad sentence 17, PPL: -1148.53638
36: good sentence 18, PPL: -264.07571
37: bad sentence 18, PPL: -279.40817
38: good sentence 19, PPL: -203.79797
39: bad sentence 19, PPL: -553.07233
40: good sentence 20, PPL: -1357.73083
41: bad sentence 20, PPL: -1471.73193
42: good sentence 21, PPL: -1228.11353
43: bad sentence 21, PPL: -975.37128
44: good sentence 22, PPL: -994.33472
45: bad sentence 22, PPL: -803.95343
46: good sentence 23, PPL: -606.05432
