Plural
	baseline_men_female
Model: 01-ai/Yi-6B, Accuracy: 28.70000, Average Perplexity (Good Sentences): -698.28302, Average Perplexity (Bad Sentences): -687.32050
0: good sentence 0, PPL: -2003.51074
1: bad sentence 0, PPL: -1481.80652
2: good sentence 1, PPL: -1608.96448
3: bad sentence 1, PPL: -1248.19128
4: good sentence 2, PPL: -972.36774
5: bad sentence 2, PPL: -865.63141
6: good sentence 3, PPL: -549.10907
7: bad sentence 3, PPL: -351.28488
8: good sentence 4, PPL: -410.55914
9: bad sentence 4, PPL: -281.53851
10: good sentence 5, PPL: -342.77728
11: bad sentence 5, PPL: -1117.64819
12: good sentence 6, PPL: -194.22369
13: bad sentence 6, PPL: -395.39099
14: good sentence 7, PPL: -252.02208
15: bad sentence 7, PPL: -260.96490
16: good sentence 8, PPL: -126.82144
17: bad sentence 8, PPL: -265.90610
18: good sentence 9, PPL: -377.70306
19: bad sentence 9, PPL: -379.81921
20: good sentence 10, PPL: -1218.66309
21: bad sentence 10, PPL: -910.11938
22: good sentence 11, PPL: -746.51740
23: bad sentence 11, PPL: -594.23834
24: good sentence 12, PPL: -238.59048
25: bad sentence 12, PPL: -204.50735
26: good sentence 13, PPL: -891.28101
27: bad sentence 13, PPL: -556.38489
28: good sentence 14, PPL: -1450.83118
29: bad sentence 14, PPL: -893.69611
30: good sentence 15, PPL: -373.01901
31: bad sentence 15, PPL: -309.80774
32: good sentence 16, PPL: -958.51807
33: bad sentence 16, PPL: -931.27002
34: good sentence 17, PPL: -701.89838
35: bad sentence 17, PPL: -494.60889
36: good sentence 18, PPL: -1013.45410
37: bad sentence 18, PPL: -632.54291
38: good sentence 19, PPL: -541.63373
39: bad sentence 19, PPL: -309.03461
40: good sentence 20, PPL: -562.90765
41: bad sentence 20, PPL: -399.33817
42: good sentence 21, PPL: -753.14130
43: bad sentence 21, PPL: -537.40460
44: good sentence 22, PPL: -205.01810
45: bad sentence 22, PPL: -215.46161
46: good sentence 23, PPL: -760.02246
47: bad sentence 23, PPL: -681.44183
48: good sentence 24, PPL: -4484.49219
49: bad sentence 24, PPL: -3589.67114
50: good sentence 25, PPL: -835.03546
