Plural
	baseline_men_male
Model: 01-ai/Yi-6B, Accuracy: 41.10000, Average Perplexity (Good Sentences): -705.86731, Average Perplexity (Bad Sentences): -794.53937
0: good sentence 0, PPL: -1273.66333
1: bad sentence 0, PPL: -988.24280
2: good sentence 1, PPL: -1751.21021
3: bad sentence 1, PPL: -1506.92773
4: good sentence 2, PPL: -1004.60114
5: bad sentence 2, PPL: -935.91052
6: good sentence 3, PPL: -797.35248
7: bad sentence 3, PPL: -526.77258
8: good sentence 4, PPL: -550.89594
9: bad sentence 4, PPL: -384.85663
10: good sentence 5, PPL: -387.04092
11: bad sentence 5, PPL: -1306.51807
12: good sentence 6, PPL: -166.13863
13: bad sentence 6, PPL: -455.93326
14: good sentence 7, PPL: -365.76077
15: bad sentence 7, PPL: -321.18860
16: good sentence 8, PPL: -129.55446
17: bad sentence 8, PPL: -300.79947
18: good sentence 9, PPL: -440.99484
19: bad sentence 9, PPL: -387.82111
20: good sentence 10, PPL: -954.48206
21: bad sentence 10, PPL: -890.97076
22: good sentence 11, PPL: -757.68457
23: bad sentence 11, PPL: -673.39813
24: good sentence 12, PPL: -301.30551
25: bad sentence 12, PPL: -701.08221
26: good sentence 13, PPL: -973.35858
27: bad sentence 13, PPL: -733.50269
28: good sentence 14, PPL: -1386.30066
29: bad sentence 14, PPL: -1151.53711
30: good sentence 15, PPL: -390.57626
31: bad sentence 15, PPL: -410.80963
32: good sentence 16, PPL: -912.36145
33: bad sentence 16, PPL: -729.98840
34: good sentence 17, PPL: -717.88043
35: bad sentence 17, PPL: -684.75641
36: good sentence 18, PPL: -1238.13525
37: bad sentence 18, PPL: -944.35486
38: good sentence 19, PPL: -684.78973
39: bad sentence 19, PPL: -450.98087
40: good sentence 20, PPL: -548.99731
41: bad sentence 20, PPL: -1529.15625
42: good sentence 21, PPL: -684.73297
43: bad sentence 21, PPL: -624.74384
44: good sentence 22, PPL: -244.05151
45: bad sentence 22, PPL: -262.80594
46: good sentence 23, PPL: -714.94257
47: bad sentence 23, PPL: -736.42029
48: good sentence 24, PPL: -4532.68311
49: bad sentence 24, PPL: -3569.23389
50: good sentence 25, PPL: -895.88281
51: bad sentence 25, PPL: -1140.70959
52: good sentence 26, PPL: -416.26120
53: bad sentence 26, PPL: -936.52698
54: good sentence 27, PPL: -272.04138
55: bad sentence 27, PPL: -925.33942
56: good sentence 28, PPL: -85.56718
57: bad sentence 28, PPL: -179.59955
58: good sentence 29, PPL: -395.16479
59: bad sentence 29, PPL: -408.45453
60: good sentence 30, PPL: -600.86609
61: bad sentence 30, PPL: -1534.44226
62: good sentence 31, PPL: -2362.02905
63: bad sentence 31, PPL: -1356.22070
64: good sentence 32, PPL: -2219.57495
65: bad sentence 32, PPL: -2425.88452
66: good sentence 33, PPL: -179.11897
67: bad sentence 33, PPL: -423.32050
68: good sentence 34, PPL: -245.39944
69: bad sentence 34, PPL: -306.22421
70: good sentence 35, PPL: -494.33255
71: bad sentence 35, PPL: -512.80365
72: good sentence 36, PPL: -229.05745
73: bad sentence 36, PPL: -720.35065
74: good sentence 37, PPL: -635.23364
75: bad sentence 37, PPL: -2797.96582
76: good sentence 38, PPL: -2590.16553
77: bad sentence 38, PPL: -2156.57104
78: good sentence 39, PPL: -277.04776
79: bad sentence 39, PPL: -280.80594
80: good sentence 40, PPL: -96.37399
81: bad sentence 40, PPL: -98.63695
82: good sentence 41, PPL: -1359.47290
83: bad sentence 41, PPL: -1371.45642
84: good sentence 42, PPL: -430.40714
85: bad sentence 42, PPL: -433.00418
86: good sentence 43, PPL: -647.30273
87: bad sentence 43, PPL: -1535.85938
88: good sentence 44, PPL: -249.64516
89: bad sentence 44, PPL: -557.79352
90: good sentence 45, PPL: -1561.58032
91: bad sentence 45, PPL: -1588.66431
92: good sentence 46, PPL: -1471.47302
93: bad sentence 46, PPL: -1303.66467
94: good sentence 47, PPL: -264.15930
95: bad sentence 47, PPL: -925.72205
96: good sentence 48, PPL: -1284.96338
97: bad sentence 48, PPL: -1266.38403
98: good sentence 49, PPL: -414.77103
99: bad sentence 49, PPL: -377.17642
100: good sentence 50, PPL: -328.69641
101: bad sentence 50, PPL: -308.61682
102: good sentence 51, PPL: -1830.67712
103: bad sentence 51, PPL: -1774.50879
104: good sentence 52, PPL: -1423.62402
105: bad sentence 52, PPL: -1195.41809
106: good sentence 53, PPL: -668.00580
107: bad sentence 53, PPL: -553.91797
108: good sentence 54, PPL: -2203.53638
109: bad sentence 54, PPL: -1860.02661
110: good sentence 55, PPL: -448.26941
111: bad sentence 55, PPL: -1238.97278
112: good sentence 56, PPL: -509.74643
113: bad sentence 56, PPL: -456.11111
114: good sentence 57, PPL: -1641.31592
115: bad sentence 57, PPL: -1157.04004
116: good sentence 58, PPL: -252.79671
117: bad sentence 58, PPL: -274.42969
118: good sentence 59, PPL: -726.59302
119: bad sentence 59, PPL: -878.09412
120: good sentence 60, PPL: -668.48499
121: bad sentence 60, PPL: -417.93661
122: good sentence 61, PPL: -1563.17468
123: bad sentence 61, PPL: -1606.51196
124: good sentence 62, PPL: -617.98108
125: bad sentence 62, PPL: -317.21829
126: good sentence 63, PPL: -397.69897
127: bad sentence 63, PPL: -290.87094
128: good sentence 64, PPL: -1133.15723
129: bad sentence 64, PPL: -5927.84521
130: good sentence 65, PPL: -1968.47485
131: bad sentence 65, PPL: -1542.96436
132: good sentence 66, PPL: -509.47574
133: bad sentence 66, PPL: -1649.71069
134: good sentence 67, PPL: -590.40674
135: bad sentence 67, PPL: -338.20016
136: good sentence 68, PPL: -452.61041
137: bad sentence 68, PPL: -721.65125
138: good sentence 69, PPL: -1113.68750
139: bad sentence 69, PPL: -2661.14014
140: good sentence 70, PPL: -1799.28882
141: bad sentence 70, PPL: -1133.13611
142: good sentence 71, PPL: -1184.25256
143: bad sentence 71, PPL: -1096.39368
144: good sentence 72, PPL: -1295.32483
145: bad sentence 72, PPL: -1243.19336
146: good sentence 73, PPL: -748.62341
147: bad sentence 73, PPL: -598.61316
148: good sentence 74, PPL: -1478.58801
149: bad sentence 74, PPL: -1316.58740
150: good sentence 75, PPL: -573.42480
151: bad sentence 75, PPL: -375.50983
152: good sentence 76, PPL: -1857.04077
153: bad sentence 76, PPL: -1349.21057
154: good sentence 77, PPL: -568.78961
155: bad sentence 77, PPL: -697.25525
156: good sentence 78, PPL: -787.16022
157: bad sentence 78, PPL: -815.98254
158: good sentence 79, PPL: -152.97906
159: bad sentence 79, PPL: -344.83868
160: good sentence 80, PPL: -249.58611
161: bad sentence 80, PPL: -185.55980
162: good sentence 81, PPL: -2332.81812
163: bad sentence 81, PPL: -1708.28455
164: good sentence 82, PPL: -488.06766
165: bad sentence 82, PPL: -340.92700
166: good sentence 83, PPL: -590.76044
167: bad sentence 83, PPL: -465.14392
168: good sentence 84, PPL: -1578.24841
169: bad sentence 84, PPL: -2229.60132
170: good sentence 85, PPL: -447.73428
171: bad sentence 85, PPL: -467.84439
172: good sentence 86, PPL: -1463.29138
173: bad sentence 86, PPL: -5560.63916
174: good sentence 87, PPL: -528.31586
175: bad sentence 87, PPL: -2197.40332
176: good sentence 88, PPL: -567.22113
177: bad sentence 88, PPL: -480.86826
178: good sentence 89, PPL: -633.16632
179: bad sentence 89, PPL: -2178.32861
180: good sentence 90, PPL: -829.50769
181: bad sentence 90, PPL: -717.75067
182: good sentence 91, PPL: -544.00000
183: bad sentence 91, PPL: -437.97836
184: good sentence 92, PPL: -269.50726
185: bad sentence 92, PPL: -280.48849
186: good sentence 93, PPL: -457.02963
187: bad sentence 93, PPL: -215.54680
188: good sentence 94, PPL: -1395.85840
189: bad sentence 94, PPL: -1050.15259
190: good sentence 95, PPL: -1310.07886
191: bad sentence 95, PPL: -1350.60608
192: good sentence 96, PPL: -391.80423
193: bad sentence 96, PPL: -954.85168
194: good sentence 97, PPL: -377.09460
195: bad sentence 97, PPL: -343.45251
196: good sentence 98, PPL: -1940.16260
197: bad sentence 98, PPL: -1459.94336
198: good sentence 99, PPL: -238.32510
199: bad sentence 99, PPL: -634.97260
200: good sentence 100, PPL: -879.32184
201: bad sentence 100, PPL: -782.65698
202: good sentence 101, PPL: -684.71759
203: bad sentence 101, PPL: -617.92126
204: good sentence 102, PPL: -622.08124
205: bad sentence 102, PPL: -2829.23071
206: good sentence 103, PPL: -636.42487
207: bad sentence 103, PPL: -656.71887
208: good sentence 104, PPL: -907.41876
209: bad sentence 104, PPL: -894.21661
210: good sentence 105, PPL: -454.02884
211: bad sentence 105, PPL: -474.57709
212: good sentence 106, PPL: -218.87456
213: bad sentence 106, PPL: -236.85333
214: good sentence 107, PPL: -1592.82092
215: bad sentence 107, PPL: -1325.71826
216: good sentence 108, PPL: -149.45184
217: bad sentence 108, PPL: -319.66422
218: good sentence 109, PPL: -657.79883
219: bad sentence 109, PPL: -2189.12549
220: good sentence 110, PPL: -727.29425
221: bad sentence 110, PPL: -651.08929
222: good sentence 111, PPL: -687.72534
223: bad sentence 111, PPL: -531.02869
224: good sentence 112, PPL: -733.18237
225: bad sentence 112, PPL: -659.52820
226: good sentence 113, PPL: -2747.41187
227: bad sentence 113, PPL: -2539.56567
228: good sentence 114, PPL: -510.44598
229: bad sentence 114, PPL: -519.96338
230: good sentence 115, PPL: -289.32208
231: bad sentence 115, PPL: -229.70660
232: good sentence 116, PPL: -1732.70312
233: bad sentence 116, PPL: -1815.75696
234: good sentence 117, PPL: -1003.94031
235: bad sentence 117, PPL: -1014.30988
236: good sentence 118, PPL: -530.70819
237: bad sentence 118, PPL: -564.59930
238: good sentence 119, PPL: -348.95447
239: bad sentence 119, PPL: -247.51289
