Plural
	cl_men_self_female
Model: 01-ai/Yi-6B, Accuracy: 84.00000, Average Perplexity (Good Sentences): -351.78088, Average Perplexity (Bad Sentences): -449.39536
0: good sentence 0, PPL: -804.69672
1: bad sentence 0, PPL: -778.30005
2: good sentence 1, PPL: -483.06396
3: bad sentence 1, PPL: -603.75513
4: good sentence 2, PPL: -341.95825
5: bad sentence 2, PPL: -344.74121
6: good sentence 3, PPL: -270.43295
7: bad sentence 3, PPL: -313.34534
8: good sentence 4, PPL: -829.89185
9: bad sentence 4, PPL: -918.74231
10: good sentence 5, PPL: -215.32317
11: bad sentence 5, PPL: -254.92584
12: good sentence 6, PPL: -470.50168
13: bad sentence 6, PPL: -525.88940
14: good sentence 7, PPL: -326.68011
15: bad sentence 7, PPL: -515.15790
16: good sentence 8, PPL: -410.33658
17: bad sentence 8, PPL: -531.75415
18: good sentence 9, PPL: -338.05313
19: bad sentence 9, PPL: -366.92105
20: good sentence 10, PPL: -387.09317
21: bad sentence 10, PPL: -375.15689
22: good sentence 11, PPL: -271.03403
23: bad sentence 11, PPL: -316.05148
24: good sentence 12, PPL: -307.80106
25: bad sentence 12, PPL: -401.53055
26: good sentence 13, PPL: -118.75097
27: bad sentence 13, PPL: -182.49170
28: good sentence 14, PPL: -552.78418
29: bad sentence 14, PPL: -602.29663
30: good sentence 15, PPL: -132.34828
31: bad sentence 15, PPL: -276.22357
32: good sentence 16, PPL: -292.36200
33: bad sentence 16, PPL: -343.45120
34: good sentence 17, PPL: -805.93018
35: bad sentence 17, PPL: -764.24640
36: good sentence 18, PPL: -235.68918
37: bad sentence 18, PPL: -301.67767
38: good sentence 19, PPL: -168.05486
39: bad sentence 19, PPL: -328.42645
40: good sentence 20, PPL: -826.67212
41: bad sentence 20, PPL: -975.98865
42: good sentence 21, PPL: -675.09985
43: bad sentence 21, PPL: -597.56451
44: good sentence 22, PPL: -574.28430
45: bad sentence 22, PPL: -829.11261
46: good sentence 23, PPL: -253.69441
47: bad sentence 23, PPL: -558.49646
48: good sentence 24, PPL: -509.06705
49: bad sentence 24, PPL: -656.38080
50: good sentence 25, PPL: -82.22702
51: bad sentence 25, PPL: -103.12059
52: good sentence 26, PPL: -702.70038
53: bad sentence 26, PPL: -777.31201
54: good sentence 27, PPL: -648.14807
55: bad sentence 27, PPL: -848.66077
56: good sentence 28, PPL: -653.95557
57: bad sentence 28, PPL: -669.74335
58: good sentence 29, PPL: -335.16211
59: bad sentence 29, PPL: -861.38300
60: good sentence 30, PPL: -193.25580
61: bad sentence 30, PPL: -558.64478
62: good sentence 31, PPL: -328.25690
63: bad sentence 31, PPL: -348.17426
64: good sentence 32, PPL: -254.06981
65: bad sentence 32, PPL: -242.53558
66: good sentence 33, PPL: -383.62210
67: bad sentence 33, PPL: -752.27881
68: good sentence 34, PPL: -1459.80469
69: bad sentence 34, PPL: -1321.48267
70: good sentence 35, PPL: -206.36247
71: bad sentence 35, PPL: -218.75093
72: good sentence 36, PPL: -351.72504
73: bad sentence 36, PPL: -329.84540
74: good sentence 37, PPL: -261.83780
75: bad sentence 37, PPL: -571.85938
76: good sentence 38, PPL: -249.79851
77: bad sentence 38, PPL: -295.81378
78: good sentence 39, PPL: -534.43695
79: bad sentence 39, PPL: -717.97314
80: good sentence 40, PPL: -289.89270
81: bad sentence 40, PPL: -309.54782
82: good sentence 41, PPL: -638.47870
83: bad sentence 41, PPL: -747.23785
84: good sentence 42, PPL: -228.98833
85: bad sentence 42, PPL: -287.66101
86: good sentence 43, PPL: -368.24420
87: bad sentence 43, PPL: -730.03955
88: good sentence 44, PPL: -365.94202
89: bad sentence 44, PPL: -372.37430
90: good sentence 45, PPL: -126.49651
91: bad sentence 45, PPL: -220.67148
92: good sentence 46, PPL: -264.65543
93: bad sentence 46, PPL: -340.03226
94: good sentence 47, PPL: -674.40076
95: bad sentence 47, PPL: -671.13171
96: good sentence 48, PPL: -158.39964
97: bad sentence 48, PPL: -395.54541
98: good sentence 49, PPL: -570.17017
99: bad sentence 49, PPL: -714.91016
100: good sentence 50, PPL: -826.60626
101: bad sentence 50, PPL: -881.80713
102: good sentence 51, PPL: -794.96716
103: bad sentence 51, PPL: -656.90680
104: good sentence 52, PPL: -1053.83960
105: bad sentence 52, PPL: -976.50769
106: good sentence 53, PPL: -392.66867
107: bad sentence 53, PPL: -512.70239
108: good sentence 54, PPL: -202.41286
109: bad sentence 54, PPL: -392.09576
110: good sentence 55, PPL: -375.68677
111: bad sentence 55, PPL: -392.48672
112: good sentence 56, PPL: -239.08202
113: bad sentence 56, PPL: -368.50873
114: good sentence 57, PPL: -1130.73584
115: bad sentence 57, PPL: -989.46588
116: good sentence 58, PPL: -371.89447
117: bad sentence 58, PPL: -407.96460
118: good sentence 59, PPL: -285.28458
119: bad sentence 59, PPL: -607.12830
120: good sentence 60, PPL: -1008.07770
121: bad sentence 60, PPL: -787.81360
122: good sentence 61, PPL: -125.13969
123: bad sentence 61, PPL: -217.94672
124: good sentence 62, PPL: -167.67633
125: bad sentence 62, PPL: -176.80272
126: good sentence 63, PPL: -252.59921
127: bad sentence 63, PPL: -568.00092
128: good sentence 64, PPL: -111.61128
129: bad sentence 64, PPL: -132.57661
130: good sentence 65, PPL: -314.89468
131: bad sentence 65, PPL: -341.54660
132: good sentence 66, PPL: -212.95851
133: bad sentence 66, PPL: -365.44403
134: good sentence 67, PPL: -395.37024
135: bad sentence 67, PPL: -508.55920
136: good sentence 68, PPL: -345.28476
137: bad sentence 68, PPL: -794.39655
138: good sentence 69, PPL: -433.46219
139: bad sentence 69, PPL: -474.90332
140: good sentence 70, PPL: -435.80927
141: bad sentence 70, PPL: -529.32727
142: good sentence 71, PPL: -621.57983
143: bad sentence 71, PPL: -850.14069
144: good sentence 72, PPL: -761.45276
145: bad sentence 72, PPL: -648.32922
146: good sentence 73, PPL: -344.19196
147: bad sentence 73, PPL: -393.78940
148: good sentence 74, PPL: -403.31165
149: bad sentence 74, PPL: -591.29364
150: good sentence 75, PPL: -391.53677
151: bad sentence 75, PPL: -1063.66846
152: good sentence 76, PPL: -222.01242
153: bad sentence 76, PPL: -244.37012
154: good sentence 77, PPL: -147.37811
155: bad sentence 77, PPL: -264.22040
156: good sentence 78, PPL: -565.88171
157: bad sentence 78, PPL: -662.45972
158: good sentence 79, PPL: -302.52399
159: bad sentence 79, PPL: -375.83640
160: good sentence 80, PPL: -471.88571
161: bad sentence 80, PPL: -466.72650
162: good sentence 81, PPL: -172.67555
163: bad sentence 81, PPL: -208.95995
164: good sentence 82, PPL: -349.35086
165: bad sentence 82, PPL: -383.90701
166: good sentence 83, PPL: -76.32373
167: bad sentence 83, PPL: -135.19597
168: good sentence 84, PPL: -146.67340
169: bad sentence 84, PPL: -196.69455
170: good sentence 85, PPL: -412.05243
171: bad sentence 85, PPL: -1119.46753
172: good sentence 86, PPL: -378.05981
173: bad sentence 86, PPL: -387.28500
174: good sentence 87, PPL: -146.59494
175: bad sentence 87, PPL: -170.53642
176: good sentence 88, PPL: -520.26965
177: bad sentence 88, PPL: -454.32077
178: good sentence 89, PPL: -565.17499
179: bad sentence 89, PPL: -627.36670
180: good sentence 90, PPL: -860.11066
181: bad sentence 90, PPL: -1506.52966
182: good sentence 91, PPL: -257.43973
183: bad sentence 91, PPL: -317.22662
184: good sentence 92, PPL: -1003.03882
185: bad sentence 92, PPL: -1037.64673
186: good sentence 93, PPL: -274.85480
187: bad sentence 93, PPL: -326.49728
188: good sentence 94, PPL: -168.11360
189: bad sentence 94, PPL: -183.96019
190: good sentence 95, PPL: -323.37570
191: bad sentence 95, PPL: -370.79556
192: good sentence 96, PPL: -232.35571
193: bad sentence 96, PPL: -264.10944
194: good sentence 97, PPL: -442.72864
195: bad sentence 97, PPL: -443.48761
196: good sentence 98, PPL: -280.02240
197: bad sentence 98, PPL: -275.04147
198: good sentence 99, PPL: -333.63150
199: bad sentence 99, PPL: -339.91196
200: good sentence 100, PPL: -136.19119
201: bad sentence 100, PPL: -289.78058
202: good sentence 101, PPL: -183.42203
203: bad sentence 101, PPL: -194.28297
204: good sentence 102, PPL: -305.53491
205: bad sentence 102, PPL: -625.04150
206: good sentence 103, PPL: -489.14474
207: bad sentence 103, PPL: -439.12161
208: good sentence 104, PPL: -295.23676
209: bad sentence 104, PPL: -733.66327
210: good sentence 105, PPL: -344.77835
211: bad sentence 105, PPL: -377.83273
212: good sentence 106, PPL: -130.67004
213: bad sentence 106, PPL: -175.76718
214: good sentence 107, PPL: -162.51949
215: bad sentence 107, PPL: -163.76479
216: good sentence 108, PPL: -401.32648
217: bad sentence 108, PPL: -480.08792
218: good sentence 109, PPL: -444.10953
219: bad sentence 109, PPL: -567.76721
220: good sentence 110, PPL: -146.77625
221: bad sentence 110, PPL: -154.31393
222: good sentence 111, PPL: -362.53268
223: bad sentence 111, PPL: -381.84909
224: good sentence 112, PPL: -189.33842
225: bad sentence 112, PPL: -523.45514
226: good sentence 113, PPL: -586.67706
227: bad sentence 113, PPL: -688.11670
228: good sentence 114, PPL: -449.83508
229: bad sentence 114, PPL: -608.17310
230: good sentence 115, PPL: -390.80933
231: bad sentence 115, PPL: -473.67889
232: good sentence 116, PPL: -263.59412
233: bad sentence 116, PPL: -329.97708
234: good sentence 117, PPL: -366.25906
235: bad sentence 117, PPL: -344.72803
236: good sentence 118, PPL: -373.45648
237: bad sentence 118, PPL: -402.23538
238: good sentence 119, PPL: -312.09662
239: bad sentence 119, PPL: -672.71228
240: good sentence 120, PPL: -630.31006
241: bad sentence 120, PPL: -735.35663
242: good sentence 121, PPL: -388.07675
243: bad sentence 121, PPL: -423.18164
244: good sentence 122, PPL: -528.11713
245: bad sentence 122, PPL: -701.52496
246: good sentence 123, PPL: -346.18225
247: bad sentence 123, PPL: -418.81061
248: good sentence 124, PPL: -420.22610
249: bad sentence 124, PPL: -457.09744
250: good sentence 125, PPL: -1451.78906
251: bad sentence 125, PPL: -1575.99683
252: good sentence 126, PPL: -521.17920
253: bad sentence 126, PPL: -496.30472
254: good sentence 127, PPL: -318.56937
255: bad sentence 127, PPL: -839.71277
256: good sentence 128, PPL: -246.13493
257: bad sentence 128, PPL: -302.93323
258: good sentence 129, PPL: -83.04892
259: bad sentence 129, PPL: -134.93115
260: good sentence 130, PPL: -508.27606
261: bad sentence 130, PPL: -565.42560
262: good sentence 131, PPL: -173.37363
263: bad sentence 131, PPL: -175.40031
264: good sentence 132, PPL: -432.78494
265: bad sentence 132, PPL: -403.80182
266: good sentence 133, PPL: -591.34045
267: bad sentence 133, PPL: -690.42163
268: good sentence 134, PPL: -300.35587
269: bad sentence 134, PPL: -760.98163
270: good sentence 135, PPL: -367.66205
271: bad sentence 135, PPL: -382.63120
272: good sentence 136, PPL: -129.15158
273: bad sentence 136, PPL: -149.95866
274: good sentence 137, PPL: -162.84654
275: bad sentence 137, PPL: -210.06978
276: good sentence 138, PPL: -340.17593
277: bad sentence 138, PPL: -385.54651
278: good sentence 139, PPL: -160.48390
279: bad sentence 139, PPL: -320.31818
280: good sentence 140, PPL: -690.45099
281: bad sentence 140, PPL: -1542.07507
282: good sentence 141, PPL: -253.44049
283: bad sentence 141, PPL: -586.20337
284: good sentence 142, PPL: -431.01157
285: bad sentence 142, PPL: -489.92722
286: good sentence 143, PPL: -809.76300
287: bad sentence 143, PPL: -875.41437
288: good sentence 144, PPL: -344.29288
289: bad sentence 144, PPL: -1165.31165
290: good sentence 145, PPL: -213.40680
291: bad sentence 145, PPL: -510.45816
292: good sentence 146, PPL: -399.27399
293: bad sentence 146, PPL: -874.71832
294: good sentence 147, PPL: -461.15790
295: bad sentence 147, PPL: -472.55945
296: good sentence 148, PPL: -315.50760
297: bad sentence 148, PPL: -355.03882
298: good sentence 149, PPL: -308.33823
299: bad sentence 149, PPL: -328.32187
300: good sentence 150, PPL: -491.16364
301: bad sentence 150, PPL: -600.70428
302: good sentence 151, PPL: -895.78455
303: bad sentence 151, PPL: -868.37402
304: good sentence 152, PPL: -347.82877
305: bad sentence 152, PPL: -452.74814
306: good sentence 153, PPL: -231.21278
307: bad sentence 153, PPL: -251.29906
308: good sentence 154, PPL: -694.21210
309: bad sentence 154, PPL: -836.29303
310: good sentence 155, PPL: -384.92749
311: bad sentence 155, PPL: -812.48010
312: good sentence 156, PPL: -211.71506
313: bad sentence 156, PPL: -490.38202
314: good sentence 157, PPL: -511.88309
315: bad sentence 157, PPL: -716.36523
316: good sentence 158, PPL: -348.73804
317: bad sentence 158, PPL: -378.92303
318: good sentence 159, PPL: -273.59308
319: bad sentence 159, PPL: -351.07990
320: good sentence 160, PPL: -186.14444
321: bad sentence 160, PPL: -210.18762
322: good sentence 161, PPL: -230.31851
323: bad sentence 161, PPL: -223.16605
324: good sentence 162, PPL: -434.17523
325: bad sentence 162, PPL: -482.05521
326: good sentence 163, PPL: -352.77954
327: bad sentence 163, PPL: -425.22141
328: good sentence 164, PPL: -962.51288
329: bad sentence 164, PPL: -1004.87952
