Plural
	cl_men_self_male
Model: 01-ai/Yi-6B, Accuracy: 98.80000, Average Perplexity (Good Sentences): -393.54483, Average Perplexity (Bad Sentences): -918.69714
0: good sentence 0, PPL: -812.11285
1: bad sentence 0, PPL: -2070.11084
2: good sentence 1, PPL: -616.36487
3: bad sentence 1, PPL: -1966.53467
4: good sentence 2, PPL: -389.04282
5: bad sentence 2, PPL: -768.57080
6: good sentence 3, PPL: -345.01273
7: bad sentence 3, PPL: -568.53229
8: good sentence 4, PPL: -946.06256
9: bad sentence 4, PPL: -2371.43311
10: good sentence 5, PPL: -201.49561
11: bad sentence 5, PPL: -425.39438
12: good sentence 6, PPL: -468.90256
13: bad sentence 6, PPL: -535.39343
14: good sentence 7, PPL: -375.26300
15: bad sentence 7, PPL: -859.20837
16: good sentence 8, PPL: -443.68494
17: bad sentence 8, PPL: -505.23334
18: good sentence 9, PPL: -519.69073
19: bad sentence 9, PPL: -1189.90051
20: good sentence 10, PPL: -381.75549
21: bad sentence 10, PPL: -833.54407
22: good sentence 11, PPL: -348.01392
23: bad sentence 11, PPL: -631.53418
24: good sentence 12, PPL: -296.32330
25: bad sentence 12, PPL: -722.85120
26: good sentence 13, PPL: -158.52681
27: bad sentence 13, PPL: -252.57489
28: good sentence 14, PPL: -418.92090
29: bad sentence 14, PPL: -470.68927
30: good sentence 15, PPL: -137.49924
31: bad sentence 15, PPL: -328.36993
32: good sentence 16, PPL: -403.75000
33: bad sentence 16, PPL: -957.22681
34: good sentence 17, PPL: -944.82104
35: bad sentence 17, PPL: -3024.44946
36: good sentence 18, PPL: -244.98123
37: bad sentence 18, PPL: -655.50751
38: good sentence 19, PPL: -151.13849
39: bad sentence 19, PPL: -461.53781
40: good sentence 20, PPL: -862.77771
41: bad sentence 20, PPL: -2130.95850
42: good sentence 21, PPL: -798.92804
43: bad sentence 21, PPL: -2060.02539
44: good sentence 22, PPL: -770.65125
45: bad sentence 22, PPL: -1113.25806
46: good sentence 23, PPL: -313.95599
47: bad sentence 23, PPL: -940.85889
48: good sentence 24, PPL: -585.35229
49: bad sentence 24, PPL: -1385.76929
50: good sentence 25, PPL: -103.28205
51: bad sentence 25, PPL: -236.41440
52: good sentence 26, PPL: -832.92706
53: bad sentence 26, PPL: -2422.98975
54: good sentence 27, PPL: -750.99280
55: bad sentence 27, PPL: -1133.84094
56: good sentence 28, PPL: -713.23352
57: bad sentence 28, PPL: -2454.29761
58: good sentence 29, PPL: -407.79947
59: bad sentence 29, PPL: -940.40765
60: good sentence 30, PPL: -279.40912
61: bad sentence 30, PPL: -733.70032
62: good sentence 31, PPL: -388.15280
63: bad sentence 31, PPL: -1157.08032
64: good sentence 32, PPL: -294.54114
65: bad sentence 32, PPL: -541.32599
66: good sentence 33, PPL: -378.34079
67: bad sentence 33, PPL: -932.85626
68: good sentence 34, PPL: -1524.47864
69: bad sentence 34, PPL: -5531.52832
70: good sentence 35, PPL: -209.88345
71: bad sentence 35, PPL: -395.63049
72: good sentence 36, PPL: -449.77008
73: bad sentence 36, PPL: -956.09644
74: good sentence 37, PPL: -341.32812
75: bad sentence 37, PPL: -939.21741
76: good sentence 38, PPL: -262.60690
77: bad sentence 38, PPL: -616.19824
78: good sentence 39, PPL: -590.00684
79: bad sentence 39, PPL: -646.40729
80: good sentence 40, PPL: -330.33081
81: bad sentence 40, PPL: -756.34534
82: good sentence 41, PPL: -705.80743
83: bad sentence 41, PPL: -1802.76440
84: good sentence 42, PPL: -224.69049
85: bad sentence 42, PPL: -654.36261
86: good sentence 43, PPL: -399.97046
87: bad sentence 43, PPL: -855.43842
88: good sentence 44, PPL: -370.50003
89: bad sentence 44, PPL: -727.71057
90: good sentence 45, PPL: -134.75555
91: bad sentence 45, PPL: -236.38081
92: good sentence 46, PPL: -309.45972
93: bad sentence 46, PPL: -698.79132
94: good sentence 47, PPL: -751.14752
95: bad sentence 47, PPL: -1951.81250
96: good sentence 48, PPL: -180.33000
97: bad sentence 48, PPL: -501.71051
98: good sentence 49, PPL: -649.65063
99: bad sentence 49, PPL: -2318.33325
100: good sentence 50, PPL: -960.13647
101: bad sentence 50, PPL: -2427.19775
102: good sentence 51, PPL: -691.45190
103: bad sentence 51, PPL: -2066.76416
104: good sentence 52, PPL: -917.07123
105: bad sentence 52, PPL: -3252.74512
106: good sentence 53, PPL: -387.75211
107: bad sentence 53, PPL: -1280.08069
108: good sentence 54, PPL: -227.87067
109: bad sentence 54, PPL: -461.85016
110: good sentence 55, PPL: -415.85950
111: bad sentence 55, PPL: -1052.07825
112: good sentence 56, PPL: -297.04691
113: bad sentence 56, PPL: -943.91589
114: good sentence 57, PPL: -1365.34961
115: bad sentence 57, PPL: -4605.55078
116: good sentence 58, PPL: -463.19177
117: bad sentence 58, PPL: -1266.33093
118: good sentence 59, PPL: -285.62637
119: bad sentence 59, PPL: -812.37512
120: good sentence 60, PPL: -935.26495
121: bad sentence 60, PPL: -2267.85278
122: good sentence 61, PPL: -137.36765
123: bad sentence 61, PPL: -268.61557
124: good sentence 62, PPL: -197.91063
125: bad sentence 62, PPL: -393.17624
126: good sentence 63, PPL: -364.97974
127: bad sentence 63, PPL: -1039.50830
128: good sentence 64, PPL: -109.50404
129: bad sentence 64, PPL: -186.14072
130: good sentence 65, PPL: -486.28470
131: bad sentence 65, PPL: -1366.07373
132: good sentence 66, PPL: -262.70810
133: bad sentence 66, PPL: -511.80692
134: good sentence 67, PPL: -369.58429
135: bad sentence 67, PPL: -906.24738
136: good sentence 68, PPL: -319.35355
137: bad sentence 68, PPL: -755.62146
138: good sentence 69, PPL: -437.84955
139: bad sentence 69, PPL: -1135.28162
140: good sentence 70, PPL: -569.61334
141: bad sentence 70, PPL: -2116.05859
142: good sentence 71, PPL: -902.57867
143: bad sentence 71, PPL: -1325.20947
144: good sentence 72, PPL: -596.56805
145: bad sentence 72, PPL: -2160.63062
146: good sentence 73, PPL: -317.23419
147: bad sentence 73, PPL: -756.90094
148: good sentence 74, PPL: -440.73181
149: bad sentence 74, PPL: -1369.47046
150: good sentence 75, PPL: -398.47861
151: bad sentence 75, PPL: -1084.68835
152: good sentence 76, PPL: -272.72821
153: bad sentence 76, PPL: -519.15521
154: good sentence 77, PPL: -169.69272
155: bad sentence 77, PPL: -321.90231
156: good sentence 78, PPL: -690.96973
157: bad sentence 78, PPL: -2622.59155
158: good sentence 79, PPL: -435.45157
159: bad sentence 79, PPL: -542.33362
160: good sentence 80, PPL: -407.91754
161: bad sentence 80, PPL: -1028.96619
162: good sentence 81, PPL: -172.16228
163: bad sentence 81, PPL: -357.84717
164: good sentence 82, PPL: -446.36914
165: bad sentence 82, PPL: -1080.46423
166: good sentence 83, PPL: -86.10848
167: bad sentence 83, PPL: -174.38132
168: good sentence 84, PPL: -160.72935
169: bad sentence 84, PPL: -434.41772
170: good sentence 85, PPL: -551.12872
171: bad sentence 85, PPL: -1215.43066
172: good sentence 86, PPL: -407.87552
173: bad sentence 86, PPL: -848.49164
174: good sentence 87, PPL: -181.44794
175: bad sentence 87, PPL: -356.44745
176: good sentence 88, PPL: -493.67065
177: bad sentence 88, PPL: -1279.44360
178: good sentence 89, PPL: -701.34601
179: bad sentence 89, PPL: -2199.51782
180: good sentence 90, PPL: -914.86121
181: bad sentence 90, PPL: -1986.16272
182: good sentence 91, PPL: -289.06543
183: bad sentence 91, PPL: -819.36920
184: good sentence 92, PPL: -991.79419
185: bad sentence 92, PPL: -2728.14453
186: good sentence 93, PPL: -373.83813
187: bad sentence 93, PPL: -896.23572
188: good sentence 94, PPL: -150.32544
189: bad sentence 94, PPL: -347.27243
190: good sentence 95, PPL: -368.26160
191: bad sentence 95, PPL: -968.78833
192: good sentence 96, PPL: -232.89590
193: bad sentence 96, PPL: -515.86536
194: good sentence 97, PPL: -584.11401
195: bad sentence 97, PPL: -661.31189
196: good sentence 98, PPL: -338.37262
197: bad sentence 98, PPL: -879.59564
198: good sentence 99, PPL: -332.66501
199: bad sentence 99, PPL: -746.71216
200: good sentence 100, PPL: -136.41347
201: bad sentence 100, PPL: -307.34814
202: good sentence 101, PPL: -229.62547
203: bad sentence 101, PPL: -401.65195
204: good sentence 102, PPL: -334.60306
205: bad sentence 102, PPL: -850.73761
206: good sentence 103, PPL: -398.25690
207: bad sentence 103, PPL: -1037.43311
208: good sentence 104, PPL: -332.83273
209: bad sentence 104, PPL: -1056.63379
210: good sentence 105, PPL: -432.30707
211: bad sentence 105, PPL: -1061.12793
212: good sentence 106, PPL: -142.88695
213: bad sentence 106, PPL: -311.75974
214: good sentence 107, PPL: -168.62413
215: bad sentence 107, PPL: -394.06027
216: good sentence 108, PPL: -355.83408
217: bad sentence 108, PPL: -839.02917
218: good sentence 109, PPL: -746.11279
219: bad sentence 109, PPL: -1886.63940
220: good sentence 110, PPL: -158.27664
221: bad sentence 110, PPL: -313.07428
222: good sentence 111, PPL: -395.60727
223: bad sentence 111, PPL: -989.83777
224: good sentence 112, PPL: -169.45284
225: bad sentence 112, PPL: -612.96875
226: good sentence 113, PPL: -675.31818
227: bad sentence 113, PPL: -1894.79590
228: good sentence 114, PPL: -557.40106
229: bad sentence 114, PPL: -1657.46484
230: good sentence 115, PPL: -376.73337
231: bad sentence 115, PPL: -646.64594
232: good sentence 116, PPL: -277.17514
233: bad sentence 116, PPL: -783.59381
234: good sentence 117, PPL: -351.62476
235: bad sentence 117, PPL: -900.33490
236: good sentence 118, PPL: -342.22446
237: bad sentence 118, PPL: -865.65247
238: good sentence 119, PPL: -314.73709
239: bad sentence 119, PPL: -838.80627
240: good sentence 120, PPL: -678.12811
241: bad sentence 120, PPL: -2848.00830
242: good sentence 121, PPL: -399.25095
243: bad sentence 121, PPL: -1302.59521
244: good sentence 122, PPL: -585.82581
245: bad sentence 122, PPL: -1520.55676
246: good sentence 123, PPL: -310.07364
247: bad sentence 123, PPL: -1199.42798
248: good sentence 124, PPL: -550.21014
249: bad sentence 124, PPL: -1296.90527
250: good sentence 125, PPL: -1890.40454
251: bad sentence 125, PPL: -6295.36621
252: good sentence 126, PPL: -498.56516
253: bad sentence 126, PPL: -1764.11719
254: good sentence 127, PPL: -385.49469
