Plural
	cl_self_female
Model: 01-ai/Yi-6B, Accuracy: 62.40000, Average Perplexity (Good Sentences): -330.93527, Average Perplexity (Bad Sentences): -393.09113
0: good sentence 0, PPL: -272.16763
1: bad sentence 0, PPL: -285.95493
2: good sentence 1, PPL: -103.70334
3: bad sentence 1, PPL: -123.92386
4: good sentence 2, PPL: -526.09607
5: bad sentence 2, PPL: -425.64355
6: good sentence 3, PPL: -322.05878
7: bad sentence 3, PPL: -713.98828
8: good sentence 4, PPL: -151.90697
9: bad sentence 4, PPL: -156.68448
10: good sentence 5, PPL: -144.49606
11: bad sentence 5, PPL: -284.52704
12: good sentence 6, PPL: -222.54631
13: bad sentence 6, PPL: -251.96417
14: good sentence 7, PPL: -207.90427
15: bad sentence 7, PPL: -214.74362
16: good sentence 8, PPL: -441.03098
17: bad sentence 8, PPL: -451.87009
18: good sentence 9, PPL: -671.51654
19: bad sentence 9, PPL: -808.07428
20: good sentence 10, PPL: -295.33304
21: bad sentence 10, PPL: -368.78909
22: good sentence 11, PPL: -79.82320
23: bad sentence 11, PPL: -143.87166
24: good sentence 12, PPL: -306.03970
25: bad sentence 12, PPL: -349.90619
26: good sentence 13, PPL: -209.37915
27: bad sentence 13, PPL: -224.04643
28: good sentence 14, PPL: -896.20844
29: bad sentence 14, PPL: -977.99139
30: good sentence 15, PPL: -172.96835
31: bad sentence 15, PPL: -155.25430
32: good sentence 16, PPL: -262.78101
33: bad sentence 16, PPL: -254.11961
34: good sentence 17, PPL: -238.58560
35: bad sentence 17, PPL: -256.61755
36: good sentence 18, PPL: -528.72107
37: bad sentence 18, PPL: -509.10928
38: good sentence 19, PPL: -541.60895
39: bad sentence 19, PPL: -497.91064
40: good sentence 20, PPL: -468.44952
41: bad sentence 20, PPL: -537.83093
42: good sentence 21, PPL: -370.41281
43: bad sentence 21, PPL: -320.09998
44: good sentence 22, PPL: -701.20190
45: bad sentence 22, PPL: -630.99298
46: good sentence 23, PPL: -387.24731
47: bad sentence 23, PPL: -389.63446
48: good sentence 24, PPL: -1305.72766
49: bad sentence 24, PPL: -1317.44397
50: good sentence 25, PPL: -203.80292
51: bad sentence 25, PPL: -385.80472
52: good sentence 26, PPL: -346.98242
53: bad sentence 26, PPL: -360.67117
54: good sentence 27, PPL: -178.61867
55: bad sentence 27, PPL: -157.54791
56: good sentence 28, PPL: -425.08231
57: bad sentence 28, PPL: -559.85571
58: good sentence 29, PPL: -673.71960
59: bad sentence 29, PPL: -616.04987
60: good sentence 30, PPL: -385.00824
61: bad sentence 30, PPL: -947.55658
62: good sentence 31, PPL: -909.48944
63: bad sentence 31, PPL: -903.97198
64: good sentence 32, PPL: -279.35651
65: bad sentence 32, PPL: -333.50238
66: good sentence 33, PPL: -213.39610
67: bad sentence 33, PPL: -216.91647
68: good sentence 34, PPL: -370.91281
69: bad sentence 34, PPL: -379.07883
70: good sentence 35, PPL: -711.27728
71: bad sentence 35, PPL: -723.16211
72: good sentence 36, PPL: -199.52594
73: bad sentence 36, PPL: -220.66328
74: good sentence 37, PPL: -636.68585
75: bad sentence 37, PPL: -558.95819
76: good sentence 38, PPL: -127.41996
77: bad sentence 38, PPL: -147.78909
78: good sentence 39, PPL: -368.68414
79: bad sentence 39, PPL: -391.86063
80: good sentence 40, PPL: -96.45053
81: bad sentence 40, PPL: -110.22243
82: good sentence 41, PPL: -421.64499
83: bad sentence 41, PPL: -409.60135
84: good sentence 42, PPL: -418.18222
85: bad sentence 42, PPL: -445.90558
86: good sentence 43, PPL: -533.48315
87: bad sentence 43, PPL: -572.28278
88: good sentence 44, PPL: -187.52676
89: bad sentence 44, PPL: -453.11636
90: good sentence 45, PPL: -213.87837
91: bad sentence 45, PPL: -612.56903
92: good sentence 46, PPL: -176.15399
93: bad sentence 46, PPL: -385.99518
94: good sentence 47, PPL: -540.77954
95: bad sentence 47, PPL: -492.35300
96: good sentence 48, PPL: -551.96997
97: bad sentence 48, PPL: -640.10413
98: good sentence 49, PPL: -438.00867
99: bad sentence 49, PPL: -534.36713
